Org_Name,Original_Text,Reported_Date,Cleaned_Date,URL,Name_Processing
John Hancock Financial Network,"John Hancock Financial Network, April 1, 2019 ","April 1, 2019 ",4/1/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/john-hancock-financial-network-20190401.pdf,"John Hancock Financial Network, April 1, 2019 "
John Lucas Tree Expert,"John Lucas Tree Expert, September 27, 2019 ","September 27, 2019 ",9/27/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/john-lucas-tree-expert-20190927.pdf,"John Lucas Tree Expert, September 27, 2019 "
John Y. Trent & Associates LLC,"John Y. Trent & Associates, LLC, April 04, 2018 ","April 04, 2018 ",4/4/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/john-y-trent-20180404.pdf,"John Y. Trent & Associates LLC, April 04, 2018 "
Johnny Appleseed's Inc.,"Johnny Appleseed's Inc., January 9, 2019 ","January 9, 2019 ",1/9/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/johnny-appleseed-20190109.pdf,"Johnny Appleseed's Inc., January 9, 2019 "
Johns Hopkins,"Johns Hopkins, February 07, 2007 ","February 07, 2007 ",2/7/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/johns-hopkins-20070207.pdf,"Johns Hopkins, February 07, 2007 "
Johns Hopkins University,"Johns Hopkins University, April 22, 2014 ","April 22, 2014 ",4/22/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/johns-hopkins-university-20140422.pdf,"Johns Hopkins University, April 22, 2014 "
Johns Hopkins University,"Johns Hopkins University, March 18, 2010 ","March 18, 2010 ",3/18/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/johns-hopkins-university-20100318.pdf,"Johns Hopkins University, March 18, 2010 "
Johnson & Johnson,"Johnson & Johnson, July 09, 2007 ","July 09, 2007 ",7/9/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/johnson-and-johnson-20070709.pdf,"Johnson & Johnson, July 09, 2007 "
Johnson Hearn Vinegar & Gee,"Johnson, Hearn, Vinegar & Gee, April 14, 2017 ","Hearn, Vinegar & Gee, April 14, 2017 ",4/14/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/johnson-hearn-vinegar-gee-20170414.pdf,"Johnson, Hearn, Vinegar & Gee, April 14, 2017 "
Johnson Lauder & Savidge LLP,"Johnson, Lauder & Savidge, LLP, November 21, 2018  ","November 21, 2018  ",11/21/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/johnson-lauder-savidge-20181121.pdf,"Johnson Lauder & Savidge LLP, November 21, 2018  "
Jones Day,"Jones Day, April 9, 2019 ","April 9, 2019 ",4/9/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/jones-day-20190409.pdf,"Jones Day, April 9, 2019 "
Jones Street ResidentialInc.,"Jones Street Residential, Inc., November 18, 2019  ","November 18, 2019  ",11/18/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/jones-street-residential-20191811.pdf,"Jones Street ResidentialInc., November 18, 2019  "
Joseph-Beth Enterprises LLC,"Joseph-Beth Enterprises LLC, February 24, 2017 ","February 24, 2017 ",2/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/joseph-beth-20170224.pdf,"Joseph-Beth Enterprises LLC, February 24, 2017 "
J. Polep Distribution Services,"J. Polep Distribution Services, August 17, 2016 ","August 17, 2016 ",8/17/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/j-polep-distribution-20160817.pdf,"J. Polep Distribution Services, August 17, 2016 "
J. Press Online,"J. Press Online, January 19, 2011 ","January 19, 2011 ",1/19/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/j-press-online-20110119.pdf,"J. Press Online, January 19, 2011 "
JRK Hotel Group,"JRK Hotel Group, November 15, 2017 ","November 15, 2017 ",11/15/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/jrk-hotel-20171115.pdf,"JRK Hotel Group, November 15, 2017 "
Julep BeautyInc.,"Julep Beauty, Inc., November 13, 2018  ","November 13, 2018  ",11/13/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/julep-beauty-20181113.pdf,"Julep BeautyInc., November 13, 2018  "
Julep BeautyInc.,"Julep Beauty, Inc., December 9, 2016 ","December 9, 2016 ",12/9/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/julep-beauty-20161209.pdf,"Julep BeautyInc., December 9, 2016 "
Juliska,"Juliska, August 03, 2017 ","August 03, 2017 ",8/3/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/juliska-20170803.pdf,"Juliska, August 03, 2017 "
Juniata College,"Juniata College, November 5, 2019 ","November 5, 2019 ",11/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/juniata-college-20191105.pdf,"Juniata College, November 5, 2019 "
Kalamazoo College,"Kalamazoo College, May 11, 2016 ","May 11, 2016 ",5/11/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/kalamazoo-college-20160511.pdf,"Kalamazoo College, May 11, 2016 "
Kana,"Kana, July 25, 2008 ","July 25, 2008 ",7/25/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/kana-20080725.pdf,"Kana, July 25, 2008 "
Kantar Group,"Kantar Group, March 21, 2016 ","March 21, 2016 ",3/21/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/kantar-20160321.pdf,"Kantar Group, March 21, 2016 "
Kaplan University,"Kaplan University, February 11, 2015 ","February 11, 2015 ",2/11/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/kaplan-university-20150211.pdf,"Kaplan University, February 11, 2015 "
Ackerman Skabowski & Hogan CPAs PC,"Karp, Ackerman, Skabowski & Hogan, CPAs PC, June 27, 2017 ","Ackerman, Skabowski & Hogan CPAs PC, June 27, 2017 ",6/27/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/karp-ackerman-skabowski-hogan-20170627.pdf,"Karp, Ackerman, Skabowski & Hogan CPAs PC, June 27, 2017 "
Karr Barth AdministratorsInc.,"Karr Barth Administrators, Inc., July 6, 2020 ","July 6, 2020 ",7/6/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/karr-barth-administrators-20200706.pdf,"Karr Barth AdministratorsInc., July 6, 2020 "
Katherman Kitts & Co. LLP,"Katherman Kitts & Co., LLP, April 05, 2016 ","April 05, 2016 ",4/5/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/katherman-kitts-20160405.pdf,"Katherman Kitts & Co. LLP, April 05, 2016 "
Katz Sapper & Miller,"Katz, Sapper & Miller, February 08, 2019 ","Sapper & Miller, February 08, 2019 ",2/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/kats-sapper-miller-20190208.pdf,"Katz, Sapper & Miller, February 08, 2019 "
Kayser-Roth Corporation,"Kayser-Roth Corporation, November 04, 2010 ","November 04, 2010 ",11/4/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/kayser-roth-20101104.pdf,"Kayser-Roth Corporation, November 04, 2010 "
Kayser-RothInc.,"Kayser-Roth, Inc., October 09, 2017 ","October 09, 2017 ",10/9/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/kayser-roth-20171005.pdf,"Kayser-RothInc., October 09, 2017 "
Kayser-RothInc.,"Kayser-Roth, Inc., July 05, 2017 ","July 05, 2017 ",7/5/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/kayser-roth-20170705.pdf,"Kayser-RothInc., July 05, 2017 "
KBE Building Corporation,"KBE Building Corporation, August 04, 2017 ","August 04, 2017 ",8/4/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/kbe-building-20170804.pdf,"KBE Building Corporation, August 04, 2017 "
KBRInc.,"KBR, Inc., January 21, 2011 ","January 21, 2011 ",1/21/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/kbr-20110121.pdf,"KBRInc., January 21, 2011 "
KCI USAInc.,"KCI USA, Inc., December 21, 2010 ","December 21, 2010 ",12/21/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/kci-usa-20101221.pdf,"KCI USAInc., December 21, 2010 "
Keene Police Department,"Keene Police Department, November 23, 2016 ","November 23, 2016 ",11/23/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/keene-police-20161123.pdf,"Keene Police Department, November 23, 2016 "
Kele Inc.,"Kele Inc., January 22, 2019 ","January 22, 2019 ",1/22/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/kele-20190122.pdf,"Kele Inc., January 22, 2019 "
Keller Williams Realty Inc.,"Keller Williams Realty Inc., July 19, 2017 ","July 19, 2017 ",7/19/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/keller-williams-20170719.pdf,"Keller Williams Realty Inc., July 19, 2017 "
Kelly Services,"Kelly Services, March 09, 2012 ","March 09, 2012 ",3/9/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/kelly-sevices-20120309.pdf,"Kelly Services, March 09, 2012 "
Kenerson AssociatesInc.,"Kenerson Associates, Inc., February 18, 2014 ","February 18, 2014 ",2/18/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/kenerson-20140218.pdf,"Kenerson AssociatesInc., February 18, 2014 "
Kenra Professional,"Kenra Professional, April 4, 2019 ","April 4, 2019 ",4/4/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/kenra-professional-20190404.pdf,"Kenra Professional, April 4, 2019 "
KeraLink International,"KeraLink International, April 25, 2017 ","April 25, 2017 ",4/25/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/keralink-20170425.pdf,"KeraLink International, April 25, 2017 "
Kestler Financial GroupInc.,"Kestler Financial Group, Inc., November 7, 2019 ","November 7, 2019 ",11/7/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/kestler-financial-20191107.pdf,"Kestler Financial GroupInc., November 7, 2019 "
Kestra Investment Services LLC,"Kestra Investment Services, LLC, December 21, 2018 ","December 21, 2018 ",12/21/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/kestra-investment-20181221.pdf,"Kestra Investment Services LLC, December 21, 2018 "
Kettle Cuisine,"Kettle Cuisine, February 07, 2017 ","February 07, 2017 ",2/7/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/kettle-cuisine-20170207.pdf,"Kettle Cuisine, February 07, 2017 "
Key West Hotels,"Key West Hotels, April 5, 2019 ","April 5, 2019 ",4/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/key-west-hotels-20190405.pdf,"Key West Hotels, April 5, 2019 "
Key West Hotels,"Key West Hotels, April 2, 2019 ","April 2, 2019 ",4/2/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/key-west-hotels-20190402.pdf,"Key West Hotels, April 2, 2019 "
KGAInc.,"KGA, Inc., August 01, 2016 ","August 01, 2016 ",8/1/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/kga-20160801.pdf,"KGAInc., August 01, 2016 "
KimCrafts,"KimCrafts, November 03, 2007 ","November 03, 2007 ",11/3/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/kim-crafts-20071103.pdf,"KimCrafts, November 03, 2007 "
Kimpton Hotels & Restaurants,"Kimpton Hotels & Restaurants, September 16, 2016 ","September 16, 2016 ",9/16/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/kimpton-hotels-20160916.pdf,"Kimpton Hotels & Restaurants, September 16, 2016 "
Kimpton Hotels & Restaurants,"Kimpton Hotels & Restaurants, August 31, 2016 ","August 31, 2016 ",8/31/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/kimpton-hotels-20160831.pdf,"Kimpton Hotels & Restaurants, August 31, 2016 "
Kinetics SystemsInc.,"Kinetics Systems, Inc., February 07, 2018 ","February 07, 2018 ",2/7/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/kinetics-systems-20180207.pdf,"Kinetics SystemsInc., February 07, 2018 "
Kinectic ConceptsInc.,"Kinectic Concepts, Inc., September 14, 2010 ","September 14, 2010 ",9/14/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/kinectic-concepts-20100914.pdf,"Kinectic ConceptsInc., September 14, 2010 "
King McNamara Moriarty,"King McNamara Moriarty, February 01, 2017 ","February 01, 2017 ",2/1/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/king-mcnamara-.pdf,"King McNamara Moriarty, February 01, 2017 "
King of Prussia Dental Association,"King of Prussia Dental Association, September 08, 2016 ","September 08, 2016 ",9/8/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/king-of-prussia-20160908.pdf,"King of Prussia Dental Association, September 08, 2016 "
Kingston Technology Company Inc.,"Kingston Technology Company Inc., July 09, 2007 ","July 09, 2007 ",7/9/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/kingston-technology-20070709.pdf,"Kingston Technology Company Inc., July 09, 2007 "
KIPP DC Charter Schools,"KIPP DC Charter Schools, December 2, 2019 ","December 2, 2019 ",12/2/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/kipp-dc-charter-schools-20191202.pdf,"KIPP DC Charter Schools, December 2, 2019 "
Kleiner Perkins Caufield & Byers,"Kleiner Perkins Caufield & Byers, August 13, 2014 ","August 13, 2014 ",8/13/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/kleiner-perkins-caufield-byers-20140813.pdf,"Kleiner Perkins Caufield & Byers, August 13, 2014 "
Keppel & Koryak P.C.,"Kline, Keppel, & Koryak, P.C., August 17, 2020 ","Keppel, & Koryak P.C., August 17, 2020 ",8/17/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/latin-school-chicago-20200813.pdf,"Kline, Keppel, & Koryak P.C., August 17, 2020 "
KLXInc.,"KLX, Inc., January 24, 2018 ","January 24, 2018 ",1/24/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/klx-20180124.pdf,"KLXInc., January 24, 2018 "
Koman Government Solutions LLC,"Koman Government Solutions, LLC, April 21, 2017 ","April 21, 2017 ",4/21/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/koman-20170421.pdf,"Koman Government Solutions LLC, April 21, 2017 "
Komar & SonsInc. Charles,"Komar & Sons, Inc., Charles, January 26, 2017 ","January 26, 2017 ",1/26/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/komar-sons-20170126.pdf,"Komar & SonsInc. Charles, January 26, 2017 "
KontrolFreek LLC,"KontrolFreek, LLC, June 30, 2016 ","June 30, 2016 ",6/30/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/kontrolfreek-20160630.pdf,"KontrolFreek LLC, June 30, 2016 "
Korn/Ferry International,"Korn/Ferry International, October 11, 2012 ","October 11, 2012 ",10/11/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/korn-ferry-20121011.pdf,"Korn/Ferry International, October 11, 2012 "
Kraft Foods,"Kraft Foods, February 28, 2008 ","February 28, 2008 ",2/28/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/kraft-foods-20080228.pdf,"Kraft Foods, February 28, 2008 "
Kraft Foods,"Kraft Foods, September 05, 2007 ","September 05, 2007 ",9/5/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/kraft-foods-20070905.pdf,"Kraft Foods, September 05, 2007 "
Kraft Music LTD,"Kraft Music LTD, March 03, 2015 ","March 03, 2015 ",3/3/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/kraft-music-20150303.pdf,"Kraft Music LTD, March 03, 2015 "
Kraus AssociatesInc. dba AK Associates,"Kraus Associates, Inc. dba AK Associates, January 26, 2018 ","January 26, 2018 ",1/26/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/kraus-associates-20180126.pdf,"Kraus AssociatesInc. dba AK Associates, January 26, 2018 "
Dr. Ravi (the Eye Institute),"Krishnan, Dr. Ravi, (the Eye Institute), February 26, 2016 ","Dr. Ravi, (the Eye Institute), February 26, 2016 ",2/26/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/krishnan-ravi-20160226.pdf,"Krishnan, Dr. Ravi, (the Eye Institute), February 26, 2016 "
Kroger Co. The,"Kroger Co., The, May 25, 2016 ","May 25, 2016 ",5/25/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/kroger-20160525.pdf,"Kroger Co. The, May 25, 2016 "
Kroll Background AmericaInc.,"Kroll Background America, Inc., November 20, 2013 ","November 20, 2013 ",11/20/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/kroll-background-20131120.pdf,"Kroll Background AmericaInc., November 20, 2013 "
Kroll Background Screening Services,"Kroll Background Screening Services, November 26, 2013 ","November 26, 2013 ",11/26/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/kroll-background-20131126.pdf,"Kroll Background Screening Services, November 26, 2013 "
KSI Trading Corporation,"KSI Trading Corporation, February 20, 2015 ","February 20, 2015 ",2/20/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/ksi-trading-20150220.pdf,"KSI Trading Corporation, February 20, 2015 "
KSM Business Services Inc.,"KSM Business Services Inc., September 04, 2009 ","September 04, 2009 ",9/4/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/ksm-business-20090924.pdf,"KSM Business Services Inc., September 04, 2009 "
KTM North AmericaInc.,"KTM North America, Inc., December 27, 2013 ","December 27, 2013 ",12/27/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/ktm-north-america-20131227.pdf,"KTM North AmericaInc., December 27, 2013 "
Kurt J. Lesker Company,"Kurt J. Lesker Company, June 28, 2019 ","June 28, 2019 ",6/28/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/kurt-j-lesker-20190628.pdf,"Kurt J. Lesker Company, June 28, 2019 "
KURU Footwear,"KURU Footwear, May 15, 2017 ","May 15, 2017 ",5/15/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/kuru-20170515.pdf,"KURU Footwear, May 15, 2017 "
"KYOCERA Document Solutions New EnglandInc. (""KDA-NE"")","KYOCERA Document Solutions, New England, Inc. (""KDA-NE""), September 10, 2018 ","New EnglandInc. (""KDA-NE""), September 10, 2018 ",9/10/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/kyocera-document-solutions-20180910.pdf,"KYOCERA Document Solutions, New EnglandInc. (""KDA-NE""), September 10, 2018 "
L-3 Communications Corporation,"L-3 Communications Corporation, May 15, 2012 ","May 15, 2012 ",5/15/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/l-3-communications-20120515.pdf,"L-3 Communications Corporation, May 15, 2012 "
L&M Fleet Supply,"L&M Fleet Supply, October 28, 2019 ","October 28, 2019 ",10/28/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/lm-fleet-supply-20191028.pdf,"L&M Fleet Supply, October 28, 2019 "
L&M Fleet Supply,"L&M Fleet Supply, May 6, 2019 ","May 6, 2019 ",5/6/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/lm-fleet-supply-20190506.pdf,"L&M Fleet Supply, May 6, 2019 "
LabelMaster,"LabelMaster, October 17, 2012 ","October 17, 2012 ",10/17/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/labelmaster-20121017.pdf,"LabelMaster, October 17, 2012 "
Laboratory Corporation of America Holdings,"Laboratory Corporation of America Holdings, July 16, 2019 ","July 16, 2019 ",7/16/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/laboratory-corp-20190716.pdf,"Laboratory Corporation of America Holdings, July 16, 2019 "
LaCie USA,"LaCie USA, April 11, 2014 ","April 11, 2014 ",4/11/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/lacie-usa-20140411.pdf,"LaCie USA, April 11, 2014 "
Lafarge West Inc.,"Lafarge West Inc., January 07, 2014 ","January 07, 2014 ",1/7/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/lafarge-west-20140107.pdf,"Lafarge West Inc., January 07, 2014 "
Lahey Clinic,"Lahey Clinic, August 29, 2012 ","August 29, 2012 ",8/29/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/lahey-clinic-20120829.pdf,"Lahey Clinic, August 29, 2012 "
LA Fashion,"LA Fashion, August 23, 2018 ","August 23, 2018 ",8/23/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/la-fashion-20180823.pdf,"LA Fashion, August 23, 2018 "
La Jolla Group LLC,"La Jolla Group, LLC, December 31, 2014 ","December 31, 2014 ",12/31/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/la-jolla-group-20141231.pdf,"La Jolla Group LLC, December 31, 2014 "
Lake Champlain Chocolates,"Lake Champlain Chocolates, October 05, 2017 ","October 05, 2017 ",10/5/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/lake-champlain-chocolates-20171005.pdf,"Lake Champlain Chocolates, October 05, 2017 "
Lakeland Finance,"Lakeland Finance, April 16, 2019 ","April 16, 2019 ",4/16/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/lakeland-finance-20190416.pdf,"Lakeland Finance, April 16, 2019 "
Lake Erie College of Osteopathic Medicine (LECOM),"Lake Erie College of Osteopathic Medicine (LECOM), May 13, 2014 ","May 13, 2014 ",5/13/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/lake-erie-college-osteopathic-medicine-20140513.pdf,"Lake Erie College of Osteopathic Medicine (LECOM), May 13, 2014 "
Lakes Region Scholarship Foundation of Gilford NH,"Lakes Region Scholarship Foundation of Gilford, NH, March 04, 2016 ","NH, March 04, 2016 ",3/4/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/lakes-region-scholarship-20160304.pdf,"Lakes Region Scholarship Foundation of Gilford, NH, March 04, 2016 "
Lam Research Corporation,"Lam Research Corporation, April 02, 2010 ","April 02, 2010 ",4/2/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/lam-research-20100402.pdf,"Lam Research Corporation, April 02, 2010 "
Lancaster Archery SupplyInc.,"Lancaster Archery Supply, Inc. April 30, 2019 ","April 30, 2019 ",4/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/lancaster-archery-supply-20190430.pdf,"Lancaster Archery SupplyInc., April 30, 2019 "
Landstar SystemInc.,"Landstar System, Inc., March 21, 2016 ","March 21, 2016 ",3/21/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/landstar-system-20160321.pdf,"Landstar SystemInc., March 21, 2016 "
Land Title Guarantee Company,"Land Title Guarantee Company, February 07, 2017 ","February 07, 2017 ",2/7/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/land-title-20170207.pdf,"Land Title Guarantee Company, February 07, 2017 "
Language Services AssociatesInc.,"Language Services Associates, Inc., March 27, 2017 ","March 27, 2017 ",3/27/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/language-service-associates-20170327.pdf,"Language Services AssociatesInc., March 27, 2017 "
Lanyon SolutionsInc.,"Lanyon Solutions, Inc., March 18, 2016 ","March 18, 2016 ",3/18/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/lanyon-solutions-20160318.pdf,"Lanyon SolutionsInc., March 18, 2016 "
LaPorte & Associates,"LaPorte & Associates, May 07, 2018 ","May 07, 2018 ",5/7/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/laporte-20180507.pdf,"LaPorte & Associates, May 07, 2018 "
Lasell College,"Lasell College, March 11, 2008 ","March 11, 2008 ",3/11/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/lasell-college-20080311.pdf,"Lasell College, March 11, 2008 "
Lasko GroupInc.,"Lasko Group, Inc., July 30, 2014 ","July 30, 2014 ",7/30/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/lasko-group-20140730.pdf,"Lasko GroupInc., July 30, 2014 "
Latin School of Chicago,"Latin School of Chicago, August 13, 2020 ","August 13, 2020 ",8/13/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/latin-school-chicago-20200813.pdf,"Latin School of Chicago, August 13, 2020 "
Laufer Group International,"Laufer Group International, February 27, 2018 ","February 27, 2018 ",2/27/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/laufer-20180227.pdf,"Laufer Group International, February 27, 2018 "
Lawrence Melrose Medical Electronic RecordInc.,"Lawrence Melrose Medical Electronic Record, Inc., March 12, 2013 ","March 12, 2013 ",3/12/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/lawrence-melrose-medical-20130312.pdf,"Lawrence Melrose Medical Electronic RecordInc., March 12, 2013 "
LAZ Karp Associates LLC,"LAZ Karp Associates, LLC, March 17, 2016 ","March 17, 2016 ",3/17/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/laz-karp-associates-20160317.pdf,"LAZ Karp Associates LLC, March 17, 2016 "
LC IndustriesInc.,"LC Industries, Inc., June 17, 2015 ","June 17, 2015 ",6/17/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/lc-industries20150617.pdf,"LC IndustriesInc., June 17, 2015 "
Leader Bank NA,"Leader Bank, NA, June 06, 2017 ","NA, June 06, 2017 ",6/6/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/leader-bank-20170607.pdf,"Leader Bank, NA, June 06, 2017 "
"LeafFilter North LLC (""LeafFilter"")","LeafFilter North LLC (""LeafFilter""), October 05, 2018 ","October 05, 2018 ",10/5/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/leaffilter-north-20181005.pdf,"LeafFilter North LLC (""LeafFilter""), October 05, 2018 "
Legal Sea Foods LLC,"Legal Sea Foods, LLC, June 27, 2014 ","June 27, 2014 ",6/27/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/legal-sea-foods-20140627.pdf,"Legal Sea Foods LLC, June 27, 2014 "
Lehigh Hanson,"Lehigh Hanson, December 08, 2008 ","December 08, 2008 ",12/8/2008,https://www.doj.nh.gov/consumer/security-breaches/documents/lehigh-hanson-20081208.pdf,"Lehigh Hanson, December 08, 2008 "
Lendio,"Lendio, September 15, 2017 ","September 15, 2017 ",9/15/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/lendio-20170915.pdf,"Lendio, September 15, 2017 "
LendKey TechnologiesInc.,"LendKey Technologies, Inc., February 15, 2018 ","February 15, 2018 ",2/15/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/lendkey-20180215.pdf,"LendKey TechnologiesInc., February 15, 2018 "
Leone McDonnell & Roberts,"Leone, McDonnell & Roberts, August 3, 2020 ","McDonnell & Roberts, August 3, 2020 ",8/3/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/leone-mcdonnell-roberts-20200803.pdf,"Leone, McDonnell & Roberts, August 3, 2020 "
Lessing Law Office,"Lessing Law Office, March 25, 2019 ","March 25, 2019 ",3/25/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/lessing-law-20190325.pdf,"Lessing Law Office, March 25, 2019 "
Lewes City of Board of Public Works,"Lewes, City of, Board of Public Works, October 3, 2019 ","Board of Public Works, October 3, 2019 ",10/3/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/lewes-board-public-works-20191003.pdf,"Lewes City of, Board of Public Works, October 3, 2019 "
Lexington Medical Center,"Lexington Medical Center, March 02, 2017 ","March 02, 2017 ",3/2/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/lexington-medical-center-20170302.pdf,"Lexington Medical Center, March 02, 2017 "
LexisNexis,"LexisNexis, December 06, 2012 ","December 06, 2012 ",12/6/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20121206.pdf,"LexisNexis, December 06, 2012 "
LexisNexis,"LexisNexis, May 09, 2011 ","May 09, 2011 ",5/9/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20110509.pdf,"LexisNexis, May 09, 2011 "
LexisNexis,"LexisNexis, May 01, 2009 ","May 01, 2009 ",5/1/2009,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20090501.pdf,"LexisNexis, May 01, 2009 "
LexisNexis,"LexisNexis, June 01, 2007 ","June 01, 2007 ",6/1/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20070601.pdf,"LexisNexis, June 01, 2007 "
