ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
2451,itu-298424 (1),Central Christian College of Kansas,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298424 (1).pdf,6/12/2018,9,"name, date of birth, phone number, home address, email address, social security number",info inadvertently accessible in group email system
2452,itu-298424 (2),Central Christian College of Kansas,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298424 (2).pdf,6/12/2018,9,"name, date of birth, phone number, home address, email address, social security number",info inadvertently accessible in group email system
2453,itu-298425,"HRU, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298425.pdf,6/12/2018,9,"name, date of birth, phone number, home address, email address, social security number",info inadvertently accessible in group email system
2454,itu-298426,"HRU, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298426.pdf,6/12/2018,1,"name, address, ssn, visa info",unauthorized access to employee email
2455,itu-298427,Energy Management Systems,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298427.pdf,6/12/2018,2,"name, address, username/ pw",phishing
2456,itu-298428,Marion County Bank,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298428.pdf,6/12/2018,2,"name, address, bank account number",unauthorized access to employee email account
2457,itu-298453,"Guaranteed Rate, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298453.pdf,6/12/2018,13,"name, ssn",improper and unauthorized access by former employee
2458,itu-298379,"CAF USA, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298379.pdf,6/11/2018,5,username and pw,malware
2459,itu-298395,Weichert Co.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298395.pdf,6/11/2018,235,"name, address, ssn, w-2 tax info",unauthorized access
2460,itu-298423 (1),"Health Management Concepts, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298423 (1).pdf,6/11/2018,33,"name, ssn",ransomware
2461,itu-298423 (2),"Health Management Concepts, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298423 (2).pdf,6/11/2018,33,"name, ssn",ransomware
2462,itu-298304,"Equivity, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298304.pdf,6/8/2018,23,"name, w2 tax info",info inadvertently included in a legitimate request
2463,itu-298306,"Securus Technologies, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298306.pdf,6/8/2018,25,"Limited, administrative, user-account information"" for website",unauthorized access
2464,itu-298310,Oregon State Accident Insurance Fund Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298310.pdf,6/8/2018,1,"name, health insurance info",unauthorized access to employee email account
2465,itu-298312,"Baldwin & Associates, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298312.pdf,6/8/2018,3,"name, address, ssn",unauthorized access to employee email
2466,itu-298377,"Elmcroft Senior Living, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298377.pdf,6/8/2018,281,"accessed names, dates of birth, and in some instances, Social Security numbers and personal health information",hacked user account
2467,itu-298378,"Creative Bus Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298378.pdf,6/8/2018,2,"name, address, payment card info",website vulnerability
2468,itu-298297,American Lubrication Equipment Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298297.pdf,6/7/2018,19,"Name, SSN, contribution amounts related to 401(k) accounts",Unauthorized access to an employee's email
2469,itu-298299,"Aimbridge Hospitality Holdings, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298299.pdf,6/7/2018,"1,612","Name, SSN, financial account information, driver's license number, state identification number, passport number, alien registration card, US permanent resident card, username/password",Unauthorized access to employee email accounts
2470,itu-298305,"Quad-C Management, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298305.pdf,6/7/2018,2,"name, bank account info, ssn",unauthorized access to employee email account
2471,itu-298367,"Lutz & Carr, CPAs. LLP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298367.pdf,6/7/2018,2,"name, ssn, tax info",unauthorized access
2472,itu-298368,"RISE Wisconsin, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298368.pdf,6/7/2018,2,"name, address, dob, ssn, health info",ransomware
2473,itu-298369,Aultman Hospital,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298369.pdf,6/7/2018,2,"name, address, dob",unauthorized access to employee email account
2474,itu-298373,"Boston Biomedical, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298373.pdf,6/7/2018,2,"d W-9, I-9, and other employment forms, containing names, addresses, dates of birth, Social Security numbers, and in some cases passport number",unauthorized access to employee email account
2475,itu-298374,"Systeme Software, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298374.pdf,6/7/2018,105,"name, address, ssn",info inadvertently available on public internet
2476,itu-297723,"Qualified Plans, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297723.pdf,6/6/2018,103,"name, dob, ssn",phishing
2477,itu-298309,The Prudential Insurance Company of America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298309.pdf,6/6/2018,1,"name, address, dob, ssn",unauthorized access
2478,itu-297705,SunTrust Bank,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297705.pdf,6/5/2018,1,"name, dob, ssn, address",info included in email to unauthorized recipient
2479,itu-297706,Health Care Service Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297706.pdf,6/5/2018,4,"name, address, dob, ssn, medical service info",unauthorized access
2480,itu-298308,Walgreen Co.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298308.pdf,6/5/2018,,"name, payment card info",skimming device
2481,itu-298307,"Target Direct Marketing, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298307.pdf,6/4/2018,6,"Name, address, phone number, email address, DOB, SSN",computer access port improperly configured
2482,itu-298317 (1),Humana,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298317 (1).pdf,6/4/2018,6,"name, ssn, address",improperly transmitted via unsecured web application
2483,itu-298317 (2),Humana,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298317 (2).pdf,6/4/2018,6,"name, ssn, address",improperly transmitted via unsecured web application
2484,itu-298317 (3),Humana,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298317 (3).pdf,6/4/2018,6,"name, ssn, address",improperly transmitted via unsecured web application
2485,itu-298365,PLAE INC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298365.pdf,6/4/2018,211,"name, address, payment card info",cyber-attack
2486,itu-298366,Then Continental Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298366.pdf,6/4/2018,1,"name, dob, medications, description of medical treatment",improper access by imposter
2487,itu-298288 (1),"Viveve, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298288 (1).pdf,6/1/2018,1,"name, address, ssn, financial account number",phishing
2488,itu-298288 (2),"Viveve, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298288 (2).pdf,6/1/2018,1,"name, address, ssn, financial account number",phishing
2489,itu-298294,Advanced Technology Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298294.pdf,6/1/2018,3,"Name, DOB, phone number, home address, email address, SSN",phishing
2490,itu-298313,Stein Eriksen Lodge Hotel,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298313.pdf,6/1/2018,5,"name, address, dob, ssn",hacking
2491,itu-298253,TeenSafe,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298253.pdf,5/31/2018,4,username/pw,improper server configuration
2492,itu-298315 (1),"Temecula Motorsports, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298315 (1).pdf,5/31/2018,11,"name, payment card info",malware
2493,itu-298315 (2),"Temecula Motorsports, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298315 (2).pdf,5/31/2018,11,"name, payment card info",malware
2494,itu-298059,Chattanooga Clothing Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298059.pdf,5/31/2018,2,"name, payment card info",malware
2495,itu-298149 (1),"Bellwether Enterprise Real Estate Capital, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298149 (1).pdf,5/30/2018,7,"name, ssn, dln",phishing
2496,itu-298149 (2),"Bellwether Enterprise Real Estate Capital, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298149 (2).pdf,5/30/2018,7,"name, ssn, dln",phishing
2497,itu-298252,Rail Europe SAS,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298252.pdf,5/30/2018,87,"name, payment card info, username/pw",unauthorized access
2498,itu-298065,Tolleson Wealth Management,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298065.pdf,5/30/2018,3,"name, ssn, dln",phishing
2499,itu-298066,Pendleton Square Trust Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298066.pdf,5/30/2018,1,"name, address, ssn, dob, dln",unauthorized access to employee email account
2500,itu-298068,Ullico Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298068.pdf,5/29/2018,8,"name, address, dob, ssn",software error
2501,itu-298246,"Member Business Services, LLC d/b/a Commercial Alliance",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298246.pdf,5/29/2018,18,"name, ssn, dln, address",phishing
2502,itu-298247,"St. Mary's Health, Inc. d/b/a St. Vincent Evansville",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298247.pdf,5/29/2018,21,"Name, address, dob, dln, ssn",software error
2503,itu-298272,"Heritage Land Bank, ACA",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298272.pdf,5/29/2018,,"name, address, bank account number, loan numbers",unauthorized access
2504,itu-298064,Bell Partners Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298064.pdf,5/29/2018,7,"name, ssn, EIN",unauthorized access to email account
2505,itu-298076,"Jarrett & Luitjens, PLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298076.pdf,5/25/2018,7,"name, address, dob, ssn",lost backup drive
2506,itu-298077,Luxury Retreats,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298077.pdf,5/25/2018,9,"name, address, dob, payment card info, dln, passport number, financial account number",unauthorized access to email account
2507,itu-298231,"abod & caruso, llc",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298231.pdf,5/25/2018,"1,080","name, address, ssn",unauthorized access
2508,itu-298233 (1),Care Partners Hospice and Palliative,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298233 (1).pdf,5/25/2018,1,"name, address, dob, medical info",unauthorized access to employee email account
2509,itu-298233 (2),Care Partners Hospice and Palliative,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298233 (2).pdf,5/25/2018,1,"name, address, dob, medical info",unauthorized access to employee email account
2510,itu-298240,"Areion Global, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298240.pdf,5/25/2018,1,"name, payment card info, dln, financial account info",unauthorized access to email account
2511,itu-298245,"Starr Insurance Holdings, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298245.pdf,5/25/2018,,"name, address, dob, ssn, dln, insurance policy number",unauthorized access to employee email account
2512,itu-298071,"Stephen J. FLood, CPA PLLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298071.pdf,5/24/2018,6,"name, address, wage info, tax info, ssn, bank account info",unauthorized access
2513,itu-298075,Bloomfield Hills Schools,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298075.pdf,5/24/2018,2,Username/ PIN for parent portal,unauthorized access
2514,itu-298089,The Hartford,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298089.pdf,5/24/2018,1,"name, medical records",unauthorized access by former physician
2515,itu-298090,"Susan Ungvary, CPA, CFP",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298090.pdf,5/24/2018,2,"name, address, ssn, wage info, dob, dln, bank account info",unauthorized access
2516,itu-298091,Employee Benefits Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298091.pdf,5/24/2018,,"name, address, ssn, dob, financial info, healthcare info",phishing
2517,itu-298227 (1),The Oregon Clinic,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298227 (1).pdf,5/24/2018,2,"names, dates of birth, and certain medical information",unauthorized access to employee email account
2518,itu-298227 (2),The Oregon Clinic,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298227 (2).pdf,5/24/2018,2,"names, dates of birth, and certain medical information",unauthorized access to employee email account
2519,itu-298254,PrintingCenterUSA.com,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298254.pdf,5/24/2018,55,"name, payment card info",malware
2520,itu-298226 (1),National Railroad Passenger Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298226 (1).pdf,5/23/2018,97,"name, payment card info",unauthorized access
2521,itu-298226 (2),National Railroad Passenger Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298226 (2).pdf,5/23/2018,97,"name, payment card info",unauthorized access
2522,itu-298230,Union Hospital,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298230.pdf,5/23/2018,1,"name, patient ID number, diagnoses info, billing and claims info",unauthorized access to vendor email account
2523,itu-298087,"American Telecommunications, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298087.pdf,5/22/2018,,"name, w2 tax info",inadvertently emailed
2524,itu-298214,"Uno Alla Volta, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298214.pdf,5/22/2018,29,"name, address, payment card info",malware
2525,itu-298215 (1),UnitedHealthcare,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298215 (1).pdf,5/22/2018,3,"name, ssn, dob, ID number, provider name",info inadvertently accessible
2526,itu-298215 (2),UnitedHealthcare,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298215 (2).pdf,5/22/2018,3,"name, ssn, dob, ID number, provider name",info inadvertently accessible
2527,itu-298255,"Medical Clinic of Houston, L.L.P.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298255.pdf,5/22/2018,1,"name, address, dob, health insurance policy and ID number, clinical info",info improperly disclosed without authorization
2528,itu-298256,"Ellevest, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298256.pdf,5/21/2018,1,"name, dadress, ssn, financial account number",stolen laptop
2529,itu-298257 (1),"Pinnacle Advisory Group, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298257 (1).pdf,5/21/2018,757,"name, dob, ssn, tax ID number, financial account numbers",unauthorized access to employee email account
2530,itu-298257 (2),"Pinnacle Advisory Group, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298257 (2).pdf,5/21/2018,757,"name, dob, ssn, tax ID number, financial account numbers",unauthorized access to employee email account
2531,itu-298085,"Bombas, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298085.pdf,5/18/2018,931,"name, payment card info",malware
2532,itu-298088,The Coca-Cola Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298088.pdf,5/18/2018,19,"name, ssn",external hard drive misappropriated by former employee
2533,itu-298093,The University of Toledo,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298093.pdf,5/18/2018,29,"name, addres, ssn, dob, wage info",info inadvertently sent to vendor
2534,itu-298094,Principal Financial Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298094.pdf,5/18/2018,35,"name, address, ssn, dob",misplaced flash drive
2535,itu-298210,"Capital One, National Association",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298210.pdf,5/18/2018,1,"name, address, dob, ssn",improper access by former employee
2536,itu-298211,"Brinker International, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298211.pdf,5/18/2018,,"name, payment card info",malware
2537,itu-298067,Cruise Lines International Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298067.pdf,5/18/2018,1,"name, payment card info",unauthorized access to employee email accounts
2538,itu-298085 (update),"Bombas, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298085 (update).pdf,5/18/2018,931,"name, payment card info",malware
2539,itu-298209 (1),"Cactus Wellhead, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298209 (1).pdf,5/17/2018,1,"name, address, dob, ssn",phishing
2540,itu-298209 (2),"Cactus Wellhead, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298209 (2).pdf,5/17/2018,1,"name, address, dob, ssn",phishing
2541,itu-298258,"Ameriprise Financial Services, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298258.pdf,5/17/2018,2,"name, ssn, account numbers",info lost in transit
2542,itu-298062,Corporation Service Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298062.pdf,5/17/2018,"7,585","name, ssn",unauthorized access/ hacking
2543,itu-298062 (update),Corporation Service Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298062 (update).pdf,5/17/2018,"7,585","name, ssn",unauthorized access/ hacking
2544,itu-298207,intuit Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298207.pdf,5/16/2018,4,"name, social Security number, address, date of birth, driver's license number and financial information",unauthorized access
2545,itu-298208,"ZRS Management, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298208.pdf,5/16/2018,3,"name, address, ssn, dob",documents stolen from on-site storage unit
2546,itu-298115,LifeBridge Health,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298115.pdf,5/15/2018,"503,951","name, dob, insurance info, diagnoses, medications, treatment info, ssn",malware
2547,itu-298123 (1),"TaskRabbit, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298123 (1).pdf,5/15/2018,"58,347","name, username/pw, dob, payment card info, ssn, bank account info",unauthorized access
2548,itu-298123 (2),"TaskRabbit, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298123 (2).pdf,5/15/2018,"58,347","name, username/pw, dob, payment card info, ssn, bank account info",unauthorized access
2549,itu-298123 (3),"TaskRabbit, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298123 (3).pdf,5/15/2018,"58,347","name, username/pw, dob, payment card info, ssn, bank account info",unauthorized access
2550,itu-298123 (update),"TaskRabbit, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298123 (update).pdf,5/15/2018,"58,347","name, username/pw, dob, payment card info, ssn, bank account info",unauthorized access
2551,itu-298122,Regions,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298122.pdf,5/14/2018,1,"name, ssn, address, bank account numbers",info inadvertently emailed to wrong recipient
2552,itu-298119,Bank of America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298119.pdf,5/11/2018,1,"name, address, ssn, card number",former employee engaged in fraud
2553,itu-298120,Mountwest Community & Technical College,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298120.pdf,5/11/2018,2,"name, ssn",phishing
2554,itu-298121,"Farmgirl Flowers, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298121.pdf,5/11/2018,24,"name, address, payment card info",malware
2555,itu-298125,Coconino County,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298125.pdf,5/11/2018,1,"name, address, taxpayer ID number",unauthorized access to email account
2556,itu-298147,Global University,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298147.pdf,5/11/2018,"1,320","name, ssn",database inadvertently accessible on the internet
2557,itu-298148,Knape & Vogt Manufacturing Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298148.pdf,5/11/2018,2,"name, address, ssn",ransomware
2558,itu-298199,The Arc Northern Chesapeak Region,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298199.pdf,5/11/2018,"1,406","name, address, dob, ssn",unauthorized access to employee email account
2559,itu-298200,Kirby & Associates PC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298200.pdf,5/11/2018,15,2016 tax returns and supporting documentation,phishing
2560,itu-298138,McMahan Thomson & Associates,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298138.pdf,5/10/2018,1,"name, address, ssn",malware
2561,itu-298201 (1),Taco John's of Iowa,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298201 (1).pdf,5/10/2018,1,"name, dob, compensation info, ssn, direct deposit info",phishing
2562,itu-298201 (2),Taco John's of Iowa,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298201 (2).pdf,5/10/2018,1,"name, dob, compensation info, ssn, direct deposit info",phishing
2563,itu-298203 (1),Verint Systems Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298203 (1).pdf,5/10/2018,19,"name, ssn",unauthorized access to employee email account
2564,itu-298203 (2),"SP Industries, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298203 (2).pdf,5/10/2018,19,"name, ssn",unauthorized access to employee email account
2565,itu-298152,"Equias Alliance, LLC",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298152.pdf,5/9/2018,5,personal info,unauthorized access to employee email account
2566,itu-298137,SunTrust Bank,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298137.pdf,5/8/2018,1,"name, address, dob, account number, ssn",inadvertently sent to wrong individual
2567,itu-298153,Deephaven Mortgage LLC,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298153.pdf,5/8/2018,82,"name, address, dob, ssn",unauthorized access to employee email account
2568,itu-298204 (1),"SP Industries, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298204 (1).pdf,5/8/2018,16,"name, address, dob, ssn",unauthorized access to employee email
2569,itu-298204 (2),"SP Industries, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298204 (2).pdf,5/8/2018,16,"name, address, dob, ssn",unauthorized access to employee email
2570,itu-298146,Purdy Insurance Agency,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298146.pdf,5/7/2018,8,"nae, ssn, dln",stolen laptop
2571,itu-298150,Malley's Chocolates,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298150.pdf,5/7/2018,27,"name, address, payment card info",unauthorized access
2572,itu-298151,The Prudential Insurance Company of America,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298151.pdf,5/7/2018,3,"name, address, dob, ssn",unauthorized access
2573,itu-298167,Cambridge Dental Consulting Group,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298167.pdf,5/7/2018,4,"employment information, health care dental plan information, including the member number for the plan to which a patient or the policy holder subscribed, dates of birth, contact information, health and treatment history and social security numbers",info inadvertently accessible to the internet
2574,itu-298171 (1) ,Sprint Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298171 (1) .pdf,5/7/2018,1,"name, ssn, payment card info, sprint PIN",improper access by vendor
2575,itu-298171 (2) ,Sprint Corporation,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298171 (2) .pdf,5/7/2018,1,"name, ssn, payment card info, sprint PIN",improper access by vendor
2576,itu-298172 (1),American National Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298172 (1).pdf,5/7/2018,47,"name, policy number, policy number, ssn",stolen laptop
2577,itu-298172 (2),American National Insurance Company,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298172 (2).pdf,5/7/2018,47,"name, policy number, policy number, ssn",stolen laptop
2578,itu-298130,Bennett Thrasher LLP,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298130.pdf,5/4/2018,4,"name, address, ssn",unauthorized access
2579,itu-298163,Varanko & Black CPA,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298163.pdf,5/4/2018,212,"name, address, ssn",could not find evidence
2580,itu-298164,Bauer Media Group USA,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298164.pdf,5/4/2018,2,"name, dob, ssn, financial account info, W2 info",phishing
2581,itu-298205 (1),Alaska Airlines,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298205 (1).pdf,5/3/2018,10,"name, dob, address, payment card info",unauthorized access
2582,itu-298205 (2),Alaska Airlines,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298205 (2).pdf,5/3/2018,10,"name, dob, address, payment card info",unauthorized access
2583,itu-298205 (3),Alaska Airlines,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298205 (3).pdf,5/3/2018,10,"name, dob, address, payment card info",unauthorized access
2584,itu-298161,"Conservest Capital Advisors, Inc.",http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298161.pdf,5/2/2018,3,"name, ssn, tax ID number",unauthorized activity
2585,itu-298061,Hampton Roads Shipping Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298061.pdf,5/2/2018,4,"name, ssn, address, dob, tax info",phishing
2586,itu-297386,National Recreation and Park Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297386.pdf,5/1/2018,40,"name, addrss, ssn, tax id number",unauthorized access
2587,itu-297380,The Childrens Mercy Hospital,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297380.pdf,4/30/2018,6,"name, medical and diagnosis info, dob",phishing
2588,itu-297381 (1),SA Stone Wealth Management Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297381 (1).pdf,4/30/2018,2,"name, address, account number",malware
2589,itu-297381 (2),SA Stone Wealth Management Inc.,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297381 (2).pdf,4/30/2018,2,"name, address, account number",malware
2590,itu-297382,National Restaurant Association,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297382.pdf,4/30/2018,106,"name, ssn, dln, financial account info, username/password",unauthorized access to email
2591,itu-297384,Missouri Athletic Club,http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-297384.pdf,4/30/2018,2,"name and payment card number, security code, and expiration date",unauthorized access to email accounts
