ID,Entity Involved,Date Involved
1393,Ameriprise Financial Services (February),2/27/2017
1394,Abbott Nutrition (Aptos),2/27/2017
1395,Fidelity,2/27/2017
1396,State Bank of Lincoln,2/27/2017
1397,Ralph A Strafaci EA,2/27/2017
1398,InterMountain Management,2/27/2017
1399,Zelnick Mann and Winikur PC,2/27/2017
1400,West Virginia University Hospitals,2/27/2017
1401,Gardiner & Appel group,2/27/2017
1402,Mi9 Retail,2/27/2017
1403,Affy Tapple (Aptos),2/27/2017
1404,The Collier Companies,2/27/2017
1405,Allied Minds,2/27/2017
1406,Arabella Advisors,2/24/2017
1407,Fresh Formats,2/24/2017
1408,Intex Recreation,2/24/2017
1409,Family Service Rochester,2/23/2017
1410,Siskin Hospital for Physical Rehabilitation,2/23/2017
1411,Manatee County School District,2/23/2017
1412,streamlinevents,2/23/2017
1413,Goode Compliance,2/23/2017
1414,San Diego Christian College,2/23/2017
1415,Stroh Johnson & Company,2/23/2017
1416,Evanson Asset Management,2/23/2017
1417,CTH Rentals,2/23/2017
1418,Emory Healthcare,2/22/2017
1419,LEAF Commercial Capital,2/22/2017
1420,Intuit (February 21),2/22/2017
1421,Citizens Memorial Hospital District,2/22/2017
1422,Driveline Retail Merchandising,2/21/2017
1423,IXL Learning,2/21/2017
1424,Adveq Management,2/21/2017
1425,nMetric,2/21/2017
1426,Amplify Education,2/21/2017
1427,Showpay,2/21/2017
1428,Jenner & Block LLP,2/17/2017
1429,Boeing,2/17/2017
1430,OmniGuide,2/17/2017
1431,Boulrice & Wood CPA,2/17/2017
1432,TransPerfect Global,2/17/2017
1433,Frosch International Travel,2/17/2017
1434,American Credit Acceptance,2/17/2017
1435,Patrick Industries,2/15/2017
1436,Lincare,2/15/2017
1437,The Honest Kitchen,2/15/2017
1438,Hampton Roads Community Foundation,2/15/2017
1439,Principal Financial Group,2/14/2017
1440,CarMax,2/14/2017
1441,Asbury Communities,2/14/2017
1442,Intuit Feb 9,2/14/2017
1443,E.T. Rockville,2/14/2017
1444,Davidson County Board of Education,2/14/2017
1445,Astadia,2/14/2017
1446,Pleasant View,2/14/2017
1447,Equifax Consumer,2/14/2017
1448,National Older Worker Career Center,2/14/2017
1449,Rooftop of Virginia Community Action Program,2/14/2017
1450,National Food Group,2/9/2017
1451,Pacific Biosciences of California,2/9/2017
1452,Intact Technology,2/9/2017
1453,The Mitchell Gold Co.,2/9/2017
1454,WellCare Health Plans,2/9/2017
1455,RoundPoint Mortgage,2/8/2017
1456,International Code Council,2/7/2017
1457,King McNamara Moriarty,2/7/2017
1458,MDF Instruments,2/7/2017
1459,Intuit (February 1),2/7/2017
1460,Empire International,2/7/2017
1461,Trinity Private Equity,2/7/2017
1462,Scotty's Holdings,2/7/2017
1463,Conover Capital Management,2/6/2017
1464,Sunrun Inc.,2/6/2017
1465,CoPilot Provider Support Services,2/3/2017
1466,UGI Utilities,2/3/2017
1467,InMotion Hosting,2/3/2017
1468,Palomar Community College District,2/3/2017
1469,New York Life Insurance,2/3/2017
1470,ScholarChip,2/3/2017
1471,Honor Flight New England,2/1/2017
1472,Charles Komar & Sons,2/1/2017
1473,eHealthInsurance Services,2/1/2017
1474,Marin Software,2/1/2017
1475,Hollin Leon Harris II PC,2/1/2017
1476,Distribution International,2/1/2017
1477,Intuit (January 26),2/1/2017
1478,Kuhana Associates,2/1/2017
1479,TrueNet Communications,2/1/2017
1480,Dixon Huges Goodman LLP,1/30/2017
1481,Bowlmor AMF,1/30/2017
1482,Accolade,1/25/2017
1483,ABNB Federal Credit Union,1/25/2017
1484,Crosman Corporation,1/25/2017
1485,MBA Consulting Services,1/25/2017
1486,Summit Reinsurance Services,1/25/2017
1487,Sirius XM Radio,1/25/2017
1488,CCC Restaurnt Enterprises,1/23/2017
1489,Intuit (January 20),1/23/2017
1490,Tate Floor,1/23/2017
1491,Kevin Harrington CPA,1/19/2017
1492,Spiraledge Inc.,1/19/2017
1493,Intuit,1/19/2017
1494,DealerBuilt,1/18/2017
1495,PCC Technology,1/18/2017
1496,Potomac Healthcare Solutions,1/18/2017
1497,Berkshire Hathaway Speciality Insurance,1/18/2017
1498,OneMain Financial Group,1/18/2017
1499,Safari,1/18/2017
1500,R&A Design,1/18/2017
1501,Legal Aid Society of Orange County,1/18/2017
1502,International Association of Sheet Metal Air Rail Transport,1/18/2017
1503,LaunchPoint Ventures,1/11/2017
1504,Community Health Plan of Washington,1/11/2017
1505,Ameriprise Financial Services,1/11/2017
1506,Hansen Cochrane Ltd.,1/11/2017
1507,Fredrick County Public Schools,1/11/2017
1508,Apple Inc.,1/4/2017
1509,Teikyo Loretto Heights University,1/4/2017
1510,The Topps Company,1/4/2017
1511,PathGroup,1/4/2017
1512,Graphik Dimensions,1/4/2017
1513,Claremont University Consortium,1/4/2017
1514,Aetna,1/4/2017
1515,CommonBond,1/4/2017
1516,American Pharmacists Association,1/4/2017
1517,Cascade Management,1/3/2017
1518,Safe for Home Products,1/3/2017
1519,Dietz & Watson,1/3/2017
1520,Tropicana St Louis,12/29/2016
1521,Harris Hardy & Johnstone PC,12/29/2016
1522,Brandywine Pediatrics,12/29/2016
1523,Democratic National Committee,12/27/2016
1524,Michelle A. Pecora CPA PC,12/27/2016
1525,Presnell Gage PLLC,12/27/2016
1526,Western Union Financial Services,12/27/2016
1527,Napa Valley Dentistry,12/27/2016
1528,Backcountry Gear,12/27/2016
1529,Hillary for America,12/27/2016
1530,Comiskey & Company,12/27/2016
1531,Bomberg Roach & Hanson PLLC,12/27/2016
1532,Uber Technologies,12/27/2016
1533,TSG Financial,12/27/2016
1534,Luther College,12/27/2016
1535,Dover Federal Credit Union,12/27/2016
1536,Movement Mortgage,12/27/2016
1537,Penn Mutual,12/20/2016
1538,University of Hartford,12/20/2016
1539,BraceAbility,12/20/2016
1540,The Royster Group,12/20/2016
1541,Cruz Associates,12/20/2016
1542,Lincoln Financial Advisors,12/19/2016
1543,Two Leaves and a Bud Tea Company,12/19/2016
1544,Fujitsu Computer Products,12/19/2016
1545,Sirius XM Radio,12/19/2016
1546,Richmond Fire Police Credit Union,12/15/2016
1547,Julep Beauty,12/15/2016
1548,Intuit (December 12),12/15/2016
1549,Baylor College of Medicine,12/12/2016
1550,Dewitt French Giger & Sitton LLP,12/12/2016
1551,Guilmartin DiPiro & Sokolowski LLC,12/12/2016
1552,Dr. Melissa D. Selke,12/12/2016
1553,Gustafson & Wargo CPAs,12/12/2016
1554,State Farm (October),12/8/2016
1555,Lux Fund Technology & Solutions,12/7/2016
1556,Young Adult Institute,12/7/2016
1557,SwervePoint,12/7/2016
1558,Targeted Victory,12/7/2016
1559,Aspen Management,12/7/2016
1560,Intuit (December),12/5/2016
1561,San Jose Evergreen Community College District,12/5/2016
1562,LANG Companies,12/5/2016
1563,Chesapeake Public Schools,12/2/2016
1564,State Street,12/2/2016
1565,"Hillary Tentler, CPA",11/30/2016
1566,Michigan State University,11/30/2016
1567,Cardiology Consultants of Philadelphia,11/30/2016
1568,Educents,11/30/2016
1569,Wisconsin National Guard Association,11/30/2016
1570,Caesars,11/29/2016
1571,Goochland Powhatan Community Services,11/29/2016
1572,Brennan Recupero Cascione Scungio and McAllister LLP,11/28/2016
1573,Island Hotel Company - Atlantis,11/28/2016
1574,BWTX Associates,11/28/2016
1575,Yummie,11/28/2016
1576,Primerica,11/28/2016
1577,The Madison Square Garden,11/28/2016
1578,Springfield Armory,11/22/2016
1579,Welk Resort,11/22/2016
1580,WageWorks,11/22/2016
1581,Eye Institute of Marin,11/18/2016
1582,UFCW Local 655 Food Employers Joint Pension Plan,11/16/2016
1583,Honig's Whistle Shop,11/16/2016
1584,Sirius XM (November),11/16/2016
1585,Charles Schwab & Co.,11/15/2016
1586,Best Health Physical Therapy,11/15/2016
1587,Bed Bath & Beyond,11/15/2016
1588,Politi & Magnifico,11/15/2016
1589,Claudio A Haug CPA APC,11/14/2016
1590,Eileen Fisher Inc.,11/14/2016
1591,Sentinel Hotel,11/14/2016
1592,JEN NY d/b/a Farebuzz,11/10/2016
1593,Intuit (November),11/10/2016
1594,Prime,11/10/2016
1595,National Wholesale,11/10/2016
1596,Times Shamrock d/b/a The Scranton Times,11/7/2016
1597,Apria Healthcare,11/7/2016
1598,Thirty Three Threads,11/7/2016
1599,Manduka,11/7/2016
1600,Christian Louboutin LLC,11/4/2016
1601,International E-Z Up,11/1/2016
1602,Natural Life Collections,11/1/2016
1603,Apple Guerin,10/28/2016
1604,Xceligent,10/28/2016
1605,Ameriprise (October),10/28/2016
1606,Pacific Concepts,10/28/2016
1607,Greater Florida Anesthesiologists,10/26/2016
1608,SOS International,10/26/2016
1609,Atlanta Falcons Football Club,10/26/2016
1610,Superior Talent Resources,10/26/2016
1611,"City of Middletown, New York",10/26/2016
1612,Joseph L. Rosenberg CPA,10/26/2016
1613,Metlife,10/24/2016
1614,Gibson Insurance,10/24/2016
1615,MIND Research,10/24/2016
1616,Citibank (October),10/24/2016
1617,Eastwood,10/21/2016
1618,Howard University (October),10/19/2016
1619,Kaman (ADP),10/19/2016
1620,Broadview Mortgage,10/18/2016
1621,Intuit (October),10/18/2016
1622,"Curtis F. Robinson, M.D. Inc.",10/18/2016
1623,Chevron USA,10/18/2016
1624,Jaman L. Kim CPA,10/18/2016
1625,Intuit (October 13),10/18/2016
1626,Big Y Foods,10/18/2016
1627,Vera Bradley,10/18/2016
1628,WRJ Holdings d/b/a Classic Firearms,10/17/2016
1629,Borden Perlman Insurance,10/17/2016
1630,Delta Career Education Corporation,10/17/2016
1631,GEB Computer Training,10/13/2016
1632,TD Bank (October),10/13/2016
1633,Hamilton College,10/13/2016
1634,"Dale A. Wein, Prof LLC",10/13/2016
1635,MicroDAQ,10/13/2016
1636,Anthony Forest Products,10/12/2016
1637,Rainbow Children's Clinic,10/12/2016
1638,HD Vest Investment Services,10/12/2016
1639,"Francisco Jaume, D.O.",10/7/2016
1640,Sirius XM Radio (October),10/7/2016
1641,Goochland Powhatan Community Services,10/5/2016
1642,Thomasville Eye Center,10/5/2016
1643,Vaupell,10/3/2016
1644,Jubilant Cadista Pharmaceuticals,10/3/2016
1645,Ohlone Community College,10/3/2016
1646,Hutton Hotel,10/3/2016
1647,Santoro CPA,10/3/2016
1648,Reeds Jewelers,10/3/2016
1649,Novation,10/3/2016
1650,VF Outlet,10/3/2016
1651,IMX Medical,10/3/2016
1652,The Foot & Ankle Center,9/30/2016
1653,Greycourt & Co.,9/30/2016
1654,Teach for America,9/30/2016
1655,TD Bank,9/30/2016
1656,Intuit (September),9/27/2016
1657,Global Resource Options,9/26/2016
1658,Lulu's Fashion Lounge,9/22/2016
1659,Stallcup & Associates,9/22/2016
1660,UIL Holdings,9/22/2016
1661,Flowserve Corporation,9/22/2016
1662,Councilman Farlow Marlowe & Co,9/22/2016
1663,New Jersey Spine Center,9/22/2016
1664,University Gastroenterology,9/22/2016
1665,ACTIVEOutdoors,9/21/2016
1666,Freddie Mac Pension Plan,9/21/2016
1667,Bolttech Mannings,9/21/2016
1668,Ursus Holdings,9/15/2016
1669,Delran Township,9/15/2016
1670,Sirius XM (September),9/15/2016
1671,Wheeler & Egger CPA,9/15/2016
1672,Ameriprise (September),9/15/2016
1673,Mayer Electric Supply,9/15/2016
1674,Rebecca Minkoff,9/15/2016
1675,EBSCO Industries,9/15/2016
1676,Bon Secours (Gene asked Brittany to check on),9/15/2016
1677,Nourse Farms,9/12/2016
1678,Zuman,9/12/2016
1679,Metabolon,9/12/2016
1680,QR Lending,9/12/2016
1681,TD Bank (September),9/12/2016
1682,M Holdings Securities,9/9/2016
1683,Southern Bank and Trust,9/9/2016
1684,Kimpton Hotels & Restaurants,9/6/2016
1685,Anderson Tackman & Company PLC,9/6/2016
1686,Athens Orthopedic Clinic,8/31/2016
1687,Exterran,8/31/2016
1688,Madden Communications,8/30/2016
1689,Visionary Consulting Partners,8/30/2016
1690,Roberts Sinto Corporation,8/30/2016
1691,Matouk Factory Store,8/30/2016
1692,Noble House Hotels,8/29/2016
1693,Toyota (August),8/29/2016
1694,Birch Communications,8/29/2016
1695,The Outer Banks Hospital,8/24/2016
1696,Intuit (August 19),8/24/2016
1697,Woodcliff Lake Board of Education,8/24/2016
1698,Eddie Bauer,8/24/2016
1699,W.C. Ralston Architects,8/24/2016
1700,Schwans,8/24/2016
1701,DXE Medical,8/22/2016
1702,TD Bank (August),8/17/2016
1703,Precision Pipeline,8/17/2016
1704,HEI Hotels & Resorts,8/17/2016
1705,Berg Faircloth & Company,8/17/2016
1706,FSC,8/17/2016
1707,American College of Emergency Physicians,8/17/2016
1708,First Home Mortgage,8/17/2016
1709,GDI Services,8/17/2016
1710,Prosthetic & Orthotic Care,8/17/2016
1711,PAX Labs,8/17/2016
1712,7 Eleven,8/15/2016
1713,Professional Dermatology Care,8/15/2016
1714,Travel Caddy,8/15/2016
1715,Penn State Alumni Association,8/11/2016
1716,The Building Industry Consulting Service International,8/11/2016
1717,Society for Industrial and Applied Mathematics,8/9/2016
1718,TD Bank,8/9/2016
1719,American Society of Safety Engineers,8/9/2016
1720,Academy of Nutrition and Dietetics,8/9/2016
1721,Internet Chess Club,8/9/2016
1722,Pro Performance Sports,8/5/2016
1723,Banner Health,8/5/2016
1724,Intuit (August 3),8/5/2016
1725,Jefferson Medical Associates,8/4/2016
1726,Zero Gravity Solutions,8/2/2016
1727,Smith Patrick LLC,8/2/2016
1728,Diamond Springs Water,8/2/2016
1729,Hein & Assocaties,8/2/2016
1730,Specialty Equipment Market Association,7/29/2016
1731,Comic-Con,7/29/2016
1732,The National Bank of Indianapolis,7/29/2016
1733,NLU Products,7/29/2016
1734,Water Environment Federation,7/29/2016
1735,American Association for the Advancement of Science,7/27/2016
1736,inVentiv Health,7/27/2016
1737,Mission to the World,7/26/2016
1738,VALTIM Marketing Solutions,7/26/2016
1739,Primoris Services,7/26/2016
1740,New America,7/26/2016
1741,Clear One Funding,7/25/2016
1742,CiCi,7/25/2016
1743,Virginia Premier Health Plan,7/22/2016
1744,KontrolFreek,7/21/2016
1745,San Antonio Shoemakers,7/21/2016
1746,Matador Recordings,7/21/2016
1747,Outten & Golden LLP,7/19/2016
1748,Ana G. Mendez University System,7/19/2016
1749,North Palm Motors,7/19/2016
1750,Equifax,7/19/2016
1751,KRP CPAs,7/19/2016
1752,Citibank (July),7/19/2016
1753,USA Field Hockey,7/19/2016
1754,Project Management Institute,7/18/2016
1755,IAP,7/18/2016
1756,Career Education Corporation,7/18/2016
1757,Intuit (July 11),7/13/2016
1758,Slone Chiropractic Clinic,7/11/2016
1759,"Washington County Housing and Redevelopment
Authority",7/11/2016
1760,Omni Hotels and Resorts,7/8/2016
1761,Wendys,7/7/2016
1762,Ameriprise (June 30),7/7/2016
1763,Pennsylvania Lumbermens Mutual Ins,7/6/2016
1764,Optimizely,7/5/2016
1765,Noodles & Company,7/5/2016
1766,Tricerat,7/5/2016
1767,Response Team 1,7/5/2016
1768,Flynn & Company,7/5/2016
1769,Asbury Theological Seminary,6/29/2016
1770,Hard Rock Hotel & Casino,6/29/2016
1771,Stanley Wirtheim CPA,6/28/2016
1772,Richmond Metropolitan Transportation Authority,6/28/2016
1773,National Church Solutions,6/27/2016
1774,Ohio Association of Medical Equipment Services,6/27/2016
1775,Intuit (June 21),6/24/2016
1776,Tiemart,6/23/2016
1777,Issuetrak,6/22/2016
1778,Stanford University,6/22/2016
1779,Foundation of the Massachusetts Eye and Ear Infirmary,6/22/2016
1780,Ameriprise (June 14),6/22/2016
1781,Ameriprise (June 16),6/22/2016
1782,EnvisionPharmacies,6/22/2016
1783,Grand Valley State University,6/21/2016
1784,Higdon & Hale,6/20/2016
1785,Laclede Gas,6/17/2016
1786,MEI-GSR,6/17/2016
1787,USAA,6/16/2016
1788,Sandler & Travis Trade,6/16/2016
1789,State Farm,6/16/2016
1790,Santa Rosa Consulting,6/16/2016
1791,Intuit (June 10),6/15/2016
1792,Trump Hotel Collection,6/15/2016
1793,Riverside Health System,6/15/2016
1794,Launch That,6/14/2016
1795,Pasternack Tilker,6/14/2016
1796,37th Parallel Properties,6/10/2016
1797,Marymount University,6/9/2016
1798,Aristech Surfaces,6/8/2016
1799,National Network of Abortion Funds,6/8/2016
1800,Empathia Inc.,6/7/2016
1801,Bucknell University,6/7/2016
1802,Acer Service,6/6/2016
1803,SD Associates,6/6/2016
1804,Milwaukee Bucks,6/1/2016
1805,Shoes West Distribution,6/1/2016
1806,Delan Associates,6/1/2016
1807,Sirius XM (May),6/1/2016
1808,Stamford Podiatry Group,6/1/2016
1809,Watson CPA,6/1/2016
1810,Abernathy & Company,6/1/2016
1811,Match-Up Solutions,6/1/2016
1812,Verity Health System,6/1/2016
1813,Intuit (May 26),5/31/2016
1814,The Kroger Co.,5/26/2016
1815,Citibank (May),5/26/2016
1816,USI Inc.,5/24/2016
1817,Piccadilly Restaurants,5/24/2016
1818,Allen Allen Allen & Allen Corporation,5/24/2016
1819,O'Charleys,5/24/2016
1820,George Gillian DDS,5/24/2016
1821,Lutheran Family Services of Virginia,5/24/2016
1822,Curse Inc.,5/24/2016
1823,Hodges University,5/18/2016
1824,Challain,5/18/2016
1825,Lynn N. Talbott Jr. CPA,5/17/2016
1826,Arlington Public Schools,5/17/2016
1827,Medical Colleagues of Texas,5/17/2016
1828,American Mining Insurance Group,5/17/2016
1829,LendUp,5/16/2016
1830,Arizona Tile,5/16/2016
1831,City College of San Francisco,5/16/2016
1832,Hume Lake Christian Camps,5/13/2016
1833,Kalamazoo College,5/13/2016
1834,USI (Univers Workplace),5/13/2016
1835,Southern Michigan Bank & Trust,5/13/2016
1836,CH2M Hill,5/13/2016
1837,Intuit (May),5/12/2016
1838,Symphony EYC,5/12/2016
1839,I.M. Systems Group,5/12/2016
1840,Rug Doctor,5/12/2016
1841,U.S. Bank,5/12/2016
1842,Cohen & Grieb PA,5/11/2016
1843,Warwick Plumbing and Heating,5/11/2016
1844,UniRush LLC,5/11/2016
1845,CertifiKid LLC,5/11/2016
1846,Stephen Merritt CPA,5/11/2016
1847,Avention,5/10/2016
1848,Symphony Health Solutions,5/9/2016
1849,AxoGen,5/9/2016
1850,Hill+Knowlton Strategies,5/9/2016
1851,Lafler Moore Connerty & Webb,5/9/2016
1852,NTT Data,5/9/2016
1853,Delaware Breast Cancer Coalition,5/9/2016
1854,California State University,5/6/2016
1855,Charles Schwab,5/6/2016
1856,Miller Advisory Services,5/5/2016
1857,South Loop CPA,5/5/2016
1858,Pure Integration,5/5/2016
1859,Didlake,5/5/2016
1860,Sanctuary Clothing,5/5/2016
1861,Hilton Displays,5/5/2016
1862,HAECO Americas,5/5/2016
1863,ProSchools/QuickCert,5/3/2016
1864,ValMark Securities,5/3/2016
1865,Intuit (April 28),5/2/2016
1866,Tiger Leasing,5/2/2016
1867,Ameriprise,5/2/2016
1868,O.C. Tanner,5/2/2016
1869,Draper James,5/2/2016
1870,Veterans Memorial,5/2/2016
1871,Union League Club,5/2/2016
1872,Alpha Payroll,5/2/2016
1873,Hi-Tec,5/2/2016
1874,IDX,4/29/2016
1875,The Home for Little Wanderers,4/29/2016
1876,Resources for Human Development,4/29/2016
1877,21st Century Oncology,4/29/2016
1878,Emergent Health Partners,4/29/2016
1879,Behavioral Science Technology,4/27/2016
1880,Anthelio Healthcare,4/27/2016
1881,LuckyPet,4/26/2016
1882,Michels Corporation,4/26/2016
1883,doTERRA,4/26/2016
1884,University of Southwest,4/26/2016
1885,International Bonded Couriers,4/26/2016
1886,State Corporation Commission,4/25/2016
1887,General Dynamics,4/25/2016
1888,B3 Solutions,4/25/2016
1889,Voya Financial Advisors,4/25/2016
1890,GoldKey/PHR,4/25/2016
1891,Eagle Fire,4/25/2016
1892,Geltrude & Company,4/25/2016
1893,Vbrick Systems,4/25/2016
1894,Fruitful Yield,4/25/2016
1895,The Commonwealth Medical College,4/25/2016
1896,MillerCoors/Ceridian,4/22/2016
1897,DealerSocket,4/21/2016
1898,Patricio Enterprises,4/21/2016
1899,Dollar Tree/CIC Plus,4/21/2016
1900,Rosal Mexicano,4/20/2016
1901,Nations Lending,4/20/2016
1902,OnDeck Capital,4/20/2016
1903,Tidewater Community College,4/20/2016
1904,Next Generation Tax,4/20/2016
1905,Plastipak Packaging,4/20/2016
1906,Department of Motor Vehicles,4/19/2016
1907,Addus HomeCare,4/19/2016
1908,TTI Floor Care,4/19/2016
1909,Relief International,4/19/2016
1910,Umstead Hotel and Spa,4/19/2016
1911,Seven Hills Foundation,4/19/2016
1912,Highway Toll Administration,4/19/2016
1913,Cipriani & Werner,4/19/2016
1914,Treehouse,4/19/2016
1915,Trinity Solar,4/15/2016
1916,Intuit (April 13),4/15/2016
1917,Schwaab,4/15/2016
1918,Girl Scouts,4/15/2016
1919,Penray Companies,4/15/2016
1920,MicroTechnologies,4/15/2016
1921,EPAM Systems,4/13/2016
1922,TMEIC Corporation,4/13/2016
1923,AGM Acquisitions,4/13/2016
1924,Staminus Communications,4/12/2016
1925,Whiting-Turner Contracting,4/11/2016
1926,BioReference Laboratories (April),4/11/2016
1927,MNP Corporation,4/11/2016
1928,United Healthcare,4/11/2016
1929,Tri State Engineering,4/11/2016
1930,Midland Paper,4/11/2016
1931,Clinton Health Access Initiative,4/8/2016
1932,Proskauer Rose,4/8/2016
1933,Ultragenyx Pharmaceutical,4/8/2016
1934,Silicon Laboratories,4/8/2016
1935,Argon Medical Devices,4/8/2016
1936,TierPoint/Cosentry.net,4/7/2016
1937,The Cook & Boardman Group,4/7/2016
1938,Universal Service Administrative Company,4/6/2016
1939,Mansueto Ventures,4/6/2016
1940,Healthbanks Biotech,4/6/2016
1941,Intuit (April),4/6/2016
1942,Pivotal Software,4/6/2016
1943,FoodState,4/6/2016
1944,Ullrich Delevati CPAs,4/6/2016
1945,Sirius XM (March),4/6/2016
1946,Global Technology Associates,4/6/2016
1947,Virgil Elliot Winn CPA,4/6/2016
1948,Humana,4/6/2016
1949,Unified Physician Management,4/6/2016
1950,Forefront Management,4/6/2016
1951,GlaxoSmithKline,4/1/2016
1952,Block and Company,4/1/2016
1953,Affinion Group,3/30/2016
1954,Olympic Steel,3/30/2016
1955,Medical Mutual of Ohio,3/30/2016
1956,RETTEW,3/30/2016
1957,Information Resources,3/30/2016
1958,The Dixie Group,3/30/2016
1959,MCS Group,3/28/2016
1960,Alzheimers Association,3/28/2016
1961,Columbia University,3/28/2016
1962,Smith & Nephew PLC,3/25/2016
1963,The Arc,3/25/2016
1964,National Counseling Group,3/25/2016
1965,Learning Services,3/25/2016
1966,MTE Corporation,3/25/2016
1967,CHI,3/25/2016
1968,YourEncore,3/25/2016
1969,Atlantic Shores Cooperative,3/24/2016
1970,BioReference Laboratories,3/24/2016
1971,Avendra LLC,3/24/2016
1972,ADP (March),3/24/2016
1973,Randolph College,3/24/2016
1974,The Kantar Group,3/24/2016
1975,Landstar System,3/23/2016
1976,CareCentrix,3/23/2016
1977,LAZ Karp Associates,3/23/2016
1978,Lanyon Solutions,3/22/2016
1979,Goodyear Tire & Rubber Company,3/22/2016
1980,Heart Rhythm Society,3/22/2016
1981,Peloton Interactive,3/22/2016
1982,Presbyterian Homes,3/22/2016
1983,Hub Labels,3/22/2016
1984,ABB Inc.,3/21/2016
1985,Peachtree Hospitality,3/21/2016
1986,ABM Industries,3/18/2016
1987,Sirius XM Radio,3/18/2016
1988,Starwood Hotels,3/18/2016
1989,Howard University,3/17/2016
1990,Advance Auto Parts,3/17/2016
1991,Holland Mortgage Advisors,3/17/2016
1992,Mitchell International,3/17/2016
1993,Intuit (March 16),3/17/2016
1994,Acronis,3/17/2016
1995,PerkinElmer,3/17/2016
1996,ESP,3/16/2016
1997,Salient,3/16/2016
1998,SevOne,3/15/2016
1999,Matrix Service Company,3/14/2016
2000,Turner Construction,3/14/2016
2001,Applied Systems,3/11/2016
2002,GCI,3/11/2016
2003,Care.com,3/11/2016
2004,Defenders of Wildlife,3/11/2016
2005,Seagate,3/11/2016
2006,Intuit (March 8),3/10/2016
2007,Endologix,3/10/2016
2008,ISCO Industries,3/9/2016
2009,Valley Hope Association,3/9/2016
2010,Citibank,3/9/2016
2011,Billy Casper Golf,3/9/2016
2012,Contact Solutions,3/9/2016
2013,1-800-Flowers,3/9/2016
2014,ProKarma,3/7/2016
2015,Mack-Cali Realty,3/7/2016
2016,Aspect Software,3/7/2016
2017,Rosen Hotels & Resorts,3/7/2016
2018,Information Innovators,3/4/2016
2019,Shepherd Center,3/4/2016
2020,Actifio,3/3/2016
2021,Intuit (March),3/3/2016
2022,Bridgewater Inc,3/2/2016
2023,Eye Institute of Corpus Christi,3/2/2016
2024,Northern State Bank,3/1/2016
2025,Pri-Med,2/29/2016
2026,Mall Properties d/b/a Olshan Properties,2/29/2016
2027,Incipio LLC,2/26/2016
2028,Avila University,2/24/2016
2029,EWTN,2/24/2016
2030,Polycom Inc.,2/23/2016
2031,Virginia Commonwealth University,2/22/2016
2032,PhysAssist Scribes,2/19/2016
2033,Northwestern Mutual Life Insurance,2/17/2016
2034,Shire Human Genetic Therapies,2/17/2016
2035,Calpine Corporation,2/17/2016
2036,Estech Systems,2/17/2016
2037,STG Lane Ltd,2/16/2016
2038,Eyewitness Surveillance,2/16/2016
2039,Baja Bound Insurance,2/16/2016
2040,ntent,2/16/2016
2041,GEO Group,2/16/2016
2042,JetBlue Airways,2/12/2016
2043,Costco Wholesale,2/11/2016
2044,ADI Strategies,2/11/2016
2045,Capezio,2/11/2016
2046,BrightView,2/11/2016
2047,Intuit (February),2/11/2016
2048,CollabNet,2/9/2016
2049,University of Central Florida,2/9/2016
2050,Gyft,2/8/2016
2051,Oiselle Running,2/8/2016
2052,University of Mary Washington,2/5/2016
2053,Toyota,2/3/2016
2054,Baileys,2/3/2016
2055,Aspiration,2/3/2016
2056,Elicit Brands d/b/a Swiftwick,2/3/2016
2057,Landrys/Golden Nugget/GNLV/Riverboat Corporation,2/2/2016
2058,Hain Celestial Group,2/2/2016
2059,Douglas L. Dye CPA,2/2/2016
2060,Nationstar Virginia,2/2/2016
2061,LifeSafer,2/1/2016
2062,Account Control Technology,2/1/2016
2063,TaxSlayer,2/1/2016
2064,Richardson & Company,2/1/2016
2065,John Scheepers Seeds,2/1/2016
2066,University of Virginia,1/27/2016
2067,MaineGeneral Medical Center,1/27/2016
2068,Phillip Capital,1/27/2016
2069,Coyote Logistics,1/26/2016
2070,JB Autosports,1/21/2016
2071,SearchFit (Nissan Autosports),1/20/2016
2072,Intuit (January),1/20/2016
2073,Aegion Corporation,1/19/2016
2074,Hyatt  Hotels Corporation,1/19/2016
2075,New West Health d/b/a New West Medicare,1/19/2016
2076,MROStop LLC,1/14/2016
2077,HSBC,1/14/2016
2078,Clarks (ADP),1/13/2016
2079,Blucora - TaxAct,1/12/2016
2080,Regional Income Tax Agency,1/11/2016
2081,New Penn Financial,1/11/2016
2082,Grunt Style LLC,1/11/2016
2083,The Walt Disney Company,1/6/2016
2084,St. Luke's Cornwall Hospital,1/6/2016
2085,HSBC Bank,1/6/2016
2086,SAS Safety,12/31/2015
2087,HDIS Inc.,12/30/2015
2088,Acclaim Technical Services,12/30/2015
2089,Home Depot,12/29/2015
2090,Intuit (December 23),12/29/2015
2091,Matson Navigation/Horizon Lines,12/29/2015
2092,Farm to Feet,12/28/2015
2093,AOL,12/28/2015
2094,Dungarees LLC (November),12/22/2015
2095,Catholic Charities of the Archdiocese,12/22/2015
2096,Wilderness at the Smokies,12/22/2015
2097,Accredited Investors,12/22/2015
2098,CBC Restaurant Corporation,12/21/2015
2099,Warner Brothers,12/21/2015
2100,TuneCore,12/21/2015
2101,State Farm Mutual,12/21/2015
2102,Aflac,12/15/2015
2103,Toyota Motor Credit,12/15/2015
2104,Princeton University,12/15/2015
2105,Anthem (December),12/11/2015
