Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
6912,3/16/2015,Salem Five,Electronic,,1,,,,Yes,,,
6913,3/17/2015,EMC,Paper,Yes,94,Yes,Yes,,,Yes,,
6951,3/17/2015,Commerce Bank,Electronic,Yes,46,,Yes,,,Yes,,
6862,3/17/2015,Lodge,Electronic,,4,,,,Yes,,,
6952,3/18/2015,Premera Blue Cross,Electronic,Yes,173,Yes,Yes,,,Yes,,
6869,3/18/2015,Marlborough Savings Bank,Electronic,,1,,,,Yes,,,
6953,3/19/2015,Advantage Dental,Electronic,,4,Yes,,,,Yes,,
6955,3/19/2015,Quest Diagnostics,Paper,Yes,1,Yes,,Yes,,Yes,,
6956,3/19/2015,SalemFive,Electronic,,2,,,,Yes,,,
6957,3/19/2015,USAA Federal Savings Bank,Electronic,Yes,1,,,,Yes,,,
6864,3/19/2015,"The Vanguard Group, Inc",Both,,2,Yes,Yes,,,,,
6865,3/20/2015,American Express,Electronic,,15,,,,Yes,,,
6866,3/20/2015,American Express,Undefined,,3,,,,Yes,,,
6867,3/20/2015,The village Bank,Electronic,,1,,,,Yes,,,
6954,3/20/2015,LPL Financial,Electronic,Yes,8,,Yes,,,Yes,,
6958,3/23/2015,The Village Bank,Electronic,,4,,,,Yes,,,
6959,3/23/2015,The Village Bank,Electronic,,11,,,,Yes,,,
6960,3/23/2015,Ringer.com,Electronic,,9,,,,Yes,,,
6961,3/23/2015,True North,Electronic,Yes,20,Yes,,,,Yes,,
6962,3/23/2015,Life Care Center of Attleboro,Paper,,411,Yes,Yes,,,Yes,,
6963,3/23/2015,Eagle Bank,Electronic,,1,,,,Yes,,,
6964,3/23/2015,Pilgrim Bank,Electronic,,1,,,,Yes,,,
6965,3/23/2015,"Mark Riley, Inc",Both,Yes,4,Yes,Yes,,,Yes,,Yes
6966,3/23/2015,OneStopParking,Electronic,Yes,84,,,,Yes,Yes,,
6967,3/23/2015,Apple America Group LLC,Electronic,,2521,Yes,,,,Yes,,Yes
6968,3/23/2015,USAA Federal Savings Bank,Electronic,,1,,Yes,,,,,
6990,3/23/2015,American Express,Paper,,6,,,,Yes,,,
6991,3/23/2015,American Express,Electronic,,2,,,,Yes,,,
6993,3/23/2015,"Peabody Properties, INC.",Paper,,1,Yes,Yes,,,Yes,,
6994,3/24/2015,"The Vanguard Group , Inc.",Paper,,2,Yes,Yes,,,,,
6969,3/24/2015,Discover,Electronic,,132,,,,Yes,,,
6972,3/24/2015,Citibank,Paper,Yes,1,,,,Yes,Yes,,
6971,3/25/2015,CVS/Caremark,Paper,,1,,,,Yes,,,
6983,3/25/2015,MA General Hospital,Electronic,Yes,1,Yes,,,,,,
6974,3/25/2015,Savers Bank,Electronic,,1,,,,Yes,,,
6975,3/25/2015,SalemFive,Electronic,,4,,,,Yes,,,
6976,3/25/2015,Informa USA,Electronic,,2,Yes,,,,,,
6977,3/25/2015,Mutual One,Electronic,,1,,,,Yes,,,
6978,3/25/2015,Adams Bank,Electronic,,3,,,,Yes,,,
6979,3/25/2015,St. Mary's Credit Union,Electronic,,3,,,,Yes,,,
6980,3/25/2015,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
6981,3/26/2015,Putnam Investments,Paper,Yes,61,Yes,Yes,,,,,
6984,3/26/2015,Eagle Bank,Electronic,,1,,,,Yes,,,
6985,3/26/2015,Capital One,Electronic,Yes,5,Yes,,,Yes,Yes,,
6986,3/26/2015,American Express,Electronic,,1,,,,Yes,,,
6890,3/27/2015,American Express,Electronic,,1,,,,Yes,,,
6998,3/30/2015,Adams Community Bank,Electronic,,1,,,,Yes,,,
6999,3/30/2015,MutualOne Bank,Electronic,,1,,,,Yes,,,
6987,3/30/2015,Bristol County Savings Bank,Electronic,,6,,,,Yes,,,
6988,3/30/2015,DE Department of Justice,Electronic,Yes,4,Yes,Yes,,,,,
6989,3/30/2015,American Express,Electronic,,49,,,,Yes,,,
6995,3/30/2015,American Express,Electronic,,4,,,,Yes,,,
6996,3/30/2015,American Express,Electronic,,466,,,,Yes,,,
6997,3/31/2015,American Express,Electronic,,2,,,,Yes,,,
7000,3/31/2015,Law Enforcement Targets,Electronic,,3,,,,Yes,,,
7001,3/31/2015,The Village Bank,Electronic,,51,,,,Yes,,,
7084,3/31/2015,Watertwon Savings Bank,Electronic,,1,,Yes,,,,,
7002,4/1/2015,Umass Amherst,Electronic,Yes,175,Yes,,,,,,
7003,4/2/2015,Retail Capital LLC,Electronic,Yes,14,Yes,Yes,Yes,,Yes,,
7004,4/2/2015,Fidelity Investments,Electronic,Yes,53,Yes,,,,Yes,,
7005,4/2/2015,SaversBank,Electronic,,1,,,,Yes,,,
7006,4/2/2015,Toyota Financial Services,Paper,Yes,1,,Yes,,,Yes,,
7007,4/2/2015,Vanguard,Paper,,2,,Yes,,,,,
7008,4/3/2015,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
7186,4/5/2015,Unicare,Paper,,1,Yes,,,,,,
7009,4/6/2015,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
7010,4/6/2015,"Nite Ize, Inc.",Electronic,,10,,,,Yes,,,
7011,4/6/2015,Eagle Bank,Electronic,,2,,,,Yes,,,
7012,4/6/2015,Marlborough Savings Bank,Electronic,,1,,,,Yes,,,
7013,4/6/2015,"SagePoint Financial, Inc.",Electronic,Yes,2,,Yes,,,Yes,,
7014,4/6/2015,CapitalOne,Electronic,Yes,1,,Yes,,,,,
7015,4/6/2015,SalemFive,Electronic,,1,,,,Yes,,,
7016,4/7/2015,French Lick Resort,Electronic,Yes,90,,,,Yes,Yes,,
7017,4/7/2015,Eastern Bank,Electronic,,22,,,,Yes,,,
7018,4/7/2015,Eastern Bank,Electronic,,9,,,,Yes,,,
7019,4/7/2015,Eastern Bank,Electronic,,4,,,,Yes,,,
7020,4/7/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7021,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7022,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7023,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7024,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7025,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7026,4/7/2015,Eastern Bank,Electronic,,7,,,,Yes,,,
7027,4/7/2015,Eastern Bank,Electronic,,13,,,,Yes,,,
7028,4/7/2015,Eastern Bank,Electronic,,10,,,,Yes,,,
7029,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7030,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7031,4/7/2015,Eastern Bank,Electronic,,51,,,,Yes,,,
7032,4/7/2015,Eastern Bank,Electronic,,6,,,,Yes,,,
7033,4/7/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7034,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7035,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7036,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7037,4/7/2015,Eastern Bank,Electronic,,26,,,,Yes,,,
7038,4/7/2015,North Shore Medical Center,Paper,Yes,1,Yes,,,,Yes,,
7039,4/7/2015,Marlborough Savings Bank,Electronic,,1,,,,Yes,,,
7040,4/7/2015,Savers Bank,Electronic,,2,,,,Yes,,,
7041,4/7/2015,Capital One,Electronic,Yes,3,,Yes,,,Yes,,
7042,4/7/2015,The Village Bank,Electronic,,1,,,,Yes,,,
7043,4/7/2015,Intuit,Electronic,Yes,1385,Yes,,,,Yes,,
7044,4/7/2015,Auburn University,Electronic,Yes,902,Yes,,,,Yes,,
7045,4/7/2015,Vanguard,Paper,,2,,Yes,,,,,
7046,4/7/2015,"Gary P. Sanginario, P.C.",Electronic,,2,Yes,Yes,Yes,,Yes,,
7047,4/7/2015,The Village Bank,Electronic,,1,,,,Yes,,,
7049,4/7/2015,Eastern Bank,Electronic,,22,,,,Yes,,,
7050,4/7/2015,Eastern Bank,Electronic,,9,,,,Yes,,,
7051,4/7/2015,Eastern Bank,Electronic,,4,,,,Yes,,,
7052,4/7/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7053,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7054,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7055,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7056,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7057,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7058,4/7/2015,Eastern Bank,Electronic,,7,,,,Yes,,,
7059,4/7/2015,Eastern Bank,Electronic,,13,,,,Yes,,,
7060,4/7/2015,Eastern Bank,Electronic,,10,,,,Yes,,,
7061,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7062,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7063,4/7/2015,Eastern Bank,Electronic,,51,,,,Yes,,,
7064,4/7/2015,Eastern Bank,Electronic,,6,,,,Yes,,,
7065,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7066,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7067,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7068,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7069,4/7/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7070,4/7/2015,Eastern Bank,Electronic,,26,,,,Yes,,,
7071,4/7/2015,Eastern Bank,Electronic,,4,,,,Yes,,,
7072,4/8/2015,Watertown Savings Bank,Electronic,,6,,,,Yes,,,
7073,4/8/2015,Watertown Bank,Electronic,,2,,,,Yes,,,
7074,4/8/2015,Watertown Savings Bank,Electronic,,1,,,,Yes,,,
7075,4/8/2015,Watertown Savings Bank,Electronic,,1,,,,,,,
7076,4/8/2015,Watertown Savings Bank,Electronic,,848,,,,Yes,,,
7077,4/8/2015,Watertown Savings Bank,Electronic,,1,,,,Yes,,,
7078,4/8/2015,Watertown Savings Bank,Electronic,,1,,,,Yes,,,
7079,4/8/2015,Watertown Savings Bank,Electronic,,1,,,,Yes,,,
7080,4/8/2015,Watertown Savings Bank,Electronic,,4,,,,Yes,,,
7081,4/8/2015,Watertown Savings Bank,Electronic,,8,,,,Yes,,,
7082,4/8/2015,Watertown Savings Bank,Electronic,,1,,,,Yes,,,
7083,4/8/2015,Watertown Savings Bank,Electronic,,400,,,,Yes,,,
7086,4/8/2015,Oppenheimer Funds,Electronic,Yes,78,Yes,Yes,,,Yes,,
7087,4/8/2015,Websterfive,Electronic,,1,,,,Yes,,,
7088,4/8/2015,Websterfive,Electronic,,1,,,,Yes,,,
7089,4/8/2015,Websterfive,Electronic,,1,,,,Yes,,,
7090,4/8/2015,Websterfive,Electronic,,1,,,,Yes,,,
7091,4/8/2015,SRI Inc,Electronic,Yes,28,Yes,,,,,,
7092,4/8/2015,Comm of MA DOR,Paper,Yes,64,Yes,,,,,,
7093,4/8/2015,Equifax Information Services,Both,Yes,19,Yes,Yes,,,Yes,,
7094,4/9/2015,Jewish Community Housing for the Elderly,Electronic,,170,Yes,,,,Yes,,
7095,4/9/2015,Peoples United Bank,Both,,10,Yes,Yes,,,Yes,,
7048,4/9/2015,Oppenheimer Funds,Electronic,,,,,,,,,
7085,4/9/2015,Oppenheimer Funds,Electronic,Yes,9,Yes,Yes,,,Yes,,
7096,4/10/2015,Fitchburg State University,Electronic,Yes,393,Yes,,,,Yes,,
7097,4/10/2015,SalemFive,Electronic,,4,,,,Yes,,,
7098,4/10/2015,SalemFive,Electronic,,2,,,,Yes,,,
7271,4/11/2015,"Hough, Gelfand & Associates, CPA",Electronic,Yes,1,Yes,Yes,,,Yes,,
7099,4/13/2015,Toyota Financial Services,Paper,Yes,1,,Yes,,,Yes,,
7100,4/13/2015,Lincoln National lIfe Insurance,Both,Yes,15,Yes,,,,Yes,,
7101,4/13/2015,HSBC,Electronic,Yes,2174,Yes,Yes,,,Yes,,
7102,4/13/2015,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
7103,4/13/2015,Tufts University School of Dental Medicine,Paper,Yes,3,Yes,,,,,,
7104,4/14/2015,CRL Plus,Electronic,Yes,1,Yes,,,,Yes,,
7106,4/14/2015,Intuit,Electronic,Yes,134,Yes,Yes,,,,,
7115,4/15/2015,Trustmark Insurance Company,Paper,Yes,1,Yes,,,,Yes,,
7105,4/15/2015,Hallmark Health System,Paper,Yes,1,Yes,,,,Yes,,
7107,4/16/2015,"Securian Financial Services, Inc",Electronic,Yes,1,,Yes,,,Yes,,
7108,4/16/2015,Anthem Blue Cross Blue Shield,Electronic,Yes,5,Yes,,,,,,
7109,4/16/2015,SalemFive,Electronic,,1,,,,Yes,,,
7110,4/16/2015,SalemFive,Electronic,,1,,,,Yes,,,
7111,4/16/2015,SalemFive,Electronic,,1,,,,Yes,,,
7112,4/16/2015,American Express,Electronic,,6,,,,Yes,,,
7116,4/20/2015,Vanguard,Paper,Yes,1,,Yes,,,,,
7114,4/20/2015,American Express,Electronic,,4,,,,Yes,,,
7117,4/21/2015,SalemFive,Electronic,,1,,,,Yes,,,
7118,4/21/2015,SalemFive,Electronic,,2,,,,Yes,,,
7119,4/21/2015,SalemFive,Electronic,,1,,,,Yes,,,
7120,4/21/2015,SalemFive,Electronic,,1,,,,Yes,,,
7121,4/21/2015,Suburban Lung Associates,Paper,,3,Yes,,,,,,
7122,4/21/2015,AT&T,Electronic,,605,Yes,,,,Yes,,
7113,4/21/2015,The Village Bank,Electronic,,1,,,,Yes,,,
7123,4/22/2015,Abercrombie & Fitch,Electronic,,3,,Yes,,,Yes,,
7124,4/22/2015,FallonHealth,Paper,Yes,2,Yes,Yes,,,Yes,,
7125,4/22/2015,Discover,Electronic,,10,,,,Yes,,,
7126,4/22/2015,Discover,Electronic,,270,,,,Yes,,,
7127,4/22/2015,Discover,Electronic,,22,,,,Yes,,,
7128,4/22/2015,Discover,Electronic,,11,,,,Yes,,,
7129,4/22/2015,Discover,Electronic,,2,,,,Yes,,,
7130,4/22/2015,Discover,Electronic,,15,,,,Yes,,,
7131,4/22/2015,Discover,Electronic,,5,,,,Yes,,,
7132,4/22/2015,Discover,Electronic,,2,,,,Yes,,,
7133,4/22/2015,Credit Union of the Berkshires,Electronic,Yes,2200,,Yes,,,,,
7134,4/22/2015,"Sweaty Bankds, LLC",Electronic,Yes,14,,,,Yes,,,
7174,4/22/2015,CVS Caremark,Paper,Yes,1,Yes,,,,Yes,,
7135,4/23/2015,"Freedom Smokes, Inc.",Electronic,Yes,313,,,,Yes,,,
7136,4/23/2015,St. Mary's Credit Union,Electronic,,93,,,,Yes,,,
7137,4/23/2015,Pilgrim Bank,Electronic,,3,,,,Yes,,,
7138,4/23/2015,Savers Bank,Electronic,,15,,,,Yes,,,
7139,4/24/2015,Columbian Financial Group,Electronic,Yes,1116,Yes,Yes,,,Yes,,Yes
7140,4/24/2015,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
7141,4/24/2015,St. Mary's Credit Union,Electronic,,3,,,,Yes,,,
7142,4/24/2015,Metlife,Electronic,Yes,20,Yes,,,,Yes,,
6970,4/24/2015,Florida Hospital,Paper,Yes,29,Yes,,,,Yes,,
7144,4/24/2015,Abington Bank,Electronic,,1,,,,Yes,,,
7148,4/24/2015,The Village Bank,Electronic,,1,,,,Yes,,,
7145,4/27/2015,Eagle Bank,Electronic,,14,,,,Yes,,,
7146,4/27/2015,Compass USA,Electronic,Yes,495,,,,Yes,Yes,,
7147,4/27/2015,Vanguard,Paper,Yes,1,,Yes,,,,,
7150,4/27/2015,Briston County Savings Bank,Electronic,,1,,,,Yes,,,
7151,4/27/2015,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
7152,4/27/2015,Bristol County Savings Bank,Electronic,,93,,,,Yes,,,
7153,4/27/2015,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
7154,4/27/2015,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
7155,4/27/2015,Bristol County Savings Bank,Electronic,,2,,,,Yes,,,
7156,4/28/2015,SalemFive,Electronic,,232,,,,Yes,,,
7157,4/28/2015,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
7158,4/28/2015,Charles Schwab,Paper,Yes,,,Yes,,,,,
7159,4/28/2015,Belmont Savings Bank,Electronic,Yes,1,,,,Yes,,,
7160,4/28/2015,SalemFive,Electronic,,4,,,,Yes,,,
7161,4/28/2015,East Boston Savings Bank,Electronic,,202,,,,Yes,,,
7162,4/28/2015,Marlborough Savings Bank,Electronic,,20,,,,Yes,,,
7164,4/28/2015,American Express,Electronic,,2,,,,Yes,,,
7165,4/28/2015,American Express,Electronic,,10,,,,Yes,,,
7149,4/28/2015,SalemFive,Electronic,,1,,,,Yes,,,
7163,4/29/2015,Prudential,Paper,Yes,1,Yes,Yes,,,Yes,,
7166,4/30/2015,American Express,Electronic,,195,,,,Yes,,,
7167,4/30/2015,Prudential,Electronic,Yes,4,Yes,Yes,,,Yes,,
7168,4/30/2015,RI Credit Union,Electronic,Yes,2,,,,Yes,,,
7169,5/1/2015,Fidelity Investments,Electronic,Yes,1,Yes,Yes,,,Yes,,
7170,5/1/2015,MuualOne Bank,Electronic,,6,,,,Yes,,,
7171,5/1/2015,Adams Community Bank,Electronic,,9,,,,Yes,,,
7172,5/1/2015,Adams Community Bank,Electronic,,6,,,,Yes,,,
7173,5/1/2015,Essex Property Trust,Electronic,Yes,31,Yes,,Yes,,Yes,,
7175,5/1/2015,Citi Private Bank,Paper,Yes,2,,Yes,,,,,
7176,5/1/2015,American Express,Electronic,,213,,,,Yes,,,
7177,5/4/2015,MIT,Electronic,Yes,5,Yes,,,,,,
7178,5/4/2015,University of Chicago,Electronic,Yes,4,Yes,,,,Yes,,
7179,5/4/2015,Bulk Reef Supply,Electronic,Yes,472,,,,Yes,Yes,,
7180,5/4/2015,Delta Dental,Electronic,Yes,4,Yes,,,,,,
7181,5/4/2015,Champion Cleaning,Electronic,Yes,55,Yes,,Yes,,,,
7182,5/4/2015,Marlborough Savings Bank,Electronic,,3,,,,Yes,,,
7183,5/4/2015,Middlesex Savings Bank,Electronic,,318,,,,Yes,,,
7184,5/4/2015,The Village Bank,Electronic,,1,,,,Yes,,,
7185,5/5/2015,Fort Campbell Credit Union,Paper,Yes,2,,,,Yes,Yes,,
7188,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7189,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7190,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7191,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7192,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7193,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7194,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7195,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7196,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7197,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7198,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7199,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7200,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7201,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7202,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7203,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,10,,,,Yes,,,
7204,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7205,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7206,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7207,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7208,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7209,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7210,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7211,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,Yes,,,,,
7212,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7213,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7214,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7215,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7216,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7217,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7218,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7219,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7220,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7221,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7223,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7224,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7225,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7226,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,,,,
7227,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7229,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7230,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,5,,,,Yes,,,
7231,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7232,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7233,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7234,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,Yes,,,,,
7235,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7236,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7237,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,11,,,,Yes,,,
7238,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7239,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7240,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7241,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,2,,,,Yes,,,
7242,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7243,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7244,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7245,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7246,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7247,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7248,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7249,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7250,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7251,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7252,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7253,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
7254,5/5/2015,The Cooperative Bank of Cape Cod,Electronic,Yes,1,,,,Yes,,,
7256,5/6/2015,Vinfen,Electronic,,4,Yes,,,,Yes,,Yes
7257,5/6/2015,The Village Bank,Electronic,,1,,,,Yes,,,
7187,5/6/2015,Belmont Savings Bank,Electronic,,1,,,Yes,,Yes,,
7258,5/7/2015,The Village Bank,Electronic,,1,,,,Yes,,,
7259,5/7/2015,The Village Bank,Electronic,,2,,,,Yes,,,
7260,5/8/2015,First Command Financial Services,Electronic,Yes,19,Yes,,,,,,
7261,5/8/2015,Cambridge Health Alliance,Electronic,Yes,1,Yes,,,,Yes,,
7262,5/8/2015,BayState Savings Bank,Electronic,,20,,,,,,,
7263,5/8/2015,Sturdy Memorial Hospital,Paper,,4,Yes,,,,,,
7264,5/8/2015,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
7265,5/8/2015,SalemFive,Electronic,,1,,,,Yes,,,
7266,5/8/2015,SalemFive,Electronic,,6,,,,Yes,,,
7267,5/8/2015,SalemFive,Electronic,,2,,,,Yes,,,
7268,5/8/2015,US Cabinet Depot,Electronic,Yes,1,,,,Yes,,,
7296,5/8/2015,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
7295,5/11/2015,Eastern Bank,Electronic,,13,,,,Yes,,,
7272,5/11/2015,WebsterFive,Electronic,,22,,,,Yes,,,
7273,5/11/2015,SalemFive.,Electronic,,7,,,,Yes,,,
7274,5/11/2015,WebsterFive,Electronic,,1,,,,Yes,,,
7275,5/11/2015,WebsterFive,Electronic,,1,,,,Yes,,,
7276,5/11/2015,WebsterFive,Electronic,,1,,,,Yes,,,
7277,5/11/2015,WebsterFive,Electronic,,1,,,,Yes,,,
7278,5/11/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7279,5/11/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7280,5/11/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7281,5/11/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7282,5/11/2015,Eastern Bank,Electronic,,7,,,,Yes,,,
7283,5/11/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7284,5/11/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7285,5/11/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7286,5/11/2015,Eastern Bank,Electronic,,1337,,,,Yes,,,
7287,5/11/2015,Eastern Bank,Electronic,,2,,,,Yes,,,
7288,5/11/2015,Eastern Bank,Electronic,,4,,,,Yes,,,
7289,5/11/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7290,5/11/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7291,5/11/2015,Eastern Bank,Electronic,,12,,,,Yes,,,
7292,5/11/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7293,5/11/2015,Eastern Bank,Electronic,,1,,,,Yes,,,
7269,5/11/2015,Websterfive,Electronic,,1,,,,Yes,,,
7270,5/11/2015,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
7429,5/12/2015,The Village Bank,Electronic,,2,,,,Yes,,,
7297,5/12/2015,Regions,Electronic,Yes,1,,Yes,,,Yes,,
7298,5/13/2015,Adams Community Bank,Electronic,,3,,,,Yes,,,
7299,5/13/2015,Pilgrim Bank,Electronic,,2,,,,Yes,,,
7300,5/15/2015,Rockland Trust,Electronic,Yes,2182,,,,Yes,,,
7301,5/15/2015,Southcoast Health System,Electronic,Yes,10,Yes,,,,Yes,,
