Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
Merit Health Northwest Mississippi,HEALTHCARE,8/24/2015,7/1/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",846,1
"Nestle USA, Inc.",GENERAL BUSINESS,8/26/2015,8/7/2015,RELEASE/ DISPLAY OF INFO,494,12
Utah Food Bank,RELIGIOUS/NONPROFIT,8/25/2015,7/15/2015,HACKERS/ UNAUTHORIZED,10339,13
"QVC, Inc.",GENERAL BUSINESS,8/24/2015,8/6/2015,HACKERS/ UNAUTHORIZED,1,1
Milk Nursingwear,GENERAL BUSINESS,8/21/2015,8/10/2015,HACKERS/ UNAUTHORIZED,541,12
"Lin R. Rogers Electrical Contractors, Inc. d/b/a Rogers Electric",GENERAL BUSINESS,8/21/2015,7/21/2015,DATA THEFT BY EMPLOYEE OR CONTRACTOR,1468,57
Wm. T. Burnett & Co. / STX,GENERAL BUSINESS,8/21/2015,8/5/2015,HACKERS/ UNAUTHORIZED,125,2
"Holiday Inn & Suites - Hillside, Illinois",GENERAL BUSINESS,8/21/2015,4/29/2015,"HACKERS/ UNAUTHORIZED, ACCESS",2964,1
"Olympia Hotel Management,",GENERAL BUSINESS,8/21/2015,11/29/2014,HACKERS/ UNAUTHORIZED,2665,27
Fidelity Investments,FINANCIAL SERVICES/INSURANCE,8/19/2015,8/6/2015,RELEASE/ DISPLAY OF INFO,156,1
"The Sleep Shop, Inc.",GENERAL BUSINESS,8/20/2015,8/6/2015,HACKERS/ UNAUTHORIZED,270,15
"Primary Capital Mortgage, LLC",FINANCIAL SERVICES/INSURANCE,8/19/2015,8/11/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",33,4
Genworth Financial,FINANCIAL SERVICES/INSURANCE,8/19/2015,7/30/2015,RELEASE/ DISPLAY OF INFO,2500,9
Church of God International Offices,RELIGIOUS/NONPROFIT,8/18/2015,12/1/2014,"HACKERS/ UNAUTHORIZED, ACCESS",374,66
"VMware, Inc.",GENERAL BUSINESS,8/18/2015,7/2/2015,HACKERS/ UNAUTHORIZED,118,2
"Web.com Group, Inc.",GENERAL BUSINESS,8/18/2015,8/13/2015,HACKERS/ UNAUTHORIZED,93000,2454
"NC Department of Commerce, Division of Employment",GOVERNMENT,8/18/2015,8/6/2015,RELEASE/ DISPLAY OF INFO,1,1
"Ascensus, Inc.",GENERAL BUSINESS,8/18/2015,8/11/2015,RELEASE/ DISPLAY OF INFO,48,1
Raymond James,FINANCIAL SERVICES/INSURANCE,8/17/2015,7/10/2015,RELEASE/ DISPLAY OF INFO,55,1
"Milestone Hospitality Management, LLC",GENERAL BUSINESS,8/14/2015,7/22/2015,"HACKERS/ UNAUTHORIZED, ACCESS",2696,66
Academy of Nutrition and Dietetics,GENERAL BUSINESS,8/13/2015,6/1/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",729,11
"Quad/Graphics, Inc.",GENERAL BUSINESS,8/13/2015,7/20/2015,RELEASE/ DISPLAY OF INFO,693,9
"City of Troy, Alabama",GOVERNMENT,8/12/2015,1/26/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",3497,12
"North Carolina Department of Justice, Office of Attorney General",GOVERNMENT,8/13/2015,6/28/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",63,63
"Outer Cape Health Services, Inc",HEALTHCARE,8/12/2015,8/7/2015,RELEASE/ DISPLAY OF INFO,2,1
"Duke Energy Carolinas, LLC",GENERAL BUSINESS,8/10/2015,6/26/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",390,291
Newton Running Company,GENERAL BUSINESS,8/11/2015,5/18/2015,HACKERS/ UNAUTHORIZED,380,12
"Duke Energy Florida, LLC",GENERAL BUSINESS,8/10/2015,7/7/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",98,1
"GreenWave Scientific, Inc.",GENERAL BUSINESS,8/10/2015,7/28/2015,HACKERS/ UNAUTHORIZED,2500,208
"QVC, Inc.",GENERAL BUSINESS,8/10/2015,7/14/2015,HACKERS/ UNAUTHORIZED,1,1
"Duke Energy Progress, LLC",GENERAL BUSINESS,8/10/2015,7/13/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",325,279
DaVita Inc.,HEALTHCARE,8/10/2015,8/6/2015,HACKERS/ UNAUTHORIZED,1,1
SterlingBackcheck,GENERAL BUSINESS,8/7/2015,5/30/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",101659,2347
"SMS Hospitality, LLC",GENERAL BUSINESS,8/7/2015,6/29/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",485,5
"Sykes Enterprises, Incorporated",GENERAL BUSINESS,8/7/2015,7/27/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",462,46
Gentherm Incorporated,GENERAL BUSINESS,8/7/2015,7/18/2015,HACKERS/ UNAUTHORIZED,220,1
CoStaff Services,FINANCIAL SERVICES/INSURANCE,8/7/2015,8/3/2015,RELEASE/ DISPLAY OF INFO,6,2
University of Connecticut,EDUCATIONAL,8/6/2015,4/24/2015,RELEASE/ DISPLAY OF INFO,106,4
Carteret General Hospital,HEALTHCARE,8/5/2015,5/14/2015,RELEASE/ DISPLAY OF INFO,88,88
DSI Renal,HEALTHCARE,8/4/2015,6/16/2015,LOST IN TRANSIT,53,53
"Mama Mio US, Inc.",GENERAL BUSINESS,8/4/2015,4/28/2015,HACKERS/ UNAUTHORIZED,3434,80
Rex Healthcare,HEALTHCARE,8/3/2015,7/24/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
Genworth Financial,FINANCIAL SERVICES/INSURANCE,7/21/2015,6/8/2015,RELEASE/ DISPLAY OF INFO,1,1
Citibank N.A.,FINANCIAL SERVICES/INSURANCE,8/4/2015,7/23/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",10,1
Vidant Medical Center,HEALTHCARE,7/30/2015,7/7/2015,RELEASE/ DISPLAY OF INFO,63,63
Totally Promotional,GENERAL BUSINESS,7/29/2015,7/10/2015,HACKERS/ UNAUTHORIZED,3332,147
Point 180 LLC,GENERAL BUSINESS,8/3/2015,7/2/2015,RELEASE/ DISPLAY OF INFO,57,8
The Law Office of Jon P. Yormick Co. LPA,GENERAL BUSINESS,7/31/2015,6/15/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",40,1
"NC Department of Commerce, Division of Employment",GOVERNMENT,7/29/2015,7/16/2015,RELEASE/ DISPLAY OF INFO,1,1
Shore Power Inc.,GENERAL BUSINESS,7/29/2015,6/19/2015,HACKERS/ UNAUTHORIZED,41,1
Tremco Incorporated,GENERAL BUSINESS,7/29/2015,6/17/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",3796,60
"Business Basics, Inc. Real Estate Division",GENERAL BUSINESS,7/29/2015,7/17/2015,"HACKERS/ UNAUTHORIZED, ACCESS",3,1
"NC Department of Commerce, Division of Employment",GOVERNMENT,7/28/2015,7/13/2015,RELEASE/ DISPLAY OF INFO,1,1
The McLean Hospital Corporation,HEALTHCARE,7/28/2015,5/29/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",12673,1
"Outpac Designs, Inc. DBA Pacsafe",GENERAL BUSINESS,7/24/2015,3/1/2015,"HACKERS/ UNAUTHORIZED, ACCESS",18,1
"Woodbury Financial Services, Inc.",FINANCIAL SERVICES/INSURANCE,7/24/2015,5/29/2015,PHISHING,404,3
"HSBC Bank USA, National Association",FINANCIAL SERVICES/INSURANCE,7/24/2015,6/22/2015,RELEASE/ DISPLAY OF INFO,2437,20
YMCA of Greater Pittsburgh,RELIGIOUS/NONPROFIT,7/23/2015,6/8/2015,HACKERS/ UNAUTHORIZED,285,10
Medical Informatics Engineering,GENERAL BUSINESS,7/23/2015,5/26/2015,"HACKERS/ UNAUTHORIZED, ACCESS",3900000,46760
"LC Industries, Inc.",GENERAL BUSINESS,7/22/2015,6/25/2015,HACKERS/ UNAUTHORIZED,8,0
Richard A. Berger,FINANCIAL SERVICES/INSURANCE,7/22/2015,6/25/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1055,1
"Blue Spring Partners, LLC",GENERAL BUSINESS,7/22/2015,4/30/2015,HACKERS/ UNAUTHORIZED,38624,1012
Advanced Home Care,HEALTHCARE,7/21/2015,6/25/2015,RELEASE/ DISPLAY OF INFO,1,1
The Pennsylvania State University - Greater Allegheny Campus,EDUCATIONAL,7/22/2015,6/9/2015,HACKERS/ UNAUTHORIZED ACCESS,554,9
New Hanover Regional Medical Center Physician Group,HEALTHCARE,7/17/2015,6/24/2015,RELEASE/ DISPLAY OF INFO,1,1
"Insurance Services Office, Inc.",FINANCIAL SERVICES/INSURANCE,7/20/2015,4/17/2015,"HACKERS/ UNAUTHORIZED, ACCESS",1145,1
TD Bank,FINANCIAL SERVICES/INSURANCE,7/17/2015,6/29/2015,RELEASE/ DISPLAY OF INFO,1,1
"Hersha Hospitality Management, LP",GENERAL BUSINESS,7/17/2015,5/6/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2,1
The Fahrenheit Group,GENERAL BUSINESS,7/17/2015,5/26/2015,HACKERS/ UNAUTHORIZED,125,2
Ransomed Heart Ministries,RELIGIOUS/NONPROFIT,7/17/2015,6/15/2015,HACKERS/ UNAUTHORIZED,1384,42
JPMorgan Chase & Co.,FINANCIAL SERVICES/INSURANCE,7/17/2015,4/22/2015,RELEASE/ DISPLAY OF INFO,1204,14
CaroMont Regional Medical Center-Business Office,HEALTHCARE,7/15/2015,6/17/2015,RELEASE/ DISPLAY OF INFO,1,0
"Anheuser Busch Companies,",GENERAL BUSINESS,7/10/2015,6/29/2015,RELEASE/ DISPLAY OF INFO,65,2
Elmcroft of Little Avenue,HEALTHCARE,7/13/2015,7/9/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
Mandarin Oriental,GENERAL BUSINESS,7/10/2015,7/1/2015,HACKERS/ UNAUTHORIZED,100000,288
Boston University,EDUCATIONAL,7/10/2015,5/14/2015,HACKERS/ UNAUTHORIZED,828,8
"New Horizons Computer Learning Centers, Inc.",GENERAL BUSINESS,7/10/2015,6/11/2015,"HACKERS/ UNAUTHORIZED, ACCESS",4734,105
"Nexient, LLC",GENERAL BUSINESS,7/10/2015,6/10/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",947,5
Amsterdam Nursing Home Corporation (1992),HEALTHCARE,7/10/2015,6/2/2015,RELEASE/ DISPLAY OF INFO,621,1
Alfa Vision Insurance Company and Alfa Specialty Insurance Corporation,FINANCIAL SERVICES/ INSURANCE,7/10/2015,5/4/2015,RELEASE/ DISPLAY OF INFO,85730,304
Hershey Entertainment & Resorts Company,GENERAL BUSINESS,7/10/2015,6/9/2015,"HACKERS/ UNAUTHORIZED, ACCESS",50000,302
ExamOne (a Quest Diagnostics company),GENERAL BUSINESS,7/10/2015,6/11/2015,LOST IN TRANSIT,1,1
LIncoln Financial Group,FINANCIAL SERVICES/INSURANCE,7/10/2015,5/7/2015,RELEASE/ DISPLAY OF INFO,392,24
CCS Medical,HEALTHCARE,7/9/2015,7/1/2015,LOST IN TRANSIT,72,4
Latex Construction Company,GENERAL BUSINESS,7/7/2015,6/2/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",600,10
"Automotive Recovery Services, Inc.",GENERAL BUSINESS,7/6/2015,6/1/2015,"HACKERS/ UNAUTHORIZED, ACCESS",505000,11146
Aon Hewitt,FINANCIAL SERVICES/INSURANCE,7/2/2015,6/5/2015,RELEASE/ DISPLAY OF INFO,50,4
FireKeepers Casino Hotel,GENERAL BUSINESS,7/2/2015,4/16/2015,HACKERS/ UNAUTHORIZED,0,33
LPL Financial LLC,FINANCIAL SERVICES/INSURANCE,7/1/2015,6/11/2015,RELEASE/ DISPLAY OF INFO,680,6
"COA Network, Inc.",GENERAL BUSINESS,6/29/2015,6/5/2015,HACKERS/ UNAUTHORIZED,7600,196
"Genius Central, Inc.",GENERAL BUSINESS,6/24/2015,5/12/2015,HACKERS/ UNAUTHORIZED,271,10
"Manchester Hotel Hospitality, LLC",GENERAL BUSINESS,6/23/2015,10/14/2014,"HACKERS/ UNAUTHORIZED, ACCESS",999,7
DaVita Inc.,HEALTHCARE,6/25/2015,6/9/2015,HACKERS/ UNAUTHORIZED,86,85
Trustmark Mutual Holding Company,FINANCIAL SERVICES/INSURANCE,6/22/2015,5/14/2015,RELEASE/ DISPLAY OF INFO,29089,815
Anthem BCBS,FINANCIAL SERVICES/INSURANCE,6/19/2015,4/29/2015,RELEASE/ DISPLAY OF INFO,65,1
"Dungarees, LLC",GENERAL BUSINESS,6/19/2015,5/15/2015,HACKERS/ UNAUTHORIZED,11564,419
Physicians East,HEALTHCARE,6/19/2015,5/20/2015,RELEASE/ DISPLAY OF INFO,1,1
Amici Cellars,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,302,4
Cain Vineyard and Winery,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,3534,70
Corison Winery,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,6222,82
Charles Krug Winery (C. Mondavi & Family),GENERAL BUSINESS,6/18/2015,5/27/2015,"HACKERS/ UNAUTHORIZED, ACCESS",4058,63
"Donelan Family Wines, LLC",GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,1632,18
Fisher Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,2428,47
Flora Springs Winery & Vineyards,GENERAL BUSINESS,6/18/2015,5/29/2015,"HACKERS/ UNAUTHORIZED, ACCESS",7720,149
Frias Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,1939,46
"Garden Creek Vineyards, LLC",GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,572,6
Gemstone Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,1708,30
Heitz Wine Cellars,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,6087,105
Jemrose LLC dba Jemrose,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,269,5
Jessup Cellars dba The Good Life Wine Collective,GENERAL BUSINESS,6/18/2015,5/28/2015,"HACKERS/ UNAUTHORIZED, ACCESS",15391,163
Kanzler Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,780,14
Larkmead Vineyards Vinter & Grower,GENERAL BUSINESS,6/18/2015,5/27/2015,"HACKERS/ UNAUTHORIZED, ACCESS",7547,103
La Rochelle Wines (Artisan Wines of California),GENERAL BUSINESS,6/18/2015,5/28/2015,"HACKERS/ UNAUTHORIZED, ACCESS",574,2
William Cole Vineyards LLC,GENERAL BUSINESS,6/18/2015,5/29/2015,HACKERS/ UNAUTHORIZED,1052,27
Turley Wine Cellars,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,7159,339
The Vineyard House Winery,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,710,20
Summers Estate Wines,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,2149,26
Spring Mountain Vineyard,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,5961,111
Silverado Vineyards,GENERAL BUSINESS,6/18/2015,6/1/2015,HACKERS/ UNAUTHORIZED,6188,118
Signorello Estate,GENERAL BUSINESS,6/18/2015,5/29/2015,HACKERS/ UNAUTHORIZED,3234,50
Martinelli Winery,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,5365,110
CCS Medical,HEALTHCARE,6/24/2015,6/17/2015,LOST IN TRANSIT,20,2
Vidant Beaufort Hospital,HEALTHCARE,6/30/2015,5/14/2015,RELEASE/ DISPLAY OF INFO,1,1
Round Pond Estate,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,15512,214
Rhys Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,3765,49
Repris Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,7337,131
Pride Mountain Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,14026,320
Palmaz Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,6181,82
Outpost Vineyards,GENERAL BUSINESS,6/18/2015,5/27/2015,HACKERS/ UNAUTHORIZED,3396,71
North Carolina State University,EDUCATIONAL,7/6/2015,6/16/2015,HACKERS/ UNAUTHORIZED,5962,2275
"Smoothie King Franchises, Inc.",GENERAL BUSINESS,6/23/2015,6/16/2015,HACKERS/ UNAUTHORIZED,804,2
Advanced Home Care,HEALTHCARE,6/25/2015,6/4/2015,RELEASE/ DISPLAY OF INFO,1,1
"LC Industries, Inc.",GENERAL BUSINESS,6/23/2015,6/2/2015,HACKERS/ UNAUTHORIZED,3754,200
Montefiore University Hospital,HEALTHCARE,6/22/2015,5/15/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",12517,20
Ferree Dinkins Group CPA's PLLC,FINANCIAL SERVICES/INSURANCE,6/19/2015,6/9/2015,RELEASE/ DISPLAY OF INFO,1,1
"KCI USA, Inc.",GENERAL BUSINESS,6/16/2015,7/3/2014,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",127,4
"Huneeus Vintners, LLC",GENERAL BUSINESS,6/16/2015,5/27/2015,HACKERS/ UNAUTHORIZED,22567,273
CCS Medical,HEALTHCARE,6/16/2015,6/3/2015,LOST IN TRANSIT,68,4
Collected Intelligence LLC,GENERAL BUSINESS,6/15/2015,5/14/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",163,3
"Capital City Service Company (""Capital City Bank"")",FINANCIAL SERVICES/INSURANCE,6/15/2015,4/10/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",260,1
Peter Michael Winery,GENERAL BUSINESS,6/12/2015,5/27/2015,HACKERS/ UNAUTHORIZED,7892,146
"Global Care Delivery, Inc.",FINANCIAL SERVICES/INSURANCE,6/12/2015,9/2/2014,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1980,4
Aflac,FINANCIAL SERVICES/INSURANCE,6/11/2015,5/15/2015,RELEASE/ DISPLAY OF INFO,2,1
"Clif Bar Family Winery & Farm, LLC",GENERAL BUSINESS,6/11/2015,5/27/2015,"HACKERS/ UNAUTHORIZED, ACCESS",6300,54
"Rombauer Vineyards, Inc.",GENERAL BUSINESS,6/11/2015,5/27/2015,HACKERS/ UNAUTHORIZED,16373,228
T-Mobile,GENERAL BUSINESS,6/10/2015,6/4/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",23,1
Beacon Health System,HEALTHCARE,6/9/2015,3/25/2015,HACKERS/ UNAUTHORIZED,307000,3
Rite Aid,GENERAL BUSINESS,6/9/2015,3/6/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",32,1
State Farm,FINANCIAL SERVICES/INSURANCE,6/15/2015,6/8/2015,RELEASE/ DISPLAY OF INFO,10195,240
New England College of Optometry,EDUCATIONAL,6/9/2015,5/11/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",362,3
"JTH Tax, Inc. d/b/a Liberty Tax Service",FINANCIAL SERVICES/INSURANCE,6/9/2015,1/23/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",560,40
Assurity Life Insurance Company,FINANCIAL SERVICES/INSURANCE,6/1/2015,5/18/2015,RELEASE/ DISPLAY OF INFO,19,7
Homestead Funding Corp.,FINANCIAL SERVICES/INSURANCE,6/8/2015,5/21/2015,"HACKERS/ UNAUTHORIZED, ACCESS",188,42
"Allegis Group, Inc.",GENERAL BUSINESS,6/8/2015,4/20/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",69,5
"J&M Insurance Agency, Inc",FINANCIAL SERVICES/INSURANCE,6/10/2015,5/22/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",90,45
Volcano Corp/,GENERAL BUSINESS,6/11/2015,5/21/2015,RELEASE/ DISPLAY OF INFO,72,1
RoundPoint Mortgage,FINANCIAL SERVICES/INSURANCE,6/11/2015,3/2/2015,RELEASE/ DISPLAY OF INFO,1971,65
Global Brands Group Inc,GENERAL BUSINESS,6/5/2015,1/1/2014,LOST IN TRANSIT,144,144
Experian,FINANCIAL SERVICES/INSURANCE,6/4/2015,5/14/2015,"HACKERS/ UNAUTHORIZED, ACCESS",9,1
Advanced Home Care,HEALTHCARE,6/5/2015,4/22/2015,RELEASE/ DISPLAY OF INFO,2,2
"Kosta Browne Winery, LLC",GENERAL BUSINESS,6/8/2015,5/27/2015,HACKERS/ UNAUTHORIZED,17589,315
Johnston Health Services Corporation DBA Johnston Health,HEALTHCARE,6/10/2015,4/16/2015,DATA THEFT BY EMPLOYEE OR CONTRACTOR,1,1
Green Tree Servicing LLC,FINANCIAL SERVICES/INSURANCE,6/5/2015,8/1/2014,RELEASE/ DISPLAY OF INFO,246944,6535
ExamOne (a Quest Diagnostics company,GENERAL BUSINESS,6/4/2015,4/8/2015,LOST IN TRANSIT,1,1
"Akorn, Inc.",HEALTHCARE,6/4/2015,5/4/2015,HACKERS/ UNAUTHORIZED,2210,5
"CF Industries Holdings, Inc.",GENERAL BUSINESS,6/4/2015,12/11/2014,RELEASE/ DISPLAY OF INFO,168,1
"Roadmaster Drivers School of North Carolina, Inc.",EDUCATIONAL,6/4/2015,5/27/2015,LOST IN TRANSIT,2,2
"Heartland Dental, LLC",HEALTHCARE,6/4/2015,3/23/2015,HACKERS/ UNAUTHORIZED,33730,61
Intimacy Management,GENERAL BUSINESS,6/4/2015,5/5/2015,HACKERS/ UNAUTHORIZED,1084,15
AeroGrow International,GENERAL BUSINESS,6/3/2015,5/5/2015,HACKERS/ UNAUTHORIZED,41325,1155
"Conn's, Inc.",GENERAL BUSINESS,6/3/2015,3/18/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",406,1
Care First BlueCross BlueShield,FINANCIAL SERVICES/INSURANCE,5/28/2015,4/21/2015,"HACKERS/ UNAUTHORIZED, ACCESS",8247,38
Hospice & Palliative CareCenter,HEALTHCARE,6/2/2015,4/7/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",61,61
Advanced Home Care,HEALTHCARE,5/26/2015,4/21/2015,RELEASE/ DISPLAY OF INFO,1,1
YP Holdings,INFORMATION ONLY,6/1/2015,2/5/2015,INFORMATION ONLY,7540,209
U.S. HealthWorks,HEALTHCARE,5/29/2015,5/5/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",3698,36
"Duke Private Diagnostic Clinic, PLLC",HEALTHCARE,5/29/2015,4/7/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",104,99
Polk County Government,GOVERNMENT,5/29/2015,3/31/2015,RELEASE/ DISPLAY OF INFO,225,225
"Heartland Payroll Solutions, Inc.",FINANCIAL SERVICES/INSURANCE,5/28/2015,5/8/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",2301,1
"Sally Beauty Holdings, Inc.",GENERAL BUSINESS,5/28/2015,5/11/2015,HACKERS/ UNAUTHORIZED,3637798,135931
Copart Inc.,GENERAL BUSINESS,5/27/2015,3/31/2015,HACKERS/ UNAUTHORIZED,189539,5527
State Farm Insurance Companies,FINANCIAL SERVICES/INSURANCE,5/20/2015,11/16/2014,RELEASE/ DISPLAY OF INFO,25,25
"Unity Recovery Group, Inc.",HEALTHCARE,5/26/2015,4/1/2015,RELEASE/ DISPLAY OF INFO,750,13
Diman Regional Vocational Technical High School,EDUCATIONAL,5/26/2015,5/4/2015,RELEASE/ DISPLAY OF INFO,356,1
"Charles Schwab & Co., Inc.",FINANCIAL SERVICES/INSURANCE,5/22/2015,4/22/2015,LOST IN TRANSIT,1,1
Hotel Beacon,GENERAL BUSINESS,5/21/2015,3/25/2015,HACKERS/ UNAUTHORIZED,1983,27
Republic Bank & Trust Co,FINANCIAL SERVICES/INSURANCE,5/22/2015,3/24/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",134,133
SafeandVaultStore.com LLC,GENERAL BUSINESS,5/21/2015,4/28/2015,HACKERS/ UNAUTHORIZED,200,2
Marriott International Inc,GENERAL BUSINESS,5/20/2015,4/16/2015,HACKERS/ UNAUTHORIZED,18,1
CenturyLink,GENERAL BUSINESS,5/20/2015,5/15/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",2,1
AmeriGas,GENERAL BUSINESS,5/20/2015,4/23/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",187,187
LifeView Outdoors,GENERAL BUSINESS,5/19/2015,4/18/2015,HACKERS/ UNAUTHORIZED,267,6
Carolinas HealthCare System Pineville,HEALTHCARE,5/19/2015,5/6/2015,RELEASE/ DISPLAY OF INFO,1,1
"The Pennsylvania State University, College of Engineering",EDUCATIONAL,5/18/2015,11/21/2014,HACKERS/ UNAUTHORIZED ACCESS,17933,345
Catawba County Social Services North Carolina,GOVERNMENT,5/15/2015,4/6/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",85,85
Associated Dentists,HEALTHCARE,5/15/2015,3/20/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",4725,1
"Chubb & Son, a division of Federal Insurance Company (""Chubb"")",FINANCIAL SERVICES/ INSURANCE,5/14/2015,5/5/2015,LOST IN TRANSIT,37,1
Akerman LLP,INFORMATION ONLY,5/13/2015,4/7/2015,INFORMATION ONLY,4,1
"Blair & Associates, LLC",GENERAL BUSINESS,5/13/2015,3/30/2015,HACKERS/ UNAUTHORIZED,3396,15
"Medical Management, LLC on behalf of Various Entities, see Attachment A",HEALTHCARE,5/14/2015,3/16/2015,DATA THEFT BY EMPLOYEE OR CONTRACTOR,30556,168
The State Life Insurance Company,FINANCIAL SERVICES/INSURANCE,5/8/2015,4/2/2015,RELEASE/ DISPLAY OF INFO,1,1
Vidant Medical Center,HEALTHCARE,5/12/2015,3/12/2015,RELEASE/ DISPLAY OF INFO,1,1
Nuance Communications. Inc.,INFORMATION ONLY,5/4/2015,5/14/2014,INFORMATION ONLY,717,1
"Convergent Outsourcing, Inc.",FINANCIAL SERVICES/INSURANCE,5/12/2015,3/20/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
Regions Bank,FINANCIAL SERVICES/INSURANCE,5/11/2015,1/15/2015,"HACKERS/ UNAUTHORIZED, ACCESS",1712,3
Longwood Management Corp,GENERAL BUSINESS,5/11/2015,4/28/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",3105,2
"EarthLink, LLC",GENERAL BUSINESS,5/11/2015,4/13/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",19,3
Honig's Whistlestop Inc.,GENERAL BUSINESS,5/11/2015,4/9/2015,HACKERS/ UNAUTHORIZED,5126,222
"Big Idea Entertainment, LLC",GENERAL BUSINESS,5/8/2015,4/29/2015,HACKERS/ UNAUTHORIZED,73,2
Progressive Casualty Insurance Company,FINANCIAL SERVICES/INSURANCE,5/8/2015,4/2/2015,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",1,1
"NC Department of Commerce, Division of Employment",GOVERNMENT,5/7/2015,4/27/2015,RELEASE/ DISPLAY OF INFO,1,1
Stanislaus Surgical Hospital,HEALTHCARE,5/6/2015,4/5/2015,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1100,2
