ID,Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
2406,SanibelCaptivaTrustCompany,9/7/2018,7/30/2018,7,605
2407,"SantaCruzBioTechnology,Inc.",2/22/2018,12/17/2017,1,2657
2408,SchlageLockCompanyLLC,7/11/2018,7/10/2018,6,18
2409,Scoppechio,1/26/2018,1/24/2018,27,204
2410,Scrapbook.comLLC,10/19/2018,9/14/2018,14,728
2411,SDIInc,3/2/2018,2/12/2018,2,409
2412,SearsHoldingsManagementCorporation,4/25/2018,9/27/2017,"1,634","95,547"
2413,SecurityNationalMortgageCompany,9/11/2018,5/4/2018,13,1631
2414,SecurusTechnologiesInc,,5/15/2018,65,"1,700"
2415,SEIULocal32BJ,5/25/2018,11/13/2017,13,"161,040"
2416,SekisuiDiagnostics,4/13/2018,4/6/2018,1,194
2417,SeniorLifestyleCorporation,12/7/2018,11/7/2018,23,"16,755"
2418,SentryInsuranceaMutualCompany,6/6/2018,2/1/2017,1,20
2419,SESEnvironmental,1/25/2018,5/30/2007,14,14
2420,Seterus,5/29/2018,,,
2421,SFCKrumrie/ReadinessNCO,,,,
2422,SGSNorthAmericaInc,6/29/2018,2/26/2018,4,383
2423,SheetMetalWorkersNationalPensionFund,6/28/2018,6/6/2018,43,940
2424,SHEIN,9/21/2018,6/1/2018,"10,000","6,420,000"
2425,ShoeStationInc,10/3/2018,7/14/2018,2,216
2426,shopPOPdisplaysInc,6/11/2018,4/8/2018,26,1690
2427,ShutterflyInc,3/27/2018,1/11/2018,13,"9,428"
2428,SierraNevadaBrewingCo,8/28/2018,6/12/2018,8,630
2429,SignatorInvestorsInc,8/30/2018,8/16/2018,1,21
2430,SignatureSystemsGroupLLC,4/24/2018,2/2/2018,2,228
2431,SimeonSPatestas,11/9/2018,,1,353
2432,SirchieAcquisitionCompany,11/5/2018,10/5/2018,1,95
2433,SJGorowitzAccountingandTaxServicesPC,7/9/2018,5/1/2018,1,513
2434,SkillsoftCorporation,12/21/2018,12/10/2018,3,325
2435,SmithandNephew,11/16/2018,10/30/2018,1,22
2436,SniderFleetSolutions,10/1/2018,4/1/2018,11,2566
2437,SoleraNationalBank,6/25/2018,1/18/2018,12,858
2438,SOSIntlLLC,6/28/2018,2/5/2018,13,172
2439,SouthernNationalBancorpofVirginiad/b/aSonabank,10/31/2017,6/4/2017,8,"24,999"
2440,SouthportFamilyandSportsMedicine,5/29/2018,1/1/2017,15,15
2441,SouthwestAirlinesCo,4/20/2018,10/1/2017,618,"36,485"
2442,SPIndustriesInc,5/13/2018,2/9/2018,1,495
2443,SpringstoneFinancial,12/14/2018,7/27/2018,99,"47,721"
2444,SprintCorporation,3/30/2018,3/2/2018,2,29
2445,SquirePattonBoggs(US)LLP,3/12/2018,1/31/2018,1,256
2446,StaffQuick,4/27/2018,12/12/2017,23,108
2447,StandardInsuranceCompany,5/10/2018,1/30/2017,2,89
2448,StarTitlePartnersofPalmHarborLLC,10/26/2018,6/4/2018,11,2059
2449,StataCorpLLC,9/21/2018,9/13/2018,8,1680
2450,State o. Indiana,1/8/2018,12/22/2017,2,2
2451,State o. Indiana,1/11/2018,11/24/2017,2,348
2452,State o. Indiana,12/4/2017,12/3/2017,4,4
2453,State o. Indiana,1/10/2018,12/15/2017,1,1
2454,SteinEriksenLodgeHotel,6/7/2018,9/9/2017,2,"1,992"
2455,SteinMartInc,11/13/2018,12/28/2017,"2,240","108,322"
2456,STLInternationalIncdbaTeeter,10/22/2018,4/11/2018,273,"12,561"
2457,StMarysHealthIncdbaStVincentEvansville,5/31/2018,2/15/2018,"3,010","5,649"
2458,StMarysMedicalGroupLLCdbaStVincentEvansvilleMedicalGroup,11/30/2018,10/19/2018,1,1
2459,STPNuclearOperatingCompany,12/20/2017,12/12/2017,,844
2460,StrategicAnalysisInc,4/19/2018,4/20/2015,15,"2,074"
2461,StVincentDunnHospital,,,,
2462,StVincentWomensHospital,,,2,2
2463,SunspireHealth,7/27/2018,3/1/2018,3,"6,737"
2464,SunTrustBanksInc,,,342,"1,500,000"
2465,SVAMInternationalInc,7/26/2018,4/24/2018,1,193
2466,SwensonSaurerGerberAndersonandCo.Ltd.,3/6/2018,1/15/2018,1,1664
2467,SynchronyFinancial,12/3/2018,12/28/2017,615,"28,732"
2468,SystemeSoftwareInc,6/8/2018,5/7/2018,111,"17,618"
2469,TacoJohnsofIowa,5/10/2018,7/14/2017,1,"6,012"
2470,"talentReef,Inc.",1/9/2018,10/16/2017,30,"11,603"
2471,TallahasseeMemorialHealthcareInc,10/17/2018,5/8/2018,1,5988
2472,Target,,,,
2473,TargetDirectMarketingLLC,5/30/2018,,2,439
2474,TaskRabbitInc,5/10/2018,4/11/2018,"10,159","3,030,925,"
2475,TaylorUniversity,4/4/2018,1/31/2018,9,9
2476,TCMBankNA,8/3/2018,3/5/2017,257,"9,549"
2477,TealBecker&ChiaramonteCPAsPC,3/29/2018,11/29/2017,3,5576
2478,"Tech Rabbit, LLC",9/21/2018,2/22/2017,825,"54,637"
2479,TeenSafe,,,,
2480,TelestreamLLC,4/4/2018,2/8/2018,3,262
2481,TemeculaMotorsportsInc,5/31/2018,2/9/2018,17,"1,456"
2482,TempTationsHomeLLCdbaTaraatHome,4/16/2018,8/1/2017,113,"7,028"
2483,TempurSealyInternationalInc,4/25/2018,4/10/2018,1,17
2484,"The Information and Referral Federation of Los Angeles County, Inc. dba 211 LA County",7/5/2018,3/14/2018,42,"26,678"
2485,TheAffiliatedGroup,9/18/2018,11/20/2017,131,6201
2486,TheBoardofCommissionersoftheCountyofLaGrange,4/17/2018,11/8/2017,23,23
2487,TheCityofBakersfield,11/12/2018,8/11/2018,2,2180
2488,TheCityofBozemanMontana,7/16/2018,7/1/2017,1,"2,962"
2489,TheCocaColaCompany,1/22/2018,,2,"2,181"
2490,TheCocaColaCompany,5/21/2018,8/7/2015,21,"7,967"
2491,TheConlanCompany,8/21/2018,8/13/2018,1,597
2492,TheEducationalEmployeesSupplementaryRetirementSystemofFairfaxCounty,6/19/2018,5/7/2018,5,"3,332"
2493,TheFruitfulYieldInc,7/11/2018,5/29/2018,14,632
2494,TheHanoverInsuranceCompany,3/26/2018,12/6/2017,174,"15,422"
2495,TheInternationalMissionBoard,7/6/2018,2/14/2018,986,"187,749"
2496,TheKraftHeinzCompany,2/27/2018,,1,177
2497,TheLincolnNationalLifeInsuranceCompany,4/2/2018,1/29/2018,644,"5,876"
2498,TheMid?AtlanticCarpenters'TrainingCenters,1/3/2018,10/19/2017,5,2700
2499,TheNationalRegistryofEmergencyMedicalTechnicians,1/25/2018,11/17/2017,1,843
2500,TheNationalRestaurantAssociation,4/30/2018,9/27/2017,31,"1,595"
2501,TheNorthwesternMutualLifeInsuranceCompany,10/10/2018,8/23/2018,1,2604
2502,ThePleasureChestLTD,5/3/2018,10/11/2017,3,222
2503,TheRenaissanceCompanies,2/28/2018,9/22/2017,13,33
2504,ThermoFisherScientificInc,3/30/2018,,29,"2,900"
2505,TheTaxSpecialists,11/20/2018,,2,1188
2506,TheTownofChristiansburg,11/26/2018,5/17/2018,1,909
2507,TheVanguardGroupInc,3/6/2018,2/14/2018,1,1
2508,TheVariableAnnuityLifeInsuranceCompany,7/17/2018,,1,13
2509,ThomasChandlerThomas&HinshawLLP,6/22/2018,2/15/2018,5,"3,406"
2510,TipmontREMC,8/23/2018,7/19/2018,8,8
2511,TitleNine,9/7/2018,5/19/2018,9,765
2512,TKCHoldingsInc,8/26/2018,4/13/2018,6,2128
2513,TOA(USA)Inc,2/28/2018,3/1/2014,467,467
2514,TommieCopperInc,7/11/2018,11/10/2017,548,"28,437"
2515,TotalPhasseInc,6/11/2018,3/2/2018,3,734
2516,ToyotaIndustriesNorthAmericaInc,10/1/2018,8/15/2018,"6,630","19,320"
2517,TradeMotion,7/24/2018,10/13/2017,"1,036","81,782"
2518,TranDotComSolutions,3/27/2018,,1,14
2519,Transamerica,6/1/2018,3/1/2017,"7,770","226,881"
2520,TransamericaRetirementSolutionsLLC,11/2/2018,8/22/2018,357,"10,636"
2521,TransUnionLLC,10/8/2018,7/26/2017,16,242
2522,TransUnionLLC,10/23/2018,2/22/2017,57,7492
2523,"TravisMathew, LLC",10/25/2018,8/13/2018,108,5754
2524,TrinityCollegeofNursingandHealthSciences,8/9/2018,7/27/2018,1,137
2525,"TrueNetCommunications,Inc.",,,,
2526,TrustCompanyofIllinoisTCWealthPartners,6/29/2018,4/25/2018,39,2559
2527,TurnerConstructionCompany,12/10/2018,9/13/2018,2,929
2528,TuskegeeUniversity,6/21/2018,9/24/2017,168,"14,283"
2529,"Tx:TeamRehab,Inc.",1/22/2018,10/30/2017,2,6
2530,UberTechnologiesInc,10/24/2018,8/30/2018,2,197
2531,UberTechnologiesInc,,,1,1
2532,UMHPropertiesInc,3/15/2018,2/14/2018,124,581
2533,UnderArmour/MyFitnessPalApp,,,,
2534,UnifiedTrustCompanyNA,11/7/2018,12/6/2017,"1,228","43,000"
2535,UnionAssociatedPhysiciansClinicdbaUnionMedicalGroup,2/22/2018,2/10/2018,4,5
2536,UnionHospital,1/23/2018,1/18/2018,1,1
2537,UnionHospitalInc,6/29/2018,6/14/2018,1,1
2538,UnitedDentalPartners,3/7/2018,1/2/2018,2,58
2539,UnitedServicesAutomobileAssociation,8/15/2018,8/7/2018,1,1
2540,UniversityofToledo,4/30/2018,1/16/2018,70,"6,094"
2541,UniversityofWisconsin?SuperiorFoundation,2/22/2018,2/1/2018,20,"3,734"
2542,UnknownRespondent,,,,
2543,UnoAllaVoltaLLC,5/29/2018,4/18/2018,26,"1,121"
2544,UPS,3/14/2018,2/14/2018,59,"2,395"
2545,UrsaFarmersCooperative,4/3/2018,2/7/2018,2,"2,634"
2546,USFacilities,12/19/2018,5/19/2018,7,799
2547,USGreenFiberLLC,4/2/2018,2/12/2018,5,816
2548,UTEC,6/4/2018,3/23/2018,88,93
2549,ValleyoftheSunYMCA,1/17/2018,9/21/2017,3,"2,649"
2550,VanguardDealerServices,9/26/2018,7/27/2018,1,593
2551,VentivTechnologyInc.,2/1/2018,10/14/2017,3,239
2552,VerintSystemsInc,5/11/2018,7/28/2017,1,229
2553,VictoriaIndependentSchoolDistrict,4/4/2018,7/11/2017,6,"35,108"
2554,VillageofWellington,6/7/2018,11/28/2017,5,6125
2555,VillagePeopleLLC,9/25/2018,8/14/2018,2,1550
2556,ViyetLLCdbaSothebysHome,11/29/2018,,19,6156
2557,VSAPartnersInc,1/24/2018,12/1/2017,5,455
2558,WalgreensCo,6/1/2018,12/20/2017,35,"4,365"
2559,WallerandAssociatesInc,6/29/2018,4/29/2016,2,1310
2560,WaltersandMasonRetailIncdbaAltardState,11/30/2018,8/15/2018,228,8151
2561,WashingtonInitiativeforSupportiveEmployment,11/14/2018,9/8/2018,1,59
2562,WeddleBrothersConstructionCompaniesInc,11/6/2018,8/12/2017,2185,
2563,WeicherCompany,6/11/2018,12/1/2017,2,"3,553"
2564,WeilAkmanBaylinColemanPA,6/7/2018,3/23/2018,1,"3,956"
2565,WelkResortGroupInc,7/25/2018,9/29/2017,5,"1,464"
2566,WellsGardenerTechnologiesInc,9/5/2018,6/25/2018,1,35
2567,WestEndBankSB,9/21/2018,9/18/2018,1,1
2568,WestminsterCollege,12/28/2018,5/1/2018,2,1090
2569,WestMinsterInglesideKingFarmPresbyterianRetirementCommunities,1/19/2018,6/21/2017,6,"9,769"
2570,WhitmerandCompanyCPAsLLP,8/20/2018,12/24/2017,13,653
2571,WhitmerCompanyCPA'sLP,4/10/2018,5/1/2017,14,536
2572,WholeFoodsMarketGroupInc,10/31/2018,8/3/2018,9,644
2573,WieseUSAInc,8/17/2018,2/15/2018,4,24
2574,"WilliamA.Robinson,CPA",1/31/2018,1/15/2018,1,80
2575,WisdomWealthAbundanceLLC,,,,
2576,WithumSmithBrownPC,4/25/2018,3/28/2018,3,228
2577,WoodlawnHospital,,,,
2578,WorldTravelHoldingsInc,4/16/2018,10/1/2017,17,"1,511"
2579,WWGraingerInc,4/18/2018,9/26/2017,371,"17,902"
2580,WyndhamVacationResortsInc,11/15/2018,9/17/2018,4,26
2581,XCommerceIncdbaMagentoInc,,,,
2582,XPOLogisticsInc,4/2/2018,2/16/2018,1,14
2583,YaleUniversity,7/26/2018,4/1/2008,555,"119,000"
2584,YRCWorldwideInc,9/21/2018,7/24/2018,938,"19,635"
2585,ZenithAmericanSolutions,3/21/2018,1/24/2018,1,1
2586,ZimmerUSIncdbaZimmerBiomet,6/11/2018,5/24/2018,54,81
2587,ZRSManagementInc,5/16/2018,3/1/2018,5,423
2588,zumBrunnen,12/28/2018,8/7/2018,1,60
2589,ZurichAmericanInsuranceCompany,9/1/2018,9/1/2013,1,789
2590,1Hotel,8/17/2017,8/10/2016,3,529
2591,21cMuseumHotelsLLC,7/10/2017,8/10/2016,151,3746
2592,"3BirdsMarketing,LLC",4/5/2017,2/3/2017,1,92
2593,"AaronJ.Butler,AttorneyatLaw",7/14/2017,6/22/2017,303,303
2594,"ABB,Inc.",9/11/2017,8/25/2017,127,28012
2595,AbbottNutrition,2/23/2017,,120140,1652
2596,ABNBFederalCreditUnion,1/24/2017,1/12/2017,1,293
2597,"ADFInternational,Inc.",4/12/2013,3/10/2017,1,303
2598,"AdvancedICUCare,Inc.",4/19/2017,3/9/2017,1,320
2599,Aero-TechLightBulbCo.,9/22/2017,7/4/2017,20,802
2600,"AffyTapple,LLC",2/24/2017,2/1/2016,37,
2601,"AffyTapple,LLC",9/1/2017,7/5/2017,4,
2602,AgriBeefCo.,5/4/2017,11/22/2016,77,7933
2603,"AGSManufacturing,Inc.",1/12/2017,1/10/2017,1,60
2604,"AimbridgeHospitalityHoldings,LLC",8/24/2017,8/10/2016,66,14884
2605,Akira,9/1/2017,11/1/2016,952,22513
2606,AlamoCapital,4/13/2017,3/14/2017,1,1537
2607,Allergan,9/6/2017,7/25/2017,1,150
2608,AllstateInsuranceCompany,4/7/2017,,1,358
2609,AlphaChiSigma,4/10/2017,1/1/2017,5,25
2610,"AM2Enterprises,LLC",9/15/2017,7/31/2017,246,13088
2611,AmbassadorTitleServiceandDRITitle&Escrow,2/28/2017,,34,
2612,AmericanFriendsServiceCommittee,8/21/2017,4/12/2017,4,269
2613,AmericanGeneralLifeInsuranceCompany,9/7/2017,,1,1
2614,"AmericanHealthNetworkofIndiana,LLC",4/28/2017,4/13/2017,103,105
2615,"AmericanHealthNetworkofIndiana,LLC",5/17/2017,10/1/2016,30,30
2616,AmericanHospitalAssociation,3/22/2017,1/24/2017,2,31
2617,AmericanPharmacistsAssociation,12/29/2016,4/23/2016,,
2618,AmericanSeniorCommunities,2/18/2017,1/11/2017,18000,18000
2619,AmericanTireDistributorsHoldingsInc.,3/17/2017,3/3/2017,44,5391
2620,"Ameriflight,LLC",3/27/2017,3/21/2017,6,876
2621,AmeripriseFinancialInc,3/15/2017,12/5/2016,1,687
2622,AmeripriseFinancialInc,4/7/2017,,1,1
2623,AmeripriseFinancialInc,2/27/2017,,2,2
2624,"AmplifyEducation,Inc.",2/17/2017,2/2/2017,4,560
2625,"AnchorPackaging,Inc.",2/5/2017,1/27/2017,4,1538
2626,Anthem,7/28/2017,7/8/2016,1606,
2627,"Aptos,Inc.",2/25/2017,2/1/2016,28513,
2628,Aqua-AstonHospitalityLLC,7/14/2017,8/10/2016,44,11827
2629,"ArabellaAdvisors,LLC",2/22/2017,1/5/2016,3,553
2630,ArabianHorseAssociation,4/26/2017,2/16/2017,1,54
2631,ArapahoeMentalHealthCenterd/b/aAllHealthNetwork,3/20/2017,2/7/2017,1,578
2632,"Arby'sRestaurantGroup,Inc.",3/10/2017,10/20/2016,unknown,unknown
2633,ArcelorMittalUSALLC,2/22/2017,2/6/2017,10,42
2634,ArcherDanielsMidland,9/1/2017,5/31/2017,9,301
2635,ArgyleIndependentSchoolDistrict,1/26/2017,1/18/2017,1,473
2636,AshlandUniversity,2/24/2017,2/3/2017,8,
2637,"AspenTennessee,LLCd/b/aHotelPreston",7/14/2017,7/12/2016,2,269
2638,AssurantInc.asagentforCitiMortgageInc.,6/16/2017,5/1/2017,4,286
2639,AstadiaInc.,2/6/2017,2/2/2017,1,437
2640,"AT&TServices,Inc.",5/19/2017,1/25/2017,336,14878
2641,"AuroraSpecialtyTextilesGroup,Inc.",3/14/2017,1/26/2017,1,98
2642,"AutoneumNorthAmerica,Inc.",2/14/2017,2/3/2017,376,
2643,AvantiMarketsInc.,7/24/2017,7/2/2017,unknown,unknown
2644,B.C.ZieglerandCompany,2/27/2017,2/23/2017,1,145
2645,BallStateUniversity,,,,
2646,BankersLifeandCasualtyCompany,4/5/2017,1/25/2017,4,4
2647,BarclaysBankDelaware,3/6/2017,1/5/2017,1,37
2648,"BechtelOil,Gas&ChemicalsConstructionServices,Inc.",5/10/2017,4/27/2017,8,8937
2649,BeckerLandscape,2/3/2017,2/2/2017,205,205
2650,"BedrockManufacturingCompany,LLC",7/14/2017,3/1/2017,3,965
2651,Benchmark,2/24/2017,10/23/2017,,
2652,"BettyLou's,Inc.",6/30/2017,2/17/2017,2,453
2653,BiomedicalSystemsCorporation,3/13/2017,3/2/2017,1,405
2654,"BlittandGaines,P.C.",4/7/2017,2/16/2017,1,1
2655,"Bloem,LLC",2/7/2017,1/10/2017,1,93
2656,"BluestemBrands,Inc.",4/12/2017,3/24/2017,220,10259
2657,BMOHarrisBank,3/17/2017,,1201,
2658,BMOHarrisBankN.A.,5/31/2017,5/15/2017,1726,38391
2659,BMV,6/21/2017,5/21/2017,1,1
2660,BMV*,,,,
2661,"BolttechMannings,Inc.",6/23/2017,5/26/2017,2,14
2662,"BostwickLaboratories,Inc.",3/2/2017,2/21/2017,2,269
2663,BowlingGreenStateUniversity,1/3/2017,12/6/2016,1,
2664,Brace Industrial Group/Platinum Scaffolding Services,4/22/2017,2/27/2017,12,1005
2665,BramblesUSAInc.,9/19/2017,8/14/2017,5,105
2666,BrandMortgage,9/18/2017,8/6/2017,1,329
2667,BridgeInvestmentGroupLLC,6/12/2017,6/4/2017,8,1948
2668,BrighamYoungUniversity,7/12/2017,6/1/2017,3,
2669,BrooksBrothers,5/12/2017,4/4/2016,unknown,unknown
2670,"Brown/Armstrong,PC",9/23/2017,,1,1003
2671,"Brownells,Inc.",4/7/2017,2/9/2017,1,512
2672,BrownsburgParksandRecreation,7/11/2017,7/7/2017,1,1
2673,"Bulletproof360,Inc.",3/21/2017,10/26/2016,363,28033
2674,BurdetteSmith&BishLLC,7/14/2017,3/23/2017,47,14185
2675,CaesarsEntertainment,9/1/2017,8/5/2017,2,162
2676,"CaliberHomeLoans,Inc.",6/23/2017,1/18/2017,12338,144644
2677,CamelotEducation,3/2/2017,2/22/2017,1,1427
2678,CampbellCountyHealth,1/27/2017,1/25/2017,2,1456
2679,CampbellUnionHighSchoolDistrict,6/1/2017,,1,
2680,CapitalFirstTrustCompany,5/10/2017,12/1/2016,1,81
2681,"Carranco&Lawson,PC",8/3/2017,1/7/2017,1,779
2682,CayanLLC,3/1/2017,2/9/2017,1,331
2683,"CBRE,Inc.",7/12/2017,8/1/2016,2,94
2684,"CBSConsolidated,Inc.,d/b/aCornerstoneBusiness&ManagementSolutions",8/28/2017,,595,21847
2685,"CCCRestaurantEnterprises,LLC",1/18/2017,5/5/2016,,
2686,"CCSTechnologyGroup,LLC",1/18/2017,10/19/2016,1,
2687,CenturyLink,2/20/2017,1/30/2017,48,8161
2688,Chang-ShengInc.DBADirectron.com,7/26/2017,1/30/2017,12,657
2689,"Char-Broil,LLC",5/24/2017,3/22/2017,545,17124
2690,"Charleskomar&Sons,Inc.",1/26/2017,3/1/2015,437,25127
2691,CharlesSchwabCoInc,7/19/2017,8/10/2016,6,442
2692,CharlesSchwabCoInc,5/24/2017,6/1/2000,15,940
2693,ChartwellHospitalityLLC,2/6/2017,1/25/2017,1,1636
2694,"Chester,Inc.",2/9/2017,1/10/2017,53,53
2695,ChicagoMethodistSeniorServices,5/1/2017,4/13/2017,2,669
2696,"ChicagoTitleCompany,LLC",7/13/2017,6/30/2017,2,
2697,"ChicagoTitleCompany,LLC",7/31/2017,7/21/2017,1,1
2698,"ChicagoTitleCompany,LLC",2/13/2017,2/1/2017,1,1
2699,"ChimesGourmet-RoxyTrading,Inc.",2/28/2017,1/22/2017,4,443
2700,"ChipotleMexicanGrill,Inc.",5/26/2017,3/24/2017,unknown,unknown
2701,Cigna,5/24/2017,,2,267
2702,CintasCorporation,3/8/2017,1/26/2017,2,463
2703,CitiBank,4/11/2017,3/27/2017,1,38
2704,CitibankNA,3/29/2017,8/24/2016,1,33
2705,CitibankNA,5/31/2017,5/16/2017,1,1
2706,CitibankNA,3/1/2017,2/2/2017,1,5
2707,CitizensMemorialHospitalDistrictandCitizensMemorialHealthcareFoundation,2/20/2017,2/8/2017,1,2504
2708,"CityofHutchinson, Kansas",12/27/2016,11/9/2016,1,572
2709,ClarkeUniversity,2/16/2017,2/7/2017,2,443
2710,"ClarkRasmussenTaylor,CPAs",4/27/2017,4/11/2017,5,1361
2711,ClarkSchaeferHackett,3/9/2017,2/7/2017,11,
2712,CliftonLarsonAllenLLP,9/20/2017,6/14/2017,23,1239
2713,"ClintonHealthAccessInitiative,Inc.",3/30/2017,3/14/2017,1,102
2714,ClubQuartersHotels,7/12/2017,8/10/2016,126,92360
2715,"Clysar,LLC",5/26/2017,1/1/2017,1,329
2716,CMACGM(America)LLC,2/24/2017,1/26/2017,1,337
2717,Coatings&AdhesivesCorporation,7/20/2017,7/7/2017,1,189
2718,"CoburnSupplyCompany,Inc.",6/26/2017,4/30/2017,1,55
2719,"Coley,Eubank&Company,P.C.",4/12/2017,2/20/2017,1,753
2720,CollegeofSouthernIdaho,2/8/2017,2/2/2017,1,2509
2721,"ColumbiaWestProperties,Inc.",7/26/2017,8/10/2016,27,4406
2722,ColumbusRegionalHealthPhysicians,4/21/2017,4/5/2017,1,1
2723,"CombatBrands,LLC",4/14/2017,7/1/2015,420,37863
2724,"ComfortTechnology,d/b/aTherafitShoes",3/16/2017,2/2/2017,16,445
2725,"CommonBond,Inc.",12/29/2016,11/25/2016,28,1661
2726,CommonwealthHealthCorporation,4/3/2017,8/1/2014,437,108919
2727,CommunityHealthNetwork,6/2/2017,5/22/2017,1,1
2728,CommunityHealthNetwork,6/20/2017,5/22/2017,1,1
2729,CommunityHealthNetwork,8/28/2017,7/28/2017,1,
2730,CommunityHealthNetwork,4/17/2017,3/24/2017,1,1
2731,CommunityHealthNetwork,5/5/2017,3/27/2017,1,1
2732,CommunityHealthNetwork,2/3/2017,1/19/2017,1,1
2733,CommunityHealthNetwork-SecurityBreach,8/4/2017,7/28/2017,1,1
2734,ContinentalAmericanInsuranceCompany,3/24/2017,2/15/2017,19,675
2735,Cooper'sHawkIntermediateHoldingsLLC,4/4/2017,1/8/2017,5,27
2736,"CoPilotProviderSupportServices,Inc.",1/17/2017,,1282,221178
2737,CoreLogicCredco,8/29/2017,7/21/2017,3,2189
2738,"CoreSource,Inc.",1/20/2017,9/6/2016,3,71
2739,CovantaHoldingCorporation,7/14/2017,4/17/2017,3,258
2740,CoveFamily&SportsMedicine,6/16/2017,4/14/2017,3,4300
2741,CrescentMortgageCompany,8/24/2017,7/14/2017,10,
2742,CrimsonTraceCorporation,6/1/2017,6/1/2016,171,6866
2743,CrosmanCorporation,1/6/2017,12/6/2016,3,82
2744,CSMBakerySolutions,5/2/2017,2/24/2017,4,949
2745,"CTHRentals,LLC",2/14/2017,,3,
2746,"CurriculumAssociates,LLC",9/7/2017,7/13/2017,6,102
2747,"CustomMechanicalSystems,Corp.",2/24/2017,2/22/2017,42,114
2748,CuttersSports,5/1/2017,9/5/2016,28,2098
2749,DallasCountyCommunityCollegeDistrict,6/16/2017,2/21/2017,1,1431
2750,DardenRestaurants,1/30/2017,1/18/2017,138,268
2751,"DavidTurrentine&Associates,Inc.",6/20/2017,3/30/2017,24,1948
2752,DaytonaStateCollege,3/7/2017,,12,1917
2753,"DBMGlobal,Inc.",1/7/2017,1/7/2017,7,5895
2754,DeaconessHealthSystem-SecurityBreach,3/6/2017,2/13/2017,1,1
2755,DeaconessHospital,6/30/2017,1/9/2017,5,5
2756,DeaconessHospital,6/16/2017,1/24/2017,3,3
2757,DeaconessHospital,6/1/2017,1/4/2017,3,3
2758,DeaconessHospital,3/6/2017,2/13/2017,1,1
2759,"DearbornMid-WestCompany,LLC",3/2/2017,1/26/2017,126,934
2760,"DelawareNorthCompanies,Inc.",7/31/2017,8/10/2016,172,22201
2761,"DelekUSHoldings,Inc.",7/26/2017,5/23/2017,50,27123
2762,DeloitteTaxLLP,5/4/2017,4/20/2017,2,2
2763,DeltaCareerEducationCorporation,4/14/2017,2/13/2017,180,162120
2764,DenihanHospitality,8/16/2017,8/10/2016,249,20612
2765,DenisonUniversity,2/8/2017,12/1/2016,2,
2766,DermatopathologyLaboratoryofCentralStates,5/25/2017,10/6/2013,1,87
2767,DiamondInstituteforInfertilityandMenopause,4/28/2017,1/14/2017,1,14633
2768,DistributionInternational,1/27/2017,1/25/2017,106,1133
2769,"DonaldsonCompany,Inc.",4/24/2017,3/24/2017,668,4487
2770,"DrivelineRetailMerchandising,Inc.",2/14/2017,1/25/2017,405,15878
2771,E.&J.GalloWinery,9/15/2017,8/18/2017,12,7730
2772,"EasyBreathe,Inc.",3/27/2017,1/6/2017,1588,78759
2773,"EbelharWhitelead,PLLC",8/17/2017,1/1/2017,2,54
2774,EdgewoodManagementCorp.,4/18/2017,3/15/2017,2,1873
2775,"eHealthinsuranceServices,Inc.",1/27/2017,1/20/2017,1,1010
2776,EJWelchCompany,5/9/2017,2/3/2017,18,138
2777,"ElkayPlasticsCo.,Inc.",3/8/2017,,1,243
2778,ElkhartCountyProsecutorsOffice,7/5/2017,6/1/2017,2,2
2779,EllisPartnersinManagementSolutions,3/1/2017,1/30/2017,5,389
2780,EmployIndy,3/24/2017,10/3/2016,2045,2045
2781,EnlowandMinskyCPA,9/7/2017,,11,353
2782,"EnterpriseLeasingCompanyofIndianapolis,LLC",3/9/2017,2/17/2017,1,14
2783,"Equian,LLC",5/5/2017,8/23/2016,63,299
2784,EquifaxInc,9/7/2017,5/13/2017,3.8 million,143 million
2785,"eScreen,Inc.",12/22/2016,12/8/2016,1,1
2786,EsembleHealthPartners,6/20/2017,5/26/2017,1,639
2787,EvansHotels,9/1/2017,8/10/2016,52,2448
2788,"EvansonAssetManagement,LLC",2/15/2017,1/9/2017,2,222
2789,EvergreenTankSolutionsandWaterMovers,4/10/2017,3/27/2017,1,413
2790,EversRobinson,8/15/2017,7/17/2017,2,286
2791,ExamOne,4/18/2017,3/15/2017,1,1
2792,ExamOne,4/14/2017,1/24/2017,1,1
2793,ExamOne,9/12/2017,7/5/2017,1,1
2794,ExamOne,5/22/2017,5/5/2017,1,1
2795,ExamOne,1/30/2017,12/16/2016,1,1
2796,ExeterFinanceCorp.,1/11/2017,11/25/2016,1,54
2797,"ExtremeReach,Inc.",4/28/2017,2/8/2017,5,3800
2798,"Faller,Kincheloe&Co.,PLC",3/14/2017,2/4/2017,5,3430
2799,FamilyServicesRochester,2/17/2017,12/26/2016,26,17037
2800,"FamilyTreeHealthClinic,P.A.",6/19/2017,4/24/2017,3,13402
2801,FarmCreditMid-America,3/29/2017,11/30/2016,1,1
2802,FarmersandMerchantsBank,9/21/2017,7/25/2017,4,10650
2803,FastHealthCorporation,5/26/2017,1/14/2016,87,18301
2804,FederalDirectTaxServices,2/28/2017,1/2/2017,8,258
2805,FederalHomeLoanBankofIndianapolis,8/18/2017,5/23/2017,84,119
2806,FidelityNationalFinancialInc,6/8/2017,5/26/2017,1,1
2807,FidelityNationalFinancialInc,5/4/2017,1/11/2017,1,236
