Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
"Actifio, Inc.","333 Wyman Street, Waltham, MA 02451",None,"Jennifer Archie, Esq., Latham & Watkins LLP; 202-637-2205; jennifer.archie@lw.com",2/3/16 (Discovered 2/16/16),3/2/2016,2/3/2016,,2/16/2016,Name or other personal identifier in combination with SSN,1
TN Marketing,"1903 Wayzata Blvd East, Wayzata, MN 55391",None,"James E. Prendergast, Lewis Brisbois Bisgaard & Smith, LLP, 550 E. Swedesford Road, Suite 270, Wayne, PA 19087; 215-977-4100; jim.prendergast@lewisbrisbois.com",11/24/15 (discovered 1/13/16),2/29/2016,11/24/2015,,1/13/2016,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",62
"Landry's, Inc., Golden Nugget Atlantic City, LLC, Golden Nuttet Lake Charles, LLC, GNL Corp, GNLV Corp., and Riverboat Corporation of Mississippi","1510 W. Loop South, Houston, TX 77027",None,"William Daugherty, Esq., BakerHostetler LLP, 811 Main Street, Suite 1100, Houston, TX 77002; 713-646-1321; wdaugherty@bakerlaw.com",5/5/14-12/3/15 (Discovered 12/3/15),2/26/2016,5/5/2014,12/3/2015,12/3/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",16
Valley Hope Association,"P.O. Box 510, Norton, KS 67654",None,"Sian M. Schafle, Lewis Brisbois Bisgaard & Smith LLP, 550 E. Swedesford Road, Suite 270, Wayne, PA 19087; 215-977-4067' sian.schafle@lewisbrisbois.com",12/30/2015,2/25/2016,12/30/2015,,,"Name combined with one or more of following data elements: SSN, birthdate, address, treating physician name, patient/account no., diagnosis and clinical info, phone number, medical record number, treatment type, treatment location, disability code, driver's license no., username and password, tax ID no., health ins. info, financial into and medication info.",10
Northern State Bank,"321 Main Street W, Ashland, Wisconsin 54806",None,"James E. Prendergast, Lewis Brisbois Bisgaard & Smith, LLP, 550 E. Swedesford Road, Suite 270, Wayne, PA 19087; 215-977-4100; jim.prendergast@lewisbrisbois.com",2/6/16 - 2/8/16 (Discovered 2/8/16),2/25/2016,2/6/2016,2/8/2016,2/8/2016,Credit reports,53
Lynn University,"Boca Raton, Florida",None,"Dominic Paluzzi, Esq., McDonald Hopkins PLC, 39533 Woodward Ave., Suite 318, Bloomfield Hills, Michigan 48304; 248-220-1356; dpaluzzi@mcdonaldhopkins.com",6/24/14 through 1/19/16 (Discovered 1/19/16),2/19/2016,6/24/2014,1/19/2016,1/19/2016,"Name, student ID numbers, the dates of the requested refunds, the bank routing and accuont numbers where refund was to be deposited, and account types.",2
"Applause App Quality, Inc.","100 Pennsylvania Ave., Framingham, MA 01701",None,"Jennifer Archie, Esq., Latham & Watkins LLP; 202-637-2205; jennifer.archie@lw.com",2/19/2016,2/26/2016,2/19/2016,,,Name or other personal identifier in combination with SSN,1
Superior Labels,"2390 Cumberland Square Dr., Bettendorf, IA 52722",None,"Vickie B. Ahlers, Esq., Baird Holm, LLP, 402-636-8230; vahlers@bairdholm.com",11/3/15-12/11/15 (Discovered 1/27/16),2/25/2016,11/3/2015,12/11/2015,1/27/2016,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",42
ERINCONDREN.COM,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,16-Jan,2/19/2016,1/1/2016,,,Discover card account information may have been compromised,24
Calpine Corporation,"717 Texas St., Ste 1000, Houston, TX 77002",None,"Kaylee A. Cox, Assoc., Holland & Knight, LLP, 202-469-5185; kaylee.cox@hklaw.com",2/9/2016,2/16/2016,2/9/2016,,,Name or other personal identifier in combination with SSN,23
"Estech Systems, Inc.","3701 E. Plano Parkwary, Plano, Texas 75074",None,"Christopher Dilenno, Lewis Brisbois Bisgaard & Smith LLP, 550 E. Swedesford Rd., Suite 270, Wayne, PA 19087; 215-977-4059; chris.dilenno@lewisbrisbois.com",1/14/2016,2/12/2016,1/14/2016,,,"Info related to customer businesses, including name, address, credit card account number, exp date and security code as well as techinical info relating toe the type and quantity of telecommunications services provide by ESI",10 Businesses
"Poycom, Inc.",,None,"Lisa Sotto, Esq., Hunton & Williams, LLP, 200 Park Avenue, New York, NY 10166; 212-309-1000; lsotto@hunton.com",2/5/16 (discovered 2/6/16),2/12/2016,2/5/2016,,2/6/2016,"Name, address, SSN, birthdate and base salary info.",7
"Shire Human Genetic Therapies, Inc.",,None,"Nicholas Oldham; King & Spaulding, LLP, 1700 Pensylvania Ave., NW, Suite 200, Washington, DC 20006; 202-626-3740; noldham@kslaw.com",12/30/2015,2/11/2016,12/30/2015,,,"Name, birthdate, address, phone number, last 4 digits of SSN, dates of treatment, desc of medical conditions and therapeutic drug individuals may have used.",23 (including 2 minors)
Jet Blue Airways Corp,"27-01 Queens Plaza North, Long Island City, NY 11101",None,"Jeremey Goldman, Esq., Frankfurt Kurnit Klein & Selz PC, 310-579-9611; jgoldman@fkks.com",1/7/2016,2/11/2016,1/7/2016,,,Name or other personal identifier in combination with SSN,13
"Ballet Makers, Inc., d/b/a Capezio","One Campus Road, Totowa, NJ  07512",None,"H. Glenn Tucker, Esq., Greenberg, Dauber, Epstein & Tucker, PC, 973-643-3700; Gtucker@greenbergdauber.com",10/7/15 to 11/16/15; 11/21/15 to 11/23/15 (discovered 11/16/15),2/9/2016,10/7/2015,"11/16/15, 11/23/15",11/16/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",25
"Sheptoff, Reuber & Co., P.C.","111 New London Turnpike, Glastonbury, CT 06033",None,"Cathleen Kelly Rebar, Esq., Stewart, Bernstiel Rebar & Smith, 484-344-5340; crebar@sbrslaw.com",1/6/2016,2/9/2016,1/6/2016,,,Name or other personal identifier in combination with SSN,1
"QVC, Inc.","1200 Wilson Dr., West Chester, PA 19380",None,"Craig Hoffman, Baker&Hostetler, LLP, 312 Walnut Street, Suite 3200, Cincinnati, OH 45202-4074; 513-929-3491; cahoffman@bakerlaw.com",11/24/15; 12/1/15; 12/4/15 (Discovered 1/21/16),2/8/2016,11/24/15; 12/1/15; 12/4/15,,1/21/2016,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",1
"Gyft, Inc.","150 W. Evelyn Ave., Suite 300, Mountain View, CA 94041",None,"Amelia Gerlicher, Esq., Perkins Coie, LLP, 206-359-3445; agerlicher@perkinscoie.com",10/3/15 -12/18/15,2/5/2016,10/3/2015,12/18/2015,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",869
University of Central Florida,"4000 Central Florida Blvd, Orlando, FL  32816",None,"Bruce Radke, VedderPrice, 222 North Lasalle St., Chicago, IL 60601; 312-608-7689; bradke@vedderprice.com",12/30/15 (discovered 1/18/16 and 1/15/16),2/5/2016,12/30/2015,,"1/18/16, 1/15/16",Name or other personal identifier in combination with SSN,26
"Gap, Inc.","Two Folsom Street, San Francisco, CA 94105","Shannon Orr, Director, Privacy & Data Security, 415-427-0808shannon.orr@gap.com",N/A,1/26/2016,2/2/2016,1/26/2016,,,"Info on each employee's W2 form, including name, SSN",18
"Bailey's, Inc.","1222 Commerce Ave, Suite D, Woodland, CA 95776","Bob Ramsey, 916-612-8790; bobr@baileys-online.com",N/A,"started 9/25/15, confirmed 1/11/16 and stopped on 1/13/16",2/2/2016,9/25/2015,1/13/2016,,"Name, address phone number, credit card numbers, ccv numbers, card exp date, log-in and password to BaileysOnline.com and any other info typed into the website related to order. ",225 credit cards from maine residents
Toyota Motor Credit Corporation,"19001 So. Western Avenue, Privacy Compliance EF12, Torrance, CA 90501","Brandt Taylor National, Manager Enterprise Compliance, 469-786-8341.",N/A,12/28/15 - 1/4/16 (discovered 1//7/16),2/2/2016,12/28/2015,1/4/2016,1//7/16,"Account number, last four digits of SSN, address, phone number, current balance and days past due (if any).",Not stated
"Oiselle Running, Inc.","7109 Woodlawn Ave, NE, Suite 201, Seattle, WA 98115",None,"Shea Leitch, Esq., Orrick, Herrington & Sutcliffe, LLP; 202-339-8416; sgleitch@orrick.com",10/29/15-11/5/15,2/1/2016,10/29/2015,11/5/2015,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",14
Drager ,,None,"Kristopher Kleiner, Esq., Norton Rose Fulbright US LLP; Tabor Center, 1200 17th Street, Suite 1000, Denver, Colorado 80202; 303-801-2758; kris.kleiner@nortonrosefulbright.com",1/19/2016,1/29/2016,1/19/2016,,,"Name, address, SSN, birthdate and 2015 compensation information",1
TaxSlayer,"3003 TaxSlayer Drive, Evans, GA 30809",None,"Amelia Gerlicher, Esq., Perkins Coie, LLP, 206-359-3445; agerlicher@perkinscoie.com",10/10/15-12/21/15,1/29/2016,10/10/2015,12/21/2015,,"Name or other personal identifier in combination with SSN, Driver's license no. or non-driver id number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",35
"Richardson & Company, PC","165 Village Street, Medway, MA  02053",None,"Maureen Mulligan, Esq., Peabody & Arnold, LLP; 617-951-2022; mmulligan@peabodyarnold.com",11/25/15 (discovered 12/21/15),1/29/2016,11/25/2015,,12/21/2015,Name or other personal identifier in combination with SSN,19
Neiman Marcus Group,"One Marcus Square, 1618 Main Street, Dallas, TX 75201","Tracy Preston, Sr. VP, General Counsel, 214-743-7610; tracy_preston@neimanmarcus.com",N/A,12/26/2015 (discovered 1/11/16),1/29/2016,12/26/2015,,1/11/2016,"Basic contact info, purchase history and last four digits of credit card numbers. No sensitive info is visible thru online accounts.",5
"The Hain Celestial Group, Inc.","1111 Marcus Avenue, Lake Success, NY 11042",None,"Jennifer Coughlin, Lewis Brisbois Bisgaard & Smith, LLP; 550 E. Swedesford Rd., Suite 270, Wayne, PA 19087; 215-977-4081; Jennifer.Coughlin@lewisbrisbois.com",5/16/15-12/9/15 (Discovered 12/29/15),1/28/2016,5/16/2015,12/9/2015,12/29/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account.",12
"Account Control Technology, Inc. (ACT)","21700 Oxnard Street, Suite 1400, Woodland Hills, California 91367","Jennifer Skornik, Compliance Supervisor, 818-712-4999 x5223; jskornik@accountcontrol.com",N/A,12/28/2015,1/23/2016,12/28/2015,,,Bank account and routing information,2
HK Financial Services,,None,"Melissa K. Ventrone, WilsonElser, 55 West Mnoroe Street, Suite 3800, Chicago, IL 60603; 312-821-6105; melissa.ventrone@wilsonelser.com",1/11/2016,1/22/2016,1/11/2016,,,"Name, address, birthdate, last four digits of SSN, investment acct number, account balance, and other admin. Info. ",1
"Blue Dolphin, LLC ",,None,"Gregory Bautista, Wilson Elser, 914-872-7839; Gregor.Bautista@wilsonelser.com",Discovered on 12/7/15,1/21/2016,,,12/7/2015,"Name, address, credit or debit card number, and the card's exp date",643
id experts,"10300 SW Greenburg Road, Ste 570, Portland, OR 97223 (o/b/o Kicky Pants)","Oliver Bleser, Sr. Project Manager-Data Breach Response, 971-242-4770",N/A,9/24/15 - 12/26/15,1/21/2016,9/24/2015,12/26/2015,,"Name, credit card number, exp date and security code; billing address, phone number and email address",13
"John Scheepers Seeds, LLC (d/b/a John Scheepers Kitchen Garden Seeds)","23 Tulip Drive, P.O. Box 638, Bantam, CT 06750",None,"Sherwin M. Yoder, CIPP/US, Esq., Carmody Torrance Sandak & Hennessey LLP, 203-777-5501; syoder@carmodylaw.com",9/19/15 (discovered 12/01/15),1/18/2016,9/19/2015,,12/1/2015,Name or other personal identifier in combination with financial account number or credit or debit card number.,2
NCH Healthcare System,"350 7th Street North, Naples, FL 34102",None,"James E. Prendergast, Lewis Brisbois Bisgaard & Smith, LLP, 550 E. Swedesford Road, Suite 270, Wayne, PA 19087; 215-977-4100; jim.prendergast@lewisbrisbois.com",Notified 12/3/15 by IT svcs provider,1/18/2016,,,,"Name, address, phone number, SSN, birthdate, medicaid number, Medicare number, stae license number and tax ID number.",7
Maine General Medical Center,"35 Medical Center Parkway, Augusta, Maine 04330","Marci Alexander, General Counsel, 207-624-4222",N/A,Supplement to 12/8/15 notice,1/15/2016,,,,"Name, SSN, address, medical info, treament info, diagnosis info, health ins info, birthdate, emergency contact info, guarantor contact info, employer info, but the date the FBI detected only included patient birthdates and patient emergency contact info.","113,334 per prior notice"
"New West Health Services, d/b/a New West Medcare",,None,"Bruce Radke, VedderPrice, 222 North Lasalle St., Chicago, IL 60601; 312-608-7689; bradke@vedderprice.com",,1/15/2016,,,,"Name, address, SSN, Medicare claim numbers and possibly also, birthdate, medical history and condition, diagnosis and/or prescription information",2
"Intuit, Inc.","2535 Garcia Ave., Mountain View, CA  94043","Barbara Lawler, Chief Privacy Officer, Intuit, 650-944-5136; Barbara_lawler@intuit.com","Ryan Blaney, ",12/31/2015 (discovered 12/8/15; 12/24/15),1/15/2016,12/31/2015,,"12/8/15, 12/24/15",Name or other personal identifier in combination with SSN,10
"Intuit, Inc.","2535 Garcia Ave., Mountain View, CA  94043",None,"Ryan Blaney, ",Update to 12/23/15 notice,1/15/2016,,,,Customers' financial information could not be accessed after all.,See prior notice
Jacks Barbeque,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",Dec. 2015,1/14/2016,12/1/2015,,,Discover card account information may have been compromised,1
Northshore Care Supply,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",Dec. 2015,1/14/2016,12/1/2015,,,Discover card account information may have been compromised,5
Palace Casino Resort,,None,"Gary Wachtel, Director and Sr. Counsel, 224-405-2286",Dec. 2015,1/14/2016,12/1/2015,,,Discover card account information may have been compromised,2
Oak Hill Citgo Gas and Convenience,"230 US Rte 1, P.O. Box 606, Scarborough, ME  04074","Lisa Brady, VP, 207-883-4222, oakhillmobil@securespeed.us",N/A,Mid-Dec (discovered 12/12/15),1/14/2016,Mid-Dec 2015,12/1/2015,12/12/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",Not yet determined
Hyatt Hotels Corporation,"71 South Wacker, Illinois 60606",None,"Theodore J. Kobus, Partner, Baker & Hostetler, 202-271-1504; tkobus@bakerlaw.com",8/13/14 to 12/8/15 (discovered 11/30/15),1/14/2016,8/13/2014,12/8/2015,11/30/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",Unknown
HSBC Bank USA National Association,"1800 Tysons Boulevard, McLean, VA 22101","Gilliam Van Schaick, Exec. VP, HSBC-North America, 26525 North Riverwoods Boulevard, Suite 100, Mettawa, IL 60045; 224-880-8000 or 212-525-2591",N/A,12/7/15 - 12/8/15 (Discovered 12/10/15),1/13/2016,12/7/2015,12/8/2015,12/10/2015,Name or other personal identifier in combination with SSN,648
"JB Autosports, Inc.","1-8 Jefferson Ave., Des Moines, Iowa 50314",None,"John Lande, Dickinson Law Firm, 515-246-4509, jlande@dickinsonlaw.com",8/1/15-11/9/15 (Discovered 12/11/15),1/13/2016,8/1/2015,11/9/2015,12/11/2015,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",14
"Phillip Capital, Inc.","141 West Jackson Boulevard, Suite 3050, Chicago, IL 60604","Janet Goodridge, CCO, 312-356-9000, compliance@phillipcapital.com",N/A,10/23/15 (Discovered 12/3/15),1/12/2016,10/23/2015,,12/3/2015,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver ID card number",1
ShopAtHome.com,,None,"Kari M. Rollins, Esq.; Winston & Strawn, LLP; 200 Park Avenue, New York, NY 10166; 212-294-2664; karollins@winston.com",9/31/15-10/8/15,1/12/2016,9/31/15,10/8/2015,,"Username and password, first and last name, address, and/or date of birth",17
"Clarks Americas, Inc.","156 Oak Street, Newton Upper Falls, MA 02464","Michael Petrie, Associate General Counsel, 617-796-5240",N/A,12/17/15 (discovered 12/22/15),1/11/2016,12/17/2015,,12/22/2015,Name and SSN,2
"Grunt Style, LLC",,None,"Bruce Radke, VedderPrice, 222 North Lasalle St., Chicago, IL 60601; 312-608-7689; bradke@vedderprice.com",Discovered 12/10/15,1/8/2016,,,12/10/2015,"First and last name, mailing address, email address and credit card info (card holder name, credit card acct no., exp date and security code)",3
"Blucora, Inc.","1425 60th St., NE, Ste. 300, Cedar Rapids, IA 52402",None,"Amelia Gerlicher, Esq., Perkins Coie, LLP, 206-359-3445; agerlicher@perkinscoie.com",11/10/15 -12/4/15 (discovered 12/4/15),1/8/2016,11/10/2015,12/4/2015,12/4/2015,"Name or other personal identifier in combination with SSN, Driver's license No. or non-driver identification card number and financial account no. or credit or debit card no., in combination with the security code, access code, password, or PIN for the account",2
Grunt Style LLC,"400 Fullerton Ave, Carol Stream, Illinois 60188",None,"Bruce Radke, VedderPrice, 222 North Lasalle St., Chicago, IL 60601; 312-608-7689; bradke@vedderprice.com",12/9/2015,1/8/2016,12/9/2015,,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
MROStop LLC,"P.O. Box 7207, Charlotte, NC 28241","Tod Skinner, 704-970-2484; corpinfo@mrostop.com",N/A,Discovered 12/1/15 and 12/14/15,1/4/2016,,,"12/1/15, 12/14/15",Username & password and real time entries of credit card information,5
Regional Income Tax Agency,,None,"Melissa Ventrone, WilsonElser, 55 West Monroe Street, Suite 3800, Chicago IL 60603; 312-821-6105; Melissa.Ventrone@wilsonelser.com",Discovered on 11/10/15 ,12/31/2015,,,11/10/2015,"Tax documents submitted on or before June 2012 and may have included , name, address, SSN and possible birthdate and financial information",6
Livestream LLC,"195 Morgan Avenue, Brooklyn, NY  11237",None,"Tonia Ouelletter Klausner, Esq., Wilson Sonsini Goodrich & Rosati; tklausner@wsgr.com; 212-497-7706",12/2/15 (discovered 12/8/15,12/24/2015,12/2/2015,,12/8/2015,Not specified,unknown
"Matson Navigation Company, Inc.","555 12th Street, Oakland, CA 94607",None,"Karl Nelson, Esq., Gibson, Dunn & Crutcher, LLP, 214-698-3203; knelson@gibsondunn.com",11/9/15-12/7/15 (Discovered 12/7/15),12/23/2015,11/9/2015,12/7/2015,12/7/2015,"Name or other personal identifier in combination with SSN, Driver's licensse number or non-driver identification card number, and financial account number or credit or debit card number, in combinaiton with the security code, access code, password, or PIN for the account.",188
"Acclaim Technical Services, Inc., (""ATS"")","11091 Sunset Hills Rd., Suite 150, Reston, VA 20190","David Cerne, CEO, 571-262-0610, d.cerne@acclaimtechnical.com",N/A,Recently discovered,12/23/2015,,,,"Name, SSN, address, date and place of birth, passport number, driver license number, residency, educational and employment history, personal foreign travel history, and other personal info.",1
"Intuit, Inc.","2535 Garcia Ave., Mountain View, CA  94043","Barbara Lawler, Chief Privacy Officer, Intuit, 650-944-5136; Barbara_lawler@intuit.com",N/A,"On or before 12/9/15 (discovered 12/3/15, 12/9/15)",12/23/2015,12/9/2015,,"12/3/15, 12/9/15","Name or other personal identifier in combination with SSN and Financial account no. or credit or debit card number, in combination with the security access code, password or PIN for the account",15
Farm to Feet,"1546 Carter Street, Mount Airy, NC",None,"Jennifer Coughlin, Lewis Brisbois Bisgaard & Smith, LLP; 550 E. Swedesford Rd., Suite 270, Wayne, PA 19087; 215-977-4081; Jennifer.Coughlin@lewisbrisbois.com",8/3/15 - 11/18/15 (Discovered -11/18/15),12/23/2015,8/3/2015,11/18/2015,11/18/2015,"Name, address, email address, credit card number, credit card expiration date and CVV2 data.",5
"Dungarees, LLC","500 East Broadway, Columbia, MO 65201",None,"Lucie Huger, Esq., Greensfelder, Hemker & Gale, P.C., 314-345-4725; lfh@greensfelder.com",10/15/15 - 11/20/15 ,12/21/2015,10/15/2015,11/20/2015,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",143
"The Home Depot, Inc.",,None,"James Denvil, Hogan Lovells, US LLP, Columbia Square, 555 Thirteenth Street, NW, Washington, DC 20004; 202-637-5521; james.denvil@hoganlovells.com",11/17/2015,12/21/2015,11/17/2015,,,Full name and SSN,2
Thomas Nelson Community College of the Virginia Community College System,"99 Thomas Nelson Drive, Hampton, VA 23666","Greer Saunders, System Counsel, 804-819-4906; gsaunders@vccs.edu",N/A,12/8/2015,12/18/2015,12/8/2015,,,Name or other personal identifier in combination with SSN,2
EZCONTACTS.COM,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Nov,12/17/2015,11/1/2015,,,Discover card account information may have been compromised,1
Wilderness at the Smokies,"1424 Old Knoxville Hwy, Sevierville, TN 37876",None,"Jennifer Coughlin, Lewis Brisbois Bisgaard & Smith, LLP; 550 E. Swedesford Rd., Suite 270, Wayne, PA 19087; 215-977-4081; Jennifer.Coughlin@lewisbrisbois.com",2/18/15-3/10/15 (Discovered -11/3/15),12/17/2015,2/18/2015,3/10/2015,11/3/2015,"Name, card number, expiration date and CVV code.",Unknown
"Catenacci, Markowitz, Delandri, Rosner & Company",,None,"Dominic Paluzzi, Esq., McDonald Hopkins PLC, 39533 Woodward Ave., Suite 318, Bloomfield Hills, Michigan 48304; 248-220-1356; dpaluzzi@mcdonaldhopkins.com","Detected on September 23, 2015",12/15/2015,,,,Full name and SSN,1
Vesta Property Services,,None,"Gregory Bautista, Wilson Elser, 914-872-7839; Gregor.Bautista@wilsonelser.com",10/31/2015,12/15/2015,10/31/2015,,,"Name, birthdate, SSN and certain direct deposit info for employees and independent contractors of an acquired company, Amenity Companies",1
"Centerra Group, LLC through  ADP",,None,"Jason Gavejian, Esq.; Jackson Lewis P.C.; 220 Headquarters Plaza; East Tower, 7th Floor, Morristown, NJ 07960; 973-538-6890;  ",10/28/15 (discovered 11/16/15),12/14/2015,10/28/2015,,11/16/2015,"Personal information including name, wages, address and SSN",1
"Mary Ruth Buchness, MD, Dermatologist, PC","560 Broadway, Suite 406, NY, NY 10012",None,"Charles Newman, Esq., Kern Augustine Conroy & Schoppmann, P.C.; 516-294-5432; cnewman@drlaw.com",11/23/2015,12/11/2015,11/23/2015,,,Name or other personal identifier in combination with SSN,3
Toyota Motor Credit Corporation,"19001 So. Western Avenue, Privacy Compliance EF12, Torrance, CA 90501","Brandt Taylor National, Manager Enterprise Compliance, 469-786-8341.",N/A,8/5/2015,12/11/2015,8/5/2015,,,"Name, Toyota Motor Credit Corp. account number, bank account number and bank routing number",Not specified
TuneCore,"63 Pearl Street, Box #256, Brooklyn, NY 11201",None,"Danielle Gray, O'Melveny & Myers, LLP; 212-326-2078; dgray@omm.com","Early to mid-November, 2015 (Discovered 11/23/15)",12/9/2015,Early to mid-November 2015,"November, 2015 ",11/23/2015,Name or other personal identifier in combination with SSN,27
Maine General Medical Center,"35 Medical Center Parkway, Augusta, Maine 04330","Marci Alexander, General Counsel, 207-624-4222",N/A,MGMC notified by FBI on 11/13/15,12/8/2015,,,,"Employee data, including name, address, telephone number and date of birth and similar patient and donor information",Unknown
Mayer-Johnson.com,,None,"Jon Neiditz, Kilpartrick Townsend & Stockton LLP, 100 Peachtree St., NE, Suite 2800, Atlanta, GA 30309; 404-815-6500; Jneiditz@kilpatricktownsend.com",Discovered 11/24/15,12/9/2015,,,11/24/2015,Payment card numbers,1
New England Calendar and Novelty Company,"133 Legion Drive, Cobleskill, NY 12043",None,"Kate Martinez, Nixon Peabody LLP; 585-263-1332; kmartinez@nixonpeabody.com",9/24/2015,12/7/2015,9/24/2015,,,"Name or other identifier in combination with Financial account no. or credit or debit card number, in combination with the security code, access code, password or PIN for the account.",20
Cottage Health,"400 West Pueblo Street, Santa Barbara, CA  93015",None,"Jeffrey LeVee, Jones Day, 213-243-2572; jlevee@jonesday.com",10/26/15-11/8/15,12/3/2015,10/26/2015,11/8/2015,,Name or other personal identifier in combination with SSN,2
MUJI USA LIMITED,"250 W39th S., Suite 605, NY, NY 10018","Asako Shimazaki, President, 646-366-0515; simazaki@muji.co.jp",N/A,1/22/15-7/20/15,11/30/2015,1/22/2015,7/20/2015,,"Name, address, payment card number, expiration date and ccv/cvv number",Not specified
NorthShore Care Supply,"Buffalo Grove, Illinois ",None,"Melissa K.Ventrone, Wilson, 312-821-6105; melissa.ventrone@wilsonelser.com",Supplement to previous notice dated 10/8/15 stating breach occurred 3/30/15 not 6/7/15,11/30/2015,3/30/2015,,,See 10/8/15 notice,18 additional Maine residents
Keenan & Associates,"2355 Crenshaw Blvd, Suite 200, Torrance, CA 90501",None,"Theodore J. Kobus, III, Baker Hostetler, 212-271-1504; tkobus@bakerlaw.com",10/9/2015,11/20/2015,10/9/2015,,,Name or other personal identifier in combination with SSN,6 (to date)
Barproducts.com,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,3
CL Media 8772145393,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,5
District Lines Inc.,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,6
In Vogue Incorp,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,2
Interstitial Cystitis Network,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,1
Luggage Pros,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,1
Mandarin Oriental,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,4
SSA Honolulu Zoo,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,2
White Lodging - Marriott Hotels,,"Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286; garywachtel@discover.com",N/A,15-Oct,11/18/2015,10/1/2015,,,Discover card account information may have been compromised,6
Norton Rose Fulbright US LLP,"Tabor Center, 1200 17th Street, Suite 1000, Denver, CO 80202","Kristopher Kleiner, 303-801-2758; kris.kleiner@nortonrosefulbright.com",N/A,2/17/15 - 5/27/15 (learned of on 11/6/15),11/24/2015,2/17/2015,5/27/2015,,"Name, address, email address, username and password for the websites, payment card acct number, card exp date, and payment card security code.",14
"Hilton Worldwide, Inc.","7930 Jones Branch Dr., McLean, VA 22102","Courtney Barton, Senior Counsel, 703-883-5961; courtney.barton@hilton.com",N/A,11/18/14-12/5/14 (discovered 2/10/15); 2nd  one between 4/21/15&7/27/15 (discovered 7/13/15),11/24/2015,"11/18/2014, 4/21/15",12/5/2014,"2/10/2015, 7/13/15","Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",Unknown
Bay Ridge Toyota,"6401 6th Ave, Brooklyn, NY  11220",None,"James Prendergast, Esq., Lewis Brisbois, Bisgaard & Smith, LLP, 550 E. Swedesford Rd., Suite 270, Wayne, PA 19087; 215-977-4058; jim.prendergast@lewisbrisbois.com",Discovered 9/17/15,11/24/2015,,,9/17/2015,Name or other personal identifier in combination with SSN,1
