Company Name,clean_name,Company Type,D-U-N-S@ Number,Manufacturing Indicator,Subsidiary Status,Year of Founding,Location Type,Physical State,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1)
"AMO USA, INC.",,Private,13-884-6428,Non Manufacturer,Subsidiary,2002,Single Location,CALIFORNIA,339112,Surgical and Medical Instrument Manufacturing,,,,,38410000,Surgical and medical instruments,"$1,100,000,000 ",200,200,"$1,100,000,000 "
"SRA INTERNATIONAL, INC.",SRA International Inc,Public,09-777-9698,Manufacturer,Subsidiary,1976,Headquarters,VIRGINIA,541512,Computer Systems Design Services,,,,,73730000,Computer integrated systems design,"$1,012,737,006 ","6,000",148,"$1,250,292,600 "
"BNY MELLON, NATIONAL ASSOCIATION",BNY Mellon Shareowner Services,Private,00-791-6018,Manufacturer,Subsidiary,1869,Headquarters,PENNSYLVANIA,522110,Commercial Banking,,,,,60210000,National commercial banks,"$996,967,000 ","7,662",10,"$996,967,000 "
TRUSTEES OF TUFTS COLLEGE,Tufts University,Private,07-313-4835,Non Manufacturer,Non-Subsidiary,1852,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools","323111, 323120, 611310","""Commercial Printing (except Screen and Books) "", ""Support Activities for Printing"", ""Colleges, Universities, and Professional Schools ""","2752, 2791, 8221","""Commercial printing, lithographic"", ""Typesetting"", ""Colleges and universities""",82210102,University,"$914,403,538 ","4,100",300,"$914,403,538 "
CERIDIAN HCM HOLDING INC.,Ceridian HCM HLDG Inc,Public,07-916-8841,Manufacturer,Non-Subsidiary,2007,Headquarters,MINNESOTA,551112,Offices of Other Holding Companies,,,,,67199901,"Investment holding companies, except banks","$824,100,000 ","4,444",0,"$746,400,000 "
"CROSS COUNTRY HEALTHCARE, INC.",Credit Bureau of Traverse City Inc,Public,08-242-3377,Manufacturer,Non-Subsidiary,1996,Headquarters,FLORIDA,561311,Employment Placement Agencies,"561311, 561320","""Employment Placement Agencies "", ""Temporary Help Services""","7361, 7363","""Employment agencies"", ""Help supply services""",73610204,Nurses' registry,"$822,224,000 ","7,397","1,800","$816,484,000 "
UNITED GUARANTY RESIDENTIAL INSURANCE COMPANY,United Guaranty Residential Insurance Company of NC,Private,07-796-3510,Manufacturer,Subsidiary,1963,Headquarters,NORTH CAROLINA,524126,Direct Property and Casualty Insurance Carriers,,,,,63519904,Mortgage guarantee insurance,"$774,490,186 ",450,200,"$774,490,186 "
TITANIUM METALS CORPORATION,Time Inc,Private,04-182-9318,Non Manufacturer,Subsidiary,1950,Headquarters,OHIO,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",331491,"""Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding """,3356,"""Nonferrous rolling and drawing, nec""",33560600,Titanium,"$757,888,143 ","2,750",30,"$757,888,143 "
UFCW & EMPLOYERS TRUST LLC,UFCW,Private,08-014-0395,Manufacturer,Non-Subsidiary,1957,Headquarters,CALIFORNIA,523991,"Trust, Fiduciary, and Custody Activities",,,,,67330000,"Trusts, nec","$584,109,744 ",200,110,"$584,109,744 "
EAST CAROLINA UNIVERSITY,East Carolina University Physicians,Private,07-555-7926,Manufacturer,Non-Subsidiary,1907,Headquarters,NORTH CAROLINA,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210102,University,"$549,440,502 ","5,607",13,"$424,050,478 "
"BARE ESCENTUALS, INC.",Bare Escentuals,Public,08-700-8363,Manufacturer,Subsidiary,1990,Headquarters,NEW YORK,446120,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,"""Cosmetics, Beauty Supplies, and Perfume Stores """,5999,"""Miscellaneous retail stores, nec""",59991301,Cosmetics,"$485,569,139 ","2,779",500,"$550,941,339 "
ARBELLA MUTUAL INSURANCE COMPANY,Arbella Insurance Group,Private,19-970-1434,Manufacturer,Non-Subsidiary,1988,Headquarters,MASSACHUSETTS,524210,Insurance Agencies and Brokerages,,,,,64110305,Property and casualty insurance agent,"$472,733,755 ","1,180",600,$0 
"ECMC GROUP, INC.",ECMC Group,Private,07-962-8205,Manufacturer,Non-Subsidiary,2000,Headquarters,MINNESOTA,522298,All Other Nondepository Credit Intermediation,,,,,61119906,Student Loan Marketing Association,"$408,477,376 ","9,000",23,"$408,477,376 "
EDUCATIONAL CREDIT MANAGEMENT CORPORATION,Education Management Corp,Private,00-795-8366,Manufacturer,Non-Subsidiary,1994,Headquarters,MINNESOTA,522298,All Other Nondepository Credit Intermediation,,,,,61110000,Federal and federally sponsored credit agencies,"$391,897,959 ",634,341,"$391,897,959 "
WESTERN MICHIGAN UNIVERSITY,Western Michigan University,Private,06-223-0560,Manufacturer,Non-Subsidiary,1903,Headquarters,MICHIGAN,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210102,University,"$381,921,001 ",861,17,"$381,921,001 "
"SEA RAY BOATS, INC.",Sea Ray Boats Inc,Private,06-108-7029,Non Manufacturer,Subsidiary,1972,Headquarters,TENNESSEE,336612,Boat Building,336612,"""Boat Building """,3732,"""Boat building and repairing""",37329902,"Boats, fiberglass: building and repairing","$331,872,047 ","1,782",800,"$331,872,047 "
THE TRUSTEES OF THE SMITH COLLEGE,Smith College,Private,06-698-9427,Manufacturer,Non-Subsidiary,1871,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$296,542,620 ","1,300","1,290","$406,780,000 "
ALLIEDBARTON SECURITY SERVICES LLC,Allied Barton Security Services LLC,Private,61-055-6917,Manufacturer,Subsidiary,2004,Headquarters,PENNSYLVANIA,561612,Security Guards and Patrol Services,,,,,73810105,Security guard service,"$283,120,144 ","2,010",200,"$332,165,181 "
"BERKLEE COLLEGE OF MUSIC, INC.",Berklee College of Music,Private,07-172-4884,Manufacturer,Non-Subsidiary,1933,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$276,036,955 ",760,44,"$276,036,955 "
"HALLMARK HEALTH SYSTEM, INC.",Hallmark Health System Inc,Private,08-337-9198,Manufacturer,Subsidiary,1921,Headquarters,MASSACHUSETTS,561110,Office Administrative Services,,,,,87419906,Hospital management,"$270,950,655 ","2,600","1,000","$270,950,655 "
"DSW SHOE WAREHOUSE, INC.",DSW Inc,Private,00-890-9137,Manufacturer,Subsidiary,1928,Headquarters,OHIO,448210,Shoe Stores,,,,,56619904,Men's shoes,"$263,381,729 ","2,550",1,$0 
UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,United Food-Commercial Workers International,Private,06-927-7069,Manufacturer,Non-Subsidiary,1888,Headquarters,DISTRICT OF COLUMBIA,813930,Labor Unions and Similar Labor Organizations,,,,,86319903,Labor union,"$250,484,054 ",500,250,"$250,484,054 "
UNITEDHEALTH GROUP INCORPORATED,UnitedHealth Group Inc,Public,11-287-1561,Manufacturer,Non-Subsidiary,1974,Headquarters,MINNESOTA,524114,Direct Health and Medical Insurance Carriers,"524114, 524210","""Direct Health and Medical Insurance Carriers "", ""Insurance Agencies and Brokerages ""","6321, 6324, 6411","""Accident and health insurance"", ""Hospital and medical service plans"", ""Insurance agents, brokers, & service""",63249903,"Health Maintenance Organization (HMO), insurance only","$242,155,000 ","300,000","1,400","$226,247,000,000 "
EASTERN MICHIGAN UNIVERSITY,Eastern Michigan University,Private,07-313-2136,Manufacturer,Non-Subsidiary,1849,Headquarters,MICHIGAN,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$240,658,643 ","2,000","1,800","$240,658,643 "
GRAFTECH INTERNATIONAL HOLDINGS INC.,GrafTech International Holdings Inc,Private,36-111-7534,Non Manufacturer,Subsidiary,1988,Headquarters,OHIO,335991,Carbon and Graphite Product Manufacturing,,,,,36249905,"Electrodes, thermal and electrolytic uses: carbon, graphite","$233,174,632 ",681,197,"$230,949,733 "
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,Association of American Medical Colleges,Private,06-928-7779,Manufacturer,Non-Subsidiary,1955,Single Location,DISTRICT OF COLUMBIA,813920,Professional Organizations,,,,,86219904,Education and teacher association,"$229,400,848 ",450,450,"$217,067,684 "
COLLEGE OF THE HOLY CROSS (INC),College Board,Private,04-150-9506,Manufacturer,Non-Subsidiary,1843,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$200,673,000 ",949,872,"$189,645,000 "
"CIRCLE GRAPHICS, INC.",Circle Graphics Inc,Private,00-105-6063,Non Manufacturer,Non-Subsidiary,2005,Headquarters,COLORADO,323111,Commercial Printing (except Screen and Books),,,,,27590000,"Commercial printing, nec","$183,678,016 ",600,277,"$178,315,565 "
MIDDLESEX SAVINGS BANK,Middlesex Savings Bank,Private,00-695-5181,Manufacturer,Non-Subsidiary,1835,Headquarters,MASSACHUSETTS,522120,Savings Institutions,522120,"""Savings Institutions """,6036,"""Savings institutions, except federal""",60369902,"State savings banks, not federally chartered","$181,374,000 ",464,50,"$161,650,000 "
ADVANCED HOME CARE INC.,Advanced Home Care Inc,Private,60-316-1209,Manufacturer,Non-Subsidiary,0,Single Location,NORTH CAROLINA,621610,Home Health Care Services,,,,,80820000,Home health care services,"$180,652,446 ","1,700",630,"$176,881,755 "
ALCOA INC.,Alcoa Inc,Private,10-153-8064,Non Manufacturer,Non-Subsidiary,0,Branch,OHIO,336370,Motor Vehicle Metal Stamping,,,,,34650000,Automotive stampings,"$159,000,000 ",0,0,$0 
WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,Wake Forest University Health Services,Private,03-481-3944,Manufacturer,Non-Subsidiary,1975,Headquarters,NORTH CAROLINA,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",,,,,80490200,Physical therapist,"$156,331,000 ",550,76,"$139,729,000 "
"BEECHER CARLSON HOLDINGS, INC.",Beecher Carlson Holdings Inc,Private,14-434-9607,Manufacturer,Subsidiary,2003,Headquarters,GEORGIA,524210,Insurance Agencies and Brokerages,,,,,64110302,"Insurance brokers, nec","$155,495,745 ",435,70,"$177,555,074 "
"HARRINGTON MEMORIAL HOSPITAL, INC.",Harrington Hospital,Private,07-534-0877,Manufacturer,Non-Subsidiary,1928,Headquarters,MASSACHUSETTS,622110,General Medical and Surgical Hospitals,622110,"""General Medical and Surgical Hospitals """,8062,"""General medical & surgical hospitals""",80629901,"Hospital, affiliated with AMA residency","$135,579,732 ","1,100",700,"$130,015,244 "
PRESIDENT & TRUSTEES OF WILLIAMS COLLEGE,Premiere Credit of North America LLC,Private,02-066-5972,Manufacturer,Non-Subsidiary,1793,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210101,"College, except junior","$121,177,845 ",950,947,"$121,360,984 "
"NATIONAL AUDUBON SOCIETY, INC.",The National Audubon Society,Private,07-313-5808,Non Manufacturer,Non-Subsidiary,1905,Headquarters,NEW YORK,813410,Civic and Social Organizations,"511120, 813410","""Periodical Publishers "", ""Civic and Social Organizations ""","2721, 8641","""Periodicals"", ""Civic and social associations""",86419903,Environmental protection organization,"$116,692,348 ",600,100,"$116,692,348 "
"CAMBRIDGE HEALTH ALLIANCE PHYSICIANS ORGANIZATION, INC.",California Banker's Benefits,Private,86-913-2555,Manufacturer,Non-Subsidiary,1992,Headquarters,MASSACHUSETTS,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110205,Primary care medical clinic,"$116,577,743 ",370,6,"$116,577,743 "
TOWER FEDERAL CREDIT UNION,Tower Federal Credit Union,Private,07-492-2873,Manufacturer,Non-Subsidiary,1953,Headquarters,MARYLAND,522130,Credit Unions,,,,,60610000,Federal credit unions,"$109,494,366 ",490,255,"$86,307,987 "
"AMERIPATH, INC.",Ameripath,Public,03-244-9027,Manufacturer,Subsidiary,1996,Headquarters,FLORIDA,621511,Medical Laboratories,621511,"""Medical Laboratories """,8071,"""Medical laboratories""",80710104,Pathological laboratory,"$108,758,343 ","3,979",100,"$108,828,399 "
SPENCER SAVINGS BANK SLA,Sovereign Bank,Private,07-667-6345,Manufacturer,Non-Subsidiary,1939,Headquarters,NEW JERSEY,522120,Savings Institutions,,,,,60369901,"Savings and loan associations, not federally chartered","$106,096,000 ",200,57,"$95,095,000 "
EMPIRIX INC.,Empirix,Private,86-853-2131,Manufacturer,Non-Subsidiary,2000,Headquarters,MASSACHUSETTS,541511,Custom Computer Programming Services,"541380, 541511","""Testing Laboratories"", ""Custom Computer Programming Services ""","7371, 8734","""Computer programming services"", ""Testing laboratories""",73710301,Computer software development,"$100,364,560 ",380,129,"$86,665,319 "
BRISTOL COUNTY SAVINGS BANK INC,Bristoal Country Savings Bank,Private,01-976-1584,Manufacturer,Non-Subsidiary,1846,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60360000,"Savings institutions, except federal","$99,428,000 ",163,40,"$87,190,000 "
"EASTER SEALS UCP NORTH CAROLINA & VIRGINIA, INC.",Easter Seals UCP NC & VA Inc,Private,04-003-8531,Manufacturer,Non-Subsidiary,1952,Headquarters,NORTH CAROLINA,624190,Other Individual and Family Services,,,,,83220610,Social service center,"$95,510,937 ","2,600",40,"$98,284,472 "
"TRAVELCLICK, INC.",TransUnion LLC,Private,13-536-0183,Manufacturer,Subsidiary,1987,Headquarters,NEW YORK,541511,Custom Computer Programming Services,541511,"""Custom Computer Programming Services """,7371,"""Computer programming services""",73710300,Computer software development and applications,"$92,885,098 ",815,200,"$91,288,026 "
"ELIOT COMMUNITY HUMAN SERVICES, INC.","Electrical Workers Deferred Income Fund Local 103, I.B.E.W",Private,07-952-5101,Manufacturer,Non-Subsidiary,1958,Headquarters,MASSACHUSETTS,623220,Residential Mental Health and Substance Abuse Facilities,,,,,83610302,Mentally handicapped home,"$92,867,350 ","2,000",40,"$92,867,350 "
THE CHRISTIAN AND MISSIONARY ALLIANCE FOUNDATION INC,The Children's Hospital League,Private,04-817-5442,Manufacturer,Non-Subsidiary,1967,Headquarters,FLORIDA,531110,Lessors of Residential Buildings and Dwellings,,,,,65139903,Retirement hotel operation,"$92,701,282 ",750,550,"$103,001,424 "
UNIVERSITY OF MASSACHUSETTS DARTMOUTH,University of Massachusetts - Dartmouth,Private,06-392-1985,Manufacturer,Non-Subsidiary,0,Single Location,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$91,400,000 ",800,800,"$91,400,000 "
"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",,Private,09-919-5695,Manufacturer,Non-Subsidiary,1972,Headquarters,MASSACHUSETTS,624190,Other Individual and Family Services,,,,,83220610,Social service center,"$87,666,596 ","1,100",60,"$87,666,596 "
"FAMOUS DAVE'S OF AMERICA, INC.",Famous Dave's of America Inc,Public,93-260-6262,Manufacturer,Subsidiary,1995,Headquarters,MINNESOTA,722511,Full-Service Restaurants,"533110, 722511","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Full-Service Restaurants ""","5812, 6794","""Eating places"", ""Patent owners and lessors""",58120500,Family restaurants,"$82,269,000 ",779,74,"$64,595,000 "
VIRGINIA AIR DISTRIBUTORS INC,Virginia Air Distributors Inc,Private,15-449-8513,Manufacturer,Non-Subsidiary,1987,Headquarters,VIRGINIA,423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,,,,50649902,"Appliance parts, household","$64,644,031 ",160,36,"$64,644,031 "
"WAMU INVESTMENTS, INC.",Walsh Pharmacy,Private,06-754-8503,Manufacturer,Subsidiary,1888,Headquarters,WASHINGTON,523120,Securities Brokerage,,,,,62110204,"Investment firm, general brokerage","$64,598,648 ",119,33,"$4,611,384 "
"CONCUR TECHNOLOGIES, INC.",Concur Technologies Inc,Public,86-726-2263,Manufacturer,Subsidiary,1994,Headquarters,WASHINGTON,541511,Custom Computer Programming Services,"511210, 541511","""Software Publishers"", ""Custom Computer Programming Services ""","7371, 7372","""Computer programming services"", ""Prepackaged software""",73710100,Custom computer programming services,"$63,823,602 ","3,765","1,488","$1,020,621,133 "
BROADSPIRE SERVICES INC,Broadspire Legal,Private,14-410-0757,Manufacturer,Subsidiary,1979,Headquarters,FLORIDA,621999,All Other Miscellaneous Ambulatory Health Care Services,,,,,80999905,Medical services organization,"$63,813,956 ","2,150","1,300","$70,904,396 "
DEDHAM INSTITUTION FOR SAVINGS,Dedham Institution for Savings,Private,00-695-4093,Manufacturer,Non-Subsidiary,1831,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$59,430,000 ",169,125,"$53,851,000 "
EASTHAMPTON SAVINGS BANK,Easthampton Savings Bank,Private,00-695-4135,Manufacturer,Non-Subsidiary,1869,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60359902,Federal savings banks,"$55,683,000 ",127,42,"$53,329,000 "
"DAEDALUS BOOKS, INC.",Daedalus Books Inc,Private,06-927-7853,Manufacturer,Non-Subsidiary,1980,Single Location,OHIO,424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,,,,51929901,Books,"$55,586,318 ",170,170,$0 
UNIFORMED SERVICES BENEFIT ASSOCIATION,Uniformed Services Benefit Association,Private,07-307-1334,Manufacturer,Non-Subsidiary,0,Single Location,MISSOURI,524298,All Other Insurance Related Activities,,,,,64110101,"Advisory services, insurance","$54,271,095 ",65,0,"$54,271,095 "
ARCHSTONE NEW DEVELOPMENT HOLDINGS LP,Archstone,Private,96-849-9017,Manufacturer,Non-Subsidiary,2007,Headquarters,VIRGINIA,551112,Offices of Other Holding Companies,,,,,67199902,"Personal holding companies, except banks","$42,842,029 ",500,75,"$42,842,029 "
BUENA VISTA UNIVERSITY,Buena Vista University,Private,07-697-8972,Manufacturer,Non-Subsidiary,1891,Headquarters,IOWA,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$42,598,547 ",350,210,"$51,456,179 "
WEBSTER FIVE CENTS SAVINGS BANK,Webster Five Cents Savings Bank,Private,00-695-6486,Manufacturer,Non-Subsidiary,1868,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$36,992,000 ",175,55,"$34,252,000 "
"TELHIO CREDIT UNION, INC.",TeleTech Holding,Private,09-216-0548,Manufacturer,Non-Subsidiary,1935,Headquarters,OHIO,522130,Credit Unions,,,,,60610000,Federal credit unions,"$32,802,511 ",83,50,"$30,830,602 "
BANKFIVE CORPORATION,Bank of Vernon,Private,83-047-1467,Manufacturer,Non-Subsidiary,2005,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$32,440,000 ",12,12,"$32,440,000 "
SHREWSBURY PUBLIC SCHOOLS,Shrewsbury Public Schools,Private,07-979-9393,Manufacturer,Non-Subsidiary,2015,Headquarters,MASSACHUSETTS,611110,Elementary and Secondary Schools,,,,,82110300,Public elementary and secondary schools,"$31,760,721 ",816,30,"$28,873,383 "
VERSO PAPER CORP,Verso Paper Corp,Private,96-809-9569,Non Manufacturer,Non-Subsidiary,0,Single Location,MAINE,322121,Paper (except Newsprint) Mills,,,,,26210000,Paper mills,"$29,605,582 ",99,99,"$14,100,000 "
"EMPIRE EQUITY GROUP, INC.",Empire Equity,Private,13-179-6500,Manufacturer,Non-Subsidiary,0,Single Location,NORTH CAROLINA,531210,Offices of Real Estate Agents and Brokers,,,,,65310100,Real estate brokers and agents,"$28,014,514 ","1,250",50,"$37,400,000 "
ST MARYS CREDIT UNION INC,St Mary's Credit Union,Private,08-002-7634,Manufacturer,Non-Subsidiary,1913,Headquarters,MASSACHUSETTS,522130,Credit Unions,,,,,60610000,Federal credit unions,"$27,546,800 ",150,60,"$25,151,075 "
"CAROLINA WEST WIRELESS, INC.",Carolina West Wireless Inc,Private,62-466-5899,Manufacturer,Non-Subsidiary,1989,Headquarters,NORTH CAROLINA,517312,Wireless Telecommunications Carriers (except Satellite),,,,,48129901,Cellular telephone services,"$25,035,474 ",60,52,"$23,413,322 "
"CENTRIC SOFTWARE, INC.",Centric Software Inc,Private,60-577-7085,Manufacturer,Non-Subsidiary,1989,Headquarters,CALIFORNIA,541611,Administrative Management and General Management Consulting Services,,,,,87420000,Management consulting services,"$22,779,176 ",98,42,"$18,825,765 "
"CORCORAN MANAGEMENT COMPANY, INC.","Coral Springs, FL (City of)",Private,07-170-4134,Manufacturer,Non-Subsidiary,1979,Headquarters,MASSACHUSETTS,531110,Lessors of Residential Buildings and Dwellings,,,,,65130000,Apartment building operators,"$20,014,117 ",300,30,"$15,036,903 "
COOPER UNIVERSITY HEALTH CARE,Cooper University Health Care,Private,07-963-8717,Manufacturer,Non-Subsidiary,2014,Headquarters,NEW JERSEY,622110,General Medical and Surgical Hospitals,,,,,80620000,General medical and surgical hospitals,"$18,368,252 ",307,19,"$15,180,374 "
CALDWELL COMMUNITY COLLEGE & TECHNICAL INSTITUTE,Caldwell Community College and Technical Institute,Private,07-905-4045,Manufacturer,Subsidiary,1964,Headquarters,NORTH CAROLINA,611210,Junior Colleges,,,,,82229901,Community college,"$17,769,269 ",600,363,"$17,769,269 "
THE AMERICAN INSTITUTE FOR CANCER RESEARCH INC,American Institute for Cancer Research,Private,10-191-8860,Manufacturer,Non-Subsidiary,1981,Single Location,VIRGINIA,813319,Other Social Advocacy Organizations,,,,,83999904,"Fund raising organization, non-fee basis","$15,551,676 ",70,70,"$15,551,676 "
BLUE RIDGE BONE AND JOINT CLINIC PA,Blue Cross Blue Shield of Georgia,Private,07-904-8898,Manufacturer,Non-Subsidiary,1974,Headquarters,NORTH CAROLINA,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110514,Orthopedic physician,"$13,410,115 ",132,69,"$13,410,115 "
SC DHEC,,Private,01-529-3364,Manufacturer,Non-Subsidiary,2010,Single Location,SOUTH CAROLINA,562910,Remediation Services,,,,,49590302,Environmental cleanup services,"$11,644,831 ",69,69,"$11,644,831 "
SHOWA BOSTON INSTITUTE FOR LANGUAGE AND CULTURE INC,,Private,18-377-4231,Manufacturer,Non-Subsidiary,1987,Single Location,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$11,620,186 ",53,53,"$11,620,186 "
APOLLO SECURITY INC,Aon Corp,Private,16-252-9155,Manufacturer,Non-Subsidiary,2001,Single Location,NEW YORK,561612,Security Guards and Patrol Services,,,,,73810100,Guard services,"$10,000,000 ",300,300,"$10,000,000 "
"CORELOGIC CREDCO, LLC",CoreLogic Credco LLC,Public,01-019-9297,Manufacturer,Subsidiary,2005,Headquarters,CALIFORNIA,561450,Credit Bureaus,,,,,73239902,Consumer credit reporting bureau,"$9,404,727 ",500,220,"$9,404,727 "
"DESTINATION HOTELS AND RESORTS, INC",Destination Hotels & Resorts Inc,Private,87-803-7779,Manufacturer,Non-Subsidiary,0,Branch,WASHINGTON,721199,All Other Traveler Accommodation,,,,,70110200,Vacation lodges,"$9,100,000 ",0,250,$0 
WAKEFIELD COOPERATIVE BANK,Wakefield Coopertive Bank,Private,06-126-5922,Manufacturer,Non-Subsidiary,1887,Headquarters,MASSACHUSETTS,522120,Savings Institutions,,,,,60359901,Federal savings and loan associations,"$8,695,000 ",45,45,"$7,721,000 "
BENEFIT CONCEPTS INC OF RHODE ISLAND,Benefit Concepts Inc,Private,13-576-4058,Manufacturer,Subsidiary,1985,Headquarters,NEW YORK,541612,Human Resources Consulting Services,,,,,87420201,Compensation and benefits planning consultant,"$8,554,852 ",225,200,"$9,505,391 "
EASTERN RADIOLOGISTS INC,Eastern Radiologists Inc,Private,08-236-6311,Manufacturer,Non-Subsidiary,1952,Headquarters,NORTH CAROLINA,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110519,Radiologist,"$8,370,743 ",60,50,"$8,370,743 "
CHARLES RIVER MEDICAL ASSOCIATES PC,"Charles River Medical Associates, P.C.",Private,11-071-6222,Manufacturer,Non-Subsidiary,1995,Headquarters,MASSACHUSETTS,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110105,"Internal medicine, physician/surgeon","$7,943,817 ",35,5,"$7,943,817 "
AMERITAS INVESTMENT CORP,Amerita's Investment Corp,Private,11-507-2977,Manufacturer,Subsidiary,1983,Headquarters,NEBRASKA,523120,Securities Brokerage,,,,,62110106,Stock brokers and dealers,"$7,500,000 ",135,30,"$7,500,000 "
EDUCATIONAL THEATRE ASSOCIATION,Educational Theatre Association,Private,07-678-9585,Manufacturer,Non-Subsidiary,1929,Headquarters,OHIO,813410,Civic and Social Organizations,,,,,86990200,Reading rooms and other cultural organizations,"$7,279,126 ",30,30,$0 
"GOODWILL INDUSTRIES OF THE PIONEER VALLEY, INC.",Goodwill Industries of the Pioneer Valley Inc,Private,06-697-6085,Manufacturer,Non-Subsidiary,1925,Headquarters,MASSACHUSETTS,453310,Used Merchandise Stores,,,,,59320401,"Clothing, secondhand","$7,209,689 ",625,350,"$7,209,689 "
AMERICAN FEDERATION OF TELEVISION & RADIO ARTISTS,American Federation of Television & Radio Artists (AFTRA),Private,07-773-8318,Manufacturer,Non-Subsidiary,1937,Headquarters,NEW YORK,813930,Labor Unions and Similar Labor Organizations,,,,,86319903,Labor union,"$6,612,198 ",56,16,"$6,612,198 "
UNIVERSITY OF MASSACHUSETTS AMHERST,University Hospital,Private,07-875-1735,Manufacturer,Subsidiary,2013,Headquarters,MASSACHUSETTS,611310,"Colleges, Universities, and Professional Schools",,,,,82210102,University,"$6,158,635 ",43,38,"$6,158,635 "
COLLECTION TECHNOLOGY INC,Collection Technology Inc,Private,13-933-5269,Manufacturer,Non-Subsidiary,1953,Single Location,CALIFORNIA,561440,Collection Agencies,,,,,73229902,"Collection agency, except real estate","$5,984,136 ",100,100,"$5,984,136 "
"FIRST ADVANTAGE TAX CONSULTING SERVICES, LLC",First AdVantage Tax Consulting Services LLC,Private,05-498-5106,Manufacturer,Subsidiary,1981,Single Location,INDIANA,541611,Administrative Management and General Management Consulting Services,,,,,87420000,Management consulting services,"$5,930,379 ",60,60,"$5,930,379 "
"EHRENKRANTZ ECKSTUT & KUHN ARCHITECTS, P.C.",Ehrenkrantz Eckstut & Kuhn Architects Inc,Private,06-824-1017,Manufacturer,Non-Subsidiary,1972,Headquarters,NEW YORK,541310,Architectural Services,,,,,87120101,Architectural engineering,"$5,582,656 ",70,24,"$5,582,656 "
STONEHAM BANK,Stoneham Bank,Private,60-655-9573,Manufacturer,Non-Subsidiary,1988,Single Location,MASSACHUSETTS,541611,Administrative Management and General Management Consulting Services,,,,,87420401,Banking and finance consultant,"$5,000,000 ",14,14,"$5,000,000 "
AMERICAN STUDENT ASSISTANCE SERVICES CORPORATION,American Student Assistance,Private,78-619-1171,Manufacturer,Non-Subsidiary,0,Single Location,MASSACHUSETTS,522291,Consumer Lending,,,,,61410000,Personal credit institutions,"$4,900,000 ",40,40,"$4,900,000 "
HAMPTON INN TROPICANA,Hampton Inn Tropicana,Private,09-484-7766,Manufacturer,Non-Subsidiary,1999,Single Location,NEVADA,721110,Hotels (except Casino Hotels) and Motels,,,,,70110000,Hotels and motels,"$4,793,848 ",94,94,"$5,326,498 "
