Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country/Region,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country/Region,Physical County,Physical State,Physical Zipcode,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
CHALLENGER SPORTS CORP.,Private,01-715-3151,Importer,,01-715-3151,CHALLENGER SPORTS CORP.,01-715-3151,CHALLENGER SPORTS CORP.,38.978169,"AMUSEMENT AND RECREATION, NEC, NSK",-94.718794,Manufacturer,Low,3 - Neutral,No,Rent,(913) 599-4884,Non-Subsidiary,WWW.CHALLENGERSPORTS.COM,1997,,,742852234,01-715-3151,CHALLENGER SPORTS CORP.,,Headquarters,,,,,,,8263 FLINT ST,LENEXA,USA,JOHNSON,KANSAS,662141500,611620,Sports and Recreation Instruction,,,,,79991100,"Instruction schools, camps, and services","$28,083,992",550,40,"$28,083,992",550,"20,000"
RAIL EUROPE NORTH AMERICA INC.,Private,05-435-4936,,,49-272-1782,RAIL EUROPE,49-272-1782,RAIL EUROPE,41.030146,"TRAVEL AGENCIES, NSK",-73.745112,Manufacturer,Low,4 - Less likely to pay,No,,(914) 682-2999,Subsidiary,WWW.RAILEUROPE.COM,1990,,,133598353,05-435-4936,RAIL EUROPE,,Headquarters,,,,,,,333 WESTCHESTER AVE,WHITE PLAINS,USA,WESTCHESTER,NEW YORK,106042910,561510,Travel Agencies,,,,,47249901,"Tourist agency arranging transport, lodging and car rental","$27,999,988",300,200,"$28,613,045",300,0
HEARTLAND HOTEL CORPORATION,Private,62-079-7944,,,62-079-7944,HEARTLAND HOTEL CORPORATION,62-079-7944,HEARTLAND HOTEL CORPORATION,42.022677,"HOTELS AND MOTELS, NSK",-91.628088,Manufacturer,Low,2 - Likely to pay,No,Owns,(319) 363-8613,Non-Subsidiary,WWW.HEARTLANDHOTEL.COM,1990,,HEARTLAND SERVICES,421358130,62-079-7944,HEARTLAND HOTEL CORPORATION,,Headquarters,,,,,,,4403 1ST AVE SE STE 114,CEDAR RAPIDS,USA,LINN,IOWA,524023255,721110,Hotels (except Casino Hotels) and Motels,,,,,70110000,Hotels and motels,"$25,818,296",750,5,"$28,686,996",750,"1,500"
"NORTHSTAR ANESTHESIA, P.A.",Private,07-968-3385,,,07-968-3385,"NORTHSTAR ANESTHESIA, P.A.",07-968-3385,"NORTHSTAR ANESTHESIA, P.A.",32.892809,"OFFICES AND CLINICS MEDICAL DOCTORS,NSK",-96.978482,Manufacturer,Low,2 - Likely to pay,No,,(214) 687-0001,Non-Subsidiary,WWW.NORTHSTARANESTHESIA.COM,2004,,,201218565,07-968-3385,"NORTHSTAR ANESTHESIA, P.A.",,Headquarters,,,,,,,6225 N STATE HIGHWAY 161 # 200,IRVING,USA,DALLAS,TEXAS,750382241,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110502,Anesthesiologist,"$25,703,757",165,78,"$24,365,586",165,0
THE RETHINK GROUP INC,Private,00-730-7059,,,,,,,34.182302,"INDIVIDUAL AND FAMILY SERVICES, NSK",-84.219458,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(866) 343-4874,Non-Subsidiary,WWW.THINKORANGE.COM,1995,,,582194943,,,,Single Location,,,,,,,5870 CHARLOTTE LN STE 300,CUMMING,USA,FORSYTH,GEORGIA,300400321,624190,Other Individual and Family Services,,,,,83220500,Family counseling services,"$25,684,480",70,70,"$25,684,480",70,0
TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,Private,12-261-3792,,,07-295-9232,THE TRUMP ORGANIZATION INC,07-295-9232,THE TRUMP ORGANIZATION INC,40.768441,"HOTELS AND MOTELS, NSK",-73.981597,Manufacturer,High,5 - Least Likely to pay,No,Owns,(212) 265-2049,Subsidiary,WWW.TRUMPINTERNATIONAL-1CPW.COM,1996,,TRUMP INTERNATIONAL HT GROUP,061479659,07-295-9232,THE TRUMP ORGANIZATION INC,,Headquarters,,,,,,,1 CENTRAL PARK W,NEW YORK,USA,NEW YORK,NEW YORK,100237703,721110,Hotels (except Casino Hotels) and Motels,,,,,70110300,Hotels,"$25,021,882",220,210,"$25,021,882",220,0
"KYOCERA DOCUMENT SOLUTIONS NEW ENGLAND, INC.",Private,11-524-7751,,,69-055-7624,KYOCERA CORPORATION,06-446-5503,"KYOCERA DOCUMENT SOLUTIONS AMERICA, INC.",42.527807,"MISCELLANEOUS RETAIL STORES, NEC, NSK",-71.157026,Manufacturer,Low,N/A,No,,(781) 272-4560,Subsidiary,WWW.KYOCERANEWENGLAND.COM,1984,,DUPLITRON,042839891,06-446-5503,KYOCERA CORPORATION,,Headquarters,,,,,,,1 JEWEL DR STE 321,WILMINGTON,USA,MIDDLESEX,MASSACHUSETTS,018873460,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),,,,,59991401,Business machines and equipment,"$25,000,000",107,50,$0,0,0
"ECS TUNING, INC.",Private,00-805-9820,Both,,00-805-9820,"ECS TUNING, INC.",00-805-9820,"ECS TUNING, INC.",41.010217,"AUTO AND HOME SUPPLY STORES, NSK",-81.762442,Manufacturer,Low,2 - Likely to pay,No,,(330) 331-2003,Non-Subsidiary,WWW.ECSTUNING.COM,2009,,,341099603,00-805-9820,"ECS TUNING, INC.",,Headquarters,,,,,,,1000 SEVILLE RD,WADSWORTH,USA,MEDINA,OHIO,442818317,441310,Automotive Parts and Accessories Stores,,,,,55310103,Automotive parts,"$23,879,444",50,50,"$23,879,444",50,0
"OPTOMA TECHNOLOGY, INC.",Private,92-613-2960,Importer,,65-614-3070,CORETRONIC CORPORATION,65-812-2858,OPTOMA CORPORATION,37.478512,PHOTOGRAPHIC EQUIPMENT AND SUPPLIES,-121.925454,Non Manufacturer,Low,2 - Likely to pay,No,,(510) 897-8600,Subsidiary,WWW.OPTOMA.COM,1995,,OPTOMA TECHNOLOGY,770403350,92-613-2960,CORETRONIC CORPORATION,,Single Location,,,,,,,47697 WESTINGHOUSE DR,FREMONT,USA,ALAMEDA,CALIFORNIA,945397474,333316,Photographic and Photocopying Equipment Manufacturing,,,,,38619903,"Projectors, still or motion picture, silent or sound","$21,744,485",120,120,"$23,570,417",120,"34,000"
"SANTA CRUZ BIOTECHNOLOGY, INC.",Private,78-265-5427,Importer,,78-265-5427,"SANTA CRUZ BIOTECHNOLOGY, INC.",78-265-5427,"SANTA CRUZ BIOTECHNOLOGY, INC.",32.865713,"BIOLOGICAL PRODUCTS, EXCEPT DIAGNOSTIC",-96.893388,Non Manufacturer,Low,5 - Least Likely to pay,No,,(214) 902-3900,Non-Subsidiary,WWW.SCBT.COM,1991,,,,78-265-5427,"SANTA CRUZ BIOTECHNOLOGY, INC.",,Headquarters,,,,,,,10410 FINNELL ST,DALLAS,USA,DALLAS,TEXAS,752202443,325414,Biological Product (except Diagnostic) Manufacturing,"325414, 424210","""Biological Product (except Diagnostic) Manufacturing "", ""Drugs and Druggists' Sundries Merchant Wholesalers ""","2836, 5122","""Biological products exc. diagnostic"", ""Drugs, proprietaries, and sundries""",28360000,"Biological products, except diagnostic","$21,649,930",115,115,"$21,012,453",115,"18,126"
"STL INTERNATIONAL, INCORPORATED",Private,06-272-9769,Importer,,,,,,47.1667,SPORTING AND RECREATION GOODS,-122.1184,Non Manufacturer,Low,3 - Neutral,No,,(253) 840-5252,Non-Subsidiary,WWW.TEETER.COM,1981,,HANG-UPS,911361932,,,,Single Location,,,,,,,9713 233RD AVE E STE A,BONNEY LAKE,USA,PIERCE,WASHINGTON,983912902,423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,,,,50910501,Exercise equipment,"$21,166,408",45,45,"$19,242,189",45,0
"PLANT THERAPY, LLC",Private,08-012-8261,Importer,,08-012-8261,"PLANT THERAPY, LLC",08-012-8261,"PLANT THERAPY, LLC",42.53938,"CHEMICAL PREPARATIONS, NEC, NSK",-114.479493,Non Manufacturer,Low,1 - Most likely to pay,No,,(800) 917-6577,Non-Subsidiary,WWW.PLANTTHERAPY.COM,2014,,,,08-012-8261,"PLANT THERAPY, LLC",,Headquarters,,,,,,,621 WASHINGTON ST S 100,TWIN FALLS,USA,TWIN FALLS,IDAHO,833015519,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,,,,28990100,Oils and essential oils,"$21,096,363",125,32,"$19,514,537",125,0
"RELIABLE RESPIRATORY, INC.",Private,60-745-8267,,,,,,,42.161588,MEDICAL EQUIPMENT RENTAL,-71.199879,Manufacturer,Low,1 - Most likely to pay,No,Owns,(781) 801-9006,Non-Subsidiary,WWW.RELIABLERESPIRATORY.COM,2000,,,043484424,,,,Single Location,,,,,,,1502 PROVIDENCE HWY # 10,NORWOOD,USA,NORFOLK,MASSACHUSETTS,020624643,532283,Home Health Equipment Rental,,,,,73520000,Medical equipment rental,"$20,724,597",150,150,"$18,840,543",150,"50,000"
THE RETIREMENT ADVANTAGE INC,Private,01-346-7522,,,01-346-7522,THE RETIREMENT ADVANTAGE INC,01-346-7522,THE RETIREMENT ADVANTAGE INC,44.256101,"INSURANCE AGENTS,BROKERS,AND SERVICE,NSK",-88.469086,Manufacturer,Low,1 - Most likely to pay,No,,(920) 832-2544,Non-Subsidiary,WWW.TRA401K.COM,1995,,,,01-346-7522,THE RETIREMENT ADVANTAGE INC,,Headquarters,,,,,,,600 S NICOLET RD,APPLETON,USA,OUTAGAMIE,WISCONSIN,549148285,524298,All Other Insurance Related Activities,,,,,64110104,Pension and retirement plan consultants,"$20,285,703",75,40,"$16,467,843",75,0
ADVANCED GRAPHIC PRODUCTS INC.,Private,15-053-7215,,,00-193-3324,FOLLETT CORPORATION,00-193-3324,FOLLETT CORPORATION,32.945633,CATALOG AND MAIL-ORDER HOUSES,-97.016488,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(972) 471-5400,Subsidiary,WWW.ADVANCED-ONLINE.COM,1986,,ADVANCED ON-LINE,752149264,00-193-3324,FOLLETT CORPORATION,,Single Location,,,,,,,750 GATEWAY BLVD,COPPELL,USA,DALLAS,TEXAS,750194433,454110,Electronic Shopping and Mail-Order Houses,,,,,59619913,"General merchandise, mail order","$20,000,000",165,165,"$20,000,000",165,"46,500"
"GOODY TICKETS, LLC",Private,06-884-7765,,,,,,,38.927367,"AMUSEMENT AND RECREATION, NEC, NSK",-94.665192,Manufacturer,Low,2 - Likely to pay,No,,(913) 231-2674,Non-Subsidiary,WWW.GOODYTICKETS.COM,2011,,,,,,,Single Location,,,,,,,7007 COLLEGE BLVD STE 100,LEAWOOD,USA,JOHNSON,KANSAS,662112446,561599,All Other Travel Arrangement and Reservation Services,,,,,79999916,"Ticket sales office for sporting events, contract","$20,000,000",12,12,"$20,000,000",12,0
"FRED USINGER, INC.",Private,00-607-7127,,,00-607-7127,"FRED USINGER, INC.",00-607-7127,"FRED USINGER, INC.",43.04353,SAUSAGES AND OTHER PREPARED MEATS,-87.914405,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(414) 276-9100,Non-Subsidiary,WWW.USINGER.COM,1880,,USINGER'S FAMOUS SAUSAGE,390672490,00-607-7127,"FRED USINGER, INC.",,Headquarters,,,,,,,1030 N OLD WORLD 3RD ST,MILWAUKEE,USA,MILWAUKEE,WISCONSIN,532031300,311612,Meat Processed from Carcasses,"311612, 722511","""Meat Processed from Carcasses "", ""Full-Service Restaurants ""","2013, 5812","""Sausages and other prepared meats"", ""Eating places""",20130304,"Sausages, from purchased meat","$19,031,578",140,125,"$31,593,028",140,"100,000"
MAINE SAVINGS FEDERAL CREDIT UNION,Private,60-571-0730,,,60-571-0730,MAINE SAVINGS FEDERAL CREDIT UNION,60-571-0730,MAINE SAVINGS FEDERAL CREDIT UNION,44.744977,FEDERAL CREDIT UNIONS,-68.846602,Manufacturer,Low,2 - Likely to pay,No,Owns,(207) 862-4866,Non-Subsidiary,WWW.MAINESAVINGS.COM,1961,,,010267010,60-571-0730,MAINE SAVINGS FEDERAL CREDIT UNION,,Headquarters,P.O. BOX 347,HAMPDEN,USA,PENOBSCOT,MAINE,044440347,101 WESTERN AVE,HAMPDEN,USA,PENOBSCOT,MAINE,044441437,522130,Credit Unions,,,,,60610000,Federal credit unions,"$18,428,954",46,27,"$18,428,954",46,"10,000"
"SOLE SOCIETY GROUP, INC.",Private,04-370-3232,Importer,,04-642-4990,DESIGNER BRANDS INC.,11-805-8424,VCS GROUP LLC,33.991601,FOOTWEAR CUT STOCK,-118.390481,Non Manufacturer,Low,5 - Least Likely to pay,No,Rent,(310) 220-0808,Subsidiary,WWW.SOLESOCIETY.COM,2011,,,,04-642-4990,DESIGNER BRANDS INC.,,Single Location,P.O. BOX 5206,CULVER CITY,USA,LOS ANGELES,CALIFORNIA,902315206,11248 PLAYA CT B,CULVER CITY,USA,LOS ANGELES,CALIFORNIA,902306127,316998,All Other Leather Good and Allied Product Manufacturing,,,,,31310100,Boot and shoe accessories,"$18,000,363",200,200,"$18,000,363",200,0
"LILLEBABY, LLC",Private,07-854-5572,Importer,,07-854-5572,"LILLEBABY, LLC",07-854-5572,"LILLEBABY, LLC",39.755923,"CLOTHING: WOMENS, CHILDRENS, AND INFANTS",-105.220471,Manufacturer,Low,2 - Likely to pay,No,,(855) 554-5631,Non-Subsidiary,WWW.LILLEBABY.COM,2002,,LILLEBABY,,07-854-5572,"LILLEBABY, LLC",,Headquarters,,,,,,,700 12TH ST STE 220,GOLDEN,USA,JEFFERSON,COLORADO,804011231,424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",,,,,51370500,Children's goods,"$17,700,000",25,18,"$17,700,000",25,0
INSECT LORE PRODUCTS,Private,06-383-0137,Importer,,06-383-0137,INSECT LORE PRODUCTS,06-383-0137,INSECT LORE PRODUCTS,35.495993,"TOYS AND HOBBY GOODS AND SUPPLIES, NSK",-119.260584,Manufacturer,Low,2 - Likely to pay,No,Owns,(661) 746-6047,Non-Subsidiary,WWW.INSECTLORE.COM,1971,,INSECT LORE,953427235,06-383-0137,INSECT LORE PRODUCTS,,Headquarters,P.O. BOX 1535,SHAFTER,USA,KERN,CALIFORNIA,932631535,132 S BEECH AVE,SHAFTER,USA,KERN,CALIFORNIA,932639606,423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,,,,50920205,Educational toys,"$17,498,211",48,48,"$19,542,595",48,"40,600"
"MEDEVOLVE, INC.",Private,80-296-9063,,,,,,,34.747759,"COMPUTER INTEGRATED SYSTEMS DESIGN, NSK",-92.282918,Manufacturer,Low,2 - Likely to pay,No,Rent,(501) 687-9099,Non-Subsidiary,WWW.MEDEVOLVE.COM,1988,,,,,,,Single Location,,,,,,,1115 W 3RD ST STE 100,LITTLE ROCK,USA,PULASKI,ARKANSAS,722012030,541512,Computer Systems Design Services,,,,,73730100,Systems software development services,"$17,212,526",90,90,"$17,332,180",90,"10,000"
RANDOLPH SAVINGS BANK,Private,01-976-1139,,,13-162-8443,"RANDOLPH BANCORP, INC.",13-162-8443,"RANDOLPH BANCORP, INC.",42.153315,"SAVINGS INSTITUTIONS, EXCEPT FEDERAL, NSK",-71.075384,Manufacturer,Low,1 - Most likely to pay,No,Owns,(781) 963-2100,Subsidiary,WWW.ENVISIONBANK.COM,1851,,,041757970,13-162-8443,"RANDOLPH BANCORP, INC.",,Headquarters,P.O. BOX 354,RANDOLPH,USA,NORFOLK,MASSACHUSETTS,023680354,10 CABOT PL,STOUGHTON,USA,NORFOLK,MASSACHUSETTS,020724600,522120,Savings Institutions,,,,,60369902,"State savings banks, not federally chartered","$16,510,000",84,25,"$16,510,000",84,"10,000"
"ABM MECHANICAL, INC.",Private,94-641-8316,,,,,,,44.781457,"PLUMBING, HEATING, AIR-CONDITIONING, NSK",-68.823532,Manufacturer,Low,5 - Least Likely to pay,No,,(207) 992-9250,Non-Subsidiary,WWW.ABMMECHANICAL.COM,1995,,HONEYWELL AUTHORIZED DEALER,,,,,Single Location,,,,,,,33 DOWD RD UNIT 1,BANGOR,USA,PENOBSCOT,MAINE,044016733,238220,"Plumbing, Heating, and Air-Conditioning Contractors",,,,,17110401,Mechanical contractor,"$15,201,746",50,50,"$14,161,389",50,0
MARION COUNTY STATE BANK,Private,08-794-1183,,,79-691-4112,"PELLA FINANCIAL GROUP, INC.",79-691-4112,"PELLA FINANCIAL GROUP, INC.",41.406847,STATE COMMERCIAL BANKS,-92.916443,Manufacturer,Low,1 - Most likely to pay,No,,(641) 628-2191,Subsidiary,WWW.MARIONCOUNTYBANK.COM,1935,,,420395450,79-691-4112,"PELLA FINANCIAL GROUP, INC.",,Headquarters,P.O. BOX 105,PELLA,USA,MARION,IOWA,502190105,800 MAIN ST,PELLA,USA,MARION,IOWA,502191522,522110,Commercial Banking,,,,,60220000,State commercial banks,"$14,885,000",35,20,"$14,885,000",35,"6,800"
BLUE BEACON INTERNATIONAL INC,Private,07-090-0105,,,07-090-0105,BLUE BEACON INTERNATIONAL INC,07-090-0105,BLUE BEACON INTERNATIONAL INC,38.832442,EATING PLACES,-97.635727,Manufacturer,Low,2 - Likely to pay,No,Owns,(785) 825-2221,Non-Subsidiary,WWW.BLUEBEACON.COM,1976,,BLUE BEACON TRUCK WASHES,481069921,07-090-0105,BLUE BEACON INTERNATIONAL INC,,Headquarters,,,,,,,500 GRAVES BLVD,SALINA,USA,SALINE,KANSAS,674014306,722513,Limited-Service Restaurants,722513,"""Limited-Service Restaurants """,5812,"""Eating places""",58120203,Ice cream stands or dairy bars,"$14,386,519",210,120,"$14,817,585",210,"15,500"
PENSION FUND OF CHRISTIAN CHURCH,Private,00-605-1783,,,,,,,39.767021,"PENSION, HEALTH, AND WELFARE FUNDS, NSK",-86.155261,Manufacturer,Low,1 - Most likely to pay,No,Rent,(317) 634-4504,Non-Subsidiary,WWW.PENSIONFUND.ORG,1895,,,350942638,,,,Single Location,P.O. BOX 6251,INDIANAPOLIS,USA,MARION,INDIANA,462066251,130 E WASHINGTON ST # 1100,INDIANAPOLIS,USA,MARION,INDIANA,462043659,525110,Pension Funds,,,,,63710101,Pension funds,"$14,298,018",30,30,"$14,298,018",30,"7,000"
"DAKINE, INC.",Private,07-914-3112,,,07-860-6403,ALTAMONT CAPITAL PARTNERS LLC,07-860-6403,ALTAMONT CAPITAL PARTNERS LLC,45.714793,"SPORTING GOODS AND BICYCLE SHOPS, NSK",-121.515858,Manufacturer,High,5 - Least Likely to pay,No,,(541) 386-3166,Subsidiary,,2013,,,,07-860-6403,ALTAMONT CAPITAL PARTNERS LLC,,Single Location,,,,,,,603 PORTWAY AVE,HOOD RIVER,USA,HOOD RIVER,OREGON,970311130,451110,Sporting Goods Stores,,,,,59410600,Camping and backpacking equipment,"$14,138,165",85,85,"$14,138,165",85,0
"CAROLINA DIGESTIVE HEALTH ASSOCIATES, P.A.",Private,60-193-3187,,,60-193-3187,"CAROLINA DIGESTIVE HEALTH ASSOCIATES, P.A.",60-193-3187,"CAROLINA DIGESTIVE HEALTH ASSOCIATES, P.A.",35.083598,"OFFICES AND CLINICS MEDICAL DOCTORS,NSK",-80.844593,Manufacturer,High,5 - Least Likely to pay,No,Rent,(704) 372-7974,Non-Subsidiary,WWW.CAROLINADIGESTIVE.COM,1982,,,561335864,60-193-3187,"CAROLINA DIGESTIVE HEALTH ASSOCIATES, P.A.",,Headquarters,,,,,,,11301 CARMEL COMMONS BLVD # 302,CHARLOTTE,USA,MECKLENBURG,NORTH CAROLINA,282265318,621111,Offices of Physicians (except Mental Health Specialists),,,,,80110103,Gastronomist,"$13,944,562",125,55,"$13,315,280",125,0
BELMONT SAVINGS BANK,Private,07-830-4295,,,07-830-4295,BELMONT SAVINGS BANK,07-830-4295,BELMONT SAVINGS BANK,40.015181,FEDERAL SAVINGS INSTITUTIONS,-80.744084,Manufacturer,Low,1 - Most likely to pay,No,,(740) 676-1165,Non-Subsidiary,WWW.BELMONT-SAVINGS.COM,1993,,,340092790,07-830-4295,BELMONT SAVINGS BANK,,Headquarters,P.O. BOX 654,BELLAIRE,USA,BELMONT,OHIO,439060654,3301 GUERNSEY ST,BELLAIRE,USA,BELMONT,OHIO,439061527,522120,Savings Institutions,,,,,60359901,Federal savings and loan associations,"$13,482,000",59,17,"$14,043,000",59,0
EASTERN SALT COMPANY INC,Private,87-317-0815,Importer,,87-317-0815,EASTERN SALT COMPANY INC,87-317-0815,EASTERN SALT COMPANY INC,42.645136,"CHEMICALS AND ALLIED PRODUCTS, NEC",-71.311048,Manufacturer,High,5 - Least Likely to pay,Yes,,(978) 251-8553,Non-Subsidiary,WWW.EASTERNSALT.COM,1993,,,043195218,87-317-0815,EASTERN SALT COMPANY INC,,Headquarters,,,,,,,134 MIDDLE ST STE 210,LOWELL,USA,MIDDLESEX,MASSACHUSETTS,018521883,424690,Other Chemical and Allied Products Merchant Wholesalers,,,,,51691106,"Salts, industrial","$13,357,661",35,20,"$14,746,292",35,0
TECH RABBIT LLC,Private,07-969-1336,,,,,,,40.676714,CATALOG AND MAIL-ORDER HOUSES,-74.252987,Manufacturer,Low,2 - Likely to pay,No,,(845) 662-4669,Non-Subsidiary,WWW.TECHRABBIT.COM,2015,,,,,,,Single Location,,,,,,,601 LEHIGH AVE,UNION,USA,UNION,NEW JERSEY,070837987,454110,Electronic Shopping and Mail-Order Houses,,,,,59610000,Catalog and mail-order houses,"$13,276,579",300,300,"$13,276,579",300,0
"TENNIS EXPRESS, L.P.",Private,82-778-2756,,,,,,,29.736959,CATALOG AND MAIL-ORDER HOUSES,-95.565516,Manufacturer,High,N/A,No,Rent,(713) 781-4800,Non-Subsidiary,WWW.TENNISEXPRESS.COM,1992,,TENNIS EXPRESS,760645821,,,,Single Location,,,,,,,10770 WESTHEIMER RD,HOUSTON,USA,HARRIS,TEXAS,770423404,454110,Electronic Shopping and Mail-Order Houses,,,,,59619906,"Clothing, mail order (except women's)","$12,965,288",60,60,"$61,261",5,0
CETERA ADVISORS LLC,Private,15-467-0442,,,96-155-2341,"CETERA FINANCIAL GROUP, INC.",96-155-2341,"CETERA FINANCIAL GROUP, INC.",45.560658,INVESTMENT ADVICE,-94.156132,Manufacturer,Low,1 - Most likely to pay,No,,(800) 929-3485,Subsidiary,WWW.CETERAADVISORS.COM,1979,,,840858799,96-155-2341,"CETERA FINANCIAL GROUP, INC.",,Headquarters,P.O. BOX 5120,DENVER,USA,DENVER,COLORADO,802175120,400 1ST ST S STE 300,SAINT CLOUD,USA,STEARNS,MINNESOTA,563013661,523930,Investment Advice,,,,,62829902,Investment advisory service,"$12,226,624",60,58,"$13,373,001",60,0
"TEMECULA MOTORSPORTS, INC.",Private,62-049-9467,,,,,,,33.528288,RECREATIONAL VEHICLE DEALERS,-117.173946,Manufacturer,Low,1 - Most likely to pay,No,Owns,(951) 698-4123,Non-Subsidiary,WWW.TEMECULAMOTORSPORTS.COM,1999,,,330974402,,,,Single Location,,,,,,,26860 JEFFERSON AVE STE E,MURRIETA,USA,RIVERSIDE,CALIFORNIA,925628904,441210,Recreational Vehicle Dealers,,,,,55610102,"Travel trailers: automobile, new and used","$12,213,077",94,94,"$11,102,797",94,0
"CONCANNON, MILLER & CO., P. C",Private,07-364-8545,,,07-364-8545,"CONCANNON, MILLER & CO., P. C",07-364-8545,"CONCANNON, MILLER & CO., P. C",40.653481,"ACCOUNTING, AUDITING, AND BOOKKEEPING",-75.407101,Manufacturer,Low,N/A,No,,(610) 433-5501,Non-Subsidiary,WWW.CONCANNONMILLER.COM,1954,,,232620120,07-364-8545,"CONCANNON, MILLER & CO., P. C",,Headquarters,,,,,,,1525 VALLEY CENTER PKWY # 300,BETHLEHEM,USA,NORTHAMPTON,PENNSYLVANIA,180172285,541211,Offices of Certified Public Accountants,,,,,87210100,Auditing services,"$12,127,705",100,67,$0,0,0
MARIAN HELPERS CORPORATION,Private,08-045-7195,Importer,,08-045-7195,MARIAN HELPERS CORPORATION,08-045-7195,MARIAN HELPERS CORPORATION,42.288,"BUSINESS SERVICES, NEC, NSK",-73.3139,Manufacturer,Low,2 - Likely to pay,No,Rent,(413) 298-1330,Non-Subsidiary,WWW.MARIAN.ORG,1944,,ASSOCIATION OF MARIAN HELPERS,208599030,08-045-7195,MARIAN HELPERS CORPORATION,,Headquarters,P.O. BOX 559,STOCKBRIDGE,USA,BERKSHIRE,MASSACHUSETTS,012620559,2 PROSPECT HL,STOCKBRIDGE,USA,BERKSHIRE,MASSACHUSETTS,012630001,561990,All Other Support Services,,,,,73899923,Fund raising organizations,"$12,050,779",100,2,"$12,086,763",100,"20,000"
"LENDIO, INC",Private,04-409-7220,,,04-409-7220,"LENDIO, INC",04-409-7220,"LENDIO, INC",40.565483,"SHORT-TERM BUSINESS CREDIT, NSK",-111.903505,Manufacturer,Low,4 - Less likely to pay,No,Rent,(801) 858-3620,Non-Subsidiary,WWW.LENDIO.COM,2009,,,,04-409-7220,"LENDIO, INC",,Headquarters,,,,,,,10235 S JORDAN GTWY # 410,SOUTH JORDAN,USA,SALT LAKE,UTAH,840954188,522298,All Other Nondepository Credit Intermediation,,,,,61530100,Working capital financing,"$12,048,408",40,40,"$12,048,408",40,"7,997"
CITY OF HOLLY SPRINGS,Private,01-886-9669,,,01-886-9669,CITY OF HOLLY SPRINGS,01-886-9669,CITY OF HOLLY SPRINGS,34.15229,"EXECUTIVE OFFICES, NSK",-84.510008,Manufacturer,Low,1 - Most likely to pay,No,Owns,(770) 345-5536,Non-Subsidiary,WWW.HOLLYSPRINGSGA.US,1906,,,581051551,01-886-9669,CITY OF HOLLY SPRINGS,,Headquarters,P.O. BOX 990,HOLLY SPRINGS,USA,CHEROKEE,GEORGIA,301420990,3237 HOLLY SPRINGS PKWY,HOLLY SPRINGS,USA,CHEROKEE,GEORGIA,301157418,921110,Executive Offices,,,,,91110204,Mayors' office,"$11,942,358",15,15,$0,15,0
"QUANTA TECHNOLOGY, LLC",Private,80-960-3132,,,00-800-4165,"QUANTA SERVICES, INC.",00-800-4165,"QUANTA SERVICES, INC.",35.802359,"ENGINEERING SERVICES, NSK",-78.710212,Manufacturer,Medium,5 - Least Likely to pay,No,Rent,(919) 334-3000,Subsidiary,WWW.QUANTA-TECHNOLOGY.COM,2007,,,562677058,00-800-4165,"QUANTA SERVICES, INC.",,Headquarters,,,,,,,4020 WESTCHASE BLVD # 30,RALEIGH,USA,WAKE,NORTH CAROLINA,276073938,541330,Engineering Services,,,,,87119903,Consulting engineer,"$11,034,206",55,53,"$11,034,206",55,"1,450"
"SHOPSTYLE, INC.",Private,08-052-8868,,,69-392-8991,"RAKUTEN, INC.",82-515-2403,EBATES INC.,37.791928,"CUSTOM COMPUTER PROGRAMMING SERVICES, NSK",-122.393362,Manufacturer,Low,2 - Likely to pay,No,,(415) 908-2200,Subsidiary,WWW.SHOPSTYLE.COM,2006,,,,82-515-2403,"RAKUTEN, INC.",,Headquarters,,,,,,,160 SPEAR ST STE 1900,SAN FRANCISCO,USA,SAN FRANCISCO,CALIFORNIA,941051548,541511,Custom Computer Programming Services,,,,,73710300,Computer software development and applications,"$10,746,062",120,8,"$11,635,601",120,0
