"","incident_id","hack","clean_name","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate"
"8151",8151,"1","Hertford Gates Home Health Agency","2009","","","2009-01-12","2009-02-16","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-02-16"
"8202",8202,"2","Hilton Worldwide Holding Inc","2009","","","","2009-09-03, 2009-09-09","","1","","1","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/hilton-20090903.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-03"
"8219",8219,"2","Hitachi Data Systems Corp","2009","","","","2009-06-03","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-03"
"8288",8288,"1","HomEq Servicing","2009","","","","2009-03-09","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-09"
"8426",8426,"2","HSBC Bank USA NA","2009","","","","2009-09-09","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-09"
"8444",8444,"2","HSBC Beneficial New Hampshire","2009","","","","2009-11-20","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/hsbc-beneficial-20091120.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-20"
"8446",8446,"2","HSBC Finance Corp","2009","","","","2009-11-20","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/hsbc-finance-20091120.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-20"
"8451",8451,"2","HSBC Mortgage Services Inc","2009","","","","2009-11-20","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/hsbc-mortgage-20091120.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-20"
"8457",8457,"2","HSBC Taxpayer Financial Services","2009","","","","2009-11-20","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/hsbc-taxpayer-20091120.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-20"
"8481",8481,"2","Humana Inc","2009","","","","2009-04-21","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-21"
"8558",8558,"2","ID Experts","2009","","","","2009-01-27","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/id-experts-20090127.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-27"
"8564",8564,"1","Idearc Media LLC","2009","","","","2009-01-08","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-08"
"8617",8617,"2","Immigrant Legal Resource Center","2009","","","","2009-04-10, 2009-04-21","","","","1","","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/immigrant-legal-20090410.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-10"
"8815",8815,"2","Innodata Isogen","2009","","","","2009-01-05","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/innodata-isogen-20090105.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-05"
"8849",8849,"2","Institute of Living - Hartford Hospital","2009","","","","2009-08-01","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-01"
"8852",8852,"2","Institution for Savings","2009","","","","2009-09-01","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-01"
"8907",8907,"2","International Cake Exploration Societe","2009","","","","2009-03-19","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-19"
"9088",9088,"1","Jackson National Life Insurance Co","2009","","","","2009-08-25","","","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-25"
"9190",9190,"1","Jet Direct Aviation","2009","","","2009-02-02","2009-02-10","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-02-10"
"9194",9194,"2","JetDirect Aviation Holdings LLC","2009","2009-02-02","","2009-02-04","2009-02-10, 2009-02-11","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"2009-02-10"
"9208",9208,"2","JFY Networks","2009","","","","2009-06-12, 2009-06-15","","1","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/jfynetworks-20090612.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-12"
"9249",9249,"1","John Hancock Life & Health Insurance Company","2009","","","","2009-07-21","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-07-21"
"9293",9293,"2","Jones & Associates Insurance Agency","2009","","","","2009-05-05","","","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-05"
"9312",9312,"2","JP Morgan Chase Bank NA","2009","","","","2009-08-04","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-04"
"9313",9313,"2","JP Morgan Chase Bank NA","2009","","","","2009-09-29","","1","","1","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-29"
"9343",9343,"2","JPMorgan Chase & Co","2009","","","","2009-12-07","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07"
"9358",9358,"2","Julie Breskin PhD","2009","","","","2009-04-29","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-29"
"9451",9451,"2","Kayak Software Corp","2009","","","","2009-01-09","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-09"
"9660",9660,"1, 2","Kraft Foods Group Inc","2009","2009-08-15","","2009-08-15","2009-09-18, 2009-09-24","","1","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"2009-09-18"
"9684",9684,"2","KSM Business Services Inc","2009","","","","2009-09-04","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/ksm-business-20090924.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-04"
"9765",9765,"2","Lamp Source","2009","","","2009-07-15","2009-07-24","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-07-24"
"9804",9804,"1","Lasell College","2009","","","","2009-03-27","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-27"
"9863",9863,"2","Lear Siegler Services Inc","2009","","","","2009-01-29","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-29"
"9873",9873,"2","LECG","2009","","","","2009-10-30","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-30"
"9875",9875,"2","Lee Bank","2009","","","","2009-04-01","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-01"
"9941",9941,"2","LexisNexis","2009","","","","2009-05-01, 2009-05-04","","1","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/lexisnexis-20090501.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-01"
"9942",9942,"2","LexisNexis","2009","","","","2009-06-22","","1","1","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-22"
"9997",9997,"2","LifeWatch Corp","2009","","","2009-02-20","2009-03-19, 2009-03-23","","1","","","1","RELEASE/ DISPLAY OF INFO, Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/lifewatch-20090319.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-03-19"
"10099",10099,"2","Littleton Regional Hospital","2009","","","","2009-04-13","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/littleton-hospital-20090413.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-13"
"10123",10123,"2","Lockheed Martin Corp","2009","","","","2009-07-13, 2009-07-16","","1","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/lockheed-martin-20090713.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-07-13"
"10124",10124,"2","Lockheed Martin Corp","2009","","","","2009-11-12","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/lockheed-martin-20091112.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-12"
"10178",10178,"2","Lowcountry Orthopaedics & Sports Medicine","2009","","","","2009-05-14","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-14"
"10196",10196,"2","LPL Financial Holdings Inc","2009","","","","2009-02-02, 2009-02-05, 2009-02-06","","","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/lpl-financial-20080202.pdf",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-02"
"10197",10197,"2","LPL Financial Holdings Inc","2009","","","","2009-06-01, 2009-06-03","","1","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/lpl-financial-20090601.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-01"
"10198",10198,"1","LPL Financial Holdings Inc","2009","","","","2009-12-24","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-24"
"10248",10248,"2","Luso American Credit Union","2009","","","","2009-03-19","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-19"
"10270",10270,"1","Lynda Heymen PsyD PA","2009","","","2009-11-04","2009-12-12","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-12-12"
"10322",10322,"2","MA Registry of Motor Vehicles","2009","","","","2009-04-23","","","1","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-23"
"10334",10334,"1","Macy'c Inc","2009","","","","2009-03-02","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-02"
"10359",10359,"3","Magic Brands LLC","2009","","","2008-11-30","2009-02-05","","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-02-05"
"10405",10405,"2","Malcolm & Parsons Insurance","2009","","","","2009-11-18","","1","1","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-18"
"10450",10450,"2","Mansfield Bank","2009","","","","2009-02-10","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-10"
"10451",10451,"1","Mansfield Bank","2009","","","","2009-08-28","","","","1","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-28"
"10469",10469,"2","March & McLennan Co","2009","","","","2009-02-13","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-13"
"10515",10515,"1","Marlborough Hospital","2009","","","","2009-11-27","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-27"
"10667",10667,"2","Massachusetts Department of Revenue","2009","","","","2009-01-12, 2009-01-14, 2009-02-03","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-12"
"10703",10703,"1","Massachusetts Department of Transportation","2009","","","","2009-03-25","","","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-25"
"10715",10715,"2","Massachusetts Department of Youth Services","2009","","","","2009-10-26","","1","","","","Both","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-26"
"10716",10716,"1","Massachusetts Educational Financing Authority","2009","","","","2009-10-29","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-29"
"10720",10720,"1","Massachusetts Executive Office of Health and Human Services","2009","","","","2009-05-08","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-08"
"10721",10721,"1","Massachusetts Executive Office of Health and Human Services","2009","","","","2009-08-20","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-20"
"10730",10730,"2","Massachusetts Executive Office of Public Safety and Security","2009","","","","2009-12-02","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-02"
"10740",10740,"2","Massachusetts Financial Services Company","2009","","","","2009-04-01, 2009-04-03","","","","","1","Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/massachusetts-financial-20090401.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-01"
"10764",10764,"1","Massachusetts Mutual Life Insurance Co","2009","","","","2009-05-19","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-19"
"10765",10765,"2, 1","Massachusetts Mutual Life Insurance Co","2009","","","","2009-09-08, 2009-09-11","","1","","","1","Paper","","https://www.doj.nh.gov/consumer/security-breaches/documents/massmutual-financial-20090908.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-08"
"10766",10766,"1, 2","Massachusetts Mutual Life Insurance Co","2009","","","2009-11-29","2009-12-18","","1","","","1","Paper, RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-12-18"
"10816",10816,"1","Massachusetts State Board of Retirement","2009","","","","2009-03-24","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-24"
"10825",10825,"2","Massachusetts Technology Collaborative","2009","","","","2009-06-29","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-29"
"10886",10886,"1","May Institute Inc","2009","","","","2009-07-23","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-07-23"
"10887",10887,"1","May Institute Inc","2009","","","","2009-10-26","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-26"
"10923",10923,"2","McGraw-Hill Construction","2009","","","","2009-10-21","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-21"
"10978",10978,"2","Mechanics Cooperative Bank","2009","","","","2009-02-02","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-02"
"11058",11058,"2","Members Plus Credit Union","2009","","","","2009-05-29","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-29"
"11080",11080,"2","Mercantile Bank","2009","","","","2009-03-05","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-05"
"11136",11136,"1","Merrill Lynch Wealth Management","2009","","","","2009-12-07","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07"
"11139",11139,"2","Merrimac Savings Bank","2009","","","","2009-02-23","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-23"
"11158",11158,"2, 1","MetLife Inc","2009","","","","2009-10-30","","1","","","1","Electronic, Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-30"
"11230",11230,"1","MFS Investment Management","2009","","","","2009-07-10","","","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-07-10"
"11300",11300,"2","Middlesex Savings Bank","2009","","","","2009-02-17","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-17"
"11352",11352,"2","Milford Federal Savings and Loan Association","2009","","","","2009-02-19, 2009-03-03","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-19"
"11367",11367,"2","Millbury Savings Bank","2009","","","","2009-02-09","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-09"
"11368",11368,"2","Millbury Savings Bank","2009","","","","2009-03-18","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-18"
"11407",11407,"1","Minute Man Arc","2009","","","","2009-10-14","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-14"
"11466",11466,"2","Monadnock Community Bank","2009","","","","2009-02-23","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-23"
"11473",11473,"2","Money Gram International Inc","2009","","","","2009-02-09","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-09"
"11554",11554,"2","Moriarty & Primack PC","2009","","","","2009-11-02","","1","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-11-02"
"11582",11582,"1","Moses Cone Health Care","2009","","","2009-03-09","2009-04-13","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-04-13"
"11583",11583,"1","Moses Phillips Young Brannon & Henninger LLP","2009","","","2009-09-28","2009-10-02","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-10-02"
"11591",11591,"2","Motorola Inc","2009","","","2009-01-15","2009-02-06, 2009-02-10, 2009-02-17","","","","1","","RELEASE/ DISPLAY OF INFO, Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/motorola-20090206.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-02-06"
"11594",11594,"2","Mount Holyoke College","2009","","","","2009-10-07","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-10-07"
"11758",11758,"3, 2","Nashbar Direct Inc","2009","","","2009-02-13","2009-06-29, 2009-07-06, 2009-07-23","","","","1","","HACKERS/ UNAUTHORIZED, Electronic","","https://www.doj.nh.gov/consumer/security-breaches/documents/nashbar-direct-20090706.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-06-29"
"11784",11784,"1","National City Bank","2009","","","","2009-03-05","","1","","","1","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-03-05"
"11927",11927,"2","Navy Federal Credit Union","2009","","","2009-02-25","2009-03-13, 2009-03-16","","1","","","","RELEASE/ DISPLAY OF INFO, Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-03-13"
"11965",11965,"2","NC Department of Transportation","2009","","","2008-08-01","2009-05-11","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-05-11"
"12058",12058,"3, 2","Network Solutions LLC","2009","2009-03-12","","2009-06-08, 2009-06-01","2009-08-04, 2009-08-05","","","","1","1","HACKERS/ UNAUTHORIZED, Hackers/Unauthorized Access, Electronic","","http://cca.hawaii.gov/ocp/files/2015/12/OCP-2009-1374.pdf",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"2009-08-04"
"12094",12094,"1","New England Rehabilitation Hospital","2009","","","","2009-12-02","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-02"
"12155",12155,"2","New York Life Insurance Co","2009","","","","2009-08-10","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/new-york-life-20090810.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-10"
"12181",12181,"2","Newburport Five Cents Savings Bank","2009","","","","2009-12-02","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-02"
"12182",12182,"2","Newburyport Bank","2009","","","","2009-06-16","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-16"
"12186",12186,"2","Newburyport Five Cents Savings Bank","2009","","","","2009-02-18","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-02-18"
"12187",12187,"2","Newburyport Five Cents Savings Bank","2009","","","","2009-04-23","","","","","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-23"
"12188",12188,"2","Newburyport Five Cents Savings Bank","2009","","","","2009-05-23, 2009-06-02, 2009-06-04, 2009-06-05, 2009-06-23","","","","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-23"
