"","clean_name","X","incident_id","hack","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate","�..Company.Name","Company.Type","D.U.N.S..Number","Manufacturing.Indicator","Subsidiary.Status","Year.of.Founding","Location.Type","Physical.State","Primary.NAICS.Code","Primary.NAICS.Description","Secondary.NAICS.Code","Secondary.NAICS.Description","Secondary.SIC.Code","Secondary.SIC.Description","Primary.SIC.Code","Primary.SIC.Description","Sales","Employee.All.Sites","Employee.this.Site","Sales..Year.1.","DUNS_2"
"954","Japan Foundation Los Angeles",9136,9136,"2",2010,"",NA,"","2010-10-21, 2010-10-25","",NA,NA,1,1,"Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/japan-foundation-20101021.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-10-21","JAPAN FOUNDATION LOS ANGELES","Private","82-945-9213","Manufacturer","Non-Subsidiary",1972,"Single Location","CALIFORNIA",611699,"All Other Miscellaneous Schools and Instruction","","","","",82990200,"Educational services","$744,310 ","10","10","$744,310 ","61"
"955","JDS Uniphase Corp",9156,9156,"1, 2",2008,"",NA,"2008-05-26","2008-06-23, 2008-06-26","",1,NA,NA,1,"STOLEN LAPTOPS, COMPUTERS, & EQUIP, Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-06-23","JDS UNIPHASE CORPORATION","Private","11-803-1546","Non Manufacturer","Non-Subsidiary",0,"Branch","MASSACHUSETTS",334413,"Semiconductor and Related Device Manufacturing","","","","",36740000,"Semiconductors and related devices","$3,800,000 ","0","45","$0 ","33"
"956","Jefferson National",9162,9162,"2",2010,"",NA,"2010-08-23","2010-08-24","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-08-24","JEFFERSON NATIONAL LIFE INSURANCE CO","Private","00-693-8377","Manufacturer","Non-Subsidiary",0,"Single Location","INDIANA",524113,"Direct Life Insurance Carriers","","","","",63110000,"Life insurance","$224,072,174 ","1,100","7","$0 ","52"
"957","Jefferson University Hospital",9164,9164,"1",2010,"",NA,"2010-06-14","2010-07-22","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-07-22","THOMAS JEFFERSON UNIVERSITY HOSPITALS, INC.","Private","96-053-5045","Manufacturer","Subsidiary",1995,"Headquarters","PENNSYLVANIA",622110,"General Medical and Surgical Hospitals","622110","""General Medical and Surgical Hospitals ""","8062","""General medical & surgical hospitals""",80629904,"Hospital, medical school affiliation","$794,708,578 ","4,701","4,000","$981,121,701 ","62"
"958","Jet Direct Aviation",9190,9190,"1",2009,"",NA,"2009-02-02","2009-02-10","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"959","JetDirect Aviation Holdings LLC",9194,9194,"2",2009,"2009-02-02",NA,"2009-02-04","2009-02-10, 2009-02-11","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"2009-02-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"960","Jewish Family & Children's Service",9202,9202,"2",2010,"",NA,"","2010-11-17","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-11-17","JEWISH FAMILY AND CHILDREN'S SERVICES","Private","11-386-7873","Manufacturer","Non-Subsidiary",1850,"Headquarters","CALIFORNIA",624190,"Other Individual and Family Services","","","","",83220503,"Family service agency","$37,813,752 ","500","80","$37,813,752 ","62"
"961","JFY Networks",9208,9208,"2",2009,"",NA,"","2009-06-12, 2009-06-15","",1,NA,NA,1,"Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/jfynetworks-20090612.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-12","JFY NETWORKS","Private","08-231-0459","Manufacturer","Non-Subsidiary",1976,"Single Location","MASSACHUSETTS",624310,"Vocational Rehabilitation Services","","","","",83310100,"Job training services","$876,603 ","20","20","$876,603 ","62"
"962","JM Smucker Co",9221,9221,"2, 1",2010,"2010-04-05",NA,"2010-04-05","2010-04-29, 2010-05-03, 2010-05-05","",1,NA,NA,1,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR, Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/jm-smucker-20100429.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"2010-04-29","JM SMUCKER CO","Private","92-728-6323","Manufacturer","Non-Subsidiary",2012,"Single Location","ILLINOIS",424410,"General Line Grocery Merchant Wholesalers","","","","",51410000,"Groceries, general line","$140,000 ","2","2","$0 ","42"
"963","John Hancock Financial Services",9246,9246,"1, 2",2010,"2009-11-06",NA,"2009-12-04","2010-01-07, 2010-01-12, 2010-01-21","",1,NA,NA,1,"LOST IN TRANSIT, Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"2010-01-07","JOHN HANCOCK FINANCIAL SERVICES, INC.","Public","09-039-5844","Manufacturer","Subsidiary",1999,"Headquarters","MASSACHUSETTS",524113,"Direct Life Insurance Carriers","524113, 524126, 524298, 525110","""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers "", ""All Other Insurance Related Activities "", ""Pension Funds ""","6311, 6321, 6351, 6371, 6411","""Life insurance"", ""Accident and health insurance"", ""Surety insurance"", ""Pension, health, and welfare funds"", ""Insurance agents, brokers, & service""",63119906,"Life insurance carriers","$8,835,206,828 ","7,965","18","$0 ","52"
"964","John Hancock Life & Health Insurance Company",9249,9249,"1",2009,"",NA,"","2009-07-21","",1,NA,NA,NA,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-07-21","JOHN HANCOCK LIFE & HEALTH INSURANCE COMPANY","Private","78-052-1436","Manufacturer","Subsidiary",2006,"Single Location","MASSACHUSETTS",525910,"Open-End Investment Funds","","","","",67229901,"Money market mutual funds","$1,214,285 ","6,350","6,350","$1,103,895 ","52"
"965","John Higgiston",9255,9255,"1",2010,"",NA,"","2010-12-14","",1,NA,NA,NA,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-12-14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"966","John Hopkins University",9256,9256,"2, 1",2007,"",NA,"2007-01-18, 2007-01-26","2007-02-07, 2007-02-16","52000, 83000",NA,NA,NA,NA,"LOST IN TRANSIT",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/johns-hopkins-20070207.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"2007-02-07","JOHNS HOPKINS UNIVERSITY","Private","00-191-0777","Manufacturer","Non-Subsidiary",1867,"Headquarters","MARYLAND",611310,"Colleges, Universities, and Professional Schools","611310","""Colleges, Universities, and Professional Schools ""","8221","""Colleges and universities""",82210102,"University","$5,418,878,400 ","37,600","3,000","$6,020,976,000 ","61"
"967","John Hopkins University",9256,9256,"2, 1",2007,"",NA,"2007-01-18, 2007-01-26","2007-02-07, 2007-02-16","52000, 83000",NA,NA,NA,NA,"LOST IN TRANSIT",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/johns-hopkins-20070207.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"2007-02-07","JOHNS HOPKINS UNIVERSITY","Private","00-191-0777","Manufacturer","Non-Subsidiary",1867,"Headquarters","MARYLAND",611310,"Colleges, Universities, and Professional Schools","611310","""Colleges, Universities, and Professional Schools ""","8221","""Colleges and universities""",82210102,"University","$5,418,878,400","37,600","3,000","$6,020,976,000","61"
"968","John Hopkins University",9257,9257,"2",2010,"",NA,"2010-03-08","2010-03-17, 2010-03-18, 2010-03-22","",NA,NA,NA,1,"RELEASE/ DISPLAY OF INFO, Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/johns-hopkins-university-20100318.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-03-17","JOHNS HOPKINS UNIVERSITY","Private","00-191-0777","Manufacturer","Non-Subsidiary",1867,"Headquarters","MARYLAND",611310,"Colleges, Universities, and Professional Schools","611310","""Colleges, Universities, and Professional Schools ""","8221","""Colleges and universities""",82210102,"University","$5,418,878,400 ","37,600","3,000","$6,020,976,000 ","61"
"969","John Hopkins University",9257,9257,"2",2010,"",NA,"2010-03-08","2010-03-17, 2010-03-18, 2010-03-22","",NA,NA,NA,1,"RELEASE/ DISPLAY OF INFO, Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/johns-hopkins-university-20100318.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-03-17","JOHNS HOPKINS UNIVERSITY","Private","00-191-0777","Manufacturer","Non-Subsidiary",1867,"Headquarters","MARYLAND",611310,"Colleges, Universities, and Professional Schools","611310","""Colleges, Universities, and Professional Schools ""","8221","""Colleges and universities""",82210102,"University","$5,418,878,400","37,600","3,000","$6,020,976,000","61"
"970","Johnson & Johnson",9272,9272,"2",2007,"",NA,"","2007-07-09","",NA,NA,NA,NA,"",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/johnson-and-johnson-20070709.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-07-09","JOHNSON & JOHNSON","Public","00-130-7081","Non Manufacturer","Non-Subsidiary",1886,"Headquarters","NEW JERSEY",325412,"Pharmaceutical Preparation Manufacturing","322291, 325412, 339112, 339113, 423450, 446199","""Sanitary Paper Product Manufacturing "", ""Pharmaceutical Preparation Manufacturing "", ""Surgical and Medical Instrument Manufacturing "", ""Surgical Appliance and Supplies Manufacturing "", ""Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers "", ""All Other Health and Personal Care Stores ""","2676, 2834, 3841, 3842, 5047, 5999","""Sanitary paper products"", ""Pharmaceutical preparations"", ""Surgical and medical instruments"", ""Surgical appliances and supplies"", ""Medical and hospital equipment"", ""Miscellaneous retail stores, nec""",28340000,"Pharmaceutical preparations","$82,059,000,000","135,100","1,000","$81,581,000,000","32"
"971","Johnston County",9281,9281,"2",2006,"",NA,"2006-11-24","2006-12-08","39000",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"972","Jones & Associates Insurance Agency",9293,9293,"2",2009,"",NA,"","2009-05-05","",NA,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-05","JONES & ASSOCIATES INSURANCE AGENCY INC","Private","36-171-6046","Manufacturer","Non-Subsidiary",1981,"Single Location","MARYLAND",524210,"Insurance Agencies and Brokerages","","","","",64110301,"Insurance agents, nec","$1,076,999 ","5","5","$1,076,999 ","52"
"973","Jones Lang La Salle Americas Inc",9297,9297,"2",2010,"",NA,"","2010-01-11","",NA,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-01-11","JONES LANG LA SALLE AMERICAS INC","Private","07-689-4780","Manufacturer","Non-Subsidiary",2015,"Single Location","CALIFORNIA",531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)","","","","",65120100,"Commercial and industrial building operation","$136,483 ","2","2","$136,483 ","53"
"974","Joseph Cahill & Associates Inc",9304,9304,"2",2010,"",NA,"","2010-12-07","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-12-07","JOSEPH CAHILL & ASSOCIATES, INC.","Private","06-618-7605","Manufacturer","Non-Subsidiary",2000,"Single Location","MASSACHUSETTS",541213,"Tax Preparation Services","","","","",72910000,"Tax return preparation services","$143,725 ","2","2","$131,467 ","54"
"975","Joseph M Smith Community Health Center",9307,9307,"1",2010,"",NA,"","2010-11-12, 2010-11-15","",NA,NA,NA,NA,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-11-12","JOSEPH M SMITH COMMUNITY HEALTH CENTER","Private","87-941-7926","Manufacturer","Non-Subsidiary",2007,"Single Location","MASSACHUSETTS",621399,"Offices of All Other Miscellaneous Health Practitioners","","","","",80490000,"Offices of health practitioner","$110,000 ","2","2","$110,000 ","62"
"976","JP Morgan Chase Bank NA",9313,9313,"2",2009,"",NA,"","2009-09-29","",1,NA,1,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-09-29","JP MORGAN CHASE BANK NA","Private","02-623-1751","Manufacturer","Non-Subsidiary",0,"Single Location","LOUISIANA",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","","","","",60990000,"Functions related to deposit banking","$20,514,792 ","168","9","$0 ","52"
"977","JP Morgan Chase Bank NA",9312,9312,"2",2009,"",NA,"","2009-08-04","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-08-04","JP MORGAN CHASE BANK NA","Private","02-623-1751","Manufacturer","Non-Subsidiary",0,"Single Location","LOUISIANA",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","","","","",60990000,"Functions related to deposit banking","$20,514,792 ","168","9","$0 ","52"
"978","JPMorgan Chase & Co",9344,9344,"2",2010,"",NA,"","2010-06-16","",NA,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-16","JPMORGAN CHASE & CO.","Public","04-767-5947","Manufacturer","Non-Subsidiary",1968,"Headquarters","NEW YORK",522110,"Commercial Banking","522110, 522291, 522390, 523120","""Commercial Banking "", ""Consumer Lending "", ""Other Activities Related to Credit Intermediation "", ""Securities Brokerage ""","6021, 6141, 6162, 6211","""National commercial banks"", ""Personal credit institutions"", ""Mortgage bankers and correspondents"", ""Security brokers and dealers""",60210000,"National commercial banks","$142,422,000,000 ","256,981","141","$131,412,000,000 ","52"
"979","JPMorgan Chase & Co",9343,9343,"2",2009,"",NA,"","2009-12-07","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-12-07","JPMORGAN CHASE & CO.","Public","04-767-5947","Manufacturer","Non-Subsidiary",1968,"Headquarters","NEW YORK",522110,"Commercial Banking","522110, 522291, 522390, 523120","""Commercial Banking "", ""Consumer Lending "", ""Other Activities Related to Credit Intermediation "", ""Securities Brokerage ""","6021, 6141, 6162, 6211","""National commercial banks"", ""Personal credit institutions"", ""Mortgage bankers and correspondents"", ""Security brokers and dealers""",60210000,"National commercial banks","$142,422,000,000 ","256,981","141","$131,412,000,000 ","52"
"980","Julie Breskin PhD",9358,9358,"2",2009,"",NA,"","2009-04-29","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-04-29","PHD JULIE PSYCHOLGST BRESKIN","Private","87-829-2049","Manufacturer","Non-Subsidiary",2007,"Single Location","MASSACHUSETTS",621330,"Offices of Mental Health Practitioners (except Physicians)","","","","",80490401,"Clinical psychologist","$63,595 ","2","2","$63,595 ","62"
"981","K Hovnanian Enterprises",9371,9371,"2",2010,"",NA,"2010-06-09","2010-07-02","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-07-02","K. HOVNANIAN ENTERPRISES, INC.","Private","82-557-0302","Manufacturer","Subsidiary",1982,"Headquarters","NEW JERSEY",236117,"New Housing For-Sale Builders","","","","",15319901,"Condominium developers","$76,498,721 ","200","50","$76,875,020 ","23"
"982","K Hovnanian Enterprises",9371,9371,"2",2010,"",NA,"2010-06-09","2010-07-02","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-07-02","KAYAK SOFTWARE CORPORATION","Public","17-530-8845","Manufacturer","Subsidiary",2004,"Headquarters","CONNECTICUT",561510,"Travel Agencies","561510","""Travel Agencies""","4724","""Travel agencies""",47249901,"Tourist agency arranging transport, lodging and car rental","$42,527,877 ","185","27","$42,527,877 ","56"
"983","Kana Software Inc",9418,9418,"2",2008,"",NA,"","2008-07-25, 2008-07-28","",1,NA,NA,NA,"Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/kana-20080725.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-25","KANA SOFTWARE, INC.","Private","19-519-1650","Manufacturer","Subsidiary",1999,"Headquarters","CALIFORNIA",511210,"Software Publishers","511210","""Software Publishers""","7372","""Prepackaged software""",73729901,"Application computer software","$79,716,150 ","790","100","$79,716,150 ","51"
"984","Kayak Software Corp",9451,9451,"2",2009,"",NA,"","2009-01-09","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-01-09","KAYAK SOFTWARE CORPORATION","Public","17-530-8845","Manufacturer","Subsidiary",2004,"Headquarters","CONNECTICUT",561510,"Travel Agencies","561510","""Travel Agencies""","4724","""Travel agencies""",47249901,"Tourist agency arranging transport, lodging and car rental","$42,527,877 ","185","27","$42,527,877 ","56"
"985","Kayak Software Corp",9452,9452,"1",2010,"",NA,"2010-10-15","2010-10-19","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-10-19","KAYAK SOFTWARE CORPORATION","Public","17-530-8845","Manufacturer","Subsidiary",2004,"Headquarters","CONNECTICUT",561510,"Travel Agencies","561510","""Travel Agencies""","4724","""Travel agencies""",47249901,"Tourist agency arranging transport, lodging and car rental","$42,527,877 ","185","27","$42,527,877 ","56"
"986","Kayser-Roth Corp",9454,9454,"2",2010,"",NA,"","2010-11-04, 2010-11-05","",1,NA,NA,NA,"Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/kayser-roth-20101104.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-11-04","KAYSER-ROTH CORPORATION","Private","00-148-2033","Non Manufacturer","Subsidiary",1985,"Headquarters","NORTH CAROLINA",454110,"Electronic Shopping and Mail-Order Houses","","","","",59619923,"Women's apparel, mail order","$351,445,903 ","2,200","120","$374,674,330 ","45"
"987","KCI USA Inc",9463,9463,"1, 2",2010,"",NA,"2010-11-29","2010-12-21","280",NA,NA,NA,NA,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/kci-usa-20101221.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-12-21","KCI USA, INC.","Private","10-272-6734","Non Manufacturer","Subsidiary",1991,"Headquarters","TEXAS",532283,"Home Health Equipment Rental","","","","",73520000,"Medical equipment rental","$74,877,307 ","1,071","121","$114,124,839 ","53"
"988","KimCrafts",9554,9554,"2, 3",2007,"",NA,"2007-10-01","2007-11-03, 2007-11-06","",NA,NA,NA,NA,"HACKERS/ UNAUTHORIZED",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/kim-crafts-20071103.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-11-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"989","Kindred Healthcare",9562,9562,"2",2010,"",NA,"2010-12-01","2010-12-27","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-12-27","KINDRED HEALTHCARE, LLC","Public","13-153-0511","Manufacturer","Subsidiary",1998,"Headquarters","KENTUCKY",622110,"General Medical and Surgical Hospitals","621610, 622110, 623110, 624190","""Home Health Care Services"", ""General Medical and Surgical Hospitals "", ""Nursing Care Facilities (Skilled Nursing Facilities) "", ""Other Individual and Family Services ""","8051, 8062, 8082, 8322","""Skilled nursing care facilities"", ""General medical & surgical hospitals"", ""Home health care services"", ""Individual and family services""",80620000,"General medical and surgical hospitals","$6,034,123,000 ","85,300","50","$6,034,123,000 ","62"
"990","Kindred Rehab Sercvices Inc",9577,9577,"2",2008,"",NA,"","2008-05-05","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-05-05","KINDRED REHAB SERVICES, INC.","Private","15-637-5896","Manufacturer","Subsidiary",1994,"Headquarters","KENTUCKY",623110,"Nursing Care Facilities (Skilled Nursing Facilities)","","","","",80510000,"Skilled nursing care facilities","$7,990,719 ","1,021","1,013","$6,603,900 ","62"
"991","Kinetic Concepts Inc",9582,9582,"2",2010,"",NA,"2010-09-01","2010-09-14, 2010-09-17","",1,NA,NA,1,"RELEASE/ DISPLAY OF INFO, Electronic",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/kinectic-concepts-20100914.pdf",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-09-14","KINETIC CONCEPTS, INC.","Public","08-313-9394","Non Manufacturer","Subsidiary",1976,"Headquarters","TEXAS",339113,"Surgical Appliance and Supplies Manufacturing","339113","""Surgical Appliance and Supplies Manufacturing ""","3842","""Surgical appliances and supplies""",38420000,"Surgical appliances and supplies","$1,215,008,097 ","5,500","450","$1,325,887,517 ","33"
"992","Kingston Technology Company Inc",9595,9595,"2, 3",2007,"",NA,"2005-09-01","2007-07-09","27000",NA,NA,NA,NA,"HACKERS/ UNAUTHORIZED, ACCESS",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/kingston-technology-20070709.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-07-09","KINGSTON TECHNOLOGY COMPANY, INC.","Private","19-781-9683","Non Manufacturer","Subsidiary",1999,"Headquarters","CALIFORNIA",334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","334413, 423430","""Semiconductor and Related Device Manufacturing "", ""Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ""","3674, 5045","""Semiconductors and related devices"", ""Computers, peripherals & software""",35770000,"Computer peripheral equipment, nec","$1,022,601,837","4,000","780","$885,000,000","33"
"993","Kiwanis International",9607,9607,"3, 2",2008,"",NA,"2008-01-04","2008-01-28, 2008-02-01","",NA,NA,1,NA,"HACKERS/ UNAUTHORIZED, Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-01-28","KIWANIS INTERNATIONAL, INC.","Private","06-950-0825","Manufacturer","Non-Subsidiary",1915,"Headquarters","INDIANA",813410,"Civic and Social Organizations","813410","""Civic and Social Organizations ""","8641","""Civic and social associations""",86410100,"Civic associations","$22,543,272 ","115","112","$23,610,049 ","81"
"994","Knights of Columbus",9626,9626,"2, 1",2010,"",NA,"2010-06-15","2010-07-07, 2010-07-08","",1,1,1,1,"RELEASE/ DISPLAY OF INFO, Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-07-07","KRAFT FOODS GROUP, INC.","Public","03-901-0590","Non Manufacturer","Non-Subsidiary",0,"Single Location","ILLINOIS",311513,"Cheese Manufacturing","","","","",20229902,"Natural cheese","$16,541,624,490 ","22,100","120","$18,205,000,000 ","31"
"995","Knights of Columbus",9626,9626,"2, 1",2010,"",NA,"2010-06-15","2010-07-07, 2010-07-08","",1,1,1,1,"RELEASE/ DISPLAY OF INFO, Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-07-07","KNIGHTS OF COLUMBUS","Public","04-120-5329","Manufacturer","Non-Subsidiary",1882,"Headquarters","CONNECTICUT",524210,"Insurance Agencies and Brokerages","524210, 813410","""Insurance Agencies and Brokerages "", ""Civic and Social Organizations ""","6411, 8641","""Insurance agents, brokers, & service"", ""Civic and social associations""",64110300,"Insurance agents and brokers","$2,361,264,231 ","2,300","750","$2,361,264,231 ","52"
