Clean Name,Company ,Address,Street Address,Cities,State,Zip Code,DUNS No
Naturalnews Store,Naturalnews Store,,,,,,
Noodles & Co,Noodles & Company,,,,,,
Photobarn Photo Lab,Photobarn Photo Lab,,,,,,
Shannon Restaurant LLC,Shannon Restaurant LLC,,,,,,
Silencer Shop,Silencer Shop,,,,,,
Wilderness Hotel and Golf Resort,Wilderness Hotel and Resort,,,,,,
Spiraledge Inc,"Spiraledge, Inc.","1919 Bascom Ave., Ste 300, Campbell, CA 95008","1919 Bascom Ave., Ste 300",Campbell,CA,95008,
Crosman Corp,Crossman Corporation,"7629 Routes 5 & 20, Bloomfield, NY 14469",7629 Routes 5 & 20,Bloomfield,NY,14469,
R&A Design LLC,R & A Design d/b/a Unison Home,"1911 W. Division Street, Chicago, IL 60622",1911 W. Division Street,Chicago,IL,60622,
MED-PASS Inc,"MED-PASS, Inc.","One Reynolds Way, Dayton, OH 45430",One Reynolds Way,Dayton,OH,45430,
"International Association of Sheet Metal, Air, Rail & Transport Workers, Sheet Metal Workers’ Local Union No. 104","International Association of Sheet Metal, Air, Rail & Transport Workers, Sheet Metal Workers' Local Union No. 104","2610 Crow Canyon Road, San Ramon, CA 94583",2610 Crow Canyon Road,San Ramon,CA,94583,
Community Health Plan of Washington,Community Health Plan of Washington,"720 Olive Way, Suite 300, Seattle, WA 98101","720 Olive Way, Suite 300",Seattle,WA,98101,
Common Bond Inc,"CommonBond, Inc.","524 Broadway, 6th Floor, New York, NY 10012","524 Broadway, 6th Floor",New York,NY,10012,
Safe for Home Products LLC,"Safe for Home Products LLC, d/b/a Naturepedic","16925 Pakr Circle Drive, Chagrin Falls, OH 44023",16925 Pakr Circle Drive,Chagrin Falls,OH,44023,
Graphik Dimensions Ltd,"Graphik Dimensions, Ltd","2103 Brentwood Street, High Point, NC 27263",2103 Brentwood Street,High Point,NC,27263,
The Topps Company Inc,The Topps Company Inc.,"One Whitehall Street, New York, NY 10004",One Whitehall Street,New York,NY,10004,
Brandywine Pediatrics PA,"Brandywine Pediatrics, P.A.",,,,,,
Dover Federal Credit Union,Dover Federal Credit Union,"1075 Silver Lake Blvd, Dover, DE 19904",1075 Silver Lake Blvd,Dover,DE,19904,
#N/A,Acuatlanta.net,,,,,,
Banner Health Inc,Banner Health,,,,,,
Data Control Systemts Inc,"Data Control Systemts, Inc.",,,,,,
DXE Medical Inc,DXE Medical Inc.,,,,,,
Gun Mag Warehouse,Gun Mag Warehouse,,,,,,
Hairbow Center LLC,"Hairbow Center, LLC",,,,,,
HEI Hotels & Resorts,HEI Hotels & Resorts,,,,,,
Hofbrauhaus St.Petersburg,Hofbrauhaus St.Petersburg,,,,,,
Honig's Whistle Stop Inc,Honig's,,,,,,
Palms Casino Buffet,Palms Casino Buffet,,,,,,
Vitality Medical Inc,Vitality Medical Inc.,,,,,,
University of South Carolina Upstate,University of South Carolina Upstate,,,,,,
"Bomberg, Roach & Hanson PLLC","Bomberg, Roach & Hanson, PLLC","Minneapolis, MN",,Minneapolis,MN,,
BraceAbility Inc,BraceAbility Inc.,"Cedar Rapids, IA",,Cedar Rapids,IA,,
University of Maine,University of Maine,,,,,,07-175-0426
Claremont University Consortium,Claremont University Consortium,"101 South Mills Avenue, Claremont, CA 91711",101 South Mills Avenue,Claremont,CA,91711,
Western Union Financial Services Inc,"Western Union Financial Services, Inc.","12500 Belford Ave., Englewood, CO 80112",12500 Belford Ave.,Englewood,CO,80112,
State Farm Mutual Automobile Insurance Company,State Farm Mutual Automobile Ins Co,"One State Farm Plaza, Bloomington, IL 61710",One State Farm Plaza,Bloomington,IL,61710,
The Federal Savings Bank,The Federal Savings Bank,"300 North Elizabeth Street, Ste 3E, Chicago, IL 60657","300 North Elizabeth Street, Ste 3E",Chicago,IL,60657,
Breville USA Inc,"Breville USA, Inc.","19400 S. Western Ave., Torrance, CA 90501",19400 S. Western Ave.,Torrance,CA,90501,
Anchor Loans LP,Anchor Loans,"5230 Las Virgenes Road, Suite 105, Calabasas, CA 91302","5230 Las Virgenes Road, Suite 105",Calabasas,CA,91302,
Julep Beauty Inc,Julep Beauty Inc.,"111 Queen Anne Ave., North Suite 200, Seattle, WA 98122","111 Queen Anne Ave., North Suite 200",Seattle,WA,98122,
Brennan Recupero Cascione Scungio and McAllister LLP,Brennan Recupero Cascione Scungio and McAllister LLP,"362 Broadway, Providence, RI 02009",362 Broadway,Providence,RI,02009,
"Guilmartin, DiPiro & Sokolowski LLC","Guilmartin, DiPiro & Sokolowski, LLC",,,,,,
Gustafson & Wargo CPA's LLP,Gustafson & Wargo CPA's LLP,"3264 Seneca Turnpike, Canastota, NY 13032",3264 Seneca Turnpike,Canastota,NY,13032,
Dr Melissa D. Selke,Dr. Melissa Selke,"390 Amwell Road, Building 4, Suite 405, Hillsborough, NJ 08844","390 Amwell Road, Building 4, Suite 405",Hillsborough,NJ,08844,
Lang Companies Inc,"The LANG Companies, Inc.","20825 Swenson Drive, Waukesha, WI 53186",20825 Swenson Drive,Waukesha,WI,53186,
#N/A,Acer.com 2542984530,,,,,,
Dailysale.com,Dailysale.com,,,,,,
SwervePoint LLC,SwervePoint LLC,"75 Sylvan Street, Danvers, MA 01923",75 Sylvan Street,Danvers,MA,01923,
State Street Bank & Trust Co,State Street Bank & Trust Co.,"One Iron Street, State Street Channel Center, Boston, MA 02210","One Iron Street, State Street Channel Center",Boston,MA,02210,
Caesar's Entertainment,Caesars Entertainment,"One Caesars Palace Drive, Las Vegas, NV 89109",One Caesars Palace Drive,Las Vegas,NV,89109,
Backcountry Gear,Backcountry Gear,"1855 W. 2nd Ave, Eugene, Oregon 97402; (800) 953-5499",1855 W. 2nd Ave,Eugene,OR,97402,
Madison Square Garden Co,The Madison Square Garden Co.,"Madison Square Garden, 2 Pennsylvania Plaza, New York, NY 10121","Madison Square Garden, 2 Pennsylvania Plaza",New York,NY,10121,
Educents Inc,Educents Inc,"369 Sutter Street, San Francisco, CA 94108",369 Sutter Street,San Francisco,CA,94108,
Michigan State University,Michigan State University,"Hannah Administration Building, 426 Auditorium Road, Rom 494, East Lansing, MI 48824","Hannah Administration Building, 426 Auditorium Road, Rom 494",East Lansing,MI,48824,
BWTX Associates,BWTX Associates,"4408 Spricewood Springs Road, Austin, TX 78759",4408 Spricewood Springs Road,Austin,TX,78759,
State Farm Insurance Co,State Farm,"One State Farm Plaza, Bloomington, IL 61710",One State Farm Plaza,Bloomington,IL,61710,
Peachtree Neurological Clinic PC,Peachtree Orthopaedic Clinic,"2001 Peachtree Road, N.E., Suite 705, Atlanta, GA 30309","2001 Peachtree Road, N.E., Suite 705",Atlanta,GA,30309,
Springfield Armory,Springfield Armory,"420 West Main Street, Geneseo, IL 61254",420 West Main Street,Geneseo,IL,61254,
QVC Inc,"QVC, Inc.","1200 Wilson Drive, West Chester, PA 19380",1200 Wilson Drive,West Chester,PA,19380,
Times Three Clothier LLC,"Times Three Clothier, d/b/a Yummie by Heather Thomson","530 Seventh Avenue, Suite 1505, NY, NY 10018","530 Seventh Avenue, Suite 1505",New York,NY,10018,
Eye Institute of Marin,"Eye Institute of Marin/Kathryn Najafi-Tagol, MD","4000 Civic Center Drive, Suite 200A, San Rafael, CA 94903","4000 Civic Center Drive, Suite 200A",San Rafael,CA,94903,
Charles Schaw & Co Inc,Charles Schwab & Co.,"211 Main Street, San Francisco, CA 94105",211 Main Street,San Francisco,CA,94105,
Eileen Fisher Inc,"Eileen Fisher, Inc.","2 Bridge Street, Suite 230, Irvington, NY 10533","2 Bridge Street, Suite 230",Irvington,NY,10533,
Politi & Magnifico LLC,Politi & Magnifico LLC,"5 Edgewood Avenue, Greenwich, CT 06830",5 Edgewood Avenue,Greenwich,CT,06830,
UFCW Local 655,UFCW Local 655 Food Employers Joint Pension Plan,"300 Weidman Road, Ballwin, MO  63011",300 Weidman Road,Ballwin,MO,63011,
Best Health Physical Therapy LLC,Best Health Physical Therapy LLC,"772 Long Hill Road, Groton, CT 06340",772 Long Hill Road,Groton,CT,06340,
Nationstar Mortgage LLC,Nationstar Mortgage LLC,"8950 Cypress Waters Blvd, Coppell, TX 75019",8950 Cypress Waters Blvd,Coppell,TX,75019,
Emblem Health,Emblem Health,"55 Water Street, NY, NY 10041",55 Water Street,New York,NY,10041,
Rebecca Minkoff LLC,Rebecca Minkoff,"16 West 22nd Street, 7th FL, New York, NY 10010","16 West 22nd Street, 7th FL",New York,NY,10010,
Christian Louboutin LLC,Christian Louboutin LLC,"306 West 38th Street, 12th Floor, NY, NY 10018","306 West 38th Street, 12th Floor",New York,NY,10018,
National Wholesale Company Inc,National Wholesale Corporation Inc.,"400 National Blvd, Lexington, North Carolina 27292",400 National Blvd,Lexington,NC,27292,
Prime Inc,"Prime, Inc.","2740 N. Mayfair, Springfield, MO 65803",2740 N. Mayfair,Springfield,MO,65803,
Thirty Three Threads Inc,"Thirty Three Threads, Inc.",,,,,,
International E-Z UP Inc,"International E-Z UP, Inc.","1900 Second Street, Norco, CA 92860",1900 Second Street,Norco,CA,92860,
Harbortouch,Harbortouch,,,,,,
Landry's Inc,Landry's Inc.,,,,,,
Lulus.com,Lulus.com,,,,,,
Sally Beauty Holdings Inc,Sally Beauty 005,,,,,,
"City of Middletown, New York",City of Middletown,"16 James Street, Middletown, NY 10940",16 James Street,Middletown,NY,10940,
Pacific Concepts Group Inc,"Pacific Concepts Group, Inc. d/b/a National Satellite Center (""NSC"")","Long Beach, California",,Long Beach,CA,,
Natural Life Collections Inc,"Natural Life Collections, Inc.",,,,,,
Eastwood Co,Eastwood Company,"263 Shoemaker Road, Pottstown, PA 19464",263 Shoemaker Road,Pottstown,PA,19464,
Borden Perlman Insurance,Borden Perlman Insurance,"250 Phillips Blvd, Suite 280, Ewing Township, NJ 08618","250 Phillips Blvd, Suite 280",Ewing Township,NJ,08618,
Delta Career Education Corp,Delta Career Education Corp,"99 Canal Center Plaza, Suite 501, Alexandria, VA 22314","99 Canal Center Plaza, Suite 501",Alexandria,VA,22314,
Vera Bradley Inc,"Vera Bradley, Inc.","12420 Stonebridge Road, Roanoke, IN 46783",12420 Stonebridge Road,Roanoke,IN,46783,
HD Vest Investment Services,HD Vest Investment Services,"6333 State Highway 161, Irving, TX 75038",6333 State Highway 161,Irving,TX,75038,
Toronto-Dominion Bank,TD Bank N.A.,"9000 Atrium Way, Mounty Laurel, NJ 08054",9000 Atrium Way,Mounty Laurel,NJ,08054,
Vaupell Holdings Inc,"Vaupell Holdings, Inc.","1114 N.W. 53rd Street, Seattle, WA 98107",1114 N.W. 53rd Street,Seattle,WA,98107,
Scentlok Technologies,Scentlok Technologies,"1731 Wierengo Dr, Muskegon, MI  49442",1731 Wierengo Dr,Muskegon,MI,49442,
VF Outlet Inc,"VF Outlet, Inc.",,,,,,
Santoro CPA and SimpleBooks Corp,Santoro CPA and SimpleBooks Corp,,,,,,
Novation Settlement Solutions,Novation Settlement Solutions,"1641 Worthington Road, Suite 410, West Palm Beach, FL 33409","1641 Worthington Road, Suite 410",West Palm Beach,FL,33409,
American Medical ID,American Medical ID,,,,,,
Bailey's Inc,Bailey's Inc,,,,,,
CDs,CDs,,,,,,
HK Parts,HK Parts,,,,,,
Hyatt Hotel Corp,Hyatt Hotels,,,,,,
Kalahari Resort,Kalahari Resort,,,,,,
Longfield Gardens LLC,Longfield Gardens LLC,,,,,,
Penn National Gaming,Penn National Gaming,,,,,,
SAS Shoes,SAS Shoes,,,,,,
The Clevelander Restaurant,The Clevelander Restaurant,,,,,,
Trusted Health Products,Trusted Health Products,,,,,,
Wendys Co,Wendy's ,,,,,,
Wharton Farm,Wharton Farm,,,,,,
Jive Software,Jive Software - Producteev,"501 2nd Street, Suite 202, San Francisco, CA 94107","501 2nd Street, Suite 202",San Francisco,CA,94107,
IMX Medical Management Inc,"IMX Medical Management, Inc.","1700 Paoli Pike, Malvern, PA 19355",1700 Paoli Pike,Malvern,PA,19355,
Yahoo! Inc,Yahoo,,,,,,
New Jersey Spine Center,New Jersey Spine Center,"40 Main Street, Chatham, NJ 07928",40 Main Street,Chatham,NJ,07928,
Stallcup & Associates CPAs,"Stallcap & Associates, CPAs","2595 Mission Street, Suite 300, San Francisco, CA 94110","2595 Mission Street, Suite 300",San Francisco,CA,94110,
Freddie Mac,Freddie Mac,"8200 Jones Branch Drive, McLean, VA 22102",8200 Jones Branch Drive,McLean,VA,22102,
#N/A,ACTIVEOutdoors,"171 N. Harwood, Dallas, TX 75201",171 N. Harwood,Dallas,TX,75201,
Lulu's Fashion Lounge Inc,"Lulu's Fashion Lounge, Inc.",,,,,,
Kimpton Hotels & Restaurant Group LLC,Kimpton Hotels & Restaurants,,,,,,
University Gastroenterology Inc,"University Gastroenterology (""UGI"")",,,,,,
Noble House Hotels & Resorts,Noble House Hotels & Resorts,"600 6th Street South, Kirkland, WA 98033",600 6th Street South,Kirkland,WA,98033,
QR Lending,QR Lending,"555 Zor Shine Place, Suite 100, Madison, WI 53719",555 Zor Shine Place,Madison,WI,53719,
M Holdings Securities Inc,"M Holdings Securites, Inc.",,,,,,
Gray Television Inc,"Gray Television, Inc.",,,,,,
Nourse Farms Inc,Nourse Farms,,,,,,
Athens Orthopedic Clinic,Athens Orthopedic Clinic,,,,,,
Exterran,Exterran,,,,,,
KontrolFreek LLC,"KontrolFreek, LLC",,,,,,
Toyota Motor Credit Corp,Toyota Financial Services,"19001 So. Western Ave, Privacy Compliance EF-12, Torrance, CA","19001 So. Western Ave, Privacy Compliance EF-12",Torrance,CA,,
Casino Morongo,Casino Morongo,,,,,,
EyeBuy Direct Inc,Eyebuydirect Inc,,,,,,
Noble House Hotels & Resorts,Noble House Hotels & Resorts,,,,,,
Rosen Plaza Hotel,Rosen Plaza Hotel,,,,,,
TN Marketing  LLC,TN Marketing  LLC,,,,,,
DXE Medical Inc,"DXE Medical, Inc.","1001 Flagpole Court, Brentwood, TN 37027",1001 Flagpole Court,Brentwood,TN,37027,
Eddie Bauer LLC,"Eddie Bauer, LLC","10401 NE 8th Street, Suite 500, Belevue, WA 98004","10401 NE 8th Street, Suite 500",Belevue,WA,98004,
Precision Pipeline LLC,"Precision Pipeline, LLC","3314 56th Street, Eau Claire, WI 54703",3314 56th Street,Eau Claire,WI,54703,
HEI Hotels & Resorts,HEI Hotel & Resorts,,,,,,
Pax Labs Inc,"PAX Labs, Inc.","660 Alabama Street, 2nd Fl, San Francisco, CA 94110","660 Alabama Street, 2nd Fl",San Francisco,CA,94110,
Penn State Alumni Association,Penn State Alumni Association,"Hintz Family Alumni Center, University Park, PA 16802",Hintz Family Alumni Center,University Park,PA,16802,
#N/A,"7-Eleven, Inc.","3200 Hackberry Road, Irving, TX 75063",3200 Hackberry Road,Irving,TX,75063,
EBSCO Sign Group Inc,"EBSCO Sign Group, LLC","1400 8th Street North, Clanton, AL 35045",1400 8th Street North,Clanton,AL,35045,00-339-6256
Green Valley Mountain School,Green Valley Mountain School,,,,,,
Multi-Color Corp,Multi-Color Corp.,"4053 Clough Woods Drive, Batavia, OH 54103",4053 Clough Woods Drive,Batavia,OH,54103,
Schwan's Home Service Inc,"Schwan's Home Service, Inc.","115 West College Drive, Marshall, MN 56258",115 West College Drive,Marshall,MN,56258,
#N/A,Academy of Nutrition & Dietetics,"120 S. Riverside Plaza, Chicago, IL  60606",120 S. Riverside Plaza,Chicago,IL,60606,
Travel Caddy Inc,"Travel Caddy, Inc., dba Travelon","700 Touhy Ave, Elk Grove Fillage, IL 60007",700 Touhy Ave,Elk Grove Fillage,IL,60007,
MedAltus LLC,"MedAltus, LLC",,,,,,
Banner Health Inc,Banner Health,"2901 N. Central Ave., Phoenix, AZ 83012",2901 N. Central Ave.,Phoenix,AZ,83012,
KGA Inc,"KGA, Inc.","The Meadows, 161 Worcester Road, Framingham, MA 01701","The Meadows, 161 Worcester Road",Framingham,MA,01701,
Nordic Consulting Partners Inc,"Nordic Consulting Partners, Inc.","740 Regent Street, Suite 400, Madison, WI 53715","740 Regent Street, Suite 400",Madison,WI,53715,
Pro Performance Sports LLC,"Pro Performance Sports, LLC","2081 Faraday Ave, Carlsbad, CA 92008",2081 Faraday Ave,Carlsbad,CA,92008,
inVentiv Health Inc,inVentiv Health Inc.,"1 Van de Graaff Drive, Burlington, MA 01803",1 Van de Graaff Drive,Burlington,MA,01803,
CiCi Enterprises LP,"CiCi Enterprises, LP","1080 West Bethel Road, Coppell, TX 75019",1080 West Bethel Road,Coppell,TX,75019,
Internet Chess Club Inc,"Internet Chess Club, Inc.","5820 Forbes Ave., Suite 1, Pittsburgh, PA 15217","5820 Forbes Ave., Suite 1",Pittsburgh,PA,15217,
NLU Products LLC,"NLU Products, LLC","2801 N. Thanksgiving Way, Suite 300, Lehi, UT 84043","2801 N. Thanksgiving Way, Suite 300",Lehi,UT,84043,
San Antonio Shoemakers Inc,San Antonio Shoemakers,"1717 SAS Drive, San Antonio, TX 78224",1717 SAS Drive,San Antonio,TX,78224,
Matador Recordings LLC,"Matador Recordings, LLC (d/b/a Matador Direct)","134 Grand Street, New York, NY 10013",134 Grand Street,New York,NY,10013,
USA Field Hockey,USA Field Hockey,"5540 North Academy Blvd, Suite 100, Colorado Springs, CO 80918","5540 North Academy Blvd, Suite 100",Colorado Springs,CO,80918,
American Stationery,American Stationery,,,,,,
Cstars of Maine,Cstars of Maine,,,,,,
Discount Online Parts,Discount Online Parts,,,,,,
Gadget Guard,Gadget Guard,,,,,,
Giftcollector.com,Giftcollector.com,,,,,,
Hershey Entertainment & Resorts Co,Hersheypark (:),,,,,,
Lucky Pet Inc,Lucky Pet Inc.,,,,,,
PNI Digitial Media,PNI Digitial Media,,,,,,
Quarterdeck Seafood Bar,Quarterdeck Seafood Bar,,,,,,
WWW.sealedbysanta.com,WWW.sealedbysanta.com,,,,,,
Project Management Institute,Project Management Institute,"14 Campus Blvd, Newton Square, PA 19073",14 Campus Blvd,Newton Square,PA,19073,
IAP Worldwide Services Inc,"IAP Worldwide Services, Inc.","7315 North Atlantic Avenue, Cape Canaveral, FL 32920",7315 North Atlantic Avenue,Cape Canaveral,FL,32920,
Gamesa Wind US LLC,Gamesa Wind US LLC,"1150 Northbrook Dr., Suite 150, Trevose, IN 19053","1150 Northbrook Dr., Suite 150",Trevose,IN,19053,
Career Education Corporation,Career Education Corporation,"231 N Martingale Road, Schaumberg, IL 60173",231 N Martingale Road,Schaumberg,IL,60173,
American Association for the Advancement of Science,American Association for the Advancement of Science,"1200 New York Avenue NW, Washington, DC 20005",1200 New York Avenue NW,Washington,DC,20005,
North Carolina State University,North Carolina State University,"Raleigh, NC 27695",,Raleigh,NC,27695,
Water Environment Federation,Water Environment Federation,"601, Wythe Street, Alexandria, VA 22314","601, Wythe Street",Alexandria,VA,22314,
Omni Hotels & Resorts,Omni Hotels and Resorts,,,,,,
Wendys Co,"Wendco of Maine,LLC (part of The Wendy's Company)","One Dave Thomas Blvd., Dublin, OH 43017",One Dave Thomas Blvd.,Dublin,OH,43017,
KontrolFreek LLC,KontrolFreek LLC,,,,,,
Pennsylvania Lumbermens Mutual Insurance Co,Pennsylvania Lumbermens Mutual Insurance Company,"2005 Market Street, Suite 1200, Philadelphia, PA 19103",2005 Market Street,Philadelphia,PA,19103,
Hard Rock Hotel & Casino in Las Vegas,Hard Rock Hotel and Casino Las Vegas,"455 Paradise Road, Las Vegas, NV 89169",455 Paradise Road,Las Vegas,NV,89169,
Bucknell University,Bucknell University,"701 Moore Ave., Lewisburg, PA 17837",701 Moore Ave.,Lewisburg,PA,17837,
Grand Valley State University,Grand Valley State University,"One Campus Drive, Allendale, MI 49401",One Campus Drive,Allendale,MI,49401,
Foundation of the Massachusetts Eye and Ear Infirmary Inc,"Foundation of the Massachusetts Eye and Ear Infirmary, Inc.","Massachusetts Eye and Ear Infirmary, 243 Charles Street, Boston, MA 02214","Massachusetts Eye and Ear Infirmary, 243 Charles Street",Boston,MA,02214,
Stanford University,Stanford University,"Office of Audit, Compliance and Privacy, Room 10, Encina Hall, 616 Serra Street, Stanford, CA 94305-6212","Office of Audit, Compliance and Privacy, Room 10, Encina Hall, 616 Serra Street",Stanford,CA,94305-6212,
Uber Technologies Inc,"Uber Technologies, Inc. (""Uber"")",,,,,,
Aone Touch Inc,A-One Touch Registers,,,,,,
Central Payments Cpay,Central Payments Cpay,,,,,,
Cricketers,Cricketers,,,,,,
Department of Child Services,Department56Corner.com,,,,,,
Dinatouch,Dinatouch,,,,,,
Discount Rubber Stamps,Discount Rubber Stamps,,,,,,
Dungarees LLC,Dungarees LLC,,,,,,
In Vogue Inc,In Vogue Incorporated,,,,,,
Incipio Technologies Inc,Incipio Technologies Inc.,,,,,,
KEH,KEH,,,,,,
Lighterusa.com,Lighterusa.com,,,,,,
Missing Link Network,Missing Link Network (Ecellar),,,,,,
Rollie and Helens Musky Shop,Rollie and Helens Musky Shop,,,,,,
Technology Marketing Inc,Technology Marketing Inc.,,,,,,
Tiemart Inc,"Tiemart, Inc.","525 Morris Avenue, Mundelein, IL 60060",525 Morris Avenue,Mundelein,IL,60060,
Franklin Templeton Investor Services LLC,"Franklin Templeton Investor Services, LLC (""FTIS"")","3344 Quality Drive, Rancho Cordova, CA 95670",3344 Quality Drive,Rancho Cordova,CA,95670,
Fidelity Investments,"Fidelity Investments, Corporate Compliance","200 Seaport Blvd.  Z1N, Boston, MA 02210",200 Seaport Blvd.  Z1N,Boston,MA,02210,
Wepawaug-Flagg Federal Credit Union,"Wepawaug-Flagg Federal Credit Union (""WFFCU"")","105 Sanford Street, Hamden, CT 06514",105 Sanford Street,Hamden,CT,06514,
Crane Co,Crane Co.,"100 First Stamford Place, Stamford, CT 06092",100 First Stamford Place,Stamford,CT,06092,
Empathia Inc,"Empathia, Inc.","N17 W24300 Riverwood Drive #300, Waukesha, WI 53188",N17 W24300 Riverwood Drive #300,Waukesha,WI,53188,
Pasternack Tilker Ziegler Walsh Stanton & Romano LLP,"Pasternack Tilker Ziegler Walsh Stanton & Romano, LLP","233 Broadway, New York, NY 10279",233 Broadway,New York,NY,10279,
SD Associates PC,"SD Associates P.C. (""SD"")","300 Yorktown Plaza, Elkins Park, PA 19027",300 Yorktown Plaza,Elkins Park,PA,19027,
Shoes West Distribution Inc,"Shoes West Distribution, Inc. (dba Taos Footwear)","2660 Columbia Street, Torrance, CA 90503",2660 Columbia Street,Torrance,CA,90503,
National Network of Abortion Funds,"National Network of Abortion Funds (""NNAF"")",,,,,,
LinkedIn Corp,LinkedIn,"2029 Stierlin Court, Mountain View. CA 94043",2029 Stierlin Court,Mountain View,CA,94043,
Kroger Co,"The Kroger Co. (""Kroger"")","1014 Vine Street, Cincinnati, OH  45202-1100",1014 Vine Street,Cincinnati,OH,45202-1100,
Milwaukee Bucks,Milwaukee Bucks,"1001 N. 4th Street, Milwaukee, WI  53203",1001 N. 4th Street,Milwaukee,WI,53203,
Stamford Podiatry Group PC,Stamford Podiatry Group,"1234 Summer Street, Suite 202, Stamford, CT  06905","1234 Summer Street, Suite 202",Stamford,CT,06905,
Maritz Holdings Inc,"Maritz Holdings, Inc. (""Maritz"")","P.O. Box 6336, Portland, OR  97228",P.O. Box 6336,Portland,OR,97228,
Match-Up Solutions LLC,"Match-Up Solutions (""Match-Up"")",,,,,,
Skylar quinn,Skylar quinn,"33 E. Pearl St, Nashua, NH03060",33 E. Pearl St,Nashua,NH,03060,
Single Digits,Single Digits,,,,,,
DeLong & Brower PC,"DeLong & Brower, PC","238 Hoover Blvd #10, Holland, MI  49423",238 Hoover Blvd #10,Holland,MI,49423,
Metropolitan Jewish Health System Inc,"Metropolitan Jewish Health System, Inc.","6323 7th Avenue, Brooklyn, NY  11220",6323 7th Avenue,Brooklyn,NY,11220,
MYR Group Inc,MYR Group Inc.,"1701 Golf Road, Suite 3-1012, Rolling Meadows, IL  60008","1701 Golf Road, Suite 3-1012",Rolling Meadows,IL,60008,
USI Inc,"USI, Inc.","200 Summit Lake Drive, Suite 350,Valhalla, NY  10595","200 Summit Lake Drive, Suite 350",Valhalla,NY,10595,
Curse Inc,"Curse, Inc.","100 Spectrum Center Drive, Ste. 450, Irvine, CA 92618","100 Spectrum Center Drive, Ste. 450",Irvine,CA,92618,
Batdorf & Bronson Coffee Roasters,Batdorf & Bronson Coffee Roasters,"200 Market NE, Olympia, WA  98501",200 Market NE,Olympia,WA,98501,
Kolodzey & Cox CPAs PC,"Kolodzey & Cox CPAs, PC","Gibbsboro, NJ",,Gibbsboro,NJ,,
Distinct Software Solutions,Distinct Software Solutions dba Course Trends,"9111 Jollyville Rd. Suite 108, Austin, TX  78759",9111 Jollyville Rd. Suite 108,Austin,TX,78759,
Conway Group Inc,"Conway Group, Inc.","10 Capitol Street,Nashua, NH  03063",10 Capitol Street,Nashua,NH,03063,
Sure Fit Inc,Sure Fit Inc.,,,,,,
Myadventurebooks.com,Myadventurebooks.com,,,,,,
Heartland Brewery,Heartland Brewery,,,,,,
Four Winds Casino Resort,Four Winds Casino,,,,,,
Elephant Bar,Elephant Bar,,,,,,
Kalamazoo College,Kalamazoo College,"1200 Academy Street, Kalamazoo, MI 49006",1200 Academy Street,Kalamazoo,MI,49006,
Group Benefit Services Inc,"Group Benefits Services, Inc. (""GBS"")",,,,,,
Certifikid LLC,CertifiKid LLC,"P.O. Box 60871, Potomac, MD 20854",P.O. Box 60871,Potomac,MD,20854,
NTT Data Inc,NTT Data,"P.O. Box 1122, Charlotte, NC 28201-1122; PO#122004A",P.O. Box 1122,Charlotte,NC,28201-1122,
Southern Michigan Bank & Trust,"Southern Michigan Bank & Trust (""SMBT"")","51 W. Pearl Street, Coldwater, MI 49036",51 W. Pearl Street,Coldwater,MI,49036,
Rug Doctor LLC,"Rug Doctor, LLC","4701 Old Shepard Place, Plano, TX 75093 ",4701 Old Shepard Place,Plano,TX,75093,
Intuit Inc,"Intuit, Inc.","2535 Garcia Ave., Mountain View, CA  94043",2535 Garcia Ave.,Mountain View,CA,94043,11-329-0969
Sanctuary Clothing LLC,Sanctuary Clothing LLC,"3611 N. San Fernando Blvd., Burbank, CA 91505",3611 N. San Fernando Blvd.,Burbank,CA,91505,
Leavitt Group Enterprises,Leavitt Group,"216 South 22 West, Cedar City, UT 84720",216 South 22 West,Cedar City,UT,84720,
Brunswick Corp ,"Brunswick Corporation, Illinois",,,,,,
Union League Club of Chicago,Union League Club of Chicago,"65 W. Jackson Blvd., Chicago, IL 60604",65 W. Jackson Blvd.,Chicago,IL,60604,
PhyMed Management LLC,"PhyMed Management, LLC","110 29th Avenue North, Suite 301, Nashville, TN 37203","110 29th Avenue North, Suite 301",Nashville,TN,37203,
Hill & Knowlton Strategies LLC,Hill & Knowlton Strategies,"825 Third Avenue, Suite 2400, New York, NY 10022","825 Third Avenue, Suite 2400",New York,NY,10022,
Hi-Tec Sports USA Inc,"Hi-Tec Sports USA, Inc, (and Magnum Boots)","7632 SW Durham Road, Suite 305, Tigard, OR 97224","7632 SW Durham Road, Suite 305",Tigard,OR,97224,
Rhode Island Blood Center,Rhode Island Blood Center,"405 Promenade Street, Providence, RI 02908",405 Promenade Street,Providence,RI,02908,
Heritage Oaks Bank,Heritage Oaks Bank,"1222 Vine Street, Paso Robles, CA 93446",1222 Vine Street,Paso Robles,CA,93446,
Draper James LLC,Draper James LLC,"21 West 46th Street, New York, NY 10036",21 West 46th Street,New York,NY,10036,
New Hampshire Distributors LLC,New Hampshire Distributors LLC,"65 Regional Drive, Concord, NH 03301",65 Regional Drive,Concord,NH,03301,
#N/A,Advanced International Marketing,"225 American Way, Monroe, OH 45140",225 American Way,Monroe,OH,45140,
Michels Corp,Michels Corporation,"P.O. Box 128, 817 West Main Street, Brownsville, WI  53006","P.O. Box 128, 817 West Main Street",Brownsville,WI,53006,
ProSchools,"ProSchools, 800-299-7812",,,,,,
