Respondent,Notification Sent,Breach Occurred,IN Affected,Total Affected,Status/Disposition
"LexingtonCountyHealthServicesDistrict,Inc.",3/2/2017,2/13/2017,12,,Closed
"LightspeedSystems,Inc.",1/30/2017,9/6/2016,4,340,Closed
LiptonCPAAssociatesLLC,5/2/2017,4/1/2017,5,65,Closed
LoewsHotels&Co.,7/5/2017,8/29/2016,969,,Open
"LOGANCommunityResources,Inc.",7/11/2017,5/12/2017,2063,2604,Open
"LouisvilleAreaChamberofCommerce,Inc.d/b/aGreaterLouisvilleInc.",4/25/2017,3/17/2017,3,40,Closed
LouisvilleMetroGovernment,6/1/2017,2/17/2017,3,174,Closed
"M.StanleyMetz&Company,Inc.",2/1/2017,12/14/2016,7,2595,Closed
"M/IFinancial,LLC",7/28/2017,10/15/2016,2,2,Closed
"MadisonTrustCompany,Inc.",12/28/2016,10/13/2016,7,219,Closed
MajorLeagueLacrosse,9/8/2017,8/23/2017,8,2570,Closed
ManateeCountySchoolDistrict,2/16/2017,1/26/2017,5,7564,Closed
MarineCorpsAssociation&Foundation,8/11/2017,4/16/2017,90,3969,Closed
MarionCountyProsecutor'sOffice,1/19/2017,1/5/2017,2,2,Closed
MarionCountyProsecutor'sOffice,,10/25/2016,3,3,Closed
MarriottInternational,10/16/2017,9/19/2017,1,75,Open
MassachusettsMutualLifeInsuranceCompany,8/29/2017,8/17/2017,1,2034,Closed
MassachusettsMutualLifeInsuranceCompany,5/5/2017,3/6/2017,2,40,Closed
"Massood&Company,PA",6/16/2017,2/17/2017,1,2709,Closed
"MaximCapitalEnterprises,Inc.",3/7/2017,2/4/2017,16,619,Closed
"MaximCraneWorks,L.P.",3/15/2017,2/2/2017,14,1114,Closed
"MBAConsultingServices,Inc.",1/20/2017,1/6/2017,5,360,Closed
"McDavid,Inc.",5/1/2017,9/5/2016,79,4777,Closed
McDonald'sCorporation,3/31/2017,3/7/2016,1,13,Closed
McLaughlinBrunsonInsuranceAgencyLLP,5/25/2017,2/21/2017,1,303,Closed
MDFInstruments,2/3/2017,7/2/2016,169,5677,Closed
"Med-Cert,Inc.",9/1/2017,6/17/2017,2592,7237,Closed
"MedicalDepot,Inc.",2/15/2017,2/2/2017,50,1023,Closed
"MED-PASS,Inc.",1/4/2017,12/5/2016,1,43,Closed
"MerchantsMetals,Inc.",3/3/2017,2/1/2017,103,759,Closed
MeridianHealthServices,2/17/2017,2/8/2017,1245,1245,Closed
"MichaelFriedland,LTD",7/12/2017,6/4/2017,2,622,Closed
MichelinNorthAmerica,3/13/2017,,7,94,Closed
MidAmericaClinicalLaboratories,6/13/2017,5/5/2017,2,2,Closed
"MihalovBarton&Burrus,LLC",2/27/2017,2/5/2017,1586,1775,Closed
MiravalArizonaResort&Spa,6/29/2017,8/10/2016,10,900,Closed
MonarchBeverageCompany,2/2/2017,1/24/2017,1254,1275,Closed
"Montage,Inc.",5/4/2017,3/28/2017,1,,Closed
Mot1MarketingCo.Ltd.,4/25/2017,,3,648,Closed
MovementMortgage,7/10/2017,8/1/2016,53,9591,Open
Mr.Cooper,8/30/2017,7/5/2017,184,8118,Closed
MrsPrindables,2/24/2017,2/1/2016,1068,,Open
Mt.ZionGeneralBaptistChurch,3/20/2017,2/6/2017,40,41,Closed
MutualofOmahaInsuranceCompany-SecurityBreach,2/16/2017,2/1/2017,1,1,Closed
"N.WasserstromandSons,Inc.",2/23/2017,2/6/2017,1,,Closed
NathanSports,5/1/2017,9/5/2016,7,330,Closed
"NationalDCP,LLC",8/8/2017,3/10/2017,1,,Closed
NationalSafetyCouncil,3/22/2017,3/13/2017,1,505,Closed
NationalTreasuryEmployeesUnion,6/16/2017,3/14/2017,1,443,Closed
NationstarMortgageLLC,1/25/2017,12/1/2016,1,32,Closed
NationwideMutualInsuranceCompany,4/4/2017,3/15/2017,2,462,Closed
NativeCanadaFootwearLtd.,8/16/2017,4/1/2015,130,,Open
"NCIGroup,Inc.",9/22/2017,8/8/2017,6,161,Open
"Neeley-Nemeth,LLPd/b/aBartonOaksDentalGroup",5/18/2017,3/23/2017,12,17090,Closed
NeoshoCountyCommunityCollege,3/2/2017,2/17/2017,1,549,Closed
NewsCorporation,7/12/2017,8/10/2016,2,,Open
NewWorldHotelManagementLimited,7/7/2017,11/3/2016,3,,Open
"NicopureLabs,LLC",5/16/2017,,695,,Closed
NielsenCompany,6/15/2017,5/18/2017,4,,Closed
NobleHouseHotelsandResorts,7/28/2017,8/10/2016,62,23312,Open
"NokiaNetworksandSolutionsUS,LLC",5/17/2017,4/1/2017,3,2521,Closed
NorthAmericanTitleCompany,5/18/2017,2/9/2017,1,255,Closed
"NorthmarkMedicalManagement,LLC",4/14/2017,1/16/2017,19,,Closed
NorthParkUniversity,3/13/2017,3/8/2017,3,52,Closed
NorthropGrummanSystemsCorporation,4/19/2017,4/18/2016,6,1938,Closed
"NorthsideAnesthesiaServices,LLC",6/29/2017,11/30/2016,1,1,Closed
NorthsideIndependentSchoolDistrict,12/29/2016,8/12/2016,1,22921,Closed
NorthwestRheumatology,7/31/2017,3/30/2017,17,7468,Closed
OaklawnPsychiatricHospital,2/9/2017,9/2/2016,,1,Closed
OathInc.,7/12/2017,8/10/2016,4,,Open
"OneMainFinancialGroup,LLC",1/13/2017,10/17/2016,2,39,Closed
"OneWorldDistribution,Inc.d/b/aOneWorldDirect",4/7/2017,8/27/2016,159,7552,Closed
OniaLLC,6/6/2017,11/12/2016,3,619,Closed
OpenTextCorporation,7/6/2017,6/25/2017,1,300,Closed
OrchardsInn,8/31/2017,8/10/2016,10,742,Closed
OrthopaedicsIndianapolisInc,12/29/2016,8/3/2016,1,1,Closed
OutriggerHotelsHawaii,7/21/2017,8/10/2016,3,221,Open
OwenCountyStateBank,9/7/2017,7/14/2017,3,3,Closed
"PacificaHotelManagement,LLC",8/11/2017,8/10/2016,51,8179,Open
PacificLutheranUniversity,4/18/2017,1/23/2017,1,955,Closed
PacificQuest,4/27/2017,1/30/2017,1,319,Closed
PacificScienceCenter,7/12/2017,6/13/2017,1,661,Closed
PalmBayInternational,2/24/2017,1/17/2017,1,362,Closed
PathGroup,12/30/2016,1/29/2016,46,1452,Closed
PatrickIndustries,2/13/2017,2/3/2017,6303,7960,Closed
"PaulStuart,Inc.",,,,,Closed
"PaulStuart,Inc.",6/14/2017,5/15/2017,40,7972,Closed
PayLeaseLLC,4/7/2017,2/23/2017,1,267,Closed
"PaySystemsofAmerica,Inc.",3/3/2017,2/6/2017,27,148,Closed
PCASkin,2/28/2017,2/22/2017,1,164,Closed
"PeachtreeNeurologicalClinic,P.C.",7/6/2017,2/1/2016,72,176295,Closed
"PenservPlanServices,Inc.",3/28/2017,2/26/2017,,,Closed
PeopleforPeople,3/15/2017,10/20/2016,2,857,Closed
PerfectlyPoshLLC,2/14/2017,2/10/2017,1,288,Closed
PerformantFinancialCorporation,8/11/2017,1/27/2017,1,2889,Open
PikeLumberCo,1/27/2017,1/24/2017,269,269,Closed
"PlasticMoldingsCompany,LLCandPMCSMARTSOLUTIONSLLC",2/10/2017,1/18/2017,34,47,Closed
prAna,3/8/2017,12/14/2016,3778,391484,Closed
"PrattIndustries,Inc.",5/1/2017,4/19/2017,672,7569,Closed
"PreferredHotelGroup,Inc.",7/14/2017,8/10/2016,844,,Open
PrincetonUniversity,3/23/2017,12/1/2016,1,97,Closed
PrincipalLifeInsuranceCompany-SecurityBreach,3/14/2017,2/22/2017,4,114,Closed
PrincipalLifeInsuranceCompany-SecurityBreach,2/3/2017,1/18/2017,1,46,Closed
PrincipalLifeInsuranceCompany-SecurityBreach,6/2/2017,5/25/2017,1,1,Closed
"ProfessionalBusiness&TaxConsultingServices,Inc.",4/8/2017,2/18/2017,22,1664,Closed
"ProScanImaging,LLC",3/2/2017,,35,,Closed
"Pro-Vigil,Inc.",3/15/2017,3/13/2017,2,237,Closed
PrudentialInsuranceCompanyofAmerica,4/11/2017,1/9/2017,1,9,Closed
PSAAirlines,12/29/2016,9/6/2016,45,2707,Closed
"PulmoRehab,LLC",2/10/2017,2/3/2017,9,2030,Closed
"PulteMortgage,LLC",9/6/2017,7/22/2017,13,268,Closed
"PunchBowl,LLC",5/19/2017,3/8/2017,268,2301,Closed
PurdueUniversity,2/3/2017,1/1/2016,1,1,Closed
"PurityCylinderGases,Inc.andAirwayOxygen,Inc.",5/25/2017,4/18/2017,14099,497020,Closed
PVHS-ICM Employee Health and Wellness LLC,6/30/2017,5/4/2017,19,,Open
QBE,8/15/2017,5/31/2017,6,418,Closed
"QualiChem,Inc.",3/9/2017,2/13/2017,1,84,Closed
QuantumHealth,3/17/2017,2/22/2017,1,737,Closed
"QuenchUSA,Inc.",3/29/2017,2/10/2017,1,568,Closed
QuestDiagnostics,3/27/2017,2/14/2017,1,1,Closed
R&ADesignd/b/aUnisonHome,1/6/2017,5/16/2016,6,1500,Closed
R.J.O'Brien&Associates,3/20/2017,,2,23,Closed
RandMcNally,3/20/2017,9/1/2016,11,600,Closed
RandMcNally,5/5/2017,4/12/2016,529,21237,Closed
"RayAllen,Inc.",3/13/2017,2/21/2017,2,,Closed
"RealTruck,Inc.",3/17/2017,1/22/2017,1,43,Closed
"RedRoofInns,Inc.",8/29/2017,8/10/2017,122,4942,Open
"RefundAdvantage,adivisionofMetaBank",3/21/2017,2/14/2017,5,4147,Closed
RehabilitationHospitalofIndiana,3/30/2017,7/5/2016,1,1,Closed
RehabilitationHospitalofIndiana,3/30/2017,3/1/2016,1,1,Closed
RehabilitationHospitalofIndiana,3/30/2017,12/15/2016,30,30,Closed
ReidHealth,4/12/2017,,2,2,Closed
REIHoldingCo.,4/20/2017,3/6/2017,1,638,Closed
"RemingtonLodging&Hospitality,LLC",7/18/2017,8/10/2016,154,,Open
RepublicBankCorporateCenter,5/4/2017,,39,32600,Closed
RevlonConsumerProductsCorporation,6/6/2017,4/24/2017,1,149,Closed
"RichardE.Munoz,CPA",9/20/2017,8/24/2017,2,564,Closed
"Ricoh USA, Inc.",5/18/2017,,2,114,Closed
RiteAidCorporation,5/17/2017,1/30/2017,113,18680,Closed
"RJD,LLCd/b/aGuardianTechnologies,LLC",6/7/2017,4/18/2017,1,,Closed
Road&RailServices,3/8/2017,3/3/2016,211,2221,Closed
"RobertsHawaii,Inc.",2/24/2017,7/30/2015,217,30180,Closed
ROCORealEstateLLC,8/18/2017,8/10/2017,30,755,Closed
Rod'sWesternPalace,2/24/2017,10/11/2016,876,,Closed
RoundPointMortgageServicingCorporation,8/14/2017,7/27/2017,1,18,Closed
"RussellInvestmentsGroup,LLC",3/7/2017,2/22/2017,2,1580,Closed
"Rutherford,MacDonald&OlsonP.C.",8/18/2017,3/1/2017,1,6000,Closed
"SaddleRidgePartners,LLC,dbaWizardLabs",8/7/2017,5/25/2017,109,4062,Closed
SafariLtd.,1/4/2017,10/10/2016,2,69,Closed
SageHospitalityLLC,7/18/2017,8/10/2016,2,,Open
SaintGobainCorporation,4/13/2017,4/1/2016,4,143,Closed
Saint-GobainCorporation,7/24/2017,8/10/2016,2,50,Open
SaintMaryoftheWoodsCollege,6/29/2017,6/6/2017,2,2,Closed
SalinaFamilyHealthcareCenter,8/16/2017,6/18/2017,54,77337,Closed
SaltHotelsLLC,7/28/2017,8/10/2016,unknown,3400,Open
SanDiegoChristianCollege,2/13/2017,2/6/2017,1,361,Closed
"Sarnova,Inc.",3/30/2017,1/20/2017,5,720,Closed
"SBEENTHoldings,LLC",7/17/2017,8/10/2016,,80000,Open
"ScholarChipCard,LLC",1/27/2017,12/2/2016,588,7229,Closed
SchurmanFinePapersdbaSchurmanRetailGroup,3/21/2017,1/18/2017,30,2652,Closed
ScientificGamesCorporation,5/17/2017,5/3/2017,1,280,Closed
ScivationInc.,3/24/2017,1/25/2017,1,70,Closed
"Scotty'sHoldings,LLC",1/31/2017,1/30/2017,2941,3521,Closed
"ScoutEnergyManagement,LLC",5/30/2017,4/17/2017,16,6658,Closed
"SEKOWorldwide,LLC",2/15/2017,2/2/2017,1,256,Closed
SharedImaging,2/2/2017,1/31/2017,4,197,Closed
"ShockDoctor,Inc.",5/1/2017,9/5/2016,42,2420,Closed
"ShoeStation,Inc.",8/8/2017,4/27/2017,31,3379,Open
"Showpay,LLC",2/10/2017,1/30/2017,4,1230,Closed
ShowTix4U,3/29/2017,12/11/2016,164,27833,Closed
"SignatorInvestors,Inc.",9/19/2017,6/8/2017,17,7408,Closed
"SignatureHardware,Inc.",6/2/2017,4/28/2017,74,5130,Closed
SiriusXMRadioInc,9/7/2017,8/9/2017,2,76,Closed
"SixContinentsHotels,Inc.",4/14/2017,9/29/2016,26568,1043686,Closed
SkyClimberAccessSolutionsAtlantaLLC,2/6/2017,1/23/2017,21,1536,Closed
"SoleraHolding,Inc.",3/31/2017,,4,,Closed
"SolutionsIQ,Inc.",3/9/2017,2/28/2017,2,211,Closed
"SoutheasternEmergencyPhysiciansofMemphis,LLC",4/25/2017,3/11/2017,1,1,Closed
SouthernIllinoisHospitalServices,6/23/2017,2/13/2017,1,613,Closed
SouthernTide,6/15/2017,4/27/2017,32,4315,Closed
SparkPayOnlineStore,7/6/2017,4/10/2017,374,,Closed
"Spiraledge,Inc.",1/12/2017,5/2/2016,8431,426623,Closed
"SportsMem,Inc.",7/18/2017,10/12/2016,617,32461,Open
"SpringInsuranceSolutions,LLC",9/5/2017,4/3/2017,1,,Closed
SRIInternational,9/8/2017,7/26/2017,25,10831,Closed
St.LucieCounty,4/11/2017,3/9/2017,1,,Closed
St.Mary'sHealth,2/27/2017,2/9/2017,2,2,Closed
St.Mary'sHealth,5/1/2017,4/12/2017,1,1,Closed
St.VincentDunnHospital,2/27/2017,1/10/2017,1,1,Closed
"St.VincentKokomoHospital,Inc.",3/7/2017,2/17/2017,1,1,Closed
StandardInternationalManagementLLC,7/21/2017,8/10/2016,29,8155,Open
StarwoodPropertyTrustandStarwoodMortgageCapital,7/7/2017,5/17/2017,1,,Closed
State o. Indiana,10/10/2017,1/2/2017,9,4277,Open
State o. Indiana,11/13/2017,7/7/2017,200,"387,500",Open
State o. Indiana,10/24/2017,10/11/2017,7,414,Open
State o. Indiana,10/19/2017,3/17/2017,3,618,Closed
State o. Indiana,10/16/2017,9/26/2017,31,32,Closed
State o. Indiana,12/15/2017,9/5/2015,2,328,Open
State o. Indiana,11/10/2017,4/13/2017,6,,Open
State o. Indiana,11/9/2017,6/2/2017,96,3138,Open
State o. Indiana,11/15/2017,8/11/2017,13,1376,Open
State o. Indiana,12/19/2017,9/28/2017,9,839,Open
State o. Indiana,10/11/2017,7/21/2017,24,1658,Open
State o. Indiana,10/10/2017,9/10/2017,1,38,Closed
State o. Indiana,12/4/2017,8/1/2017,6,311,Open
State o. Indiana,11/27/2017,10/2/2017,12,1016,Open
State o. Indiana,11/8/2017,10/18/2016,23,2267,Open
State o. Indiana,12/6/2017,7/2/2017,3,1847,Open
State o. Indiana,11/30/2017,8/22/2017,1,143,Open
State o. Indiana,9/29/2017,7/25/2017,51,33000,Closed
State o. Indiana,10/16/2017,10/13/2017,1,1,Open
State o. Indiana,10/5/2017,9/4/2017,3,12273,Closed
State o. Indiana,10/5/2017,8/28/2017,2,555,Closed
State o. Indiana,10/6/2017,11/12/2016,336,127310,Closed
State o. Indiana,10/6/2017,4/11/2014,7,1069,Closed
State o. Indiana,12/1/2017,10/3/2017,2,3284,Open
State o. Indiana,12/10/2017,11/14/2017,2113,2113,Open
State o. Indiana,11/29/2017,7/1/2015,155,"12,003",Open
State o. Indiana,11/22/2017,11/9/2017,1,87,Closed
State o. Indiana,11/2/2017,10/5/2017,,1,Closed
State o. Indiana,11/30/2017,11/28/2017,1,1,Closed
State o. Indiana,12/14/2017,,7,784,Open
State o. Indiana,11/15/2017,8/31/2017,20,22,Open
State o. Indiana,12/15/2017,9/20/2014,82,"1,600,000",Open
State o. Indiana,12/19/2017,4/20/2017,1,336,Open
State o. Indiana,10/31/2017,10/27/2017,4,4,Open
State o. Indiana,12/8/2017,6/2/2017,2,1120,Closed
State o. Indiana,10/12/2017,9/21/2017,3,3,Open
State o. Indiana,10/25/2017,8/25/2017,1,1,Open
State o. Indiana,10/25/2017,9/28/2017,4,4,Closed
State o. Indiana,10/9/2017,8/30/2017,1,1,Closed
State o. Indiana,12/8/2017,,805,"23,072",Closed
State o. Indiana,11/13/2017,6/18/2017,2302,"178,498",Open
State o. Indiana,11/13/2017,,1,2225,Open
State o. Indiana,9/25/2017,4/24/2017,14,1070,Open
State o. Indiana,,8/30/2017,59,"9,306",Open
State o. Indiana,11/30/2017,9/11/2017,10,1146,Closed
State o. Indiana,10/5/2017,9/6/2017,1,31,Closed
State o. Indiana,12/6/2017,7/3/2017,1,1012,Open
State o. Indiana,11/2/2017,10/3/2017,3,61,Closed
State o. Indiana,10/31/2017,5/15/2017,10,2100,Open
State o. Indiana,10/17/2017,9/27/2017,1,6003,Open
State o. Indiana,10/12/2017,3/18/2017,97,"24,599",Open
State o. Indiana,12/1/2017,8/30/2017,41,"12,833",Open
State o. Indiana,11/28/2017,10/17/2017,16,282,Closed
State o. Indiana,11/8/2017,7/2/2017,,,Open
State o. Indiana,,10/28/2017,,,Open
State o. Indiana,12/5/2017,8/21/2017,1,1,Closed
State o. Indiana,10/20/2017,9/5/2017,44,48,Open
State o. Indiana,12/14/2017,10/1/2016,78,3389,Open
State o. Indiana,9/7/2017,5/29/2017,48,2691,Open
State o. Indiana,,9/12/2017,2,2,Open
State o. Indiana,12/1/2017,6/15/2016,456,"25,218",Open
State o. Indiana,10/6/2017,7/1/2017,72,"6,488",Open
State o. Indiana,10/6/2017,7/1/2017,72,"6,488",Open
State o. Indiana,12/14/2017,11/27/2017,3,3,Closed
State o. Indiana,11/7/2017,9/14/2017,1,841,Closed
State o. Indiana,10/20/2017,8/5/2017,1,415,Open
State o. Indiana,12/4/2017,10/19/2017,12,630,Open
State o. Indiana,11/7/2017,6/26/2017,18,38427,Open
State o. Indiana,9/5/2017,8/17/2017,8,3788,Open
State o. Indiana,12/12/2017,7/27/2017,7,14,Open
State o. Indiana,12/13/2017,8/8/2017,1,218,Open
State o. Indiana,10/24/2017,,5,366,Open
State o. Indiana,12/18/2017,6/6/2017,13,1249,Open
State o. Indiana,12/15/2017,9/5/2017,1,565,Closed
State o. Indiana,10/11/2017,8/10/2016,1,224,Open
State o. Indiana,11/3/2017,6/27/2017,2,109,Open
State o. Indiana,9/1/2017,5/26/2017,5,"4,314",Open
State o. Indiana,10/9/2017,7/26/2017,1,135,Open
State o. Indiana,10/20/2017,6/25/2017,6,45,Open
State o. Indiana,11/14/2017,5/24/2011,93,572,Open
State o. Indiana,11/8/2017,9/19/2017,,1,Open
State o. Indiana,10/11/2017,3/1/2017,3,1733,Closed
State o. Indiana,10/14/2017,10/1/2017,1399,59320,Open
State o. Indiana,11/29/2017,9/15/2017,86,173,Open
State o. Indiana,10/5/2017,5/27/2017,904,"39,353",Open
State o. Indiana,11/28/2017,9/24/2017,2324,"32,000",Open
State o. Indiana,10/25/2017,7/19/2017,80,661,Open
State o. Indiana,12/6/2017,9/7/2017,1,137,Open
State o. Indiana,11/1/2017,8/25/2017,34,2010,Open
State o. Indiana,9/27/2017,8/18/2017,573,4217,Open
State o. Indiana,11/22/2017,9/18/2017,2,362,Open
State o. Indiana,10/4/2017,8/22/2017,2,693,Open
State o. Indiana,10/31/2017,,1,335,Open
State o. Indiana,10/31/2017,6/4/2017,8,24999,Closed
State o. Indiana,12/15/2017,12/1/2017,3,145,Open
State o. Indiana,12/6/2017,6/2/2017,932,3497,Open
State o. Indiana,12/4/2017,8/4/2017,2,1389,Open
State o. Indiana,10/30/2017,9/21/2017,1,1,Open
State o. Indiana,11/13/2017,8/10/2016,89,969,Closed
State o. Indiana,10/6/2017,4/25/2017,778,"41,195",Open
State o. Indiana,10/13/2017,3/1/2017,1,3532,Open
State o. Indiana,10/16/2017,1/1/2017,7,"13,412",Closed
State o. Indiana,12/14/2017,10/29/2017,2,103,Open
State o. Indiana,10/3/2017,9/7/2017,4172,"182,823",Open
State o. Indiana,12/12/2017,1/10/2017,1,1895,Open
State o. Indiana,11/22/2017,10/13/2016,>6480,>600.00,Open
State o. Indiana,10/20/2017,5/1/2017,35,1630,Closed
State o. Indiana,10/19/2017,7/25/2017,23,135,Open
State o. Indiana,12/8/2017,9/13/2017,1,4995,Open
State o. Indiana,,,,,Open
State o. Indiana,10/5/2017,7/21/2017,19,822,Open
State o. Indiana,10/23/2017,3/10/2017,,,Open
State o. Indiana,11/3/2017,,60,"10,149",Open
State o. Indiana,10/31/2017,,2,954,Open
State of Indiana,12/21/2017,10/5/2017,5,24,Open
StateBankofLincoln,2/21/2017,1/3/2017,18,5598,Closed
StateFarmMutualAutomobileInsuranceCompany,6/21/2017,10/1/2016,1,1,Closed
StateFarmMutualAutomobileInsuranceCompany,11/23/2016,10/23/2016,1,58,Closed
StateFarmMutualAutomobileInsuranceCompany,3/2/2017,11/1/2015,3,10421,Closed
StateIndustrialProducts,8/4/2017,2/26/2017,1,294,Closed
StateStreetCorporation,8/18/2017,7/17/2017,6,693,Closed
"SteelTechnology,LLCd/b/aHydroFlask",7/25/2017,,261,40942,Closed
StoutStreetHospitality,7/28/2017,8/10/2016,46,,Open
"stremlinevents,inc.",2/15/2017,2/7/2017,1,146,Closed
"Stroh,Johnson&CompanyLLP",2/14/2017,1/3/2017,8,5000,Closed
"SunbeltRentals,Inc.",5/8/2017,4/18/2017,1,,Closed
SunTrustBank,2/24/2017,11/2/2016,19,14616,Closed
"SusanD.Jarvis,CPA",3/8/2017,2/13/2017,1,316,Closed
SydellPartners,7/21/2017,8/10/2016,20,6037,Open
SymetraLifeInsuranceCompany,3/2/2017,2/13/2017,1,1,Closed
SymetraLifeInsuranceCompany,3/2/2017,2/13/2017,1,1,Closed
"TaconicBiosciences,Inc.",3/9/2017,1/30/2017,54,665,Closed
TALXCorporation,8/28/2017,4/18/2016,1,369,Closed
TALXCorporation,7/21/2017,4/18/2016,31,3739,Open
TALXCorporation,8/15/2017,2/4/2016,5,134,Open
TALXCorporation,5/23/2017,1/4/2017,1322,40645,Closed
TALXCorporation,6/14/2017,5/3/2016,3,206,Closed
TALXCorporation,4/4/2017,,40,717,Closed
TALXCorporation,6/2/2017,4/19/2016,3,119,Closed
"TampaBaySurgeryCenter,Inc.",6/20/2017,5/4/2017,2,25842,Closed
"Tatcha,LLC",5/9/2017,,36,4300,Closed
TaylorUniversity,6/28/2017,4/17/2017,6,6,Closed
TaylorUniversity,8/23/2017,4/17/2017,77,197,Closed
TDBank-SecurityBreach,6/22/2017,4/28/2017,9,5152,Closed
TelcomInsuranceServicesCorp.,1/13/2017,,1,25,Closed
"Teletrac,Inc.andNavamWirelessNorthAmericaLimited",2/9/2017,2/1/2017,3,465,Closed
The Prudential Insurance Company of Amer,8/9/2017,6/22/2017,4,74,Closed
TheAIJ.SchneiderCompany,7/26/2017,12/21/2016,unknown,unknown,Closed
TheBicycleHotel&Casino,8/28/2017,8/10/2016,4,,Open
TheBoeingCompany,2/10/2017,11/21/2016,15,35681,Closed
TheBridgewaterClub,,9/8/2016,,,Open
TheCalmarkGroup,2/9/2017,1/9/2017,7,200,Closed
"TheChildren'sPlace,Inc.",4/4/2017,,3,,Closed
TheDomainHotel,8/28/2017,8/10/2016,2,,Open
TheForumforYouthInvestment,6/8/2017,3/19/2017,4,643,Closed
TheGallivantTimesSquare,8/28/2017,8/10/2017,9,,Open
"TheHonestKitchen,Inc.",2/14/2017,11/30/2016,106,6750,Closed
TheInternationalCouncilofShoppingCenters,9/15/2017,3/24/2017,137,12149,Closed
"Theisen'sSupply,Inc.",3/3/2017,2/1/2016,69,,Closed
TheNathanHaleInn&ConferenceCenter,8/28/2017,8/10/2016,2,,Open
TheNeimanMarcusGroup,4/14/2017,12/26/2015,58,6494,Closed
"TheNeurologyFoundation,Inc.",9/1/2017,1/31/2017,1,12976,Closed
"ThereThinkGroup,Inc.",9/6/2017,7/11/2017,62,1860,Closed
"ThermoSpasHotTubProducts,Inc.",9/11/2017,9/1/2017,1,722,Closed
TheRooseveltHotel,8/28/2017,8/10/2016,31,,Open
TheSandmanSantaRosa,7/21/2017,8/10/2016,3,938,Open
"TheToppsCompany,Inc.",12/27/2016,7/30/2016,285,10380,Closed
"TheVanguardGroup,Inc.",7/10/2017,6/7/2017,1,1,Closed
"TheVanguardGroup,Inc.",4/5/2017,3/29/2016,1,1,Closed
"TheVanguardGroup,Inc.",,,,,Closed
"TheVanguardGroup,Inc.",8/11/2017,7/19/2017,1,1,Closed
"TheW.W.WilliamsCompany,LLC",8/8/2017,7/6/2017,1,57,Closed
TheWareGroup,8/11/2017,7/15/2017,2,742,Closed
"TICGums,Inc.",3/20/2017,2/27/2017,1,268,Closed
"TidewaterTransitCompany,Inc.",4/20/2017,,2,1952,Closed
TimberlandBank,8/31/2017,7/18/2017,1,6055,Open
TimeWarnerInc.,7/20/2017,8/10/2016,2,1183,Open
TorranceMemorialMedicalCenter,6/19/2017,4/18/2017,11,32499,Open
TownofGalveston,5/1/2017,4/3/2017,84,84,Closed
"ToyotaMaterialHandlingMidwest,Inc.",3/20/2017,3/7/2017,152,,Closed
"TraditionsManagement,LLC",4/28/2017,3/15/2017,54,80,Closed
"TransPerfectGlobal,Inc.",2/10/2017,1/17/2017,7,4884,Closed
TriangleAssociates,2/23/2017,2/10/2017,1,152,Closed
TriTechSoftwareSystems,3/30/2017,2/16/2017,3,863,Closed
"TrojanBatterySales,LLC",5/30/2017,2/18/2017,2,132,Closed
"tronc,inc.",9/25/2017,,1,39,Closed
TRUEbenefitsLLC,8/14/2017,5/18/2017,11,2656,Open
TrueNetCommunications,1/26/2017,1/20/2017,5,,Closed
TrumpHotelCollection,6/30/2017,8/10/2017,49,,Open
"TwoRoadsHospitality,LLC",7/14/2017,8/10/2016,808,92467,Open
TylerIndependentSchoolDistrict,3/8/2017,3/1/2017,1,4099,Closed
"TylerTechnologies,Inc.",3/13/2017,3/3/2017,23,7788,Closed
U.S.ResidentialGroupLLC,8/2/2017,3/23/2017,6,1226,Closed
UllicoInc.,5/19/2017,3/17/2017,1,47,Closed
UnionHospital,2/28/2017,1/13/2016,1,1,Closed
"Unique-Prescotech,Inc.",2/28/2017,2/14/2017,112,228,Closed
UnitedAirlines,7/6/2017,,4,841,Closed
"UnitedBenefitAdvisors,LLC",7/20/2017,5/31/2017,36,58,Closed
UnitedChurchHomes,4/5/2017,3/15/2017,13,2020,Closed
UnitedStatesCellularCorporation,6/27/2017,4/5/2017,4,1852,Closed
UniversalBusinessTeamLLC,6/15/2017,8/1/2016,15,679,Open
UniversityofNewMexicoFoundation,5/15/2017,2/16/2017,72,23000,Closed
UnknownRespondent,,,,,Closed
UnknownRespondent,,,,,Closed
UnknownRespondent,,,,,Closed
UnknownRespondent,,,,,Closed
UnknownRespondent,,,,,Open
UnknownRespondent,,,,,Closed
UnknownRespondent,,,,,Closed
UnknownRespondent,,,,,Open
UnknownRespondent,,,,,Closed
UrologyAustin,3/22/2017,1/22/2017,96,279663,Closed
USDepartmentOfLabor,,,3,3,Closed
"ValueEyecareNetwork,Inc.",7/21/2017,5/31/2017,1666,115581,Open
"Vanner,Inc.",2/8/2017,1/30/2017,1,,Closed
VeoliaNorthAmerica,3/23/2017,1/26/2017,,,Closed
VeoliaNorthAmerica,2/24/2017,,63,,Closed
Verizon,7/19/2017,8/10/2017,2,225,Closed
VertexWireless,3/15/2017,2/21/2017,24,,Closed
"VHGFourthStreetSF,LLC",3/28/2017,2/26/2017,2,280,Closed
Viamedia,4/3/2017,3/30/2017,6,144,Closed
"VillageGreenHoldings,LLC",3/10/2017,2/10/2017,2,745,Closed
VirginAmerica,7/26/2017,,2,3230,Closed
