Raw Data,Data Pulled
"Hagerty Insurance Agency, LLC, February 21, 2012 ",1/18/2019
"Hairbow Center, LLC, October 26, 2018 ",1/18/2019
"Hamilton Beach, January 12, 2011 ",1/18/2019
"Hamilton Zanze & Company, July 25, 2017 ",1/18/2019
"www.hammernutrition.com, December 18, 2018 ",1/18/2019
"Hand & Upper Extremity Centers dba Hand Rehabilitation Specialists, August 30, 2017 ",1/18/2019
"Hanger Orthopedic, November 12, 2010 ",1/18/2019
"Hankin Group, January 7, 2019 ",1/18/2019
"Hannaford, March 20, 2008 ",1/18/2019
"Hanover Insurance Group, Inc., March 06, 2012 ",1/18/2019
"Harbor Freight Tools USA, Inc., October 31, 2013 ",1/18/2019
"Harbor Homes, Inc., May 15, 2015 ",1/18/2019
"Hard Rock Hotel & Casinoa, Las Vegas, June 27, 2016 ",1/18/2019
"Hard Rock Hotel & Casino, Las Vegas, April 30, 2015 ",1/18/2019
"Harley-Davidson Motor Company, Inc., December 06, 2018 ",1/18/2019
"Harmonix, June 06, 2013 ",1/18/2019
"Harrington CPA, Kevin, January 10, 2017 ",1/18/2019
"Harrisburg Gastroenterology Ltd & Harrisburg Endoscopy and Surgery Center, April 28, 2017 ",1/18/2019
"Harry Barker, August 09, 2014 ",1/18/2019
"Hartford, The, March 10, 2011 ",1/18/2019
"Hartford, The, October 04, 2007 ",1/18/2019
"Harvard Pilgrim Health Care, January 21, 2015 ",1/18/2019
"Harvest Bible Chapel dba Walk in the Word Ministries, July 13, 2017 ",1/18/2019
"Hats.com, November 19, 2018 ",1/18/2019
"Haverford College, January 20, 2017 ",1/18/2019
"Hayden, Narey & Persich (NHP), December 04, 2017 ",1/18/2019
"HBDirect.com, March 24, 2010 ",1/18/2019
"HC Financial Advisors, Inc., November 05, 2018 ",1/18/2019
"HD Vest Investment Services, October 05, 2016 ",1/18/2019
"Health and Human Services, State of NH, October 30, 2017 ",1/18/2019
"Health and Human Services, State of NH, December 27, 2016 ",1/18/2019
"Health and Human Services, State of NH, December 16, 2008 ",1/18/2019
"Health Authority for the City of Huntsville (""Huntsville""), November 09, 2018 ",1/18/2019
"Health Care Service Corporation (HCSC) Premera Blue Cross, March 27, 2015 ",1/18/2019
"Health Dialog Services Corp., May 12, 2009 ",1/18/2019
"HealthEquity, Inc., November 16, 2018 ",1/18/2019
"HealthEquity, Inc., June 13, 2018 ",1/18/2019
"HealthInfoNet, February 14, 2017 ",1/18/2019
"Health Management Concepts, Inc., August 20, 2018 ",1/18/2019
"Health Management Concepts, Inc., June 11, 2018 ",1/18/2019
"HealthMarkets, Inc., May 14, 2013 ",1/18/2019
"Health Net, March 11, 2011 ",1/18/2019
"Health Net, January 06, 2010 ",1/18/2019
"Health Net, November 23, 2009 ",1/18/2019
"HealthTexas Provider Network, March 10, 2017 ",1/18/2019
"Heartland, January 30, 2009 ",1/18/2019
"Heartland Dental, LLC, June 03, 2015 ",1/18/2019
"Hebrew Health Care, January 11, 2013 ",1/18/2019
"HEI Hospitality, September 02, 2010 ",1/18/2019
"HEI Hotels & Resorts, August 12, 2016 ",1/18/2019
"Hein & Associates, LLC, July 13, 2016 ",1/18/2019
"Helly Hansen A.S., July 19, 2018 ",1/18/2019
"Hemenway & Barnes LLP and Hemenway Trust Company, November 05, 2018 ",1/18/2019
"Henry Schein, Inc., July 16, 2009 ",1/18/2019
"Henry Schein, Inc., April 17, 2007 ",1/18/2019
"Heraeus Incorporated, December 29, 2010 ",1/18/2019
"Herbaria, June 06, 2014 ",1/18/2019
"Hershey Entertainment & Resorts Company, July 10, 2015 ",1/18/2019
"Hertz Corporation, The, August 01, 2012 ",1/18/2019
"Hewlett-Packard, December 04, 2008 ",1/18/2019
"Hewlett-Packard, August 16, 2007 ",1/18/2019
"Highlands-Cashiers Hospital, November 26, 2014 ",1/18/2019
"Hill Country Memorial Hospital, April 25, 2017 ",1/18/2019
"Hilton, September 03, 2009 ",1/18/2019
"Hilton, September 27, 2007 ",1/18/2019
"Hi-Tec, May 11, 2016 ",1/18/2019
"Hi-Tec, April 29, 2016 ",1/18/2019
"Holiday Motel, December 01, 2014 ",1/18/2019
"Holstein Association USA, Inc., August 22, 2016 ",1/18/2019
"Home Box Office, Inc., October 30, 2017 ",1/18/2019
"B.T.C.E., Inc. d/b/a HomeBrewIt.com, November 19, 2018 ",1/18/2019
"Home Depot, September 09, 2014 ",1/18/2019
"Home Depot, May 27 2014 ",1/18/2019
"Home Depot, March 14 2014 ",1/18/2019
"Home Depot, February 10 2014 ",1/18/2019
"Home Depot, April 16 2012 ",1/18/2019
"Home Depot, October 05, 2007 ",1/18/2019
"Home Depot, May 24, 2007 ",1/18/2019
"Home Depot, May 02, 2007 ",1/18/2019
"Home for Little Wanderers, The, April 25, 2016 ",1/18/2019
"Homeland Funding Solutions, Inc., March 23, 2007 ",1/18/2019
"Home Point Financial Corporation, September 08, 2017 ",1/18/2019
"Home Point Financial Corporation, June 20, 2017 ",1/18/2019
"Honig's Whistle Stop, November 09, 2016 ",1/18/2019
"Honigs Whistle Stop, May 11, 2015 ",1/18/2019
"Honor Flight New England, January 24, 2017 ",1/18/2019
"Horizon Healthcare Services, Inc., December 06, 2013 ",1/18/2019
"Horry Telephone Cooperative, Inc., February 16, 2012 ",1/18/2019
"Horton Group, Inc., The, December 06, 2017 ",1/18/2019
"Hotel Beacon, May 19, 2015 ",1/18/2019
"Hotel Zelos, March 28, 2017 ",1/18/2019
"Howe Riley & Howe PLLC, April 08, 2015 ",1/18/2019
"HSBC, April 10, 2015 ",1/18/2019
"HSBC, November 29, 2013 ",1/18/2019
"HSBC, April 25,2008 ",1/18/2019
"HSBC Bank USA, National Association, November 27, 2018  ",1/18/2019
"HSBC Bank USA, National Association, November 05, 2018 ",1/18/2019
"HSBC Bank USA National Association, July 24, 2015 ",1/18/2019
"HSBC Bank, USA, National Association, January 31, 2013 ",1/18/2019
"HSBC Beneficial New Hampshire, November 20, 2009 ",1/18/2019
"HSBC Finance Corporation, November 20, 2009 ",1/18/2019
"HSBC Mortgage Services, November 20, 2009 ",1/18/2019
"HSBC Taxpayer Financial Services, November 20, 2009 ",1/18/2019
"Hudson's Bay Company (HBC), April 27, 2018 ",1/18/2019
"Hudson Structured Capital Management Ltd., January 10, 2018 ",1/18/2019
"Hudson Valley Community College, October 16, 2013 ",1/18/2019
"Human Resource Advantage, March 25, 2014 ",1/18/2019
"Humana, June 22, 2018 ",1/18/2019
"Humana, June 04, 2018 ",1/18/2019
"Humana, December 17, 2012 ",1/18/2019
"Humana, June 21, 2006 ",1/18/2019
"HumanGood, October 30, 2017 ",1/18/2019
"Huntington's Disease Society of America (HDSA), December 13, 2013 ",1/18/2019
"Huntington's Disease Society of America (HDSA), July 22, 2013 ",1/18/2019
"Huron Consulting Group, July 15, 2008 ",1/18/2019
"Hutchinson and Bloodgood, March 10, 2017 ",1/18/2019
"Hutton Hotel, September 30, 2016 ",1/18/2019
"Hyatt Centric, August 07, 2017 ",1/18/2019
"Hyatt Hotels Corporation, October 12, 2017 ",1/18/2019
"Hyundai Motor America, July 03, 2013 ",1/18/2019
"IAP Worldwide Services, Inc., September 09, 2016 ",1/18/2019
"IAP Worldwide Services, Inc., July 13, 2016 ",1/18/2019
"IBM, April 26, 2007 ",1/18/2019
"ICF, March 02, 2018 ",1/18/2019
"ICG America, September 24, 2013 ",1/18/2019
"IdeaStream Consumer Products, LLC, November 30, 2017 ",1/18/2019
"identitySafeguards, March 10, 2008 ",1/18/2019
"IDEO.org, November 09, 2016 ",1/18/2019
"ID Experts, January 27, 2009 ",1/18/2019
"ID Parts, LLC, December 18, 2014 ",1/18/2019
"IEEE, February 24, 2011 ",1/18/2019
"IH Mississippi Valley Credit Union (IHMVCU), December 01, 2017 ",1/18/2019
"IHS Inc., May 02, 2013 ",1/18/2019
"ILKB, LLC., April 11, 2017 ",1/18/2019
"ILKB, LLC., March 06, 2017 ",1/18/2019
"IMA (Institute of Management Accountants), July 19, 2016 ",1/18/2019
"Image Group, The, November 28, 2017 ",1/18/2019
"Image Group, The, September 29, 2008 ",1/18/2019
"Imhoff and Associates, P.C., September 29, 2014 ",1/18/2019
"Imhoff and Associates, P.C., August 26, 2014 ",1/18/2019
"Immigrant Legal Resource Center, April 10, 2009 ",1/18/2019
"ImpactAssets Inc., November 05, 2018 ",1/18/2019
"Impairment Resources/Sedgwick Claims Management Services, Inc., March 20, 2012 ",1/18/2019
"Impairment Resources, February 13, 2012 ",1/18/2019
"Imprivata, Inc., November 29, 2018 ",1/18/2019
"Incipio, LLC, May 24, 2017 ",1/18/2019
"Incorporating Services, Ltd. (ISL), May 02, 2012 ",1/18/2019
"Independent Services Network, Inc., January 31, 2017 ",1/18/2019
"Indiana State Medical Association, March 06, 2015 ",1/18/2019
"Indie Research, LLC, April 17, 2012 ",1/18/2019
"Indigo Wild, May 12, 2017 ",1/18/2019
"Indique Hair, December 05, 2016 ",1/18/2019
"Infinite Computer Solutions, September 01, 2017 ",1/18/2019
"infogroup, April 12, 2011 ",1/18/2019
"Information Innovators Inc., March 03, 2016 ",1/18/2019
"Ingenix, January 06, 2011 ",1/18/2019
"Ingersoll Rand, November 10, 2006 ",1/18/2019
"ING Funds, February 03, 2010 ",1/18/2019
"Ingis & Company, PA,July 14, 2017 ",1/18/2019
"InMoment, Inc., March 14, 2017 ",1/18/2019
"Innodata Isogen, January 05, 2009 ",1/18/2019
"Innotek, Inc., January 26, 2010 ",1/18/2019
"Inogen, Inc., April 13, 2018 ",1/18/2019
"Inova Health System, November 05, 2018 ",1/18/2019
"Inova Health System, March 07, 2013 ",1/18/2019
"Inovis, June 15, 2010 ",1/18/2019
"Inspire Home Loans Inc., February 09, 2018 ",1/18/2019
"Inspired by…Inc. dba MFTstamps.com (MFT), December 07, 2017 ",1/18/2019
"Institute for Financial Markets, The, May 12, 2015 ",1/18/2019
"Institute for Supply Management (ISM), April 03, 2018 ",1/18/2019
"Integrated Practice Solutions, Inc., May 22, 2018 ",1/18/2019
"Integrity Transitional Hospital, October 14, 2016 ",1/18/2019
"InterContinental Hotels Group, April 14, 2017 ",1/18/2019
"Inter-Continental Hotels Corporation, August 30, 2013 ",1/18/2019
"Interactive Financial, August 18, 2008 ",1/18/2019
"Interbank FX, LLC, April 09, 2008 ",1/18/2019
"Intergraph, July 16, 2007 ",1/18/2019
"InterMountain Management, LLC, February 22, 2017 ",1/18/2019
"International Checkout, November 23, 2011 ",1/18/2019
"International Code Council, January 27, 2017 ",1/18/2019
"International Council of Shopping Centers, October 16, 2017 ",1/18/2019
"International Council of Shopping Centers, September 15, 2017 ",1/18/2019
"International Mission Board, July 06 2018 ",1/18/2019
"International Society of Explosives Engineers (""ISEE""), October 26, 2018 ",1/18/2019
"International SOS Assistance, Inc., October 24, 2013 ",1/18/2019
"Internet Chess Club, July 19, 2016 ",1/18/2019
"Interpublic Group, Towers Perrin, The, January 25, 2007 ",1/18/2019
"Interstate Plastics, Inc., March 06, 2018 ",1/18/2019
"Interstate Plastics, Inc., October 27, 2017 ",1/18/2019
"Interval International, Inc., April 05, 2018 ",1/18/2019
"inTEST Corporation, March 13, 2017 ",1/18/2019
"Intex Recreation Corp., February 22, 2017 ",1/18/2019
"Intimacy Management Company, June 03, 2015 ",1/18/2019
"InTouch Credit Union, November 08, 2017 ",1/18/2019
"Intuit, Inc., April 04, 2018 ",1/18/2019
"Intuit, Inc., March 14, 2018 ",1/18/2019
"Intuit, Inc., March 05 2018 ",1/18/2019
"Intuit, Inc., February 09, 2018 ",1/18/2019
"Intuit, Inc., August 15, 2017 ",1/18/2019
"Intuit, Inc., June 13, 2017 ",1/18/2019
"Intuit, Inc., May 05, 2017 ",1/18/2019
"Intuit, Inc., March 17, 2017 ",1/18/2019
"Intuit, Inc., March 10, 2017 ",1/18/2019
"Intuit, Inc., February 21, 2017 ",1/18/2019
"Intuit, Inc., February 09, 2017 ",1/18/2019
"Intuit, Inc., February 01, 2017 ",1/18/2019
"Intuit, Inc., January 26, 2017 ",1/18/2019
"Intuit, Inc., December 12, 2016 ",1/18/2019
"Intuit, Inc., December 02, 2016 ",1/18/2019
"Intuit, Inc., November 04, 2016 ",1/18/2019
"Intuit, Inc., October 17, 2016 ",1/18/2019
"Intuit, Inc., September 15, 2016 ",1/18/2019
"Intuit, Inc., July 11, 2016 ",1/18/2019
"Intuit, Inc., June 21, 2016 ",1/18/2019
"Intuit, Inc., June 10, 2016 ",1/18/2019
"Intuit, Inc., May 26, 2016 ",1/18/2019
"Intuit, Inc., May 09, 2016 ",1/18/2019
"Intuit, Inc., April 28, 2016 ",1/18/2019
"Intuit, Inc., April 13, 2016 ",1/18/2019
"Intuit, Inc., April 01, 2016 ",1/18/2019
"Intuit, Inc., March 14, 2016 ",1/18/2019
"Intuit, Inc., March 02, 2016 ",1/18/2019
"Intuit, Inc., December 23, 2015 ",1/18/2019
"Intuit, Inc., February 11, 2015 ",1/18/2019
"Intuit, Inc., September 05, 2008 ",1/18/2019
"Invacare Corporation, March 14, 2018 ",1/18/2019
"InvenSense, Inc., April 15, 2016 ",1/18/2019
"Investacorp, Inc., April 19, 2012 ",1/18/2019
"inVentive Health, July 21, 2016 ",1/18/2019
"ipromo.com, December 03, 2012 ",1/18/2019
"iRemedy Healthcare Companies, Inc., The, July 09, 2018 ",1/18/2019
"Iron Horse Bicycle Classic, April 25, 2013 ",1/18/2019
"Irvine Scientific, December 18, 2012 ",1/18/2019
"Island Hotel Company Limited, November 21, 2016 ",1/18/2019
"ISS Solutions, March 06, 2018 ",1/18/2019
"ITA Group, Inc., May 11, 2017 ",1/18/2019
"Ithaca College, June 13, 2018 ",1/18/2019
"ITW Food Equipment Group, August 10, 2007 ",1/18/2019
"Ives & Sultan LLP, May 08, 2017 ",1/18/2019
"Jackson National Life Insurance Company, May 25, 2011 ",1/18/2019
"Jackson Therapy Partners, December 19 2011 ",1/18/2019
"JAM Paper & Envelope, December 012017 ",1/18/2019
"James P. Rinaldi, CPA, December 292017 ",1/18/2019
"Japan Foundation, Los Angeles, October 21, 2010 ",1/18/2019
"Jarrett & Luitjens, PLC, May 24, 2018 ",1/18/2019
"JCM Partners, LLC, April 25, 2014 ",1/18/2019
"JC Penney Corporation, Inc., March 27, 2018 ",1/18/2019
"Jeanne D'Arc Credit Union, November 30, 2011 ",1/18/2019
"J.E. Sandifer Financial Consultants, Inc., August 02, 2018 ",1/18/2019
"Jennifer Miller Ltd., November 13, 2018  ",1/18/2019
"JetBlue, June 27, 2011 ",1/18/2019
"Jetro/Restaurant Depot, November 23, 2011 ",1/18/2019
"Jewelry.com, June 07, 2017 ",1/18/2019
"Jewish Federation of Cincinnati, October 29, 2018 ",1/18/2019
"Jewish Federation of Cincinnati, July 09, 2018 ",1/18/2019
"JFYNetworks, June 12, 2009 ",1/18/2019
"Jiffy Lube, July 07, 2014 ",1/18/2019
"Jimmy John's Franchises LLC, September 24, 2014 ",1/18/2019
"J. Lohr Vineyards, February 19, 2008 ",1/18/2019
"J.M. Smucker Company, February 27, 2014 ",1/18/2019
"J.M. Smucker Company, April 29, 2010 ",1/18/2019
"JN Phillips Company, Inc., March 17, 2017 ",1/18/2019
"JoFit, February 22, 2017 ",1/18/2019
"Johnny Appleseed's Inc., January 9, 2019 ",1/18/2019
"John Y. Trent & Associates, LLC, April 04, 2018 ",1/18/2019
"Johns Hopkins, February 07, 2007 ",1/18/2019
"Johns Hopkins University, April 22, 2014 ",1/18/2019
"Johns Hopkins University, March 18, 2010 ",1/18/2019
"Johnson & Johnson, July 09, 2007 ",1/18/2019
"Johnson, Hearn, Vinegar & Gee, April 14, 2017 ",1/18/2019
"Johnson, Lauder & Savidge, LLP, November 21, 2018  ",1/18/2019
"Joseph-Beth Enterprises LLC, February 24, 2017 ",1/18/2019
"J. Polep Distribution Services, August 17, 2016 ",1/18/2019
"J. Press Online, January 19, 2011 ",1/18/2019
"JRK Hotel Group, November 15, 2017 ",1/18/2019
"Julep Beauty, Inc., November 13, 2018  ",1/18/2019
"Julep Beauty, Inc., December 9, 2016 ",1/18/2019
"Juliska, August 03, 2017 ",1/18/2019
"Kalamazoo College, May 11, 2016 ",1/18/2019
"Kana, July 25, 2008 ",1/18/2019
"Kantar Group, March 21, 2016 ",1/18/2019
"Kaplan University, February 11, 2015 ",1/18/2019
"Karp, Ackerman, Skabowski & Hogan, CPAs PC, June 27, 2017 ",1/18/2019
"Katherman Kitts & Co., LLP, April 05, 2016 ",1/18/2019
"Kayser-Roth Corporation, November 04, 2010 ",1/18/2019
"Kayser-Roth, Inc., October 09, 2017 ",1/18/2019
"Kayser-Roth, Inc., July 05, 2017 ",1/18/2019
"KBE Building Corporation, August 04, 2017 ",1/18/2019
"KBR, Inc., January 21, 2011 ",1/18/2019
"KCI USA, Inc., December 21, 2010 ",1/18/2019
"Keene Police Department, November 23, 2016 ",1/18/2019
"Keller Williams Realty Inc., July 19, 2017 ",1/18/2019
"Kelly Services, March 09, 2012 ",1/18/2019
"Kenerson Associates, Inc., February 18, 2014 ",1/18/2019
"KeraLink International, April 25, 2017 ",1/18/2019
"Kestra Investment Services, LLC, December 21, 2018 ",1/18/2019
"Kettle Cuisine, February 07, 2017 ",1/18/2019
"KGA, Inc., August 01, 2016 ",1/18/2019
"KimCrafts, November 03, 2007 ",1/18/2019
"Kimpton Hotels & Restaurants, September 16, 2016 ",1/18/2019
"Kimpton Hotels & Restaurants, August 31, 2016 ",1/18/2019
"Kinetics Systems, Inc., February 07, 2018 ",1/18/2019
"Kinectic Concepts, Inc., September 14, 2010 ",1/18/2019
"King McNamara Moriarty, February 01, 2017 ",1/18/2019
"King of Prussia Dental Association, September 08, 2016 ",1/18/2019
"Kingston Technology Company Inc., July 09, 2007 ",1/18/2019
"Kleiner Perkins Caufield & Byers, August 13, 2014 ",1/18/2019
"KLX, Inc., January 24, 2018 ",1/18/2019
"Koman Government Solutions, LLC, April 21, 2017 ",1/18/2019
"Komar & Sons, Inc., Charles, January 26, 2017 ",1/18/2019
"KontrolFreek, LLC, June 30, 2016 ",1/18/2019
"Korn/Ferry International, October 11, 2012 ",1/18/2019
"Kraft Foods, February 28, 2008 ",1/18/2019
"Kraft Foods, September 05, 2007 ",1/18/2019
"Kraft Music LTD, March 03, 2015 ",1/18/2019
"Kraus Associates, Inc. dba AK Associates, January 26, 2018 ",1/18/2019
"Krishnan, Dr. Ravi, (the Eye Institute), February 26, 2016 ",1/18/2019
"Kroger Co., The, May 25, 2016 ",1/18/2019
"Kroll Background America, Inc., November 20, 2013 ",1/18/2019
"Kroll Background Screening Services, November 26, 2013 ",1/18/2019
"KSI Trading Corporation, February 20, 2015 ",1/18/2019
"KSM Business Services Inc., September 04, 2009 ",1/18/2019
"KTM North America, Inc., December 27, 2013 ",1/18/2019
"KURU Footwear, May 15, 2017 ",1/18/2019
"KYOCERA Document Solutions, New England, Inc. (""KDA-NE""), September 10, 2018 ",1/18/2019
"L-3 Communications Corporation, May 15, 2012 ",1/18/2019
"LabelMaster, October 17, 2012 ",1/18/2019
"LaCie USA, April 11, 2014 ",1/18/2019
"Lafarge West Inc., January 07, 2014 ",1/18/2019
"Lahey Clinic, August 29, 2012 ",1/18/2019
"LA Fashion, August 23, 2018 ",1/18/2019
"La Jolla Group, LLC, December 31, 2014 ",1/18/2019
"Lake Champlain Chocolates, October 05, 2017 ",1/18/2019
"Lake Erie College of Osteopathic Medicine (LECOM), May 13, 2014 ",1/18/2019
"Lakes Region Scholarship Foundation of Gilford, NH, March 04, 2016 ",1/18/2019
"Lam Research Corporation, April 02, 2010 ",1/18/2019
"Landstar System, Inc., March 21, 2016 ",1/18/2019
"Land Title Guarantee Company, February 07, 2017 ",1/18/2019
"Language Services Associates, Inc., March 27, 2017 ",1/18/2019
"Lanyon Solutions, Inc., March 18, 2016 ",1/18/2019
"LaPorte & Associates, May 07, 2018 ",1/18/2019
"Lasell College, March 11, 2008 ",1/18/2019
"Lasko Group, Inc., July 30, 2014 ",1/18/2019
"Laufer Group International, February 27, 2018 ",1/18/2019
"Lawrence Melrose Medical Electronic Record, Inc., March 12, 2013 ",1/18/2019
"LAZ Karp Associates, LLC, March 17, 2016 ",1/18/2019
"LC Industries, Inc., June 17, 2015 ",1/18/2019
"Leader Bank, NA, June 06, 2017 ",1/18/2019
"LeafFilter North LLC (""LeafFilter""), October 05, 2018 ",1/18/2019
"Legal Sea Foods, LLC, June 27, 2014 ",1/18/2019
"Lehigh Hanson, December 08, 2008 ",1/18/2019
"Lendio, September 15, 2017 ",1/18/2019
"LendKey Technologies, Inc., February 15, 2018 ",1/18/2019
"Lexington Medical Center, March 02, 2017 ",1/18/2019
"LexisNexis, December 06, 2012 ",1/18/2019
"LexisNexis, May 09, 2011 ",1/18/2019
"LexisNexis, May 01, 2009 ",1/18/2019
"LexisNexis, June 01, 2007 ",1/18/2019
"LexisNexis, March 20, 2007 ",1/18/2019
"LexisNexis, March 08, 2007 ",1/18/2019
"LI Tax and Planning, Inc.., April 19, 2018 ",1/18/2019
"Libbey, Inc., January 06, 2015 ",1/18/2019
"LifeBridge Health, July 30, 2018 ",1/18/2019
"LifeBridge Health, May 15, 2018 ",1/18/2019
"LifeSize Communications, March 09, 2012 ",1/18/2019
"Lifetime Healthcare Companies, The, September 09, 2015 ",1/18/2019
"LifeView Outdoors, May 19, 2015 ",1/18/2019
"LifeWatch Corporation, March 19, 2009 ",1/18/2019
"Lighthouse Management, October 20, 2017 ",1/18/2019
"Lillebaby, August 29, 2018 ",1/18/2019
"Lime Crime, Inc., (limecrime.com), March 10, 2015 ",1/18/2019
"Lin R. Rogers Electrical Contractors, Inc. dba Rogers Electric, August 21, 2015 ",1/18/2019
"Lincoln Financial Group, April 02, 2018 ",1/18/2019
"Lincoln Financial Group, November 29, 2017 ",1/18/2019
"Lincoln Financial Securities Corporation/Lincoln Financial Advisors Corporation, January 04, 2010 ",1/18/2019
"Lincoln Life Insurance Co., August 15, 2011 ",1/18/2019
"Lincoln Life Insurance Co., July 13, 2011 ",1/18/2019
"Lincoln Life Insurance Co., July 16, 2010 ",1/18/2019
"Lincoln Life Insurance Co., May 17, 2010 ",1/18/2019
"Little River Healthcare - Central Texas, November 07, 2017 ",1/18/2019
"Littleton Regional Hospital. April 09, 2014 ",1/18/2019
"Littleton Regional Hospital, June 29, 2010 ",1/18/2019
"Littleton Regional Hospital, April 13, 2009 ",1/18/2019
"Living Naturally, December 31, 2010 ",1/18/2019
"Living Social, April 26, 2013 ",1/18/2019
"L'Occitane, Inc. dba L'Occitane en Provence, June 21, 2018 ",1/18/2019
"Lockheed Martin, November 12, 2009 ",1/18/2019
"Lockheed Martin, July 13, 2009 ",1/18/2019
"Loeb Enterprises II, LLC, November 26, 2018 ",1/18/2019
"LOGOS Management Software, LLC, March 28, 2014 ",1/18/2019
"Lokai Holdings LLC, December 24, 2014 ",1/18/2019
"Lonza, January 24, 2018 ",1/18/2019
"Lorillard Tobacco Company, April 13, 2010 ",1/18/2019
"Loud Technologies, Inc., February 09, 2011 ",1/18/2019
"Lowe's Companies, Inc., May 19, 2014 ",1/18/2019
"LPL Financial LLC, November 30, 2018 ",1/18/2019
"LPL Financial Corporation, August 25, 2010 ",1/18/2019
"LPL Financial Corporation, March 09, 2010 ",1/18/2019
"LPL Financial Corporation, June 01, 2009 ",1/18/2019
"LPL Financial Corporation, February 02, 2009 ",1/18/2019
"LPL Financial Corporation, July 24, 2008 ",1/18/2019
"LPL Financial Corporation, Part 1, May 06, 2008 ",1/18/2019
"LPL Financial Corporation, Part 2. May 06, 2008 ",1/18/2019
"LPL Financial Corporation, Part 3, May 06, 2008 ",1/18/2019
"LPL Financial LLC, November 19, 2018 ",1/18/2019
"LPL Financial LLC, October 03, 2017 ",1/18/2019
"LPL Financial LLC, August 22, 2017 ",1/18/2019
"LPL Financial LLC, August 29, 2014 ",1/18/2019
"LPL Financial LLC, August 29, 2011 ",1/18/2019
"LRGHealthcare, December 19, 2008 ",1/18/2019
"Lulu's Fashion Lounge Inc., September 16, 2016 ",1/18/2019
"Luther College, December 20, 2016 ",1/18/2019
"Lutz & Carr, CPAs, LLP, June 07, 2018 ",1/18/2019
"Luxury Retreats, May 24, 2018 ",1/18/2019
"Luzerne Bank, December 06, 2018 ",1/18/2019
"Lyons & Lyons, March 19, 2013 ",1/18/2019
"M & R Strategic Services, Inc., September 23, 2015 ",1/18/2019
"Macy's, Inc., July 02, 2018 ",1/18/2019
"Madison Square Garden, November 22, 2016 ",1/18/2019
"Major League Lacrosse, September 06, 2017 ",1/18/2019
"Make-up Designory, February 05, 2018 ",1/18/2019
"Makeup Geek, LLC., January 19, 2018 ",1/18/2019
"Malcom and Baker, CPAs, July 06, 2018 ",1/18/2019
"Malley's Chocolates PLC, April 30, 2018 ",1/18/2019
"Maloney & Kennedy, PLLC, March 29, 2017 ",1/18/2019
"MAM Software, Inc., February 14, 2017 ",1/18/2019
"Management Health Systems, Inc. d/b/a MedPro Healthcare Staffing, March 18, 2016 ",1/18/2019
"Manchester Capital Management, LLC, June 18, 2018 ",1/18/2019
"Manchester Hotel Hospitality, LLC, June 23, 2015 ",1/18/2019
"Mandarin Oriental, July 10, 2015 ",1/18/2019
"Manduka, August 01, 2018 ",1/18/2019
"Manduka, March 27, 2018 ",1/18/2019
"Manduka, October 31, 2016 ",1/18/2019
"Manhattan Prep (MG Prep, Inc.), April 03, 2012 ",1/18/2019
"Mannix Marketing, December 12, 2013 ",1/18/2019
"Maplecrest Ford, January 19, 2018 ",1/18/2019
"Maricopa County Community College District, November 27, 2013 ",1/18/2019
"Marine Corps Association & Foundation, August 11, 2017 ",1/18/2019
"Maritz Holdings, Inc., May 23, 2016 ",1/18/2019
"Marriott Vacation Club, January 31, 2011 ",1/18/2019
"Marsh Mercer, December 27, 2010 ",1/18/2019
"Marsh Mercer, August 04, 2010 ",1/18/2019
"Marsh US Consumer, December 27, 2010 ",1/18/2019
"Massachusetts Eye and Ear Infirmary, Inc., June 16, 2016 ",1/18/2019
"Massachusetts Financial Services Company, April 01, 2009 ",1/18/2019
"Massachusetts General Hospital, July 05, 2017 ",1/18/2019
"Massachusetts General Hospital, January 25, 2017 ",1/18/2019
"Massachusetts General Hospital, June 29, 2016 ",1/18/2019
"Massachusetts General Hospital, July 08, 2015 ",1/18/2019
"Massachusetts Mutual Life Insurance Company, February 16, 2018 ",1/18/2019
"Massachusetts Mutual Life Insurance Company, August 29, 2017 ",1/18/2019
"Massachusetts Mutual LIfe Insurance Company, July 12, 2017 ",1/18/2019
"Massachusetts Mutual Life Insurance Company, July 27, 2015 ",1/18/2019
"Massachusetts Mutual Life Insurance Company, February 14, 2013 ",1/18/2019
"Massachusetts Mutual Life Insurance Company, December 16, 2013 ",1/18/2019
"Massachusetts Office of Consumer Affairs and Business Regulation, November 15, 2016 ",1/18/2019
"Massachusetts Society for the Prevention of Cruelty to Children, February 12, 2014 ",1/18/2019
"MassMutual Financial Group, September 08, 2009 ",1/18/2019
"Massood & Company, July 20, 2017 ",1/18/2019
"Masy BioServices, September 08, 2016 ",1/18/2019
"Matador Recordings, LLC, July 15, 2016 ",1/18/2019
"Match-Up Solutions, LLC, May 26, 2016 ",1/18/2019
"Matrix Service Company, March 11, 2016 ",1/18/2019
"Maxim Capital Enterprises, Inc., March 07, 2017 ",1/18/2019
"Maxim Crane Works, LP, March 15, 2017 ",1/18/2019
"McDavid, Inc., May 01, 2017 ",1/18/2019
"McDermott BlueCross, BlueShield Medical Plan, February 27, 2015 ",1/18/2019
"McDermott Investment Services, LLC, March 05, 2014 ",1/18/2019
"McKenna & Sachs LLC, November 16, 2018 ",1/18/2019
"McKesson, August 09, 2013 ",1/18/2019
"McKesson, September 11, 2007 ",1/18/2019
