Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
ExamOne,5/22/2017,5/5/2017,1,1
ExamOne,1/30/2017,12/16/2016,1,1
ExeterFinanceCorp.,1/11/2017,11/25/2016,1,54
"ExtremeReach,Inc.",4/28/2017,2/8/2017,5,3800
"Faller,Kincheloe&Co.,PLC",3/14/2017,2/4/2017,5,3430
FamilyServicesRochester,2/17/2017,12/26/2016,26,17037
"FamilyTreeHealthClinic,P.A.",6/19/2017,4/24/2017,3,13402
FarmCreditMid-America,3/29/2017,11/30/2016,1,1
FarmersandMerchantsBank,9/21/2017,7/25/2017,4,10650
FastHealthCorporation,5/26/2017,1/14/2016,87,18301
FederalDirectTaxServices,2/28/2017,1/2/2017,8,258
FederalHomeLoanBankofIndianapolis,8/18/2017,5/23/2017,84,119
FidelityNationalFinancialInc,6/8/2017,5/26/2017,1,1
FidelityNationalFinancialInc,5/4/2017,1/11/2017,1,236
"FiduciaryManagement,Inc.",9/6/2017,8/7/2017,42,3055
FieldandMainBank,4/26/2017,3/13/2017,25,165
FirstNationalBankofPennsylvania,4/7/2017,11/3/2016,2,9358
FisherSpiegelKunkle&Gerber,7/6/2017,11/29/2016,1,292
FNBCBankandTrust,5/9/2017,6/28/2016,1,24
FoodSafetyNetServices,3/30/2017,3/3/2017,1,573
"FoodWarmingEquipmentCompany,Inc.",1/31/2017,1/23/2017,1,180
FranciscanHealthHammond,5/4/2017,1/20/2017,1,1
FranciscanHealthIndianapolis,6/29/2017,3/15/2017,1,1
FranciscanHealthIndianapolis,6/6/2017,5/22/2017,1,1
FranciscanHealthIndianapolis,8/16/2017,3/17/2017,1,1
FranciscanHealthIndianapolis,8/18/2017,5/22/2017,1,1
FranciscanHealthMichiganCity,6/22/2017,4/22/2017,1,1
FranciscanPhysicianNetwork,9/25/2017,8/28/2017,1,1
FranciscanPhysicianNetwork,5/31/2017,12/1/2016,3,3
FrederickCountyPublicSchools,12/29/2016,,2,905
"FreedomSmokes,Inc.",6/5/2017,3/7/2017,553,21957
FrontierAirlines,5/19/2017,,6,3605
FrontierCo-Op,9/11/2017,5/12/2017,25,1500
FrontlineEducation,5/31/2017,4/21/2017,2,53
"FroschInternationalTravel,Inc.",2/13/2017,2/10/2017,2,
Frost&Sullivan,3/9/2017,3/3/2017,1,370
FSSA,8/21/2017,6/22/2017,1,1
FSSA,6/23/2017,6/23/2017,1,1
FSSA,8/24/2017,8/16/2017,1,1
FSSA,8/15/2017,8/9/2017,1,1
FSSA,9/18/2017,9/12/2017,1,1
FSSA-Breach Notification,4/17/2017,3/30/2017,1,1
FSSA-Breach Notification,4/28/2017,4/26/2017,1,1
FSSA-Breach Notification,6/12/2017,6/9/2017,1,1
FSSA-Breach Notification,2/13/2017,2/7/2017,1,1
FSSA-Breach Notification,3/20/2017,3/8/2017,1,1
"GameStop,Inc.",6/5/2017,8/10/2016,27537,1338102
"GannettCompany,Inc.",4/28/2017,3/28/2017,1538,18100
"Gardiner&AppelGroup,Inc.",2/20/2017,1/16/2017,2,1281
GatorCasesInc,1/11/2017,,,
"GenoceaBiosciences,Inc.",2/10/2017,2/1/2017,1,134
"GenpactInternational,Inc.",5/8/2017,1/12/2017,156,8517
GeokineticsInc.,3/14/2017,1/25/2017,1,709
"GetWellNetwork,Inc.",3/17/2017,3/8/2017,1,
GlaxoSmithKline,3/28/2017,3/14/2017,1,36
"Goldberg,Miller&Rubin,PC",2/23/2017,10/25/2016,2,5700
"Goldenvoice,LLC",3/20/2017,9/1/2016,6,27000
"Golf & Ski Warehouse, Inc.",7/7/2017,3/8/2017,39,4176
"GolfTecEnterprises,LLC",6/23/2017,3/22/2017,127,22914
GoogleInc.,6/29/2017,8/10/2016,6,
GoshenCommunitySchools,4/15/2017,,23,23
GPSHospitalityHoldingCompanyLLC,4/13/2017,2/2/2017,121,8814
"GraphikDimensions,Ltd.",12/28/2016,7/12/2016,181,14095
"GreatWolfResorts,Inc.",7/19/2017,8/10/2016,6,5000
"Gross,Puckey,Gruel&Roof,P.C.",3/20/2017,2/19/2017,2,130
"GTDistributors,Inc.",8/25/2017,5/16/2017,5,1287
HaanCraftsLLC,3/23/2017,1/13/2017,31,134
Haixia Zhang,3/13/2017,3/2/2017,7,
HalekulaniCorporation,7/6/2017,8/10/2016,3,1528
HamptonInnAustin-RoundRock,9/12/2017,8/14/2017,1,3
Hand&UpperExtremityCentersdbaHandRehabilitationSpecialists,9/1/2017,7/5/2017,4,12806
HansenCochraneLtd.,12/19/2016,10/17/2016,25,1636
HardRockHotels&Casinos,7/7/2017,8/10/2016,205,
"Harrah'sLasVegas,LLCd/b/aHarrah'sCasinoHotel,LasVegas",7/31/2017,8/10/2016,1,16
HarrisHardyJohnstonePC,12/21/2016,,2,
"HartzHotelServices,Inc.",7/24/2017,8/10/2016,9,2656
HarvestBibleChapeld/b/aWalkintheWordMinistries,7/13/2017,6/1/2016,552,13961
"HarveysIowaManagementCompany,Inc.andHarveysBRManagementCompany,Inc.",3/30/2017,,3,45
HealthDimensionsGroup,3/28/2017,1/1/2017,1,1754
HeathmanHotel,7/21/2017,8/10/2016,1,202
"HighPowerTechnicalServices,Inc.",3/27/2017,2/13/2017,139,541
HillCountryMemorialHospital,4/25/2017,2/21/2017,6,8449
HomePointFinancialCorporation,6/20/2017,11/9/2016,374,32642
HonorFlightNewEngland,1/25/2017,11/15/2016,1,649
HorseshoeCasinoHammond,8/30/2017,5/4/2017,14,288
HospitalHousekeepingSystem,9/8/2017,3/8/2017,2,1058
HRBTaxGroupInc,5/26/2017,5/9/2017,1,63
HutchinsonandBloodgoodLLP,3/10/2017,,30,
"HyattCentricTheLoopChicago,Illinois",8/7/2017,9/27/2016,117,
"HycorBiomedical,LLC",1/27/2017,1/23/2017,3,105
"ICCIndustries,Inc.",9/7/2017,,1451,4997
IDEM-SecurityBreach,9/6/2017,9/1/2017,1,1
ILKB LLC,3/9/2017,10/1/2016,8,800
ILKB LLC,4/18/2017,10/1/2016,173,26362
"Incipio,LLC",5/23/2017,2/26/2017,1076,68226
IndependentCareHealthPlan,1/20/2017,3/13/2016,4,7486
Indiana Department of Natural Resources,1/20/2017,1/20/2017,1,1
"IndianaAssociationofHomesandServicesfortheAging,Inc.d/b/aLeadingAgeIndiana",2/9/2017,12/19/2016,65,75
IndianaBureauofMotorVehicles,4/10/2017,4/7/2017,1,1
IndianaBureauofMotorVehicles,8/11/2017,8/8/2017,2,2
IndianaBureauofMotorVehicles,8/10/2017,8/10/2017,2,2
IndianaBureauofMotorVehicles,6/15/2017,5/30/2017,1,1
IndianaBureauofMotorVehicles,6/23/2017,5/26/2017,1,1
IndianaBureauofMotorVehicles,8/7/2017,8/4/2017,1,1
IndianaBureauofMotorVehicles,6/6/2017,5/31/2017,1,1
IndianaBureauofMotorVehicles,8/10/2017,8/8/2017,1,1
IndianaBureauofMotorVehicles,6/6/2017,5/13/2017,1,1
IndianaBureauofMotorVehicles,1/11/2017,1/5/2017,1,1
IndianaDepartmentofEnvironmentalManagement,8/22/2017,9/20/2007,2,2
IndianaDepartmentofEnvironmentalManagement,2/14/2017,1/30/2017,1,1
IndianaDepartmentofRevenue,3/10/2017,2/24/2017,2,2
IndianaDepartmentofWorkforceDevelopment,6/30/2017,8/9/2016,2,2
IndianaDepartmentofWorkforceDevelopment,9/15/2017,9/6/2016,26,26
IndianaFurniture,3/29/2017,2/15/2017,374,
IndianaProfessionalLicensingAgency,2/14/2017,1/17/2017,1,1
IndianaPublicRetirementSystem,9/6/2017,8/31/2017,1,1
IndianaUniversityHealth,4/14/2017,3/29/2017,1,1
IndianaUniversityHealth,4/14/2017,3/17/2017,1,1
"IndigoWild,LLC",5/12/2017,11/14/2016,524,22077
InfiniteComputerSolutionsInc.,9/1/2017,5/26/2017,5,650
"Ingram,Overholt&Bean,P.C.",4/7/2017,,4,400
InMomentInc.,3/14/2017,2/27/2017,1,246
"InterMountainManagement,LLC",2/21/2017,2/3/2017,1,3918
"InternationalAssociationofSheetMetal,Air,Rail&TransportWorkers",12/30/2016,10/3/2016,24,25156
"InternationalCodeCouncil,Inc.",1/11/2016,4/25/2016,144,11101
IntexRecreationCorp.,2/21/2017,4/24/2016,1335,58424
IntuitInc,3/29/2017,3/12/2017,27,1048
IntuitInc,7/21/2017,6/14/2017,2,235
IntuitInc,8/15/2017,7/30/2017,1,396
IntuitInc,3/1/2017,2/9/2017,58,2338
IntuitInc,2/21/2017,1/30/2017,55,5869
IntuitInc,5/17/2017,4/30/2017,1,298
Name of Company or Organization,Date of Notification,Date of Breach,Number of Indiana Residents Affected,Number of Consumers Affected Nationwide
IntuitInc,4/17/2017,4/2/2017,11,845
IntuitInc,6/13/2017,4/19/2017,237,14592
IntuitInc,2/9/2017,1/29/2017,62,2969
IntuitInc,4/24/2014,4/6/2017,22,64
IntuitInc,5/5/2017,4/17/2017,2,744
IntuitInc,1/26/2017,1/12/2017,8,597
IntuitInc,2/1/2017,1/22/2017,2,519
IntuitInc,3/10/2017,2/20/2017,19,5123
IntuitInc,3/17/2017,2/28/2017,9,2822
IowaMutualinsuranceCompany,3/2/2017,1/30/2017,1,1
"ITAGroup,Inc.",5/11/2017,12/28/2017,7,176
IUHealthBilling*,,,,
Ives&SultanLLP,5/8/2017,11/1/2016,4,2518
JacksonHewittTaxServiceInc.,4/28/2017,5/1/2016,93,77178
"Jas.Townsend&Sons,Inc.",6/5/2017,1/9/2017,45,
"JBProducts,AFederalProcessCompany",3/17/2017,2/23/2017,39,213
JennerandBlock,2/10/2017,2/2/2017,16,859
JennerandBlock,6/30/2017,8/10/2016,1,39
JeNuBioSciencesLLC,8/22/2017,8/14/2017,1,23
Jewelry.com,6/7/2017,11/16/2016,94,
JoFit,2/24/2017,1/15/2017,47,4473
JohnDeereFinancial,2/24/2017,1/24/2017,3,64
JohnFLewisPC,6/19/2017,4/19/2017,4,2003
"JohnsDentalLaboratory,Inc.",2/21/2017,1/26/2017,106,107
"Johnson,Hearn,Vinegar&Gee,PLLC",4/14/2017,1/16/2017,2,7958
Jones&AndersonCPAGroup,4/24/2014,3/1/2017,2064,2248
Joseph-Beth,2/24/2017,2/14/2017,1,483
Juliska,8/3/2017,10/27/2016,59,
KamaticsCorporation,4/14/2017,3/31/2017,1,6
"KeithM.Southwood,CPA,Inc.",5/31/2017,3/29/2017,1,1035
"KellerWilliamsRealty,Inc.",7/18/2017,5/6/2017,3046,398142
KentuckyWesleyanCollege,7/27/2017,1/16/2017,412,6100
KimptonHotels&Restaurants,7/28/2017,8/10/2016,312,23737
KindredHealthcare,1/20/2017,12/26/2016,15,
KindredHealthcare,1/6/2016,11/21/2016,1,1
KindredHealthcare,5/10/2017,2/3/2017,2,
KindredHealthcare,5/4/2017,2/8/2017,2,
KindredHealthcare,4/3/2017,3/24/2017,1,1
KingMcNamaraMoriarty,2/2/2017,1/18/2016,4,6791
"Kobza&Associates,LLC",3/7/2017,9/12/2016,30,646
"Kolodziej,Elsen&FeyLLC",7/19/2017,4/17/2017,1,16
KrehbielandAssociatesCPA,3/30/2017,2/2/2017,7,4129
"Kroeschell,Inc.",8/31/2017,5/25/2017,20,1534
K-TekResourcingLLC,4/10/2017,1/31/2017,1,95
KURUFootwear,5/15/2017,12/20/2016,399,18138
"LanguageServicesAssociates,Inc.",3/28/2017,2/4/2017,3,1475
LaTorrettaLakeResort&Spa,8/28/2017,8/10/2016,2,
L'AubergedeSedeona,8/31/2017,8/10/2016,6,718
LauchPointVentures,1/5/2017,10/14/2016,1,407
"LawyersTitleofArizona,Inc.",8/16/2017,8/7/2017,2,2
"LeadingEdgeFinancialPlanning,LLC",5/12/2017,4/21/2017,2,216
LegacyConsultingGroup,8/15/2017,,13,2164
"LeoEdwards,Jr.,M.D.",2/27/2017,11/1/2016,4,19564
"LexingtonCountyHealthServicesDistrict,Inc.",3/2/2017,2/13/2017,12,
"LightspeedSystems,Inc.",1/30/2017,9/6/2016,4,340
LiptonCPAAssociatesLLC,5/2/2017,4/1/2017,5,65
LoewsHotels&Co.,7/5/2017,8/29/2016,969,
"LOGANCommunityResources,Inc.",7/11/2017,5/12/2017,2063,2604
"LouisvilleAreaChamberofCommerce,Inc.d/b/aGreaterLouisvilleInc.",4/25/2017,3/17/2017,3,40
LouisvilleMetroGovernment,6/1/2017,2/17/2017,3,174
"M.StanleyMetz&Company,Inc.",2/1/2017,12/14/2016,7,2595
"M/IFinancial,LLC",7/28/2017,10/15/2016,2,2
"MadisonTrustCompany,Inc.",12/28/2016,10/13/2016,7,219
MajorLeagueLacrosse,9/8/2017,8/23/2017,8,2570
ManateeCountySchoolDistrict,2/16/2017,1/26/2017,5,7564
MarineCorpsAssociation&Foundation,8/11/2017,4/16/2017,90,3969
MarionCountyProsecutor'sOffice,1/19/2017,1/5/2017,2,2
MarionCountyProsecutor'sOffice,,10/25/2016,3,3
MarriottInternational,10/16/2017,9/19/2017,1,75
MassachusettsMutualLifeInsuranceCompany,8/29/2017,8/17/2017,1,2034
MassachusettsMutualLifeInsuranceCompany,5/5/2017,3/6/2017,2,40
"Massood&Company,PA",6/16/2017,2/17/2017,1,2709
"MaximCapitalEnterprises,Inc.",3/7/2017,2/4/2017,16,619
"MaximCraneWorks,L.P.",3/15/2017,2/2/2017,14,1114
"MBAConsultingServices,Inc.",1/20/2017,1/6/2017,5,360
"McDavid,Inc.",5/1/2017,9/5/2016,79,4777
McDonald'sCorporation,3/31/2017,3/7/2016,1,13
McLaughlinBrunsonInsuranceAgencyLLP,5/25/2017,2/21/2017,1,303
MDFInstruments,2/3/2017,7/2/2016,169,5677
"Med-Cert,Inc.",9/1/2017,6/17/2017,2592,7237
"MedicalDepot,Inc.",2/15/2017,2/2/2017,50,1023
"MED-PASS,Inc.",1/4/2017,12/5/2016,1,43
"MerchantsMetals,Inc.",3/3/2017,2/1/2017,103,759
MeridianHealthServices,2/17/2017,2/8/2017,1245,1245
"MichaelFriedland,LTD",7/12/2017,6/4/2017,2,622
MichelinNorthAmerica,3/13/2017,,7,94
MidAmericaClinicalLaboratories,6/13/2017,5/5/2017,2,2
"MihalovBarton&Burrus,LLC",2/27/2017,2/5/2017,1586,1775
MiravalArizonaResort&Spa,6/29/2017,8/10/2016,10,900
MonarchBeverageCompany,2/2/2017,1/24/2017,1254,1275
"Montage,Inc.",5/4/2017,3/28/2017,1,
Mot1MarketingCo.Ltd.,4/25/2017,,3,648
MovementMortgage,7/10/2017,8/1/2016,53,9591
Mr.Cooper,8/30/2017,7/5/2017,184,8118
MrsPrindables,2/24/2017,2/1/2016,1068,
Mt.ZionGeneralBaptistChurch,3/20/2017,2/6/2017,40,41
MutualofOmahaInsuranceCompany-SecurityBreach,2/16/2017,2/1/2017,1,1
"N.WasserstromandSons,Inc.",2/23/2017,2/6/2017,1,
NathanSports,5/1/2017,9/5/2016,7,330
"NationalDCP,LLC",8/8/2017,3/10/2017,1,
NationalSafetyCouncil,3/22/2017,3/13/2017,1,505
NationalTreasuryEmployeesUnion,6/16/2017,3/14/2017,1,443
NationstarMortgageLLC,1/25/2017,12/1/2016,1,32
NationwideMutualInsuranceCompany,4/4/2017,3/15/2017,2,462
NativeCanadaFootwearLtd.,8/16/2017,4/1/2015,130,
"NCIGroup,Inc.",9/22/2017,8/8/2017,6,161
"Neeley-Nemeth,LLPd/b/aBartonOaksDentalGroup",5/18/2017,3/23/2017,12,17090
NeoshoCountyCommunityCollege,3/2/2017,2/17/2017,1,549
NewsCorporation,7/12/2017,8/10/2016,2,
NewWorldHotelManagementLimited,7/7/2017,11/3/2016,3,
"NicopureLabs,LLC",5/16/2017,,695,
NielsenCompany,6/15/2017,5/18/2017,4,
NobleHouseHotelsandResorts,7/28/2017,8/10/2016,62,23312
"NokiaNetworksandSolutionsUS,LLC",5/17/2017,4/1/2017,3,2521
NorthAmericanTitleCompany,5/18/2017,2/9/2017,1,255
"NorthmarkMedicalManagement,LLC",4/14/2017,1/16/2017,19,
NorthParkUniversity,3/13/2017,3/8/2017,3,52
NorthropGrummanSystemsCorporation,4/19/2017,4/18/2016,6,1938
"NorthsideAnesthesiaServices,LLC",6/29/2017,11/30/2016,1,1
NorthsideIndependentSchoolDistrict,12/29/2016,8/12/2016,1,22921
NorthwestRheumatology,7/31/2017,3/30/2017,17,7468
OaklawnPsychiatricHospital,2/9/2017,9/2/2016,,1
OathInc.,7/12/2017,8/10/2016,4,
"OneMainFinancialGroup,LLC",1/13/2017,10/17/2016,2,39
"OneWorldDistribution,Inc.d/b/aOneWorldDirect",4/7/2017,8/27/2016,159,7552
OniaLLC,6/6/2017,11/12/2016,3,619
OpenTextCorporation,7/6/2017,6/25/2017,1,300
OrchardsInn,8/31/2017,8/10/2016,10,742
OrthopaedicsIndianapolisInc,12/29/2016,8/3/2016,1,1
OutriggerHotelsHawaii,7/21/2017,8/10/2016,3,221
OwenCountyStateBank,9/7/2017,7/14/2017,3,3
"PacificaHotelManagement,LLC",8/11/2017,8/10/2016,51,8179
PacificLutheranUniversity,4/18/2017,1/23/2017,1,955
PacificQuest,4/27/2017,1/30/2017,1,319
PacificScienceCenter,7/12/2017,6/13/2017,1,661
PalmBayInternational,2/24/2017,1/17/2017,1,362
PathGroup,12/30/2016,1/29/2016,46,1452
PatrickIndustries,2/13/2017,2/3/2017,6303,7960
"PaulStuart,Inc.",,,,
"PaulStuart,Inc.",6/14/2017,5/15/2017,40,7972
PayLeaseLLC,4/7/2017,2/23/2017,1,267
"PaySystemsofAmerica,Inc.",3/3/2017,2/6/2017,27,148
PCASkin,2/28/2017,2/22/2017,1,164
"PeachtreeNeurologicalClinic,P.C.",7/6/2017,2/1/2016,72,176295
"PenservPlanServices,Inc.",3/28/2017,2/26/2017,,
PeopleforPeople,3/15/2017,10/20/2016,2,857
PerfectlyPoshLLC,2/14/2017,2/10/2017,1,288
PerformantFinancialCorporation,8/11/2017,1/27/2017,1,2889
PikeLumberCo,1/27/2017,1/24/2017,269,269
"PlasticMoldingsCompany,LLCandPMCSMARTSOLUTIONSLLC",2/10/2017,1/18/2017,34,47
prAna,3/8/2017,12/14/2016,3778,391484
"PrattIndustries,Inc.",5/1/2017,4/19/2017,672,7569
"PreferredHotelGroup,Inc.",7/14/2017,8/10/2016,844,
PrincetonUniversity,3/23/2017,12/1/2016,1,97
PrincipalLifeInsuranceCompany-SecurityBreach,3/14/2017,2/22/2017,4,114
PrincipalLifeInsuranceCompany-SecurityBreach,2/3/2017,1/18/2017,1,46
PrincipalLifeInsuranceCompany-SecurityBreach,6/2/2017,5/25/2017,1,1
"ProfessionalBusiness&TaxConsultingServices,Inc.",4/8/2017,2/18/2017,22,1664
"ProScanImaging,LLC",3/2/2017,,35,
"Pro-Vigil,Inc.",3/15/2017,3/13/2017,2,237
PrudentialInsuranceCompanyofAmerica,4/11/2017,1/9/2017,1,9
PSAAirlines,12/29/2016,9/6/2016,45,2707
"PulmoRehab,LLC",2/10/2017,2/3/2017,9,2030
"PulteMortgage,LLC",9/6/2017,7/22/2017,13,268
"PunchBowl,LLC",5/19/2017,3/8/2017,268,2301
PurdueUniversity,2/3/2017,1/1/2016,1,1
"PurityCylinderGases,Inc.andAirwayOxygen,Inc.",5/25/2017,4/18/2017,14099,497020
PVHS-ICM Employee Health and Wellness LLC,6/30/2017,5/4/2017,19,
QBE,8/15/2017,5/31/2017,6,418
"QualiChem,Inc.",3/9/2017,2/13/2017,1,84
QuantumHealth,3/17/2017,2/22/2017,1,737
"QuenchUSA,Inc.",3/29/2017,2/10/2017,1,568
QuestDiagnostics,3/27/2017,2/14/2017,1,1
R&ADesignd/b/aUnisonHome,1/6/2017,5/16/2016,6,1500
R.J.O'Brien&Associates,3/20/2017,,2,23
RandMcNally,3/20/2017,9/1/2016,11,600
RandMcNally,5/5/2017,4/12/2016,529,21237
"RayAllen,Inc.",3/13/2017,2/21/2017,2,
"RealTruck,Inc.",3/17/2017,1/22/2017,1,43
"RedRoofInns,Inc.",8/29/2017,8/10/2017,122,4942
"RefundAdvantage,adivisionofMetaBank",3/21/2017,2/14/2017,5,4147
RehabilitationHospitalofIndiana,3/30/2017,7/5/2016,1,1
RehabilitationHospitalofIndiana,3/30/2017,3/1/2016,1,1
RehabilitationHospitalofIndiana,3/30/2017,12/15/2016,30,30
ReidHealth,4/12/2017,,2,2
REIHoldingCo.,4/20/2017,3/6/2017,1,638
"RemingtonLodging&Hospitality,LLC",7/18/2017,8/10/2016,154,
RepublicBankCorporateCenter,5/4/2017,,39,32600
RevlonConsumerProductsCorporation,6/6/2017,4/24/2017,1,149
"RichardE.Munoz,CPA",9/20/2017,8/24/2017,2,564
"Ricoh USA, Inc.",5/18/2017,,2,114
RiteAidCorporation,5/17/2017,1/30/2017,113,18680
"RJD,LLCd/b/aGuardianTechnologies,LLC",6/7/2017,4/18/2017,1,
Road&RailServices,3/8/2017,3/3/2016,211,2221
"RobertsHawaii,Inc.",2/24/2017,7/30/2015,217,30180
ROCORealEstateLLC,8/18/2017,8/10/2017,30,755
Rod'sWesternPalace,2/24/2017,10/11/2016,876,
RoundPointMortgageServicingCorporation,8/14/2017,7/27/2017,1,18
"RussellInvestmentsGroup,LLC",3/7/2017,2/22/2017,2,1580
"Rutherford,MacDonald&OlsonP.C.",8/18/2017,3/1/2017,1,6000
"SaddleRidgePartners,LLC,dbaWizardLabs",8/7/2017,5/25/2017,109,4062
SafariLtd.,1/4/2017,10/10/2016,2,69
SageHospitalityLLC,7/18/2017,8/10/2016,2,
SaintGobainCorporation,4/13/2017,4/1/2016,4,143
Saint-GobainCorporation,7/24/2017,8/10/2016,2,50
SaintMaryoftheWoodsCollege,6/29/2017,6/6/2017,2,2
SalinaFamilyHealthcareCenter,8/16/2017,6/18/2017,54,77337
SaltHotelsLLC,7/28/2017,8/10/2016,unknown,3400
SanDiegoChristianCollege,2/13/2017,2/6/2017,1,361
"Sarnova,Inc.",3/30/2017,1/20/2017,5,720
"SBEENTHoldings,LLC",7/17/2017,8/10/2016,,80000
"ScholarChipCard,LLC",1/27/2017,12/2/2016,588,7229
SchurmanFinePapersdbaSchurmanRetailGroup,3/21/2017,1/18/2017,30,2652
ScientificGamesCorporation,5/17/2017,5/3/2017,1,280
ScivationInc.,3/24/2017,1/25/2017,1,70
"Scotty'sHoldings,LLC",1/31/2017,1/30/2017,2941,3521
"ScoutEnergyManagement,LLC",5/30/2017,4/17/2017,16,6658
"SEKOWorldwide,LLC",2/15/2017,2/2/2017,1,256
SharedImaging,2/2/2017,1/31/2017,4,197
"ShockDoctor,Inc.",5/1/2017,9/5/2016,42,2420
"ShoeStation,Inc.",8/8/2017,4/27/2017,31,3379
"Showpay,LLC",2/10/2017,1/30/2017,4,1230
ShowTix4U,3/29/2017,12/11/2016,164,27833
"SignatorInvestors,Inc.",9/19/2017,6/8/2017,17,7408
"SignatureHardware,Inc.",6/2/2017,4/28/2017,74,5130
SiriusXMRadioInc,9/7/2017,8/9/2017,2,76
"SixContinentsHotels,Inc.",4/14/2017,9/29/2016,26568,1043686
SkyClimberAccessSolutionsAtlantaLLC,2/6/2017,1/23/2017,21,1536
"SoleraHolding,Inc.",3/31/2017,,4,
"SolutionsIQ,Inc.",3/9/2017,2/28/2017,2,211
"SoutheasternEmergencyPhysiciansofMemphis,LLC",4/25/2017,3/11/2017,1,1
SouthernIllinoisHospitalServices,6/23/2017,2/13/2017,1,613
SouthernTide,6/15/2017,4/27/2017,32,4315
SparkPayOnlineStore,7/6/2017,4/10/2017,374,
"Spiraledge,Inc.",1/12/2017,5/2/2016,8431,426623
"SportsMem,Inc.",7/18/2017,10/12/2016,617,32461
"SpringInsuranceSolutions,LLC",9/5/2017,4/3/2017,1,
SRIInternational,9/8/2017,7/26/2017,25,10831
St.LucieCounty,4/11/2017,3/9/2017,1,
St.Mary'sHealth,2/27/2017,2/9/2017,2,2
St.Mary'sHealth,5/1/2017,4/12/2017,1,1
St.VincentDunnHospital,2/27/2017,1/10/2017,1,1
"St.VincentKokomoHospital,Inc.",3/7/2017,2/17/2017,1,1
StandardInternationalManagementLLC,7/21/2017,8/10/2016,29,8155
StarwoodPropertyTrustandStarwoodMortgageCapital,7/7/2017,5/17/2017,1,
State o. Indiana,10/10/2017,1/2/2017,9,4277
State o. Indiana,11/13/2017,7/7/2017,200,"387,500"
State o. Indiana,10/24/2017,10/11/2017,7,414
State o. Indiana,10/19/2017,3/17/2017,3,618
State o. Indiana,10/16/2017,9/26/2017,31,32
State o. Indiana,12/15/2017,9/5/2015,2,328
State o. Indiana,11/10/2017,4/13/2017,6,
State o. Indiana,11/9/2017,6/2/2017,96,3138
State o. Indiana,11/15/2017,8/11/2017,13,1376
State o. Indiana,12/19/2017,9/28/2017,9,839
State o. Indiana,10/11/2017,7/21/2017,24,1658
State o. Indiana,10/10/2017,9/10/2017,1,38
State o. Indiana,12/4/2017,8/1/2017,6,311
State o. Indiana,11/27/2017,10/2/2017,12,1016
State o. Indiana,11/8/2017,10/18/2016,23,2267
State o. Indiana,12/6/2017,7/2/2017,3,1847
State o. Indiana,11/30/2017,8/22/2017,1,143
State o. Indiana,9/29/2017,7/25/2017,51,33000
State o. Indiana,10/16/2017,10/13/2017,1,1
State o. Indiana,10/5/2017,9/4/2017,3,12273
State o. Indiana,10/5/2017,8/28/2017,2,555
State o. Indiana,10/6/2017,11/12/2016,336,127310
State o. Indiana,10/6/2017,4/11/2014,7,1069
State o. Indiana,12/1/2017,10/3/2017,2,3284
State o. Indiana,12/10/2017,11/14/2017,2113,2113
State o. Indiana,11/29/2017,7/1/2015,155,"12,003"
State o. Indiana,11/22/2017,11/9/2017,1,87
State o. Indiana,11/2/2017,10/5/2017,,1
State o. Indiana,11/30/2017,11/28/2017,1,1
State o. Indiana,12/14/2017,,7,784
State o. Indiana,11/15/2017,8/31/2017,20,22
State o. Indiana,12/15/2017,9/20/2014,82,"1,600,000"
State o. Indiana,12/19/2017,4/20/2017,1,336
State o. Indiana,10/31/2017,10/27/2017,4,4
State o. Indiana,12/8/2017,6/2/2017,2,1120
State o. Indiana,10/12/2017,9/21/2017,3,3
State o. Indiana,10/25/2017,8/25/2017,1,1
State o. Indiana,10/25/2017,9/28/2017,4,4
State o. Indiana,10/9/2017,8/30/2017,1,1
State o. Indiana,12/8/2017,,805,"23,072"
State o. Indiana,11/13/2017,6/18/2017,2302,"178,498"
State o. Indiana,11/13/2017,,1,2225
State o. Indiana,9/25/2017,4/24/2017,14,1070
State o. Indiana,,8/30/2017,59,"9,306"
State o. Indiana,11/30/2017,9/11/2017,10,1146
State o. Indiana,10/5/2017,9/6/2017,1,31
State o. Indiana,12/6/2017,7/3/2017,1,1012
State o. Indiana,11/2/2017,10/3/2017,3,61
State o. Indiana,10/31/2017,5/15/2017,10,2100
State o. Indiana,10/17/2017,9/27/2017,1,6003
State o. Indiana,10/12/2017,3/18/2017,97,"24,599"
State o. Indiana,12/1/2017,8/30/2017,41,"12,833"
State o. Indiana,11/28/2017,10/17/2017,16,282
State o. Indiana,11/8/2017,7/2/2017,,
State o. Indiana,,10/28/2017,,
State o. Indiana,12/5/2017,8/21/2017,1,1
State o. Indiana,10/20/2017,9/5/2017,44,48
State o. Indiana,12/14/2017,10/1/2016,78,3389
State o. Indiana,9/7/2017,5/29/2017,48,2691
State o. Indiana,,9/12/2017,2,2
State o. Indiana,12/1/2017,6/15/2016,456,"25,218"
State o. Indiana,10/6/2017,7/1/2017,72,"6,488"
State o. Indiana,10/6/2017,7/1/2017,72,"6,488"
State o. Indiana,12/14/2017,11/27/2017,3,3
State o. Indiana,11/7/2017,9/14/2017,1,841
State o. Indiana,10/20/2017,8/5/2017,1,415
State o. Indiana,12/4/2017,10/19/2017,12,630
State o. Indiana,11/7/2017,6/26/2017,18,38427
